Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Albania,41.1533,20.1683,1/22/20,0,0,0
,Albania,41.1533,20.1683,1/23/20,0,0,0
,Albania,41.1533,20.1683,1/24/20,0,0,0
,Albania,41.1533,20.1683,1/25/20,0,0,0
,Albania,41.1533,20.1683,1/26/20,0,0,0
,Albania,41.1533,20.1683,1/27/20,0,0,0
,Albania,41.1533,20.1683,1/28/20,0,0,0
,Albania,41.1533,20.1683,1/29/20,0,0,0
,Albania,41.1533,20.1683,1/30/20,0,0,0
,Albania,41.1533,20.1683,1/31/20,0,0,0
,Albania,41.1533,20.1683,2/1/20,0,0,0
,Albania,41.1533,20.1683,2/2/20,0,0,0
,Albania,41.1533,20.1683,2/3/20,0,0,0
,Albania,41.1533,20.1683,2/4/20,0,0,0
,Albania,41.1533,20.1683,2/5/20,0,0,0
,Albania,41.1533,20.1683,2/6/20,0,0,0
,Albania,41.1533,20.1683,2/7/20,0,0,0
,Albania,41.1533,20.1683,2/8/20,0,0,0
,Albania,41.1533,20.1683,2/9/20,0,0,0
,Albania,41.1533,20.1683,2/10/20,0,0,0
,Albania,41.1533,20.1683,2/11/20,0,0,0
,Albania,41.1533,20.1683,2/12/20,0,0,0
,Albania,41.1533,20.1683,2/13/20,0,0,0
,Albania,41.1533,20.1683,2/14/20,0,0,0
,Albania,41.1533,20.1683,2/15/20,0,0,0
,Albania,41.1533,20.1683,2/16/20,0,0,0
,Albania,41.1533,20.1683,2/17/20,0,0,0
,Albania,41.1533,20.1683,2/18/20,0,0,0
,Albania,41.1533,20.1683,2/19/20,0,0,0
,Albania,41.1533,20.1683,2/20/20,0,0,0
,Albania,41.1533,20.1683,2/21/20,0,0,0
,Albania,41.1533,20.1683,2/22/20,0,0,0
,Albania,41.1533,20.1683,2/23/20,0,0,0
,Albania,41.1533,20.1683,2/24/20,0,0,0
,Albania,41.1533,20.1683,2/25/20,0,0,0
,Albania,41.1533,20.1683,2/26/20,0,0,0
,Albania,41.1533,20.1683,2/27/20,0,0,0
,Albania,41.1533,20.1683,2/28/20,0,0,0
,Albania,41.1533,20.1683,2/29/20,0,0,0
,Albania,41.1533,20.1683,3/1/20,0,0,0
,Albania,41.1533,20.1683,3/2/20,0,0,0
,Albania,41.1533,20.1683,3/3/20,0,0,0
,Albania,41.1533,20.1683,3/4/20,0,0,0
,Albania,41.1533,20.1683,3/5/20,0,0,0
,Albania,41.1533,20.1683,3/6/20,0,0,0
,Albania,41.1533,20.1683,3/7/20,0,0,0
,Albania,41.1533,20.1683,3/8/20,0,0,0
,Albania,41.1533,20.1683,3/9/20,2,0,0
,Albania,41.1533,20.1683,3/10/20,10,0,0
,Albania,41.1533,20.1683,3/11/20,12,1,0
,Albania,41.1533,20.1683,3/12/20,23,1,0
,Albania,41.1533,20.1683,3/13/20,33,1,0
,Albania,41.1533,20.1683,3/14/20,38,1,0
,Albania,41.1533,20.1683,3/15/20,42,1,0
,Albania,41.1533,20.1683,3/16/20,51,1,0
,Albania,41.1533,20.1683,3/17/20,55,1,0
,Albania,41.1533,20.1683,3/18/20,59,2,0
,Albania,41.1533,20.1683,3/19/20,64,2,0
,Albania,41.1533,20.1683,3/20/20,70,2,0
,Albania,41.1533,20.1683,3/21/20,76,2,2
,Albania,41.1533,20.1683,3/22/20,89,2,2
,Albania,41.1533,20.1683,3/23/20,104,4,2
,Albania,41.1533,20.1683,3/24/20,123,5,10
,Albania,41.1533,20.1683,3/25/20,146,5,17
,Albania,41.1533,20.1683,3/26/20,174,6,17
,Albania,41.1533,20.1683,3/27/20,186,8,31
,Albania,41.1533,20.1683,3/28/20,197,10,31
,Albania,41.1533,20.1683,3/29/20,212,10,33
,Albania,41.1533,20.1683,3/30/20,223,11,44
,Albania,41.1533,20.1683,3/31/20,243,15,52
,Albania,41.1533,20.1683,4/1/20,259,15,67
,Albania,41.1533,20.1683,4/2/20,277,16,76
,Albania,41.1533,20.1683,4/3/20,304,17,89
,Albania,41.1533,20.1683,4/4/20,333,20,99
,Albania,41.1533,20.1683,4/5/20,361,20,104
,Albania,41.1533,20.1683,4/6/20,377,21,116
,Albania,41.1533,20.1683,4/7/20,383,22,131
,Albania,41.1533,20.1683,4/8/20,400,22,154
,Albania,41.1533,20.1683,4/9/20,409,23,165
,Albania,41.1533,20.1683,4/10/20,416,23,182
,Albania,41.1533,20.1683,4/11/20,433,23,197
,Albania,41.1533,20.1683,4/12/20,446,23,217
,Albania,41.1533,20.1683,4/13/20,467,23,232
,Albania,41.1533,20.1683,4/14/20,475,24,248
,Albania,41.1533,20.1683,4/15/20,494,25,251
,Albania,41.1533,20.1683,4/16/20,518,26,277
,Albania,41.1533,20.1683,4/17/20,539,26,283
,Albania,41.1533,20.1683,4/18/20,548,26,302
,Albania,41.1533,20.1683,4/19/20,562,26,314
,Albania,41.1533,20.1683,4/20/20,584,26,327
,Albania,41.1533,20.1683,4/21/20,609,26,345
,Albania,41.1533,20.1683,4/22/20,634,27,356
,Albania,41.1533,20.1683,4/23/20,663,27,385
,Albania,41.1533,20.1683,4/24/20,678,27,394
,Albania,41.1533,20.1683,4/25/20,712,27,403
,Albania,41.1533,20.1683,4/26/20,726,28,410
,Albania,41.1533,20.1683,4/27/20,736,28,422
,Albania,41.1533,20.1683,4/28/20,750,30,431
,Albania,41.1533,20.1683,4/29/20,766,30,455
,Albania,41.1533,20.1683,4/30/20,773,31,470
,Albania,41.1533,20.1683,5/1/20,782,31,488
,Albania,41.1533,20.1683,5/2/20,789,31,519
,Albania,41.1533,20.1683,5/3/20,795,31,531
,Albania,41.1533,20.1683,5/4/20,803,31,543
,Albania,41.1533,20.1683,5/5/20,820,31,570
,Albania,41.1533,20.1683,5/6/20,832,31,595
,Albania,41.1533,20.1683,5/7/20,842,31,605
,Albania,41.1533,20.1683,5/8/20,850,31,620
,Albania,41.1533,20.1683,5/9/20,856,31,627
,Albania,41.1533,20.1683,5/10/20,868,31,650
,Albania,41.1533,20.1683,5/11/20,872,31,654
,Albania,41.1533,20.1683,5/12/20,876,31,682
,Albania,41.1533,20.1683,5/13/20,880,31,688
,Albania,41.1533,20.1683,5/14/20,898,31,694
,Albania,41.1533,20.1683,5/15/20,916,31,705
,Albania,41.1533,20.1683,5/16/20,933,31,714
,Albania,41.1533,20.1683,5/17/20,946,31,715
,Albania,41.1533,20.1683,5/18/20,948,31,727
,Albania,41.1533,20.1683,5/19/20,949,31,742
,Albania,41.1533,20.1683,5/20/20,964,31,758
,Albania,41.1533,20.1683,5/21/20,969,31,771
,Albania,41.1533,20.1683,5/22/20,981,31,777
,Albania,41.1533,20.1683,5/23/20,989,31,783
,Albania,41.1533,20.1683,5/24/20,998,32,789
,Albania,41.1533,20.1683,5/25/20,1004,32,795
,Albania,41.1533,20.1683,5/26/20,1029,33,803
,Albania,41.1533,20.1683,5/27/20,1050,33,812
,Albania,41.1533,20.1683,5/28/20,1076,33,823
,Albania,41.1533,20.1683,5/29/20,1099,33,851
,Albania,41.1533,20.1683,5/30/20,1122,33,857
,Albania,41.1533,20.1683,5/31/20,1137,33,872
,Albania,41.1533,20.1683,6/1/20,1143,33,877
,Albania,41.1533,20.1683,6/2/20,1164,33,891
,Albania,41.1533,20.1683,6/3/20,1184,33,898
,Albania,41.1533,20.1683,6/4/20,1197,33,898
,Albania,41.1533,20.1683,6/5/20,1212,33,910
,Albania,41.1533,20.1683,6/6/20,1232,34,925
,Albania,41.1533,20.1683,6/7/20,1246,34,938
,Albania,41.1533,20.1683,6/8/20,1263,34,945
