Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Algeria,28.0339,1.6596,1/22/20,0,0,0
,Algeria,28.0339,1.6596,1/23/20,0,0,0
,Algeria,28.0339,1.6596,1/24/20,0,0,0
,Algeria,28.0339,1.6596,1/25/20,0,0,0
,Algeria,28.0339,1.6596,1/26/20,0,0,0
,Algeria,28.0339,1.6596,1/27/20,0,0,0
,Algeria,28.0339,1.6596,1/28/20,0,0,0
,Algeria,28.0339,1.6596,1/29/20,0,0,0
,Algeria,28.0339,1.6596,1/30/20,0,0,0
,Algeria,28.0339,1.6596,1/31/20,0,0,0
,Algeria,28.0339,1.6596,2/1/20,0,0,0
,Algeria,28.0339,1.6596,2/2/20,0,0,0
,Algeria,28.0339,1.6596,2/3/20,0,0,0
,Algeria,28.0339,1.6596,2/4/20,0,0,0
,Algeria,28.0339,1.6596,2/5/20,0,0,0
,Algeria,28.0339,1.6596,2/6/20,0,0,0
,Algeria,28.0339,1.6596,2/7/20,0,0,0
,Algeria,28.0339,1.6596,2/8/20,0,0,0
,Algeria,28.0339,1.6596,2/9/20,0,0,0
,Algeria,28.0339,1.6596,2/10/20,0,0,0
,Algeria,28.0339,1.6596,2/11/20,0,0,0
,Algeria,28.0339,1.6596,2/12/20,0,0,0
,Algeria,28.0339,1.6596,2/13/20,0,0,0
,Algeria,28.0339,1.6596,2/14/20,0,0,0
,Algeria,28.0339,1.6596,2/15/20,0,0,0
,Algeria,28.0339,1.6596,2/16/20,0,0,0
,Algeria,28.0339,1.6596,2/17/20,0,0,0
,Algeria,28.0339,1.6596,2/18/20,0,0,0
,Algeria,28.0339,1.6596,2/19/20,0,0,0
,Algeria,28.0339,1.6596,2/20/20,0,0,0
,Algeria,28.0339,1.6596,2/21/20,0,0,0
,Algeria,28.0339,1.6596,2/22/20,0,0,0
,Algeria,28.0339,1.6596,2/23/20,0,0,0
,Algeria,28.0339,1.6596,2/24/20,0,0,0
,Algeria,28.0339,1.6596,2/25/20,1,0,0
,Algeria,28.0339,1.6596,2/26/20,1,0,0
,Algeria,28.0339,1.6596,2/27/20,1,0,0
,Algeria,28.0339,1.6596,2/28/20,1,0,0
,Algeria,28.0339,1.6596,2/29/20,1,0,0
,Algeria,28.0339,1.6596,3/1/20,1,0,0
,Algeria,28.0339,1.6596,3/2/20,3,0,0
,Algeria,28.0339,1.6596,3/3/20,5,0,0
,Algeria,28.0339,1.6596,3/4/20,12,0,0
,Algeria,28.0339,1.6596,3/5/20,12,0,0
,Algeria,28.0339,1.6596,3/6/20,17,0,0
,Algeria,28.0339,1.6596,3/7/20,17,0,0
,Algeria,28.0339,1.6596,3/8/20,19,0,0
,Algeria,28.0339,1.6596,3/9/20,20,0,0
,Algeria,28.0339,1.6596,3/10/20,20,0,0
,Algeria,28.0339,1.6596,3/11/20,20,0,0
,Algeria,28.0339,1.6596,3/12/20,24,1,8
,Algeria,28.0339,1.6596,3/13/20,26,2,8
,Algeria,28.0339,1.6596,3/14/20,37,3,12
,Algeria,28.0339,1.6596,3/15/20,48,4,12
,Algeria,28.0339,1.6596,3/16/20,54,4,12
,Algeria,28.0339,1.6596,3/17/20,60,4,12
,Algeria,28.0339,1.6596,3/18/20,74,7,12
,Algeria,28.0339,1.6596,3/19/20,87,9,32
,Algeria,28.0339,1.6596,3/20/20,90,11,32
,Algeria,28.0339,1.6596,3/21/20,139,15,32
,Algeria,28.0339,1.6596,3/22/20,201,17,65
,Algeria,28.0339,1.6596,3/23/20,230,17,65
,Algeria,28.0339,1.6596,3/24/20,264,19,24
,Algeria,28.0339,1.6596,3/25/20,302,21,65
,Algeria,28.0339,1.6596,3/26/20,367,25,29
,Algeria,28.0339,1.6596,3/27/20,409,26,29
,Algeria,28.0339,1.6596,3/28/20,454,29,31
,Algeria,28.0339,1.6596,3/29/20,511,31,31
,Algeria,28.0339,1.6596,3/30/20,584,35,37
,Algeria,28.0339,1.6596,3/31/20,716,44,46
,Algeria,28.0339,1.6596,4/1/20,847,58,61
,Algeria,28.0339,1.6596,4/2/20,986,86,61
,Algeria,28.0339,1.6596,4/3/20,1171,105,62
,Algeria,28.0339,1.6596,4/4/20,1251,130,90
,Algeria,28.0339,1.6596,4/5/20,1320,152,90
,Algeria,28.0339,1.6596,4/6/20,1423,173,90
,Algeria,28.0339,1.6596,4/7/20,1468,193,113
,Algeria,28.0339,1.6596,4/8/20,1572,205,237
,Algeria,28.0339,1.6596,4/9/20,1666,235,347
,Algeria,28.0339,1.6596,4/10/20,1761,256,405
,Algeria,28.0339,1.6596,4/11/20,1825,275,460
,Algeria,28.0339,1.6596,4/12/20,1914,293,591
,Algeria,28.0339,1.6596,4/13/20,1983,313,601
,Algeria,28.0339,1.6596,4/14/20,2070,326,691
,Algeria,28.0339,1.6596,4/15/20,2160,336,708
,Algeria,28.0339,1.6596,4/16/20,2268,348,783
,Algeria,28.0339,1.6596,4/17/20,2418,364,846
,Algeria,28.0339,1.6596,4/18/20,2534,367,894
,Algeria,28.0339,1.6596,4/19/20,2629,375,1047
,Algeria,28.0339,1.6596,4/20/20,2718,384,1099
,Algeria,28.0339,1.6596,4/21/20,2811,392,1152
,Algeria,28.0339,1.6596,4/22/20,2910,402,1204
,Algeria,28.0339,1.6596,4/23/20,3007,407,1355
,Algeria,28.0339,1.6596,4/24/20,3127,415,1408
,Algeria,28.0339,1.6596,4/25/20,3256,419,1479
,Algeria,28.0339,1.6596,4/26/20,3382,425,1508
,Algeria,28.0339,1.6596,4/27/20,3517,432,1558
,Algeria,28.0339,1.6596,4/28/20,3649,437,1651
,Algeria,28.0339,1.6596,4/29/20,3848,444,1702
,Algeria,28.0339,1.6596,4/30/20,4006,450,1779
,Algeria,28.0339,1.6596,5/1/20,4154,453,1821
,Algeria,28.0339,1.6596,5/2/20,4295,459,1872
,Algeria,28.0339,1.6596,5/3/20,4474,463,1936
,Algeria,28.0339,1.6596,5/4/20,4648,465,1998
,Algeria,28.0339,1.6596,5/5/20,4838,470,2067
,Algeria,28.0339,1.6596,5/6/20,4997,476,2197
,Algeria,28.0339,1.6596,5/7/20,5182,483,2323
,Algeria,28.0339,1.6596,5/8/20,5369,488,2467
,Algeria,28.0339,1.6596,5/9/20,5558,494,2546
,Algeria,28.0339,1.6596,5/10/20,5723,502,2678
,Algeria,28.0339,1.6596,5/11/20,5891,507,2841
,Algeria,28.0339,1.6596,5/12/20,6067,515,2998
,Algeria,28.0339,1.6596,5/13/20,6253,522,3058
,Algeria,28.0339,1.6596,5/14/20,6442,529,3158
,Algeria,28.0339,1.6596,5/15/20,6629,536,3271
,Algeria,28.0339,1.6596,5/16/20,6821,542,3409
,Algeria,28.0339,1.6596,5/17/20,7019,548,3507
,Algeria,28.0339,1.6596,5/18/20,7201,555,3625
,Algeria,28.0339,1.6596,5/19/20,7377,561,3746
,Algeria,28.0339,1.6596,5/20/20,7542,568,3968
,Algeria,28.0339,1.6596,5/21/20,7728,575,4062
,Algeria,28.0339,1.6596,5/22/20,7918,582,4256
,Algeria,28.0339,1.6596,5/23/20,8113,592,4426
,Algeria,28.0339,1.6596,5/24/20,8306,600,4784
,Algeria,28.0339,1.6596,5/25/20,8503,609,4747
,Algeria,28.0339,1.6596,5/26/20,8697,617,4918
,Algeria,28.0339,1.6596,5/27/20,8857,623,5129
,Algeria,28.0339,1.6596,5/28/20,8997,630,5277
,Algeria,28.0339,1.6596,5/29/20,9134,638,5422
,Algeria,28.0339,1.6596,5/30/20,9267,646,5549
,Algeria,28.0339,1.6596,5/31/20,9394,653,5748
,Algeria,28.0339,1.6596,6/1/20,9513,661,5894
,Algeria,28.0339,1.6596,6/2/20,9626,667,6067
,Algeria,28.0339,1.6596,6/3/20,9733,673,6218
,Algeria,28.0339,1.6596,6/4/20,9831,681,6297
,Algeria,28.0339,1.6596,6/5/20,9935,690,6453
,Algeria,28.0339,1.6596,6/6/20,10050,698,6631
,Algeria,28.0339,1.6596,6/7/20,10154,707,6717
,Algeria,28.0339,1.6596,6/8/20,10265,715,6799
,Algeria,28.0339,1.6596,6/9/20,10382,724,6951
,Algeria,28.0339,1.6596,6/10/20,10484,732,7074
,Algeria,28.0339,1.6596,6/11/20,10589,741,7255
,Algeria,28.0339,1.6596,6/12/20,10698,751,7322
,Algeria,28.0339,1.6596,6/13/20,10810,760,7420
,Algeria,28.0339,1.6596,6/14/20,10919,767,7606
,Algeria,28.0339,1.6596,6/15/20,11031,777,7735
,Algeria,28.0339,1.6596,6/16/20,11147,788,7842
,Algeria,28.0339,1.6596,6/17/20,11268,799,7943
,Algeria,28.0339,1.6596,6/18/20,11385,811,8078
,Algeria,28.0339,1.6596,6/19/20,11504,825,8196
,Algeria,28.0339,1.6596,6/20/20,11631,837,8324
,Algeria,28.0339,1.6596,6/21/20,11771,845,8422
,Algeria,28.0339,1.6596,6/22/20,11920,852,8559
,Algeria,28.0339,1.6596,6/23/20,12076,861,8674
,Algeria,28.0339,1.6596,6/24/20,12248,869,8792
,Algeria,28.0339,1.6596,6/25/20,12445,878,8920
