Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Andorra,42.5063,1.5218,1/22/20,0,0,0
,Andorra,42.5063,1.5218,1/23/20,0,0,0
,Andorra,42.5063,1.5218,1/24/20,0,0,0
,Andorra,42.5063,1.5218,1/25/20,0,0,0
,Andorra,42.5063,1.5218,1/26/20,0,0,0
,Andorra,42.5063,1.5218,1/27/20,0,0,0
,Andorra,42.5063,1.5218,1/28/20,0,0,0
,Andorra,42.5063,1.5218,1/29/20,0,0,0
,Andorra,42.5063,1.5218,1/30/20,0,0,0
,Andorra,42.5063,1.5218,1/31/20,0,0,0
,Andorra,42.5063,1.5218,2/1/20,0,0,0
,Andorra,42.5063,1.5218,2/2/20,0,0,0
,Andorra,42.5063,1.5218,2/3/20,0,0,0
,Andorra,42.5063,1.5218,2/4/20,0,0,0
,Andorra,42.5063,1.5218,2/5/20,0,0,0
,Andorra,42.5063,1.5218,2/6/20,0,0,0
,Andorra,42.5063,1.5218,2/7/20,0,0,0
,Andorra,42.5063,1.5218,2/8/20,0,0,0
,Andorra,42.5063,1.5218,2/9/20,0,0,0
,Andorra,42.5063,1.5218,2/10/20,0,0,0
,Andorra,42.5063,1.5218,2/11/20,0,0,0
,Andorra,42.5063,1.5218,2/12/20,0,0,0
,Andorra,42.5063,1.5218,2/13/20,0,0,0
,Andorra,42.5063,1.5218,2/14/20,0,0,0
,Andorra,42.5063,1.5218,2/15/20,0,0,0
,Andorra,42.5063,1.5218,2/16/20,0,0,0
,Andorra,42.5063,1.5218,2/17/20,0,0,0
,Andorra,42.5063,1.5218,2/18/20,0,0,0
,Andorra,42.5063,1.5218,2/19/20,0,0,0
,Andorra,42.5063,1.5218,2/20/20,0,0,0
,Andorra,42.5063,1.5218,2/21/20,0,0,0
,Andorra,42.5063,1.5218,2/22/20,0,0,0
,Andorra,42.5063,1.5218,2/23/20,0,0,0
,Andorra,42.5063,1.5218,2/24/20,0,0,0
,Andorra,42.5063,1.5218,2/25/20,0,0,0
,Andorra,42.5063,1.5218,2/26/20,0,0,0
,Andorra,42.5063,1.5218,2/27/20,0,0,0
,Andorra,42.5063,1.5218,2/28/20,0,0,0
,Andorra,42.5063,1.5218,2/29/20,0,0,0
,Andorra,42.5063,1.5218,3/1/20,0,0,0
,Andorra,42.5063,1.5218,3/2/20,1,0,0
,Andorra,42.5063,1.5218,3/3/20,1,0,0
,Andorra,42.5063,1.5218,3/4/20,1,0,0
,Andorra,42.5063,1.5218,3/5/20,1,0,0
,Andorra,42.5063,1.5218,3/6/20,1,0,0
,Andorra,42.5063,1.5218,3/7/20,1,0,0
,Andorra,42.5063,1.5218,3/8/20,1,0,0
,Andorra,42.5063,1.5218,3/9/20,1,0,0
,Andorra,42.5063,1.5218,3/10/20,1,0,0
,Andorra,42.5063,1.5218,3/11/20,1,0,0
,Andorra,42.5063,1.5218,3/12/20,1,0,1
,Andorra,42.5063,1.5218,3/13/20,1,0,0
,Andorra,42.5063,1.5218,3/14/20,1,0,1
,Andorra,42.5063,1.5218,3/15/20,1,0,1
,Andorra,42.5063,1.5218,3/16/20,2,0,1
,Andorra,42.5063,1.5218,3/17/20,39,0,1
,Andorra,42.5063,1.5218,3/18/20,39,0,1
,Andorra,42.5063,1.5218,3/19/20,53,0,1
,Andorra,42.5063,1.5218,3/20/20,75,0,1
,Andorra,42.5063,1.5218,3/21/20,88,0,1
,Andorra,42.5063,1.5218,3/22/20,113,1,1
,Andorra,42.5063,1.5218,3/23/20,133,1,1
,Andorra,42.5063,1.5218,3/24/20,164,1,1
,Andorra,42.5063,1.5218,3/25/20,188,1,1
,Andorra,42.5063,1.5218,3/26/20,224,3,1
,Andorra,42.5063,1.5218,3/27/20,267,3,1
,Andorra,42.5063,1.5218,3/28/20,308,3,1
,Andorra,42.5063,1.5218,3/29/20,334,6,1
,Andorra,42.5063,1.5218,3/30/20,370,8,10
,Andorra,42.5063,1.5218,3/31/20,376,12,10
,Andorra,42.5063,1.5218,4/1/20,390,14,10
,Andorra,42.5063,1.5218,4/2/20,428,15,10
,Andorra,42.5063,1.5218,4/3/20,439,16,16
,Andorra,42.5063,1.5218,4/4/20,466,17,21
,Andorra,42.5063,1.5218,4/5/20,501,18,26
,Andorra,42.5063,1.5218,4/6/20,525,21,31
,Andorra,42.5063,1.5218,4/7/20,545,22,39
,Andorra,42.5063,1.5218,4/8/20,564,23,52
,Andorra,42.5063,1.5218,4/9/20,583,25,58
,Andorra,42.5063,1.5218,4/10/20,601,26,71
,Andorra,42.5063,1.5218,4/11/20,601,26,71
,Andorra,42.5063,1.5218,4/12/20,638,29,128
,Andorra,42.5063,1.5218,4/13/20,646,29,128
,Andorra,42.5063,1.5218,4/14/20,659,31,128
,Andorra,42.5063,1.5218,4/15/20,673,33,169
,Andorra,42.5063,1.5218,4/16/20,673,33,169
,Andorra,42.5063,1.5218,4/17/20,696,35,191
,Andorra,42.5063,1.5218,4/18/20,704,35,205
,Andorra,42.5063,1.5218,4/19/20,713,36,235
,Andorra,42.5063,1.5218,4/20/20,717,37,248
,Andorra,42.5063,1.5218,4/21/20,717,37,282
,Andorra,42.5063,1.5218,4/22/20,723,37,309
,Andorra,42.5063,1.5218,4/23/20,723,37,333
,Andorra,42.5063,1.5218,4/24/20,731,40,344
,Andorra,42.5063,1.5218,4/25/20,738,40,344
,Andorra,42.5063,1.5218,4/26/20,738,40,344
,Andorra,42.5063,1.5218,4/27/20,743,40,385
,Andorra,42.5063,1.5218,4/28/20,743,41,398
,Andorra,42.5063,1.5218,4/29/20,743,42,423
,Andorra,42.5063,1.5218,4/30/20,745,42,468
,Andorra,42.5063,1.5218,5/1/20,745,43,468
,Andorra,42.5063,1.5218,5/2/20,747,44,472
,Andorra,42.5063,1.5218,5/3/20,748,45,493
,Andorra,42.5063,1.5218,5/4/20,750,45,499
,Andorra,42.5063,1.5218,5/5/20,751,46,514
,Andorra,42.5063,1.5218,5/6/20,751,46,521
,Andorra,42.5063,1.5218,5/7/20,752,47,526
,Andorra,42.5063,1.5218,5/8/20,752,47,537
,Andorra,42.5063,1.5218,5/9/20,754,48,545
,Andorra,42.5063,1.5218,5/10/20,755,48,550
,Andorra,42.5063,1.5218,5/11/20,755,48,550
,Andorra,42.5063,1.5218,5/12/20,758,48,568
,Andorra,42.5063,1.5218,5/13/20,760,49,576
,Andorra,42.5063,1.5218,5/14/20,761,49,596
,Andorra,42.5063,1.5218,5/15/20,761,49,604
,Andorra,42.5063,1.5218,5/16/20,761,51,615
,Andorra,42.5063,1.5218,5/17/20,761,51,617
,Andorra,42.5063,1.5218,5/18/20,761,51,624
,Andorra,42.5063,1.5218,5/19/20,761,51,628
,Andorra,42.5063,1.5218,5/20/20,762,51,639
,Andorra,42.5063,1.5218,5/21/20,762,51,639
,Andorra,42.5063,1.5218,5/22/20,762,51,652
,Andorra,42.5063,1.5218,5/23/20,762,51,653
,Andorra,42.5063,1.5218,5/24/20,762,51,653
,Andorra,42.5063,1.5218,5/25/20,763,51,663
,Andorra,42.5063,1.5218,5/26/20,763,51,676
,Andorra,42.5063,1.5218,5/27/20,763,51,676
,Andorra,42.5063,1.5218,5/28/20,763,51,681
,Andorra,42.5063,1.5218,5/29/20,764,51,684
,Andorra,42.5063,1.5218,5/30/20,764,51,692
,Andorra,42.5063,1.5218,5/31/20,764,51,694
,Andorra,42.5063,1.5218,6/1/20,765,51,698
,Andorra,42.5063,1.5218,6/2/20,844,51,733
,Andorra,42.5063,1.5218,6/3/20,851,51,735
,Andorra,42.5063,1.5218,6/4/20,852,51,738
,Andorra,42.5063,1.5218,6/5/20,852,51,741
,Andorra,42.5063,1.5218,6/6/20,852,51,741
,Andorra,42.5063,1.5218,6/7/20,852,51,744
,Andorra,42.5063,1.5218,6/8/20,852,51,751
,Andorra,42.5063,1.5218,6/9/20,852,51,757
,Andorra,42.5063,1.5218,6/10/20,852,51,759
,Andorra,42.5063,1.5218,6/11/20,852,51,780
,Andorra,42.5063,1.5218,6/12/20,853,51,781
,Andorra,42.5063,1.5218,6/13/20,853,51,781
,Andorra,42.5063,1.5218,6/14/20,853,51,781
,Andorra,42.5063,1.5218,6/15/20,853,51,789
,Andorra,42.5063,1.5218,6/16/20,854,52,789
,Andorra,42.5063,1.5218,6/17/20,854,52,791
,Andorra,42.5063,1.5218,6/18/20,855,52,792
,Andorra,42.5063,1.5218,6/19/20,855,52,792
,Andorra,42.5063,1.5218,6/20/20,855,52,792
,Andorra,42.5063,1.5218,6/21/20,855,52,792
,Andorra,42.5063,1.5218,6/22/20,855,52,796
,Andorra,42.5063,1.5218,6/23/20,855,52,797
,Andorra,42.5063,1.5218,6/24/20,855,52,797
,Andorra,42.5063,1.5218,6/25/20,855,52,797
,Andorra,42.5063,1.5218,6/26/20,855,52,799
,Andorra,42.5063,1.5218,6/27/20,855,52,799
,Andorra,42.5063,1.5218,6/28/20,855,52,799
,Andorra,42.5063,1.5218,6/29/20,855,52,799
,Andorra,42.5063,1.5218,6/30/20,855,52,799
,Andorra,42.5063,1.5218,7/1/20,855,52,799
,Andorra,42.5063,1.5218,7/2/20,855,52,800
,Andorra,42.5063,1.5218,7/3/20,855,52,800
,Andorra,42.5063,1.5218,7/4/20,855,52,800
,Andorra,42.5063,1.5218,7/5/20,855,52,800
,Andorra,42.5063,1.5218,7/6/20,855,52,800
,Andorra,42.5063,1.5218,7/7/20,855,52,800
,Andorra,42.5063,1.5218,7/8/20,855,52,802
,Andorra,42.5063,1.5218,7/9/20,855,52,802
,Andorra,42.5063,1.5218,7/10/20,855,52,803
,Andorra,42.5063,1.5218,7/11/20,855,52,803
,Andorra,42.5063,1.5218,7/12/20,855,52,803
,Andorra,42.5063,1.5218,7/13/20,858,52,803
,Andorra,42.5063,1.5218,7/14/20,861,52,803
,Andorra,42.5063,1.5218,7/15/20,862,52,803
,Andorra,42.5063,1.5218,7/16/20,877,52,803
,Andorra,42.5063,1.5218,7/17/20,880,52,803
,Andorra,42.5063,1.5218,7/18/20,880,52,803
,Andorra,42.5063,1.5218,7/19/20,880,52,803
,Andorra,42.5063,1.5218,7/20/20,884,52,803
,Andorra,42.5063,1.5218,7/21/20,884,52,803
,Andorra,42.5063,1.5218,7/22/20,889,52,803
,Andorra,42.5063,1.5218,7/23/20,889,52,803
,Andorra,42.5063,1.5218,7/24/20,897,52,803
,Andorra,42.5063,1.5218,7/25/20,897,52,803
,Andorra,42.5063,1.5218,7/26/20,897,52,803
,Andorra,42.5063,1.5218,7/27/20,907,52,803
,Andorra,42.5063,1.5218,7/28/20,907,52,803
,Andorra,42.5063,1.5218,7/29/20,918,52,804
,Andorra,42.5063,1.5218,7/30/20,922,52,806
,Andorra,42.5063,1.5218,7/31/20,925,52,807
,Andorra,42.5063,1.5218,8/1/20,925,52,807
,Andorra,42.5063,1.5218,8/2/20,925,52,807
,Andorra,42.5063,1.5218,8/3/20,937,52,821
,Andorra,42.5063,1.5218,8/4/20,939,52,825
,Andorra,42.5063,1.5218,8/5/20,939,52,825
,Andorra,42.5063,1.5218,8/6/20,944,52,828
,Andorra,42.5063,1.5218,8/7/20,955,52,839
,Andorra,42.5063,1.5218,8/8/20,955,52,839
,Andorra,42.5063,1.5218,8/9/20,955,52,839
,Andorra,42.5063,1.5218,8/10/20,963,52,839
,Andorra,42.5063,1.5218,8/11/20,963,52,839
,Andorra,42.5063,1.5218,8/12/20,977,53,855
,Andorra,42.5063,1.5218,8/13/20,981,53,858
,Andorra,42.5063,1.5218,8/14/20,989,53,863
,Andorra,42.5063,1.5218,8/15/20,989,53,863
,Andorra,42.5063,1.5218,8/16/20,989,53,863
,Andorra,42.5063,1.5218,8/17/20,1005,53,869
,Andorra,42.5063,1.5218,8/18/20,1005,53,869
,Andorra,42.5063,1.5218,8/19/20,1024,53,875
,Andorra,42.5063,1.5218,8/20/20,1024,53,875
,Andorra,42.5063,1.5218,8/21/20,1045,53,875
,Andorra,42.5063,1.5218,8/22/20,1045,53,875
,Andorra,42.5063,1.5218,8/23/20,1045,53,875
,Andorra,42.5063,1.5218,8/24/20,1060,53,877
,Andorra,42.5063,1.5218,8/25/20,1060,53,877
,Andorra,42.5063,1.5218,8/26/20,1098,53,893
,Andorra,42.5063,1.5218,8/27/20,1098,53,893
,Andorra,42.5063,1.5218,8/28/20,1124,53,902
,Andorra,42.5063,1.5218,8/29/20,1124,53,902
,Andorra,42.5063,1.5218,8/30/20,1124,53,902
,Andorra,42.5063,1.5218,8/31/20,1176,53,908
,Andorra,42.5063,1.5218,9/1/20,1184,53,908
,Andorra,42.5063,1.5218,9/2/20,1199,53,909
,Andorra,42.5063,1.5218,9/3/20,1199,53,909
,Andorra,42.5063,1.5218,9/4/20,1215,53,928
,Andorra,42.5063,1.5218,9/5/20,1215,53,928
,Andorra,42.5063,1.5218,9/6/20,1215,53,928
,Andorra,42.5063,1.5218,9/7/20,1261,53,934
,Andorra,42.5063,1.5218,9/8/20,1261,53,934
,Andorra,42.5063,1.5218,9/9/20,1301,53,938
,Andorra,42.5063,1.5218,9/10/20,1301,53,938
,Andorra,42.5063,1.5218,9/11/20,1344,53,943
,Andorra,42.5063,1.5218,9/12/20,1344,53,943
,Andorra,42.5063,1.5218,9/13/20,1344,53,943
,Andorra,42.5063,1.5218,9/14/20,1438,53,945
,Andorra,42.5063,1.5218,9/15/20,1438,53,945
,Andorra,42.5063,1.5218,9/16/20,1483,53,1054
,Andorra,42.5063,1.5218,9/17/20,1483,53,1054
,Andorra,42.5063,1.5218,9/18/20,1564,53,1164
,Andorra,42.5063,1.5218,9/19/20,1564,53,1164
,Andorra,42.5063,1.5218,9/20/20,1564,53,1164
,Andorra,42.5063,1.5218,9/21/20,1681,53,1199
,Andorra,42.5063,1.5218,9/22/20,1681,53,1199
,Andorra,42.5063,1.5218,9/23/20,1753,53,1203
