Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/23/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/24/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/25/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/26/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/27/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/28/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/29/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/30/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/31/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/1/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/2/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/3/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/4/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/5/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/6/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/7/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/8/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/9/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/10/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/11/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/12/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/13/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/14/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/15/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/16/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/17/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/18/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/19/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/20/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/21/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/22/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/23/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/24/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/25/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/26/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/27/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/28/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,2/29/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/1/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/2/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/3/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/4/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/5/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/6/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/7/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/8/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/9/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/10/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/11/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/12/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/13/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/14/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/15/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/16/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/17/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/18/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/19/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/20/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/21/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/22/20,1,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/23/20,3,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/24/20,3,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/25/20,3,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/26/20,7,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/27/20,7,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/28/20,7,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/29/20,7,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/30/20,7,0,0
,Antigua and Barbuda,17.0608,-61.7964,3/31/20,7,0,0
,Antigua and Barbuda,17.0608,-61.7964,4/1/20,7,0,0
,Antigua and Barbuda,17.0608,-61.7964,4/2/20,9,0,0
,Antigua and Barbuda,17.0608,-61.7964,4/3/20,15,0,0
,Antigua and Barbuda,17.0608,-61.7964,4/4/20,15,0,0
,Antigua and Barbuda,17.0608,-61.7964,4/5/20,15,0,0
,Antigua and Barbuda,17.0608,-61.7964,4/6/20,15,0,0
,Antigua and Barbuda,17.0608,-61.7964,4/7/20,19,1,0
,Antigua and Barbuda,17.0608,-61.7964,4/8/20,19,2,0
,Antigua and Barbuda,17.0608,-61.7964,4/9/20,19,2,0
,Antigua and Barbuda,17.0608,-61.7964,4/10/20,19,2,0
,Antigua and Barbuda,17.0608,-61.7964,4/11/20,21,2,0
,Antigua and Barbuda,17.0608,-61.7964,4/12/20,21,2,0
,Antigua and Barbuda,17.0608,-61.7964,4/13/20,23,2,0
,Antigua and Barbuda,17.0608,-61.7964,4/14/20,23,2,3
,Antigua and Barbuda,17.0608,-61.7964,4/15/20,23,2,3
,Antigua and Barbuda,17.0608,-61.7964,4/16/20,23,3,3
,Antigua and Barbuda,17.0608,-61.7964,4/17/20,23,3,3
,Antigua and Barbuda,17.0608,-61.7964,4/18/20,23,3,3
,Antigua and Barbuda,17.0608,-61.7964,4/19/20,23,3,3
,Antigua and Barbuda,17.0608,-61.7964,4/20/20,23,3,3
,Antigua and Barbuda,17.0608,-61.7964,4/21/20,23,3,7
,Antigua and Barbuda,17.0608,-61.7964,4/22/20,24,3,10
,Antigua and Barbuda,17.0608,-61.7964,4/23/20,24,3,10
,Antigua and Barbuda,17.0608,-61.7964,4/24/20,24,3,11
,Antigua and Barbuda,17.0608,-61.7964,4/25/20,24,3,11
