Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Australia,-35.4735,149.0124,1/22/20,0,0,0
,Australia,-35.4735,149.0124,1/23/20,0,0,0
,Australia,-35.4735,149.0124,1/24/20,0,0,0
,Australia,-35.4735,149.0124,1/25/20,0,0,0
,Australia,-35.4735,149.0124,1/26/20,4,0,0
,Australia,-35.4735,149.0124,1/27/20,5,0,0
,Australia,-35.4735,149.0124,1/28/20,5,0,0
,Australia,-35.4735,149.0124,1/29/20,6,0,0
,Australia,-35.4735,149.0124,1/30/20,9,0,2
,Australia,-35.4735,149.0124,1/31/20,9,0,2
,Australia,-35.4735,149.0124,2/1/20,12,0,2
,Australia,-35.4735,149.0124,2/2/20,12,0,2
,Australia,-35.4735,149.0124,2/3/20,12,0,2
,Australia,-35.4735,149.0124,2/4/20,13,0,2
,Australia,-35.4735,149.0124,2/5/20,13,0,2
,Australia,-35.4735,149.0124,2/6/20,14,0,2
,Australia,-35.4735,149.0124,2/7/20,15,0,2
,Australia,-35.4735,149.0124,2/8/20,15,0,2
,Australia,-35.4735,149.0124,2/9/20,15,0,2
,Australia,-35.4735,149.0124,2/10/20,15,0,2
,Australia,-35.4735,149.0124,2/11/20,15,0,2
,Australia,-35.4735,149.0124,2/12/20,15,0,2
,Australia,-35.4735,149.0124,2/13/20,15,0,8
,Australia,-35.4735,149.0124,2/14/20,15,0,8
,Australia,-35.4735,149.0124,2/15/20,15,0,8
,Australia,-35.4735,149.0124,2/16/20,15,0,8
,Australia,-35.4735,149.0124,2/17/20,15,0,10
,Australia,-35.4735,149.0124,2/18/20,15,0,10
,Australia,-35.4735,149.0124,2/19/20,15,0,10
,Australia,-35.4735,149.0124,2/20/20,15,0,10
,Australia,-35.4735,149.0124,2/21/20,15,0,11
,Australia,-35.4735,149.0124,2/22/20,15,0,11
,Australia,-35.4735,149.0124,2/23/20,15,0,11
,Australia,-35.4735,149.0124,2/24/20,15,0,11
,Australia,-35.4735,149.0124,2/25/20,15,0,11
,Australia,-35.4735,149.0124,2/26/20,15,0,11
,Australia,-35.4735,149.0124,2/27/20,15,0,11
,Australia,-35.4735,149.0124,2/28/20,15,0,11
,Australia,-35.4735,149.0124,2/29/20,25,0,11
,Australia,-35.4735,149.0124,3/1/20,27,1,11
,Australia,-35.4735,149.0124,3/2/20,30,1,11
,Australia,-35.4735,149.0124,3/3/20,39,1,11
,Australia,-35.4735,149.0124,3/4/20,52,2,11
,Australia,-35.4735,149.0124,3/5/20,55,2,21
,Australia,-35.4735,149.0124,3/6/20,60,2,21
,Australia,-35.4735,149.0124,3/7/20,63,2,21
,Australia,-35.4735,149.0124,3/8/20,76,3,21
,Australia,-35.4735,149.0124,3/9/20,91,3,21
,Australia,-35.4735,149.0124,3/10/20,107,3,21
,Australia,-35.4735,149.0124,3/11/20,128,3,21
,Australia,-35.4735,149.0124,3/12/20,128,3,21
,Australia,-35.4735,149.0124,3/13/20,200,3,23
,Australia,-35.4735,149.0124,3/14/20,250,3,23
,Australia,-35.4735,149.0124,3/15/20,297,3,23
,Australia,-35.4735,149.0124,3/16/20,377,3,23
,Australia,-35.4735,149.0124,3/17/20,452,5,23
,Australia,-35.4735,149.0124,3/18/20,568,6,23
,Australia,-35.4735,149.0124,3/19/20,681,6,26
,Australia,-35.4735,149.0124,3/20/20,791,7,26
,Australia,-35.4735,149.0124,3/21/20,1071,7,26
,Australia,-35.4735,149.0124,3/22/20,1549,7,88
,Australia,-35.4735,149.0124,3/23/20,1682,7,88
,Australia,-35.4735,149.0124,3/24/20,2044,8,115
,Australia,-35.4735,149.0124,3/25/20,2364,8,119
,Australia,-35.4735,149.0124,3/26/20,2810,13,172
,Australia,-35.4735,149.0124,3/27/20,3143,13,194
,Australia,-35.4735,149.0124,3/28/20,3640,14,244
,Australia,-35.4735,149.0124,3/29/20,3984,16,244
,Australia,-35.4735,149.0124,3/30/20,4361,17,257
,Australia,-35.4735,149.0124,3/31/20,4559,18,358
,Australia,-35.4735,149.0124,4/1/20,4862,20,422
