Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Austria,47.5162,14.5501,1/22/20,0,0,0
,Austria,47.5162,14.5501,1/23/20,0,0,0
,Austria,47.5162,14.5501,1/24/20,0,0,0
,Austria,47.5162,14.5501,1/25/20,0,0,0
,Austria,47.5162,14.5501,1/26/20,0,0,0
,Austria,47.5162,14.5501,1/27/20,0,0,0
,Austria,47.5162,14.5501,1/28/20,0,0,0
,Austria,47.5162,14.5501,1/29/20,0,0,0
,Austria,47.5162,14.5501,1/30/20,0,0,0
,Austria,47.5162,14.5501,1/31/20,0,0,0
,Austria,47.5162,14.5501,2/1/20,0,0,0
,Austria,47.5162,14.5501,2/2/20,0,0,0
,Austria,47.5162,14.5501,2/3/20,0,0,0
,Austria,47.5162,14.5501,2/4/20,0,0,0
,Austria,47.5162,14.5501,2/5/20,0,0,0
,Austria,47.5162,14.5501,2/6/20,0,0,0
,Austria,47.5162,14.5501,2/7/20,0,0,0
,Austria,47.5162,14.5501,2/8/20,0,0,0
,Austria,47.5162,14.5501,2/9/20,0,0,0
,Austria,47.5162,14.5501,2/10/20,0,0,0
,Austria,47.5162,14.5501,2/11/20,0,0,0
,Austria,47.5162,14.5501,2/12/20,0,0,0
,Austria,47.5162,14.5501,2/13/20,0,0,0
,Austria,47.5162,14.5501,2/14/20,0,0,0
,Austria,47.5162,14.5501,2/15/20,0,0,0
,Austria,47.5162,14.5501,2/16/20,0,0,0
,Austria,47.5162,14.5501,2/17/20,0,0,0
,Austria,47.5162,14.5501,2/18/20,0,0,0
,Austria,47.5162,14.5501,2/19/20,0,0,0
,Austria,47.5162,14.5501,2/20/20,0,0,0
,Austria,47.5162,14.5501,2/21/20,0,0,0
,Austria,47.5162,14.5501,2/22/20,0,0,0
,Austria,47.5162,14.5501,2/23/20,0,0,0
,Austria,47.5162,14.5501,2/24/20,0,0,0
,Austria,47.5162,14.5501,2/25/20,2,0,0
,Austria,47.5162,14.5501,2/26/20,2,0,0
,Austria,47.5162,14.5501,2/27/20,3,0,0
,Austria,47.5162,14.5501,2/28/20,3,0,0
,Austria,47.5162,14.5501,2/29/20,9,0,0
,Austria,47.5162,14.5501,3/1/20,14,0,0
,Austria,47.5162,14.5501,3/2/20,18,0,0
,Austria,47.5162,14.5501,3/3/20,21,0,0
,Austria,47.5162,14.5501,3/4/20,29,0,0
,Austria,47.5162,14.5501,3/5/20,41,0,0
,Austria,47.5162,14.5501,3/6/20,55,0,0
,Austria,47.5162,14.5501,3/7/20,79,0,0
,Austria,47.5162,14.5501,3/8/20,104,0,0
,Austria,47.5162,14.5501,3/9/20,131,0,2
,Austria,47.5162,14.5501,3/10/20,182,0,4
,Austria,47.5162,14.5501,3/11/20,246,0,4
,Austria,47.5162,14.5501,3/12/20,302,1,4
,Austria,47.5162,14.5501,3/13/20,504,1,6
,Austria,47.5162,14.5501,3/14/20,655,1,6
,Austria,47.5162,14.5501,3/15/20,860,1,6
,Austria,47.5162,14.5501,3/16/20,1018,3,6
,Austria,47.5162,14.5501,3/17/20,1332,3,1
,Austria,47.5162,14.5501,3/18/20,1646,4,9
,Austria,47.5162,14.5501,3/19/20,2013,6,9
,Austria,47.5162,14.5501,3/20/20,2388,6,9
,Austria,47.5162,14.5501,3/21/20,2814,8,9
,Austria,47.5162,14.5501,3/22/20,3582,16,9
,Austria,47.5162,14.5501,3/23/20,4474,21,9
,Austria,47.5162,14.5501,3/24/20,5283,28,9
,Austria,47.5162,14.5501,3/25/20,5588,30,9
,Austria,47.5162,14.5501,3/26/20,6909,49,112
,Austria,47.5162,14.5501,3/27/20,7657,58,225
,Austria,47.5162,14.5501,3/28/20,8271,68,225
,Austria,47.5162,14.5501,3/29/20,8788,86,479
,Austria,47.5162,14.5501,3/30/20,9618,108,636
,Austria,47.5162,14.5501,3/31/20,10180,128,1095
,Austria,47.5162,14.5501,4/1/20,10711,146,1436
,Austria,47.5162,14.5501,4/2/20,11129,158,1749
,Austria,47.5162,14.5501,4/3/20,11524,168,2022
,Austria,47.5162,14.5501,4/4/20,11781,186,2507
,Austria,47.5162,14.5501,4/5/20,12051,204,2998
,Austria,47.5162,14.5501,4/6/20,12297,220,3463
,Austria,47.5162,14.5501,4/7/20,12639,243,4046
,Austria,47.5162,14.5501,4/8/20,12942,273,4512
,Austria,47.5162,14.5501,4/9/20,13244,295,5240
,Austria,47.5162,14.5501,4/10/20,13555,319,6064
,Austria,47.5162,14.5501,4/11/20,13806,337,6604
,Austria,47.5162,14.5501,4/12/20,13945,350,6987
,Austria,47.5162,14.5501,4/13/20,14041,368,7343
,Austria,47.5162,14.5501,4/14/20,14226,384,7633
,Austria,47.5162,14.5501,4/15/20,14336,393,8098
,Austria,47.5162,14.5501,4/16/20,14476,410,8986
,Austria,47.5162,14.5501,4/17/20,14595,431,9704
,Austria,47.5162,14.5501,4/18/20,14671,443,10214
,Austria,47.5162,14.5501,4/19/20,14749,452,10501
,Austria,47.5162,14.5501,4/20/20,14795,470,10631
,Austria,47.5162,14.5501,4/21/20,14873,491,10971
,Austria,47.5162,14.5501,4/22/20,14925,510,11328
,Austria,47.5162,14.5501,4/23/20,15002,522,11694
,Austria,47.5162,14.5501,4/24/20,15071,530,11872
,Austria,47.5162,14.5501,4/25/20,15148,536,12103
,Austria,47.5162,14.5501,4/26/20,15225,542,12282
,Austria,47.5162,14.5501,4/27/20,15274,549,12362
,Austria,47.5162,14.5501,4/28/20,15357,569,12580
,Austria,47.5162,14.5501,4/29/20,15402,580,12779
,Austria,47.5162,14.5501,4/30/20,15452,584,12907
,Austria,47.5162,14.5501,5/1/20,15531,589,13110
,Austria,47.5162,14.5501,5/2/20,15558,596,13180
,Austria,47.5162,14.5501,5/3/20,15597,598,13228
,Austria,47.5162,14.5501,5/4/20,15621,600,13316
,Austria,47.5162,14.5501,5/5/20,15650,606,13462
,Austria,47.5162,14.5501,5/6/20,15684,608,13639
,Austria,47.5162,14.5501,5/7/20,15752,609,13698
,Austria,47.5162,14.5501,5/8/20,15774,614,13836
,Austria,47.5162,14.5501,5/9/20,15833,615,13928
,Austria,47.5162,14.5501,5/10/20,15871,618,13991
,Austria,47.5162,14.5501,5/11/20,15882,620,14061
,Austria,47.5162,14.5501,5/12/20,15961,623,14148
,Austria,47.5162,14.5501,5/13/20,15997,624,14304
,Austria,47.5162,14.5501,5/14/20,16058,626,14405
,Austria,47.5162,14.5501,5/15/20,16109,628,14471
,Austria,47.5162,14.5501,5/16/20,16201,629,14524
,Austria,47.5162,14.5501,5/17/20,16242,629,14563
,Austria,47.5162,14.5501,5/18/20,16269,629,14614
,Austria,47.5162,14.5501,5/19/20,16321,632,14678
,Austria,47.5162,14.5501,5/20/20,16353,633,14882
,Austria,47.5162,14.5501,5/21/20,16404,633,14951
,Austria,47.5162,14.5501,5/22/20,16436,635,15005
,Austria,47.5162,14.5501,5/23/20,16486,639,15037
,Austria,47.5162,14.5501,5/24/20,16503,640,15063
,Austria,47.5162,14.5501,5/25/20,16539,641,15138
,Austria,47.5162,14.5501,5/26/20,16557,643,15182
,Austria,47.5162,14.5501,5/27/20,16591,645,15228
,Austria,47.5162,14.5501,5/28/20,16628,668,15286
,Austria,47.5162,14.5501,5/29/20,16655,668,15347
,Austria,47.5162,14.5501,5/30/20,16685,668,15520
,Austria,47.5162,14.5501,5/31/20,16731,668,15593
,Austria,47.5162,14.5501,6/1/20,16733,668,15596
,Austria,47.5162,14.5501,6/2/20,16759,669,15629
,Austria,47.5162,14.5501,6/3/20,16771,670,15672
,Austria,47.5162,14.5501,6/4/20,16805,670,15717
,Austria,47.5162,14.5501,6/5/20,16843,672,15742
,Austria,47.5162,14.5501,6/6/20,16898,672,15789
,Austria,47.5162,14.5501,6/7/20,16902,672,15793
,Austria,47.5162,14.5501,6/8/20,16968,672,15839
,Austria,47.5162,14.5501,6/9/20,16979,672,15875
,Austria,47.5162,14.5501,6/10/20,17005,673,15910
,Austria,47.5162,14.5501,6/11/20,17034,674,15949
,Austria,47.5162,14.5501,6/12/20,17064,675,15985
,Austria,47.5162,14.5501,6/13/20,17078,677,16012
,Austria,47.5162,14.5501,6/14/20,17109,677,16059
,Austria,47.5162,14.5501,6/15/20,17135,678,16066
,Austria,47.5162,14.5501,6/16/20,17189,681,16089
,Austria,47.5162,14.5501,6/17/20,17203,687,16099
,Austria,47.5162,14.5501,6/18/20,17223,688,16101
,Austria,47.5162,14.5501,6/19/20,17271,688,16141
,Austria,47.5162,14.5501,6/20/20,17323,688,16175
,Austria,47.5162,14.5501,6/21/20,17341,690,16197
,Austria,47.5162,14.5501,6/22/20,17380,690,16241
,Austria,47.5162,14.5501,6/23/20,17408,693,16261
,Austria,47.5162,14.5501,6/24/20,17449,693,16282
,Austria,47.5162,14.5501,6/25/20,17477,698,16320
,Austria,47.5162,14.5501,6/26/20,17522,698,16348
,Austria,47.5162,14.5501,6/27/20,17580,700,16371
,Austria,47.5162,14.5501,6/28/20,17654,702,16401
,Austria,47.5162,14.5501,6/29/20,17723,703,16420
,Austria,47.5162,14.5501,6/30/20,17766,705,16478
,Austria,47.5162,14.5501,7/1/20,17873,705,16491
,Austria,47.5162,14.5501,7/2/20,17941,705,16514
,Austria,47.5162,14.5501,7/3/20,18050,705,16558
,Austria,47.5162,14.5501,7/4/20,18165,705,16607
,Austria,47.5162,14.5501,7/5/20,18280,706,16615
,Austria,47.5162,14.5501,7/6/20,18365,706,16647
,Austria,47.5162,14.5501,7/7/20,18421,706,16686
,Austria,47.5162,14.5501,7/8/20,18513,706,16721
,Austria,47.5162,14.5501,7/9/20,18615,706,16758
,Austria,47.5162,14.5501,7/10/20,18709,706,16808
,Austria,47.5162,14.5501,7/11/20,18783,706,16864
,Austria,47.5162,14.5501,7/12/20,18897,708,16952
,Austria,47.5162,14.5501,7/13/20,18948,708,17000
,Austria,47.5162,14.5501,7/14/20,19021,709,17073
,Austria,47.5162,14.5501,7/15/20,19154,710,17175
,Austria,47.5162,14.5501,7/16/20,19270,711,17244
,Austria,47.5162,14.5501,7/17/20,19439,711,17335
,Austria,47.5162,14.5501,7/18/20,19573,711,17501
,Austria,47.5162,14.5501,7/19/20,19655,711,17599
,Austria,47.5162,14.5501,7/20/20,19743,711,17659
,Austria,47.5162,14.5501,7/21/20,19827,710,17716
,Austria,47.5162,14.5501,7/22/20,19929,711,17849
,Austria,47.5162,14.5501,7/23/20,20099,711,17943
,Austria,47.5162,14.5501,7/24/20,20214,711,18042
,Austria,47.5162,14.5501,7/25/20,20338,712,18124
,Austria,47.5162,14.5501,7/26/20,20472,712,18209
,Austria,47.5162,14.5501,7/27/20,20558,713,18246
,Austria,47.5162,14.5501,7/28/20,20677,713,18379
,Austria,47.5162,14.5501,7/29/20,20850,716,18528
,Austria,47.5162,14.5501,7/30/20,20955,718,18628
,Austria,47.5162,14.5501,7/31/20,21130,718,18758
