Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Azerbaijan,40.1431,47.5769,1/22/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/23/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/24/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/25/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/26/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/27/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/28/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/29/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/30/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/31/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/1/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/2/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/3/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/4/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/5/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/6/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/7/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/8/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/9/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/10/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/11/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/12/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/13/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/14/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/15/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/16/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/17/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/18/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/19/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/20/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/21/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/22/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/23/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/24/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/25/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/26/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/27/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/28/20,0,0,0
,Azerbaijan,40.1431,47.5769,2/29/20,0,0,0
,Azerbaijan,40.1431,47.5769,3/1/20,3,0,0
,Azerbaijan,40.1431,47.5769,3/2/20,3,0,0
,Azerbaijan,40.1431,47.5769,3/3/20,3,0,0
,Azerbaijan,40.1431,47.5769,3/4/20,3,0,0
,Azerbaijan,40.1431,47.5769,3/5/20,6,0,0
,Azerbaijan,40.1431,47.5769,3/6/20,6,0,0
,Azerbaijan,40.1431,47.5769,3/7/20,9,0,0
,Azerbaijan,40.1431,47.5769,3/8/20,9,0,0
,Azerbaijan,40.1431,47.5769,3/9/20,9,0,0
,Azerbaijan,40.1431,47.5769,3/10/20,11,0,0
,Azerbaijan,40.1431,47.5769,3/11/20,11,0,3
,Azerbaijan,40.1431,47.5769,3/12/20,11,0,3
,Azerbaijan,40.1431,47.5769,3/13/20,15,1,3
,Azerbaijan,40.1431,47.5769,3/14/20,15,1,3
,Azerbaijan,40.1431,47.5769,3/15/20,23,1,6
,Azerbaijan,40.1431,47.5769,3/16/20,28,1,6
,Azerbaijan,40.1431,47.5769,3/17/20,28,1,6
,Azerbaijan,40.1431,47.5769,3/18/20,28,1,6
,Azerbaijan,40.1431,47.5769,3/19/20,44,1,6
,Azerbaijan,40.1431,47.5769,3/20/20,44,1,6
,Azerbaijan,40.1431,47.5769,3/21/20,53,1,11
,Azerbaijan,40.1431,47.5769,3/22/20,65,1,10
,Azerbaijan,40.1431,47.5769,3/23/20,72,1,10
,Azerbaijan,40.1431,47.5769,3/24/20,87,1,10
,Azerbaijan,40.1431,47.5769,3/25/20,93,2,10
,Azerbaijan,40.1431,47.5769,3/26/20,122,3,15
,Azerbaijan,40.1431,47.5769,3/27/20,165,3,15
,Azerbaijan,40.1431,47.5769,3/28/20,182,4,15
,Azerbaijan,40.1431,47.5769,3/29/20,209,4,15
,Azerbaijan,40.1431,47.5769,3/30/20,273,4,26
,Azerbaijan,40.1431,47.5769,3/31/20,298,5,26
,Azerbaijan,40.1431,47.5769,4/1/20,359,5,26
,Azerbaijan,40.1431,47.5769,4/2/20,400,5,26
,Azerbaijan,40.1431,47.5769,4/3/20,443,5,32
,Azerbaijan,40.1431,47.5769,4/4/20,521,5,32
,Azerbaijan,40.1431,47.5769,4/5/20,584,7,32
,Azerbaijan,40.1431,47.5769,4/6/20,641,7,44
,Azerbaijan,40.1431,47.5769,4/7/20,717,8,44
,Azerbaijan,40.1431,47.5769,4/8/20,822,8,63
,Azerbaijan,40.1431,47.5769,4/9/20,926,9,101
,Azerbaijan,40.1431,47.5769,4/10/20,991,10,159
,Azerbaijan,40.1431,47.5769,4/11/20,1058,11,200
,Azerbaijan,40.1431,47.5769,4/12/20,1098,11,250
,Azerbaijan,40.1431,47.5769,4/13/20,1148,12,289
,Azerbaijan,40.1431,47.5769,4/14/20,1197,13,351
,Azerbaijan,40.1431,47.5769,4/15/20,1253,13,404
,Azerbaijan,40.1431,47.5769,4/16/20,1283,15,460
,Azerbaijan,40.1431,47.5769,4/17/20,1340,15,528
,Azerbaijan,40.1431,47.5769,4/18/20,1373,18,590
,Azerbaijan,40.1431,47.5769,4/19/20,1398,19,712
,Azerbaijan,40.1431,47.5769,4/20/20,1436,19,791
,Azerbaijan,40.1431,47.5769,4/21/20,1480,20,865
,Azerbaijan,40.1431,47.5769,4/22/20,1518,20,907
,Azerbaijan,40.1431,47.5769,4/23/20,1548,20,948
,Azerbaijan,40.1431,47.5769,4/24/20,1592,21,1013
,Azerbaijan,40.1431,47.5769,4/25/20,1617,21,1080
,Azerbaijan,40.1431,47.5769,4/26/20,1645,21,1139
,Azerbaijan,40.1431,47.5769,4/27/20,1678,22,1162
,Azerbaijan,40.1431,47.5769,4/28/20,1717,22,1221
,Azerbaijan,40.1431,47.5769,4/29/20,1766,23,1267
,Azerbaijan,40.1431,47.5769,4/30/20,1804,24,1325
,Azerbaijan,40.1431,47.5769,5/1/20,1854,25,1365
,Azerbaijan,40.1431,47.5769,5/2/20,1894,25,1411
,Azerbaijan,40.1431,47.5769,5/3/20,1932,25,1441
,Azerbaijan,40.1431,47.5769,5/4/20,1984,26,1480
,Azerbaijan,40.1431,47.5769,5/5/20,2060,26,1508
,Azerbaijan,40.1431,47.5769,5/6/20,2127,28,1536
,Azerbaijan,40.1431,47.5769,5/7/20,2204,28,1551
,Azerbaijan,40.1431,47.5769,5/8/20,2279,28,1576
,Azerbaijan,40.1431,47.5769,5/9/20,2422,31,1620
,Azerbaijan,40.1431,47.5769,5/10/20,2519,32,1650
,Azerbaijan,40.1431,47.5769,5/11/20,2589,32,1680
,Azerbaijan,40.1431,47.5769,5/12/20,2693,33,1680
,Azerbaijan,40.1431,47.5769,5/13/20,2758,35,1789
,Azerbaijan,40.1431,47.5769,5/14/20,2879,35,1833
,Azerbaijan,40.1431,47.5769,5/15/20,2980,36,1886
,Azerbaijan,40.1431,47.5769,5/16/20,3138,36,1944
,Azerbaijan,40.1431,47.5769,5/17/20,3274,39,2015
,Azerbaijan,40.1431,47.5769,5/18/20,3387,40,2055
,Azerbaijan,40.1431,47.5769,5/19/20,3518,41,2198
,Azerbaijan,40.1431,47.5769,5/20/20,3631,43,2253
,Azerbaijan,40.1431,47.5769,5/21/20,3749,44,2340
,Azerbaijan,40.1431,47.5769,5/22/20,3855,46,2399
,Azerbaijan,40.1431,47.5769,5/23/20,3982,49,2506
,Azerbaijan,40.1431,47.5769,5/24/20,4122,49,2607
,Azerbaijan,40.1431,47.5769,5/25/20,4271,51,2741
,Azerbaijan,40.1431,47.5769,5/26/20,4403,52,2819
,Azerbaijan,40.1431,47.5769,5/27/20,4568,54,2897
,Azerbaijan,40.1431,47.5769,5/28/20,4759,56,3022
,Azerbaijan,40.1431,47.5769,5/29/20,4989,58,3125
,Azerbaijan,40.1431,47.5769,5/30/20,5246,61,3327
,Azerbaijan,40.1431,47.5769,5/31/20,5494,63,3428
,Azerbaijan,40.1431,47.5769,6/1/20,5662,68,3508
,Azerbaijan,40.1431,47.5769,6/2/20,5935,71,3564
,Azerbaijan,40.1431,47.5769,6/3/20,6260,76,3665
,Azerbaijan,40.1431,47.5769,6/4/20,6522,78,3737
,Azerbaijan,40.1431,47.5769,6/5/20,6860,82,3871
,Azerbaijan,40.1431,47.5769,6/6/20,7239,84,4024
,Azerbaijan,40.1431,47.5769,6/7/20,7553,88,4149
,Azerbaijan,40.1431,47.5769,6/8/20,7876,93,4377
,Azerbaijan,40.1431,47.5769,6/9/20,8191,98,4606
,Azerbaijan,40.1431,47.5769,6/10/20,8530,102,4720
,Azerbaijan,40.1431,47.5769,6/11/20,8882,108,4930
,Azerbaijan,40.1431,47.5769,6/12/20,9218,113,5116
,Azerbaijan,40.1431,47.5769,6/13/20,9570,115,5309
,Azerbaijan,40.1431,47.5769,6/14/20,9957,119,5583
,Azerbaijan,40.1431,47.5769,6/15/20,10324,122,5739
,Azerbaijan,40.1431,47.5769,6/16/20,10662,126,5948
,Azerbaijan,40.1431,47.5769,6/17/20,10991,133,6075
,Azerbaijan,40.1431,47.5769,6/18/20,11329,139,6192
,Azerbaijan,40.1431,47.5769,6/19/20,11767,143,6325
,Azerbaijan,40.1431,47.5769,6/20/20,12238,148,6516
,Azerbaijan,40.1431,47.5769,6/21/20,12729,154,6799
,Azerbaijan,40.1431,47.5769,6/22/20,13207,161,7168
,Azerbaijan,40.1431,47.5769,6/23/20,13715,167,7503
,Azerbaijan,40.1431,47.5769,6/24/20,14305,174,7768
,Azerbaijan,40.1431,47.5769,6/25/20,14852,180,8059
,Azerbaijan,40.1431,47.5769,6/26/20,15369,187,8364
,Azerbaijan,40.1431,47.5769,6/27/20,15890,193,8719
,Azerbaijan,40.1431,47.5769,6/28/20,16424,198,9026
,Azerbaijan,40.1431,47.5769,6/29/20,16968,206,9369
,Azerbaijan,40.1431,47.5769,6/30/20,17524,213,9715
,Azerbaijan,40.1431,47.5769,7/1/20,18112,220,10061
,Azerbaijan,40.1431,47.5769,7/2/20,18684,228,10425
,Azerbaijan,40.1431,47.5769,7/3/20,19267,235,10820
,Azerbaijan,40.1431,47.5769,7/4/20,19801,241,11291
,Azerbaijan,40.1431,47.5769,7/5/20,20324,250,11742
,Azerbaijan,40.1431,47.5769,7/6/20,20837,258,12182
,Azerbaijan,40.1431,47.5769,7/7/20,21374,265,12635
,Azerbaijan,40.1431,47.5769,7/8/20,21916,274,13100
,Azerbaijan,40.1431,47.5769,7/9/20,22464,284,13591
,Azerbaijan,40.1431,47.5769,7/10/20,22990,292,14093
,Azerbaijan,40.1431,47.5769,7/11/20,23521,298,14607
,Azerbaijan,40.1431,47.5769,7/12/20,24041,306,15093
,Azerbaijan,40.1431,47.5769,7/13/20,24570,313,15640
,Azerbaijan,40.1431,47.5769,7/14/20,25113,319,16150
,Azerbaijan,40.1431,47.5769,7/15/20,25672,326,16695
,Azerbaijan,40.1431,47.5769,7/16/20,26165,334,17256
,Azerbaijan,40.1431,47.5769,7/17/20,26636,341,17805
,Azerbaijan,40.1431,47.5769,7/18/20,27133,349,18450
,Azerbaijan,40.1431,47.5769,7/19/20,27521,354,18967
,Azerbaijan,40.1431,47.5769,7/20/20,27890,363,19490
,Azerbaijan,40.1431,47.5769,7/21/20,28242,376,19939
,Azerbaijan,40.1431,47.5769,7/22/20,28633,385,20443
,Azerbaijan,40.1431,47.5769,7/23/20,28980,391,20974
,Azerbaijan,40.1431,47.5769,7/24/20,29312,400,21547
,Azerbaijan,40.1431,47.5769,7/25/20,29633,408,22082
,Azerbaijan,40.1431,47.5769,7/26/20,30050,417,22684
,Azerbaijan,40.1431,47.5769,7/27/20,30446,423,23242
,Azerbaijan,40.1431,47.5769,7/28/20,30858,430,23873
,Azerbaijan,40.1431,47.5769,7/29/20,31221,438,24495
,Azerbaijan,40.1431,47.5769,7/30/20,31560,441,25168
,Azerbaijan,40.1431,47.5769,7/31/20,31878,448,25882
,Azerbaijan,40.1431,47.5769,8/1/20,32157,454,26474
,Azerbaijan,40.1431,47.5769,8/2/20,32443,462,27113
,Azerbaijan,40.1431,47.5769,8/3/20,32684,468,27760
,Azerbaijan,40.1431,47.5769,8/4/20,32910,473,28348
,Azerbaijan,40.1431,47.5769,8/5/20,33103,476,28840
,Azerbaijan,40.1431,47.5769,8/6/20,33247,479,29275
,Azerbaijan,40.1431,47.5769,8/7/20,33376,483,29696
,Azerbaijan,40.1431,47.5769,8/8/20,33481,488,30056
,Azerbaijan,40.1431,47.5769,8/9/20,33568,490,30364
,Azerbaijan,40.1431,47.5769,8/10/20,33647,492,30642
,Azerbaijan,40.1431,47.5769,8/11/20,33731,495,30856
,Azerbaijan,40.1431,47.5769,8/12/20,33824,497,31058
,Azerbaijan,40.1431,47.5769,8/13/20,33915,500,31269
,Azerbaijan,40.1431,47.5769,8/14/20,34018,504,31490
,Azerbaijan,40.1431,47.5769,8/15/20,34107,506,31697
,Azerbaijan,40.1431,47.5769,8/16/20,34219,506,31875
,Azerbaijan,40.1431,47.5769,8/17/20,34343,508,32042
,Azerbaijan,40.1431,47.5769,8/18/20,34474,509,32201
,Azerbaijan,40.1431,47.5769,8/19/20,34620,510,32363
,Azerbaijan,40.1431,47.5769,8/20/20,34759,510,32511
,Azerbaijan,40.1431,47.5769,8/21/20,34921,512,32682
,Azerbaijan,40.1431,47.5769,8/22/20,35105,515,32842
,Azerbaijan,40.1431,47.5769,8/23/20,35274,518,32993
,Azerbaijan,40.1431,47.5769,8/24/20,35426,519,33104
,Azerbaijan,40.1431,47.5769,8/25/20,35559,521,33190
,Azerbaijan,40.1431,47.5769,8/26/20,35707,522,33281
,Azerbaijan,40.1431,47.5769,8/27/20,35844,524,33364
,Azerbaijan,40.1431,47.5769,8/28/20,35986,527,33461
,Azerbaijan,40.1431,47.5769,8/29/20,36174,529,33576
,Azerbaijan,40.1431,47.5769,8/30/20,36309,531,33703
,Azerbaijan,40.1431,47.5769,8/31/20,36435,534,33847
,Azerbaijan,40.1431,47.5769,9/1/20,36578,536,33977
,Azerbaijan,40.1431,47.5769,9/2/20,36732,538,34116
,Azerbaijan,40.1431,47.5769,9/3/20,36899,541,34264
,Azerbaijan,40.1431,47.5769,9/4/20,37031,543,34419
,Azerbaijan,40.1431,47.5769,9/5/20,37192,545,34565
,Azerbaijan,40.1431,47.5769,9/6/20,37329,548,34705
,Azerbaijan,40.1431,47.5769,9/7/20,37418,551,34837
,Azerbaijan,40.1431,47.5769,9/8/20,37557,552,34965
,Azerbaijan,40.1431,47.5769,9/9/20,37732,555,35119
,Azerbaijan,40.1431,47.5769,9/10/20,37874,556,35269
,Azerbaijan,40.1431,47.5769,9/11/20,38037,557,35440
,Azerbaijan,40.1431,47.5769,9/12/20,38172,559,35607
,Azerbaijan,40.1431,47.5769,9/13/20,38327,562,35756
,Azerbaijan,40.1431,47.5769,9/14/20,38403,564,35860
,Azerbaijan,40.1431,47.5769,9/15/20,38517,566,35998
,Azerbaijan,40.1431,47.5769,9/16/20,38658,569,36149
,Azerbaijan,40.1431,47.5769,9/17/20,38777,571,36289
,Azerbaijan,40.1431,47.5769,9/18/20,38894,572,36424
,Azerbaijan,40.1431,47.5769,9/19/20,39042,574,36601
,Azerbaijan,40.1431,47.5769,9/20/20,39188,575,36755
,Azerbaijan,40.1431,47.5769,9/21/20,39280,576,36836
,Azerbaijan,40.1431,47.5769,9/22/20,39378,578,36949
,Azerbaijan,40.1431,47.5769,9/23/20,39524,580,37122
