Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Bangladesh,23.685,90.3563,1/22/20,0,0,0
,Bangladesh,23.685,90.3563,1/23/20,0,0,0
,Bangladesh,23.685,90.3563,1/24/20,0,0,0
,Bangladesh,23.685,90.3563,1/25/20,0,0,0
,Bangladesh,23.685,90.3563,1/26/20,0,0,0
,Bangladesh,23.685,90.3563,1/27/20,0,0,0
,Bangladesh,23.685,90.3563,1/28/20,0,0,0
,Bangladesh,23.685,90.3563,1/29/20,0,0,0
,Bangladesh,23.685,90.3563,1/30/20,0,0,0
,Bangladesh,23.685,90.3563,1/31/20,0,0,0
,Bangladesh,23.685,90.3563,2/1/20,0,0,0
,Bangladesh,23.685,90.3563,2/2/20,0,0,0
,Bangladesh,23.685,90.3563,2/3/20,0,0,0
,Bangladesh,23.685,90.3563,2/4/20,0,0,0
,Bangladesh,23.685,90.3563,2/5/20,0,0,0
,Bangladesh,23.685,90.3563,2/6/20,0,0,0
,Bangladesh,23.685,90.3563,2/7/20,0,0,0
,Bangladesh,23.685,90.3563,2/8/20,0,0,0
,Bangladesh,23.685,90.3563,2/9/20,0,0,0
,Bangladesh,23.685,90.3563,2/10/20,0,0,0
,Bangladesh,23.685,90.3563,2/11/20,0,0,0
,Bangladesh,23.685,90.3563,2/12/20,0,0,0
,Bangladesh,23.685,90.3563,2/13/20,0,0,0
,Bangladesh,23.685,90.3563,2/14/20,0,0,0
,Bangladesh,23.685,90.3563,2/15/20,0,0,0
,Bangladesh,23.685,90.3563,2/16/20,0,0,0
,Bangladesh,23.685,90.3563,2/17/20,0,0,0
,Bangladesh,23.685,90.3563,2/18/20,0,0,0
,Bangladesh,23.685,90.3563,2/19/20,0,0,0
,Bangladesh,23.685,90.3563,2/20/20,0,0,0
,Bangladesh,23.685,90.3563,2/21/20,0,0,0
,Bangladesh,23.685,90.3563,2/22/20,0,0,0
,Bangladesh,23.685,90.3563,2/23/20,0,0,0
,Bangladesh,23.685,90.3563,2/24/20,0,0,0
,Bangladesh,23.685,90.3563,2/25/20,0,0,0
,Bangladesh,23.685,90.3563,2/26/20,0,0,0
,Bangladesh,23.685,90.3563,2/27/20,0,0,0
,Bangladesh,23.685,90.3563,2/28/20,0,0,0
,Bangladesh,23.685,90.3563,2/29/20,0,0,0
,Bangladesh,23.685,90.3563,3/1/20,0,0,0
,Bangladesh,23.685,90.3563,3/2/20,0,0,0
,Bangladesh,23.685,90.3563,3/3/20,0,0,0
,Bangladesh,23.685,90.3563,3/4/20,0,0,0
,Bangladesh,23.685,90.3563,3/5/20,0,0,0
,Bangladesh,23.685,90.3563,3/6/20,0,0,0
,Bangladesh,23.685,90.3563,3/7/20,0,0,0
,Bangladesh,23.685,90.3563,3/8/20,3,0,0
,Bangladesh,23.685,90.3563,3/9/20,3,0,0
,Bangladesh,23.685,90.3563,3/10/20,3,0,0
,Bangladesh,23.685,90.3563,3/11/20,3,0,0
,Bangladesh,23.685,90.3563,3/12/20,3,0,0
,Bangladesh,23.685,90.3563,3/13/20,3,0,0
,Bangladesh,23.685,90.3563,3/14/20,3,0,0
,Bangladesh,23.685,90.3563,3/15/20,5,0,0
,Bangladesh,23.685,90.3563,3/16/20,8,0,2
,Bangladesh,23.685,90.3563,3/17/20,10,0,3
,Bangladesh,23.685,90.3563,3/18/20,14,1,3
,Bangladesh,23.685,90.3563,3/19/20,17,1,3
,Bangladesh,23.685,90.3563,3/20/20,20,1,3
,Bangladesh,23.685,90.3563,3/21/20,25,2,3
,Bangladesh,23.685,90.3563,3/22/20,27,2,3
,Bangladesh,23.685,90.3563,3/23/20,33,3,3
,Bangladesh,23.685,90.3563,3/24/20,39,4,5
,Bangladesh,23.685,90.3563,3/25/20,39,5,7
,Bangladesh,23.685,90.3563,3/26/20,44,5,11
,Bangladesh,23.685,90.3563,3/27/20,48,5,11
,Bangladesh,23.685,90.3563,3/28/20,48,5,15
,Bangladesh,23.685,90.3563,3/29/20,48,5,15
,Bangladesh,23.685,90.3563,3/30/20,49,5,19
,Bangladesh,23.685,90.3563,3/31/20,51,5,25
,Bangladesh,23.685,90.3563,4/1/20,54,6,25
,Bangladesh,23.685,90.3563,4/2/20,56,6,25
,Bangladesh,23.685,90.3563,4/3/20,61,6,26
,Bangladesh,23.685,90.3563,4/4/20,70,8,30
,Bangladesh,23.685,90.3563,4/5/20,88,9,33
,Bangladesh,23.685,90.3563,4/6/20,123,12,33
,Bangladesh,23.685,90.3563,4/7/20,164,17,33
,Bangladesh,23.685,90.3563,4/8/20,218,20,33
,Bangladesh,23.685,90.3563,4/9/20,330,21,33
,Bangladesh,23.685,90.3563,4/10/20,424,27,33
,Bangladesh,23.685,90.3563,4/11/20,482,30,36
,Bangladesh,23.685,90.3563,4/12/20,621,34,39
,Bangladesh,23.685,90.3563,4/13/20,803,39,42
,Bangladesh,23.685,90.3563,4/14/20,1012,46,42
,Bangladesh,23.685,90.3563,4/15/20,1231,50,49
,Bangladesh,23.685,90.3563,4/16/20,1572,60,49
,Bangladesh,23.685,90.3563,4/17/20,1838,75,58
,Bangladesh,23.685,90.3563,4/18/20,2144,84,66
,Bangladesh,23.685,90.3563,4/19/20,2456,91,75
,Bangladesh,23.685,90.3563,4/20/20,2948,101,85
,Bangladesh,23.685,90.3563,4/21/20,3382,110,87
,Bangladesh,23.685,90.3563,4/22/20,3772,120,92
,Bangladesh,23.685,90.3563,4/23/20,4186,127,108
,Bangladesh,23.685,90.3563,4/24/20,4689,131,112
,Bangladesh,23.685,90.3563,4/25/20,4998,140,113
,Bangladesh,23.685,90.3563,4/26/20,5416,145,122
,Bangladesh,23.685,90.3563,4/27/20,5913,152,131
,Bangladesh,23.685,90.3563,4/28/20,6462,155,139
,Bangladesh,23.685,90.3563,4/29/20,7103,163,150
,Bangladesh,23.685,90.3563,4/30/20,7667,168,160
,Bangladesh,23.685,90.3563,5/1/20,8238,170,174
,Bangladesh,23.685,90.3563,5/2/20,8790,175,177
,Bangladesh,23.685,90.3563,5/3/20,9455,177,1063
,Bangladesh,23.685,90.3563,5/4/20,10143,182,1209
,Bangladesh,23.685,90.3563,5/5/20,10929,183,1403
,Bangladesh,23.685,90.3563,5/6/20,11719,186,1403
,Bangladesh,23.685,90.3563,5/7/20,12425,199,1910
,Bangladesh,23.685,90.3563,5/8/20,13134,206,2101
,Bangladesh,23.685,90.3563,5/9/20,13770,214,2414
