Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Belgium,50.8333,4.469936,1/22/20,0,0,0
,Belgium,50.8333,4.469936,1/23/20,0,0,0
,Belgium,50.8333,4.469936,1/24/20,0,0,0
,Belgium,50.8333,4.469936,1/25/20,0,0,0
,Belgium,50.8333,4.469936,1/26/20,0,0,0
,Belgium,50.8333,4.469936,1/27/20,0,0,0
,Belgium,50.8333,4.469936,1/28/20,0,0,0
,Belgium,50.8333,4.469936,1/29/20,0,0,0
,Belgium,50.8333,4.469936,1/30/20,0,0,0
,Belgium,50.8333,4.469936,1/31/20,0,0,0
,Belgium,50.8333,4.469936,2/1/20,0,0,0
,Belgium,50.8333,4.469936,2/2/20,0,0,0
,Belgium,50.8333,4.469936,2/3/20,0,0,0
,Belgium,50.8333,4.469936,2/4/20,1,0,0
,Belgium,50.8333,4.469936,2/5/20,1,0,0
,Belgium,50.8333,4.469936,2/6/20,1,0,0
,Belgium,50.8333,4.469936,2/7/20,1,0,0
,Belgium,50.8333,4.469936,2/8/20,1,0,0
,Belgium,50.8333,4.469936,2/9/20,1,0,0
,Belgium,50.8333,4.469936,2/10/20,1,0,0
,Belgium,50.8333,4.469936,2/11/20,1,0,0
,Belgium,50.8333,4.469936,2/12/20,1,0,0
,Belgium,50.8333,4.469936,2/13/20,1,0,0
,Belgium,50.8333,4.469936,2/14/20,1,0,0
,Belgium,50.8333,4.469936,2/15/20,1,0,0
,Belgium,50.8333,4.469936,2/16/20,1,0,0
,Belgium,50.8333,4.469936,2/17/20,1,0,1
,Belgium,50.8333,4.469936,2/18/20,1,0,1
,Belgium,50.8333,4.469936,2/19/20,1,0,1
,Belgium,50.8333,4.469936,2/20/20,1,0,1
,Belgium,50.8333,4.469936,2/21/20,1,0,1
,Belgium,50.8333,4.469936,2/22/20,1,0,1
,Belgium,50.8333,4.469936,2/23/20,1,0,1
,Belgium,50.8333,4.469936,2/24/20,1,0,1
,Belgium,50.8333,4.469936,2/25/20,1,0,1
,Belgium,50.8333,4.469936,2/26/20,1,0,1
,Belgium,50.8333,4.469936,2/27/20,1,0,1
,Belgium,50.8333,4.469936,2/28/20,1,0,1
,Belgium,50.8333,4.469936,2/29/20,1,0,1
,Belgium,50.8333,4.469936,3/1/20,2,0,1
,Belgium,50.8333,4.469936,3/2/20,8,0,1
,Belgium,50.8333,4.469936,3/3/20,13,0,1
,Belgium,50.8333,4.469936,3/4/20,23,0,1
,Belgium,50.8333,4.469936,3/5/20,50,0,1
,Belgium,50.8333,4.469936,3/6/20,109,0,1
