Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Belize,17.1899,-88.4976,1/22/20,0,0,0
,Belize,17.1899,-88.4976,1/23/20,0,0,0
,Belize,17.1899,-88.4976,1/24/20,0,0,0
,Belize,17.1899,-88.4976,1/25/20,0,0,0
,Belize,17.1899,-88.4976,1/26/20,0,0,0
,Belize,17.1899,-88.4976,1/27/20,0,0,0
,Belize,17.1899,-88.4976,1/28/20,0,0,0
,Belize,17.1899,-88.4976,1/29/20,0,0,0
,Belize,17.1899,-88.4976,1/30/20,0,0,0
,Belize,17.1899,-88.4976,1/31/20,0,0,0
,Belize,17.1899,-88.4976,2/1/20,0,0,0
,Belize,17.1899,-88.4976,2/2/20,0,0,0
,Belize,17.1899,-88.4976,2/3/20,0,0,0
,Belize,17.1899,-88.4976,2/4/20,0,0,0
,Belize,17.1899,-88.4976,2/5/20,0,0,0
,Belize,17.1899,-88.4976,2/6/20,0,0,0
,Belize,17.1899,-88.4976,2/7/20,0,0,0
,Belize,17.1899,-88.4976,2/8/20,0,0,0
,Belize,17.1899,-88.4976,2/9/20,0,0,0
,Belize,17.1899,-88.4976,2/10/20,0,0,0
,Belize,17.1899,-88.4976,2/11/20,0,0,0
,Belize,17.1899,-88.4976,2/12/20,0,0,0
,Belize,17.1899,-88.4976,2/13/20,0,0,0
,Belize,17.1899,-88.4976,2/14/20,0,0,0
,Belize,17.1899,-88.4976,2/15/20,0,0,0
,Belize,17.1899,-88.4976,2/16/20,0,0,0
,Belize,17.1899,-88.4976,2/17/20,0,0,0
,Belize,17.1899,-88.4976,2/18/20,0,0,0
,Belize,17.1899,-88.4976,2/19/20,0,0,0
,Belize,17.1899,-88.4976,2/20/20,0,0,0
,Belize,17.1899,-88.4976,2/21/20,0,0,0
,Belize,17.1899,-88.4976,2/22/20,0,0,0
,Belize,17.1899,-88.4976,2/23/20,0,0,0
,Belize,17.1899,-88.4976,2/24/20,0,0,0
,Belize,17.1899,-88.4976,2/25/20,0,0,0
,Belize,17.1899,-88.4976,2/26/20,0,0,0
,Belize,17.1899,-88.4976,2/27/20,0,0,0
,Belize,17.1899,-88.4976,2/28/20,0,0,0
,Belize,17.1899,-88.4976,2/29/20,0,0,0
,Belize,17.1899,-88.4976,3/1/20,0,0,0
,Belize,17.1899,-88.4976,3/2/20,0,0,0
,Belize,17.1899,-88.4976,3/3/20,0,0,0
,Belize,17.1899,-88.4976,3/4/20,0,0,0
,Belize,17.1899,-88.4976,3/5/20,0,0,0
,Belize,17.1899,-88.4976,3/6/20,0,0,0
,Belize,17.1899,-88.4976,3/7/20,0,0,0
,Belize,17.1899,-88.4976,3/8/20,0,0,0
,Belize,17.1899,-88.4976,3/9/20,0,0,0
,Belize,17.1899,-88.4976,3/10/20,0,0,0
,Belize,17.1899,-88.4976,3/11/20,0,0,0
,Belize,17.1899,-88.4976,3/12/20,0,0,0
,Belize,17.1899,-88.4976,3/13/20,0,0,0
,Belize,17.1899,-88.4976,3/14/20,0,0,0
,Belize,17.1899,-88.4976,3/15/20,0,0,0
,Belize,17.1899,-88.4976,3/16/20,0,0,0
,Belize,17.1899,-88.4976,3/17/20,0,0,0
,Belize,17.1899,-88.4976,3/18/20,0,0,0
,Belize,17.1899,-88.4976,3/19/20,0,0,0
,Belize,17.1899,-88.4976,3/20/20,0,0,0
,Belize,17.1899,-88.4976,3/21/20,0,0,0
,Belize,17.1899,-88.4976,3/22/20,0,0,0
,Belize,17.1899,-88.4976,3/23/20,1,0,0
,Belize,17.1899,-88.4976,3/24/20,1,0,0
,Belize,17.1899,-88.4976,3/25/20,2,0,0
,Belize,17.1899,-88.4976,3/26/20,2,0,0
,Belize,17.1899,-88.4976,3/27/20,2,0,0
,Belize,17.1899,-88.4976,3/28/20,2,0,0
,Belize,17.1899,-88.4976,3/29/20,2,0,0
,Belize,17.1899,-88.4976,3/30/20,3,0,0
,Belize,17.1899,-88.4976,3/31/20,3,0,0
,Belize,17.1899,-88.4976,4/1/20,3,0,0
,Belize,17.1899,-88.4976,4/2/20,3,0,0
,Belize,17.1899,-88.4976,4/3/20,4,0,0
,Belize,17.1899,-88.4976,4/4/20,4,0,0
,Belize,17.1899,-88.4976,4/5/20,5,0,0
,Belize,17.1899,-88.4976,4/6/20,7,1,0
,Belize,17.1899,-88.4976,4/7/20,7,1,0
,Belize,17.1899,-88.4976,4/8/20,8,1,0
,Belize,17.1899,-88.4976,4/9/20,9,1,0
,Belize,17.1899,-88.4976,4/10/20,10,2,0
,Belize,17.1899,-88.4976,4/11/20,13,2,0
,Belize,17.1899,-88.4976,4/12/20,14,2,0
,Belize,17.1899,-88.4976,4/13/20,18,2,0
,Belize,17.1899,-88.4976,4/14/20,18,2,0
,Belize,17.1899,-88.4976,4/15/20,18,2,0
,Belize,17.1899,-88.4976,4/16/20,18,2,0
,Belize,17.1899,-88.4976,4/17/20,18,2,0
,Belize,17.1899,-88.4976,4/18/20,18,2,0
,Belize,17.1899,-88.4976,4/19/20,18,2,2
,Belize,17.1899,-88.4976,4/20/20,18,2,2
,Belize,17.1899,-88.4976,4/21/20,18,2,2
,Belize,17.1899,-88.4976,4/22/20,18,2,2
,Belize,17.1899,-88.4976,4/23/20,18,2,5
,Belize,17.1899,-88.4976,4/24/20,18,2,5
,Belize,17.1899,-88.4976,4/25/20,18,2,5
,Belize,17.1899,-88.4976,4/26/20,18,2,5
,Belize,17.1899,-88.4976,4/27/20,18,2,6
,Belize,17.1899,-88.4976,4/28/20,18,2,9
,Belize,17.1899,-88.4976,4/29/20,18,2,9
,Belize,17.1899,-88.4976,4/30/20,18,2,9
,Belize,17.1899,-88.4976,5/1/20,18,2,13
,Belize,17.1899,-88.4976,5/2/20,18,2,13
,Belize,17.1899,-88.4976,5/3/20,18,2,13
,Belize,17.1899,-88.4976,5/4/20,18,2,14
,Belize,17.1899,-88.4976,5/5/20,18,2,16
,Belize,17.1899,-88.4976,5/6/20,18,2,16
,Belize,17.1899,-88.4976,5/7/20,18,2,16
,Belize,17.1899,-88.4976,5/8/20,18,2,16
,Belize,17.1899,-88.4976,5/9/20,18,2,16
,Belize,17.1899,-88.4976,5/10/20,18,2,16
,Belize,17.1899,-88.4976,5/11/20,18,2,16
,Belize,17.1899,-88.4976,5/12/20,18,2,16
,Belize,17.1899,-88.4976,5/13/20,18,2,16
,Belize,17.1899,-88.4976,5/14/20,18,2,16
,Belize,17.1899,-88.4976,5/15/20,18,2,16
,Belize,17.1899,-88.4976,5/16/20,18,2,16
,Belize,17.1899,-88.4976,5/17/20,18,2,16
,Belize,17.1899,-88.4976,5/18/20,18,2,16
,Belize,17.1899,-88.4976,5/19/20,18,2,16
,Belize,17.1899,-88.4976,5/20/20,18,2,16
,Belize,17.1899,-88.4976,5/21/20,18,2,16
,Belize,17.1899,-88.4976,5/22/20,18,2,16
,Belize,17.1899,-88.4976,5/23/20,18,2,16
,Belize,17.1899,-88.4976,5/24/20,18,2,16
