Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Bolivia,-16.2902,-63.5887,1/22/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/23/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/24/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/25/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/26/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/27/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/28/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/29/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/30/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/31/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/1/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/2/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/3/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/4/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/5/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/6/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/7/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/8/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/9/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/10/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/11/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/12/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/13/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/14/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/15/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/16/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/17/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/18/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/19/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/20/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/21/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/22/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/23/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/24/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/25/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/26/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/27/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/28/20,0,0,0
,Bolivia,-16.2902,-63.5887,2/29/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/1/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/2/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/3/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/4/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/5/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/6/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/7/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/8/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/9/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/10/20,0,0,0
,Bolivia,-16.2902,-63.5887,3/11/20,2,0,0
,Bolivia,-16.2902,-63.5887,3/12/20,2,0,0
,Bolivia,-16.2902,-63.5887,3/13/20,3,0,0
,Bolivia,-16.2902,-63.5887,3/14/20,10,0,0
,Bolivia,-16.2902,-63.5887,3/15/20,10,0,0
,Bolivia,-16.2902,-63.5887,3/16/20,11,0,0
,Bolivia,-16.2902,-63.5887,3/17/20,11,0,0
,Bolivia,-16.2902,-63.5887,3/18/20,12,0,0
,Bolivia,-16.2902,-63.5887,3/19/20,12,0,0
,Bolivia,-16.2902,-63.5887,3/20/20,15,0,0
,Bolivia,-16.2902,-63.5887,3/21/20,19,0,0
,Bolivia,-16.2902,-63.5887,3/22/20,24,0,0
,Bolivia,-16.2902,-63.5887,3/23/20,27,0,0
,Bolivia,-16.2902,-63.5887,3/24/20,29,0,0
,Bolivia,-16.2902,-63.5887,3/25/20,32,0,0
,Bolivia,-16.2902,-63.5887,3/26/20,43,0,0
,Bolivia,-16.2902,-63.5887,3/27/20,61,0,0
,Bolivia,-16.2902,-63.5887,3/28/20,74,0,0
,Bolivia,-16.2902,-63.5887,3/29/20,81,1,0
,Bolivia,-16.2902,-63.5887,3/30/20,97,4,0
,Bolivia,-16.2902,-63.5887,3/31/20,107,6,0
,Bolivia,-16.2902,-63.5887,4/1/20,115,7,1
,Bolivia,-16.2902,-63.5887,4/2/20,123,8,1
,Bolivia,-16.2902,-63.5887,4/3/20,132,9,1
,Bolivia,-16.2902,-63.5887,4/4/20,139,10,1
,Bolivia,-16.2902,-63.5887,4/5/20,157,10,2
,Bolivia,-16.2902,-63.5887,4/6/20,183,11,2
,Bolivia,-16.2902,-63.5887,4/7/20,194,14,2
,Bolivia,-16.2902,-63.5887,4/8/20,210,15,2
,Bolivia,-16.2902,-63.5887,4/9/20,264,18,2
,Bolivia,-16.2902,-63.5887,4/10/20,268,19,2
,Bolivia,-16.2902,-63.5887,4/11/20,275,20,2
,Bolivia,-16.2902,-63.5887,4/12/20,300,24,2
,Bolivia,-16.2902,-63.5887,4/13/20,330,27,2
,Bolivia,-16.2902,-63.5887,4/14/20,354,28,6
,Bolivia,-16.2902,-63.5887,4/15/20,397,28,7
,Bolivia,-16.2902,-63.5887,4/16/20,441,29,14
,Bolivia,-16.2902,-63.5887,4/17/20,465,31,26
,Bolivia,-16.2902,-63.5887,4/18/20,493,31,31
,Bolivia,-16.2902,-63.5887,4/19/20,520,32,31
,Bolivia,-16.2902,-63.5887,4/20/20,564,33,31
,Bolivia,-16.2902,-63.5887,4/21/20,598,34,37
,Bolivia,-16.2902,-63.5887,4/22/20,609,37,44
,Bolivia,-16.2902,-63.5887,4/23/20,703,43,44
,Bolivia,-16.2902,-63.5887,4/24/20,807,44,54
,Bolivia,-16.2902,-63.5887,4/25/20,866,46,54
,Bolivia,-16.2902,-63.5887,4/26/20,950,50,80
,Bolivia,-16.2902,-63.5887,4/27/20,1014,53,98
,Bolivia,-16.2902,-63.5887,4/28/20,1053,55,110
,Bolivia,-16.2902,-63.5887,4/29/20,1110,59,117
,Bolivia,-16.2902,-63.5887,4/30/20,1167,62,132
,Bolivia,-16.2902,-63.5887,5/1/20,1229,66,134
,Bolivia,-16.2902,-63.5887,5/2/20,1470,71,159
,Bolivia,-16.2902,-63.5887,5/3/20,1594,76,166
,Bolivia,-16.2902,-63.5887,5/4/20,1681,82,174
,Bolivia,-16.2902,-63.5887,5/5/20,1802,86,187
,Bolivia,-16.2902,-63.5887,5/6/20,1886,91,198
,Bolivia,-16.2902,-63.5887,5/7/20,2081,102,219
,Bolivia,-16.2902,-63.5887,5/8/20,2266,106,237
,Bolivia,-16.2902,-63.5887,5/9/20,2437,114,258
,Bolivia,-16.2902,-63.5887,5/10/20,2556,118,273
,Bolivia,-16.2902,-63.5887,5/11/20,2831,122,299
,Bolivia,-16.2902,-63.5887,5/12/20,2964,128,313
,Bolivia,-16.2902,-63.5887,5/13/20,3148,142,339
,Bolivia,-16.2902,-63.5887,5/14/20,3372,152,356
,Bolivia,-16.2902,-63.5887,5/15/20,3577,164,434
,Bolivia,-16.2902,-63.5887,5/16/20,3826,165,473
,Bolivia,-16.2902,-63.5887,5/17/20,4088,169,493
,Bolivia,-16.2902,-63.5887,5/18/20,4263,174,503
,Bolivia,-16.2902,-63.5887,5/19/20,4481,189,533
,Bolivia,-16.2902,-63.5887,5/20/20,4919,199,553
,Bolivia,-16.2902,-63.5887,5/21/20,5187,215,561
,Bolivia,-16.2902,-63.5887,5/22/20,5579,230,575
,Bolivia,-16.2902,-63.5887,5/23/20,5915,240,609
,Bolivia,-16.2902,-63.5887,5/24/20,6263,250,629
,Bolivia,-16.2902,-63.5887,5/25/20,6660,261,647
,Bolivia,-16.2902,-63.5887,5/26/20,7136,274,677
,Bolivia,-16.2902,-63.5887,5/27/20,7768,280,689
,Bolivia,-16.2902,-63.5887,5/28/20,8387,293,738
,Bolivia,-16.2902,-63.5887,5/29/20,8731,300,749
,Bolivia,-16.2902,-63.5887,5/30/20,9592,310,889
,Bolivia,-16.2902,-63.5887,5/31/20,9982,313,968
,Bolivia,-16.2902,-63.5887,6/1/20,10531,343,1137
