Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/23/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/24/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/25/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/26/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/27/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/28/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/29/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/30/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/31/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/1/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/2/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/3/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/4/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/5/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/6/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/7/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/8/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/9/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/10/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/11/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/12/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/13/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/14/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/15/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/16/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/17/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/18/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/19/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/20/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/21/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/22/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/23/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/24/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/25/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/26/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/27/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/28/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,2/29/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/1/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/2/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/3/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/4/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/5/20,2,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/6/20,2,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/7/20,3,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/8/20,3,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/9/20,3,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/10/20,5,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/11/20,7,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/12/20,11,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/13/20,13,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/14/20,18,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/15/20,24,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/16/20,25,0,0
,Bosnia and Herzegovina,43.9159,17.6791,3/17/20,26,0,2
,Bosnia and Herzegovina,43.9159,17.6791,3/18/20,38,0,2
,Bosnia and Herzegovina,43.9159,17.6791,3/19/20,63,0,2
,Bosnia and Herzegovina,43.9159,17.6791,3/20/20,89,0,2
,Bosnia and Herzegovina,43.9159,17.6791,3/21/20,93,1,2
,Bosnia and Herzegovina,43.9159,17.6791,3/22/20,126,1,2
,Bosnia and Herzegovina,43.9159,17.6791,3/23/20,136,1,2
,Bosnia and Herzegovina,43.9159,17.6791,3/24/20,166,3,2
,Bosnia and Herzegovina,43.9159,17.6791,3/25/20,176,3,2
,Bosnia and Herzegovina,43.9159,17.6791,3/26/20,191,3,2
,Bosnia and Herzegovina,43.9159,17.6791,3/27/20,237,4,5
