Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Burma,21.9162,95.956,1/22/20,0,0,0
,Burma,21.9162,95.956,1/23/20,0,0,0
,Burma,21.9162,95.956,1/24/20,0,0,0
,Burma,21.9162,95.956,1/25/20,0,0,0
,Burma,21.9162,95.956,1/26/20,0,0,0
,Burma,21.9162,95.956,1/27/20,0,0,0
,Burma,21.9162,95.956,1/28/20,0,0,0
,Burma,21.9162,95.956,1/29/20,0,0,0
,Burma,21.9162,95.956,1/30/20,0,0,0
,Burma,21.9162,95.956,1/31/20,0,0,0
,Burma,21.9162,95.956,2/1/20,0,0,0
,Burma,21.9162,95.956,2/2/20,0,0,0
,Burma,21.9162,95.956,2/3/20,0,0,0
,Burma,21.9162,95.956,2/4/20,0,0,0
,Burma,21.9162,95.956,2/5/20,0,0,0
,Burma,21.9162,95.956,2/6/20,0,0,0
,Burma,21.9162,95.956,2/7/20,0,0,0
,Burma,21.9162,95.956,2/8/20,0,0,0
,Burma,21.9162,95.956,2/9/20,0,0,0
,Burma,21.9162,95.956,2/10/20,0,0,0
,Burma,21.9162,95.956,2/11/20,0,0,0
,Burma,21.9162,95.956,2/12/20,0,0,0
,Burma,21.9162,95.956,2/13/20,0,0,0
,Burma,21.9162,95.956,2/14/20,0,0,0
,Burma,21.9162,95.956,2/15/20,0,0,0
,Burma,21.9162,95.956,2/16/20,0,0,0
,Burma,21.9162,95.956,2/17/20,0,0,0
,Burma,21.9162,95.956,2/18/20,0,0,0
,Burma,21.9162,95.956,2/19/20,0,0,0
,Burma,21.9162,95.956,2/20/20,0,0,0
,Burma,21.9162,95.956,2/21/20,0,0,0
,Burma,21.9162,95.956,2/22/20,0,0,0
,Burma,21.9162,95.956,2/23/20,0,0,0
,Burma,21.9162,95.956,2/24/20,0,0,0
,Burma,21.9162,95.956,2/25/20,0,0,0
,Burma,21.9162,95.956,2/26/20,0,0,0
,Burma,21.9162,95.956,2/27/20,0,0,0
,Burma,21.9162,95.956,2/28/20,0,0,0
,Burma,21.9162,95.956,2/29/20,0,0,0
,Burma,21.9162,95.956,3/1/20,0,0,0
,Burma,21.9162,95.956,3/2/20,0,0,0
,Burma,21.9162,95.956,3/3/20,0,0,0
,Burma,21.9162,95.956,3/4/20,0,0,0
,Burma,21.9162,95.956,3/5/20,0,0,0
,Burma,21.9162,95.956,3/6/20,0,0,0
,Burma,21.9162,95.956,3/7/20,0,0,0
,Burma,21.9162,95.956,3/8/20,0,0,0
,Burma,21.9162,95.956,3/9/20,0,0,0
,Burma,21.9162,95.956,3/10/20,0,0,0
,Burma,21.9162,95.956,3/11/20,0,0,0
,Burma,21.9162,95.956,3/12/20,0,0,0
,Burma,21.9162,95.956,3/13/20,0,0,0
,Burma,21.9162,95.956,3/14/20,0,0,0
,Burma,21.9162,95.956,3/15/20,0,0,0
,Burma,21.9162,95.956,3/16/20,0,0,0
,Burma,21.9162,95.956,3/17/20,0,0,0
,Burma,21.9162,95.956,3/18/20,0,0,0
,Burma,21.9162,95.956,3/19/20,0,0,0
,Burma,21.9162,95.956,3/20/20,0,0,0
,Burma,21.9162,95.956,3/21/20,0,0,0
,Burma,21.9162,95.956,3/22/20,0,0,0
,Burma,21.9162,95.956,3/23/20,0,0,0
,Burma,21.9162,95.956,3/24/20,0,0,0
,Burma,21.9162,95.956,3/25/20,0,0,0
,Burma,21.9162,95.956,3/26/20,0,0,0
,Burma,21.9162,95.956,3/27/20,8,0,0
,Burma,21.9162,95.956,3/28/20,8,0,0
,Burma,21.9162,95.956,3/29/20,10,0,0
,Burma,21.9162,95.956,3/30/20,14,0,0
,Burma,21.9162,95.956,3/31/20,15,1,0
,Burma,21.9162,95.956,4/1/20,15,1,0
,Burma,21.9162,95.956,4/2/20,20,1,0
,Burma,21.9162,95.956,4/3/20,20,1,0
,Burma,21.9162,95.956,4/4/20,21,1,0
,Burma,21.9162,95.956,4/5/20,21,1,0
,Burma,21.9162,95.956,4/6/20,22,1,0
,Burma,21.9162,95.956,4/7/20,22,1,0
,Burma,21.9162,95.956,4/8/20,22,3,0
,Burma,21.9162,95.956,4/9/20,23,3,2
,Burma,21.9162,95.956,4/10/20,27,3,2
,Burma,21.9162,95.956,4/11/20,38,3,2
,Burma,21.9162,95.956,4/12/20,41,4,2
,Burma,21.9162,95.956,4/13/20,62,4,2
,Burma,21.9162,95.956,4/14/20,63,4,2
,Burma,21.9162,95.956,4/15/20,74,4,2
,Burma,21.9162,95.956,4/16/20,85,4,2
,Burma,21.9162,95.956,4/17/20,88,4,5
,Burma,21.9162,95.956,4/18/20,98,5,5
,Burma,21.9162,95.956,4/19/20,111,5,7
,Burma,21.9162,95.956,4/20/20,119,5,7
,Burma,21.9162,95.956,4/21/20,121,5,7
,Burma,21.9162,95.956,4/22/20,123,5,7
,Burma,21.9162,95.956,4/23/20,139,5,9
,Burma,21.9162,95.956,4/24/20,144,5,9
,Burma,21.9162,95.956,4/25/20,146,5,10
,Burma,21.9162,95.956,4/26/20,146,5,10
,Burma,21.9162,95.956,4/27/20,146,5,16
,Burma,21.9162,95.956,4/28/20,150,5,16
,Burma,21.9162,95.956,4/29/20,150,6,27
,Burma,21.9162,95.956,4/30/20,151,6,27
,Burma,21.9162,95.956,5/1/20,151,6,31
,Burma,21.9162,95.956,5/2/20,151,6,37
,Burma,21.9162,95.956,5/3/20,155,6,43
,Burma,21.9162,95.956,5/4/20,161,6,49
,Burma,21.9162,95.956,5/5/20,161,6,49
,Burma,21.9162,95.956,5/6/20,161,6,50
,Burma,21.9162,95.956,5/7/20,176,6,62
,Burma,21.9162,95.956,5/8/20,177,6,67
,Burma,21.9162,95.956,5/9/20,178,6,68
,Burma,21.9162,95.956,5/10/20,180,6,72
,Burma,21.9162,95.956,5/11/20,180,6,74
,Burma,21.9162,95.956,5/12/20,180,6,76
,Burma,21.9162,95.956,5/13/20,181,6,79
,Burma,21.9162,95.956,5/14/20,181,6,84
,Burma,21.9162,95.956,5/15/20,182,6,89
,Burma,21.9162,95.956,5/16/20,182,6,96
,Burma,21.9162,95.956,5/17/20,184,6,97
,Burma,21.9162,95.956,5/18/20,191,6,101
,Burma,21.9162,95.956,5/19/20,193,6,104
,Burma,21.9162,95.956,5/20/20,199,6,108
,Burma,21.9162,95.956,5/21/20,199,6,108
