Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Cabo Verde,16.5388,-23.0418,1/22/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/23/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/24/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/25/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/26/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/27/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/28/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/29/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/30/20,0,0,0
,Cabo Verde,16.5388,-23.0418,1/31/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/1/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/2/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/3/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/4/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/5/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/6/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/7/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/8/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/9/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/10/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/11/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/12/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/13/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/14/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/15/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/16/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/17/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/18/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/19/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/20/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/21/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/22/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/23/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/24/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/25/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/26/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/27/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/28/20,0,0,0
,Cabo Verde,16.5388,-23.0418,2/29/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/1/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/2/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/3/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/4/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/5/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/6/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/7/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/8/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/9/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/10/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/11/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/12/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/13/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/14/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/15/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/16/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/17/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/18/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/19/20,0,0,0
,Cabo Verde,16.5388,-23.0418,3/20/20,1,0,0
,Cabo Verde,16.5388,-23.0418,3/21/20,3,0,0
,Cabo Verde,16.5388,-23.0418,3/22/20,3,0,0
,Cabo Verde,16.5388,-23.0418,3/23/20,3,0,0
,Cabo Verde,16.5388,-23.0418,3/24/20,3,1,0
,Cabo Verde,16.5388,-23.0418,3/25/20,4,1,0
,Cabo Verde,16.5388,-23.0418,3/26/20,4,1,0
,Cabo Verde,16.5388,-23.0418,3/27/20,5,1,0
,Cabo Verde,16.5388,-23.0418,3/28/20,5,1,0
,Cabo Verde,16.5388,-23.0418,3/29/20,6,1,0
,Cabo Verde,16.5388,-23.0418,3/30/20,6,1,0
,Cabo Verde,16.5388,-23.0418,3/31/20,6,1,0
,Cabo Verde,16.5388,-23.0418,4/1/20,6,1,0
,Cabo Verde,16.5388,-23.0418,4/2/20,6,1,0
,Cabo Verde,16.5388,-23.0418,4/3/20,6,1,0
,Cabo Verde,16.5388,-23.0418,4/4/20,7,1,0
