Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Canada,53.9333,-116.5765,1/22/20,0,0,0
,Canada,53.9333,-116.5765,1/23/20,0,0,0
,Canada,53.9333,-116.5765,1/24/20,0,0,0
,Canada,53.9333,-116.5765,1/25/20,0,0,0
,Canada,53.9333,-116.5765,1/26/20,1,0,0
,Canada,53.9333,-116.5765,1/27/20,1,0,0
,Canada,53.9333,-116.5765,1/28/20,2,0,0
,Canada,53.9333,-116.5765,1/29/20,2,0,0
,Canada,53.9333,-116.5765,1/30/20,2,0,0
,Canada,53.9333,-116.5765,1/31/20,4,0,0
,Canada,53.9333,-116.5765,2/1/20,4,0,0
,Canada,53.9333,-116.5765,2/2/20,4,0,0
,Canada,53.9333,-116.5765,2/3/20,4,0,0
,Canada,53.9333,-116.5765,2/4/20,4,0,0
,Canada,53.9333,-116.5765,2/5/20,5,0,0
,Canada,53.9333,-116.5765,2/6/20,5,0,0
,Canada,53.9333,-116.5765,2/7/20,7,0,0
,Canada,53.9333,-116.5765,2/8/20,7,0,0
,Canada,53.9333,-116.5765,2/9/20,7,0,0
,Canada,53.9333,-116.5765,2/10/20,7,0,0
,Canada,53.9333,-116.5765,2/11/20,7,0,0
,Canada,53.9333,-116.5765,2/12/20,7,0,0
,Canada,53.9333,-116.5765,2/13/20,7,0,0
,Canada,53.9333,-116.5765,2/14/20,7,0,0
,Canada,53.9333,-116.5765,2/15/20,7,0,0
,Canada,53.9333,-116.5765,2/16/20,7,0,0
,Canada,53.9333,-116.5765,2/17/20,8,0,0
,Canada,53.9333,-116.5765,2/18/20,8,0,0
,Canada,53.9333,-116.5765,2/19/20,8,0,0
,Canada,53.9333,-116.5765,2/20/20,8,0,0
,Canada,53.9333,-116.5765,2/21/20,9,0,0
,Canada,53.9333,-116.5765,2/22/20,9,0,0
,Canada,53.9333,-116.5765,2/23/20,9,0,0
,Canada,53.9333,-116.5765,2/24/20,10,0,0
,Canada,53.9333,-116.5765,2/25/20,11,0,0
,Canada,53.9333,-116.5765,2/26/20,11,0,0
,Canada,53.9333,-116.5765,2/27/20,13,0,0
,Canada,53.9333,-116.5765,2/28/20,14,0,0
,Canada,53.9333,-116.5765,2/29/20,20,0,0
,Canada,53.9333,-116.5765,3/1/20,24,0,0
,Canada,53.9333,-116.5765,3/2/20,27,0,0
,Canada,53.9333,-116.5765,3/3/20,30,0,0
,Canada,53.9333,-116.5765,3/4/20,33,0,0
,Canada,53.9333,-116.5765,3/5/20,37,0,0
,Canada,53.9333,-116.5765,3/6/20,49,0,0
,Canada,53.9333,-116.5765,3/7/20,54,0,0
,Canada,53.9333,-116.5765,3/8/20,64,0,0
,Canada,53.9333,-116.5765,3/9/20,77,1,0
,Canada,53.9333,-116.5765,3/10/20,79,1,0
,Canada,53.9333,-116.5765,3/11/20,108,1,0
,Canada,53.9333,-116.5765,3/12/20,117,1,0
,Canada,53.9333,-116.5765,3/13/20,193,1,0
,Canada,53.9333,-116.5765,3/14/20,198,1,0
,Canada,53.9333,-116.5765,3/15/20,252,1,0
,Canada,53.9333,-116.5765,3/16/20,415,4,0
,Canada,53.9333,-116.5765,3/17/20,478,5,0
,Canada,53.9333,-116.5765,3/18/20,657,8,0
,Canada,53.9333,-116.5765,3/19/20,800,9,0
,Canada,53.9333,-116.5765,3/20/20,943,12,0
,Canada,53.9333,-116.5765,3/21/20,1277,19,0
,Canada,53.9333,-116.5765,3/22/20,1469,21,0
,Canada,53.9333,-116.5765,3/23/20,2088,25,0
,Canada,53.9333,-116.5765,3/24/20,2790,26,0
,Canada,53.9333,-116.5765,3/25/20,3251,30,0
,Canada,53.9333,-116.5765,3/26/20,4042,38,0
,Canada,53.9333,-116.5765,3/27/20,4682,54,0
,Canada,53.9333,-116.5765,3/28/20,5576,61,0
,Canada,53.9333,-116.5765,3/29/20,6280,64,0
,Canada,53.9333,-116.5765,3/30/20,7398,80,0
,Canada,53.9333,-116.5765,3/31/20,8527,101,0
,Canada,53.9333,-116.5765,4/1/20,9560,109,0
,Canada,53.9333,-116.5765,4/2/20,11284,139,0
,Canada,53.9333,-116.5765,4/3/20,12437,179,0
,Canada,53.9333,-116.5765,4/4/20,12978,218,0
,Canada,53.9333,-116.5765,4/5/20,15756,259,0
,Canada,53.9333,-116.5765,4/6/20,16563,339,0
,Canada,53.9333,-116.5765,4/7/20,17872,374,0
,Canada,53.9333,-116.5765,4/8/20,19141,406,0
,Canada,53.9333,-116.5765,4/9/20,20654,502,0
,Canada,53.9333,-116.5765,4/10/20,22059,555,0
,Canada,53.9333,-116.5765,4/11/20,23316,652,0
,Canada,53.9333,-116.5765,4/12/20,24299,712,0
,Canada,53.9333,-116.5765,4/13/20,25680,778,0
,Canada,53.9333,-116.5765,4/14/20,27035,898,0
,Canada,53.9333,-116.5765,4/15/20,28209,1005,0
,Canada,53.9333,-116.5765,4/16/20,30809,1256,0
,Canada,53.9333,-116.5765,4/17/20,32814,1352,0
,Canada,53.9333,-116.5765,4/18/20,34356,1394,0
,Canada,53.9333,-116.5765,4/19/20,35633,1556,0
,Canada,53.9333,-116.5765,4/20/20,37658,1718,0
,Canada,53.9333,-116.5765,4/21/20,39402,1900,0
,Canada,53.9333,-116.5765,4/22/20,41663,2066,0
,Canada,53.9333,-116.5765,4/23/20,43299,2225,0
,Canada,53.9333,-116.5765,4/24/20,44919,2386,0
,Canada,53.9333,-116.5765,4/25/20,46371,2549,0
,Canada,53.9333,-116.5765,4/26/20,48033,2663,0
,Canada,53.9333,-116.5765,4/27/20,49616,2817,0
,Canada,53.9333,-116.5765,4/28/20,51150,2956,0
,Canada,53.9333,-116.5765,4/29/20,52865,3127,0
,Canada,53.9333,-116.5765,4/30/20,54457,3282,0
,Canada,53.9333,-116.5765,5/1/20,56343,3508,0
,Canada,53.9333,-116.5765,5/2/20,57926,3653,0
,Canada,53.9333,-116.5765,5/3/20,60504,3758,0
,Canada,53.9333,-116.5765,5/4/20,61957,3965,0
,Canada,53.9333,-116.5765,5/5/20,63215,4149,0
,Canada,53.9333,-116.5765,5/6/20,64694,4325,0
,Canada,53.9333,-116.5765,5/7/20,66201,4497,0
,Canada,53.9333,-116.5765,5/8/20,67674,4651,0
,Canada,53.9333,-116.5765,5/9/20,68918,4776,0
,Canada,53.9333,-116.5765,5/10/20,70091,4944,0
,Canada,53.9333,-116.5765,5/11/20,71264,5067,0
,Canada,53.9333,-116.5765,5/12/20,72419,5252,0
,Canada,53.9333,-116.5765,5/13/20,73568,5374,0
,Canada,53.9333,-116.5765,5/14/20,74781,5541,0
,Canada,53.9333,-116.5765,5/15/20,75959,5624,0
,Canada,53.9333,-116.5765,5/16/20,77206,5745,0
,Canada,53.9333,-116.5765,5/17/20,78332,5848,0
,Canada,53.9333,-116.5765,5/18/20,79411,5905,0
,Canada,53.9333,-116.5765,5/19/20,80493,5972,0
,Canada,53.9333,-116.5765,5/20/20,81575,6093,0
,Canada,53.9333,-116.5765,5/21/20,82742,6209,0
,Canada,53.9333,-116.5765,5/22/20,83947,6302,0
,Canada,53.9333,-116.5765,5/23/20,85151,6408,0
,Canada,53.9333,-116.5765,5/24/20,86106,6476,0
,Canada,53.9333,-116.5765,5/25/20,87119,6597,0
,Canada,53.9333,-116.5765,5/26/20,88090,6694,0
,Canada,53.9333,-116.5765,5/27/20,88989,6817,0
,Canada,53.9333,-116.5765,5/28/20,89976,6923,0
,Canada,53.9333,-116.5765,5/29/20,90909,7004,0
,Canada,53.9333,-116.5765,5/30/20,91681,7099,0
,Canada,53.9333,-116.5765,5/31/20,92479,7314,0
,Canada,53.9333,-116.5765,6/1/20,93288,7344,0
,Canada,53.9333,-116.5765,6/2/20,93960,7418,0
,Canada,53.9333,-116.5765,6/3/20,94641,7519,0
,Canada,53.9333,-116.5765,6/4/20,95269,7656,0
,Canada,53.9333,-116.5765,6/5/20,95947,7717,0
,Canada,53.9333,-116.5765,6/6/20,96475,7789,0
,Canada,53.9333,-116.5765,6/7/20,97178,7816,0
,Canada,53.9333,-116.5765,6/8/20,97779,7849,0
,Canada,53.9333,-116.5765,6/9/20,98241,7908,0
,Canada,53.9333,-116.5765,6/10/20,98720,7976,0
,Canada,53.9333,-116.5765,6/11/20,99159,8009,0
,Canada,53.9333,-116.5765,6/12/20,99595,8063,0
,Canada,53.9333,-116.5765,6/13/20,100043,8121,0
,Canada,53.9333,-116.5765,6/14/20,100404,8156,0
