Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Central African Republic,6.6111,20.9394,1/22/20,0,0,0
,Central African Republic,6.6111,20.9394,1/23/20,0,0,0
,Central African Republic,6.6111,20.9394,1/24/20,0,0,0
,Central African Republic,6.6111,20.9394,1/25/20,0,0,0
,Central African Republic,6.6111,20.9394,1/26/20,0,0,0
,Central African Republic,6.6111,20.9394,1/27/20,0,0,0
,Central African Republic,6.6111,20.9394,1/28/20,0,0,0
,Central African Republic,6.6111,20.9394,1/29/20,0,0,0
,Central African Republic,6.6111,20.9394,1/30/20,0,0,0
,Central African Republic,6.6111,20.9394,1/31/20,0,0,0
,Central African Republic,6.6111,20.9394,2/1/20,0,0,0
,Central African Republic,6.6111,20.9394,2/2/20,0,0,0
,Central African Republic,6.6111,20.9394,2/3/20,0,0,0
,Central African Republic,6.6111,20.9394,2/4/20,0,0,0
,Central African Republic,6.6111,20.9394,2/5/20,0,0,0
,Central African Republic,6.6111,20.9394,2/6/20,0,0,0
,Central African Republic,6.6111,20.9394,2/7/20,0,0,0
,Central African Republic,6.6111,20.9394,2/8/20,0,0,0
,Central African Republic,6.6111,20.9394,2/9/20,0,0,0
,Central African Republic,6.6111,20.9394,2/10/20,0,0,0
,Central African Republic,6.6111,20.9394,2/11/20,0,0,0
,Central African Republic,6.6111,20.9394,2/12/20,0,0,0
,Central African Republic,6.6111,20.9394,2/13/20,0,0,0
,Central African Republic,6.6111,20.9394,2/14/20,0,0,0
,Central African Republic,6.6111,20.9394,2/15/20,0,0,0
,Central African Republic,6.6111,20.9394,2/16/20,0,0,0
,Central African Republic,6.6111,20.9394,2/17/20,0,0,0
,Central African Republic,6.6111,20.9394,2/18/20,0,0,0
,Central African Republic,6.6111,20.9394,2/19/20,0,0,0
,Central African Republic,6.6111,20.9394,2/20/20,0,0,0
,Central African Republic,6.6111,20.9394,2/21/20,0,0,0
,Central African Republic,6.6111,20.9394,2/22/20,0,0,0
,Central African Republic,6.6111,20.9394,2/23/20,0,0,0
,Central African Republic,6.6111,20.9394,2/24/20,0,0,0
,Central African Republic,6.6111,20.9394,2/25/20,0,0,0
,Central African Republic,6.6111,20.9394,2/26/20,0,0,0
,Central African Republic,6.6111,20.9394,2/27/20,0,0,0
,Central African Republic,6.6111,20.9394,2/28/20,0,0,0
,Central African Republic,6.6111,20.9394,2/29/20,0,0,0
,Central African Republic,6.6111,20.9394,3/1/20,0,0,0
,Central African Republic,6.6111,20.9394,3/2/20,0,0,0
,Central African Republic,6.6111,20.9394,3/3/20,0,0,0
,Central African Republic,6.6111,20.9394,3/4/20,0,0,0
,Central African Republic,6.6111,20.9394,3/5/20,0,0,0
,Central African Republic,6.6111,20.9394,3/6/20,0,0,0
,Central African Republic,6.6111,20.9394,3/7/20,0,0,0
,Central African Republic,6.6111,20.9394,3/8/20,0,0,0
,Central African Republic,6.6111,20.9394,3/9/20,0,0,0
,Central African Republic,6.6111,20.9394,3/10/20,0,0,0
,Central African Republic,6.6111,20.9394,3/11/20,0,0,0
,Central African Republic,6.6111,20.9394,3/12/20,0,0,0
,Central African Republic,6.6111,20.9394,3/13/20,0,0,0
,Central African Republic,6.6111,20.9394,3/14/20,0,0,0
,Central African Republic,6.6111,20.9394,3/15/20,1,0,0
,Central African Republic,6.6111,20.9394,3/16/20,1,0,0
,Central African Republic,6.6111,20.9394,3/17/20,1,0,0
,Central African Republic,6.6111,20.9394,3/18/20,1,0,0
,Central African Republic,6.6111,20.9394,3/19/20,1,0,0
,Central African Republic,6.6111,20.9394,3/20/20,3,0,0
,Central African Republic,6.6111,20.9394,3/21/20,3,0,0
,Central African Republic,6.6111,20.9394,3/22/20,3,0,0
,Central African Republic,6.6111,20.9394,3/23/20,3,0,0
,Central African Republic,6.6111,20.9394,3/24/20,3,0,0
,Central African Republic,6.6111,20.9394,3/25/20,3,0,0
,Central African Republic,6.6111,20.9394,3/26/20,3,0,0
,Central African Republic,6.6111,20.9394,3/27/20,3,0,0
,Central African Republic,6.6111,20.9394,3/28/20,3,0,0
,Central African Republic,6.6111,20.9394,3/29/20,3,0,0
,Central African Republic,6.6111,20.9394,3/30/20,3,0,0
,Central African Republic,6.6111,20.9394,3/31/20,3,0,0
,Central African Republic,6.6111,20.9394,4/1/20,3,0,0
,Central African Republic,6.6111,20.9394,4/2/20,3,0,0
,Central African Republic,6.6111,20.9394,4/3/20,8,0,0
,Central African Republic,6.6111,20.9394,4/4/20,8,0,0
,Central African Republic,6.6111,20.9394,4/5/20,8,0,0
,Central African Republic,6.6111,20.9394,4/6/20,8,0,0
,Central African Republic,6.6111,20.9394,4/7/20,8,0,0
,Central African Republic,6.6111,20.9394,4/8/20,8,0,0
,Central African Republic,6.6111,20.9394,4/9/20,8,0,0
,Central African Republic,6.6111,20.9394,4/10/20,8,0,0
,Central African Republic,6.6111,20.9394,4/11/20,8,0,0
,Central African Republic,6.6111,20.9394,4/12/20,8,0,0
,Central African Republic,6.6111,20.9394,4/13/20,11,0,3
,Central African Republic,6.6111,20.9394,4/14/20,11,0,4
,Central African Republic,6.6111,20.9394,4/15/20,12,0,4
,Central African Republic,6.6111,20.9394,4/16/20,12,0,4
,Central African Republic,6.6111,20.9394,4/17/20,12,0,4
,Central African Republic,6.6111,20.9394,4/18/20,12,0,4
,Central African Republic,6.6111,20.9394,4/19/20,12,0,4
,Central African Republic,6.6111,20.9394,4/20/20,12,0,4
,Central African Republic,6.6111,20.9394,4/21/20,14,0,10
,Central African Republic,6.6111,20.9394,4/22/20,14,0,10
,Central African Republic,6.6111,20.9394,4/23/20,16,0,10
,Central African Republic,6.6111,20.9394,4/24/20,16,0,10
,Central African Republic,6.6111,20.9394,4/25/20,16,0,10
,Central African Republic,6.6111,20.9394,4/26/20,19,0,10
,Central African Republic,6.6111,20.9394,4/27/20,19,0,10
,Central African Republic,6.6111,20.9394,4/28/20,50,0,10
,Central African Republic,6.6111,20.9394,4/29/20,50,0,10
,Central African Republic,6.6111,20.9394,4/30/20,50,0,10
,Central African Republic,6.6111,20.9394,5/1/20,72,0,10
,Central African Republic,6.6111,20.9394,5/2/20,72,0,10
,Central African Republic,6.6111,20.9394,5/3/20,72,0,10
,Central African Republic,6.6111,20.9394,5/4/20,85,0,10
,Central African Republic,6.6111,20.9394,5/5/20,85,0,10
,Central African Republic,6.6111,20.9394,5/6/20,94,0,10
,Central African Republic,6.6111,20.9394,5/7/20,94,0,10
,Central African Republic,6.6111,20.9394,5/8/20,143,0,10
,Central African Republic,6.6111,20.9394,5/9/20,143,0,10
,Central African Republic,6.6111,20.9394,5/10/20,143,0,10
,Central African Republic,6.6111,20.9394,5/11/20,143,0,10
,Central African Republic,6.6111,20.9394,5/12/20,143,0,10
,Central African Republic,6.6111,20.9394,5/13/20,143,0,10
,Central African Republic,6.6111,20.9394,5/14/20,143,0,10
,Central African Republic,6.6111,20.9394,5/15/20,301,0,13
,Central African Republic,6.6111,20.9394,5/16/20,327,0,13
,Central African Republic,6.6111,20.9394,5/17/20,327,0,13
,Central African Republic,6.6111,20.9394,5/18/20,327,0,13
,Central African Republic,6.6111,20.9394,5/19/20,366,0,18
,Central African Republic,6.6111,20.9394,5/20/20,418,0,18
,Central African Republic,6.6111,20.9394,5/21/20,436,0,18
,Central African Republic,6.6111,20.9394,5/22/20,479,0,18
,Central African Republic,6.6111,20.9394,5/23/20,552,1,18
,Central African Republic,6.6111,20.9394,5/24/20,604,1,22
,Central African Republic,6.6111,20.9394,5/25/20,652,1,22
,Central African Republic,6.6111,20.9394,5/26/20,671,1,22
,Central African Republic,6.6111,20.9394,5/27/20,702,1,23
,Central African Republic,6.6111,20.9394,5/28/20,755,1,23
,Central African Republic,6.6111,20.9394,5/29/20,874,1,23
,Central African Republic,6.6111,20.9394,5/30/20,962,1,23
,Central African Republic,6.6111,20.9394,5/31/20,1011,2,23
,Central African Republic,6.6111,20.9394,6/1/20,1069,4,23
,Central African Republic,6.6111,20.9394,6/2/20,1069,4,23
,Central African Republic,6.6111,20.9394,6/3/20,1173,4,23
,Central African Republic,6.6111,20.9394,6/4/20,1288,4,23
,Central African Republic,6.6111,20.9394,6/5/20,1451,4,29
,Central African Republic,6.6111,20.9394,6/6/20,1570,5,37
,Central African Republic,6.6111,20.9394,6/7/20,1634,5,38
,Central African Republic,6.6111,20.9394,6/8/20,1850,5,38
,Central African Republic,6.6111,20.9394,6/9/20,1850,5,38
,Central African Republic,6.6111,20.9394,6/10/20,1888,5,38
,Central African Republic,6.6111,20.9394,6/11/20,1952,5,38
,Central African Republic,6.6111,20.9394,6/12/20,2044,7,360
,Central African Republic,6.6111,20.9394,6/13/20,2057,7,363
,Central African Republic,6.6111,20.9394,6/14/20,2057,7,363
,Central African Republic,6.6111,20.9394,6/15/20,2222,7,369
,Central African Republic,6.6111,20.9394,6/16/20,2410,14,396
,Central African Republic,6.6111,20.9394,6/17/20,2564,18,402
,Central African Republic,6.6111,20.9394,6/18/20,2605,19,417
,Central African Republic,6.6111,20.9394,6/19/20,2605,19,417
,Central African Republic,6.6111,20.9394,6/20/20,2686,19,420
,Central African Republic,6.6111,20.9394,6/21/20,2808,23,472
,Central African Republic,6.6111,20.9394,6/22/20,2963,30,495
,Central African Republic,6.6111,20.9394,6/23/20,3051,37,522
,Central African Republic,6.6111,20.9394,6/24/20,3099,38,572
,Central African Republic,6.6111,20.9394,6/25/20,3244,40,607
,Central African Republic,6.6111,20.9394,6/26/20,3340,40,661
,Central African Republic,6.6111,20.9394,6/27/20,3429,45,699
,Central African Republic,6.6111,20.9394,6/28/20,3429,45,699
,Central African Republic,6.6111,20.9394,6/29/20,3613,47,773
,Central African Republic,6.6111,20.9394,6/30/20,3745,47,787
,Central African Republic,6.6111,20.9394,7/1/20,3745,47,787
,Central African Republic,6.6111,20.9394,7/2/20,3788,47,810
,Central African Republic,6.6111,20.9394,7/3/20,3918,48,859
,Central African Republic,6.6111,20.9394,7/4/20,3969,48,914
,Central African Republic,6.6111,20.9394,7/5/20,3969,48,914
,Central African Republic,6.6111,20.9394,7/6/20,4033,52,970
,Central African Republic,6.6111,20.9394,7/7/20,4071,52,976
,Central African Republic,6.6111,20.9394,7/8/20,4109,52,1050
,Central African Republic,6.6111,20.9394,7/9/20,4200,52,1142
,Central African Republic,6.6111,20.9394,7/10/20,4259,53,1142
