Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,China,31.8257,117.2264,1/22/20,548,17,28
,China,31.8257,117.2264,1/23/20,643,18,30
,China,31.8257,117.2264,1/24/20,920,25,36
,China,31.8257,117.2264,1/25/20,1406,41,39
,China,31.8257,117.2264,1/26/20,2075,54,49
,China,31.8257,117.2264,1/27/20,2877,80,58
,China,31.8257,117.2264,1/28/20,5509,129,101
,China,31.8257,117.2264,1/29/20,6087,131,119
,China,31.8257,117.2264,1/30/20,8141,168,133
,China,31.8257,117.2264,1/31/20,9802,210,211
,China,31.8257,117.2264,2/1/20,11891,256,272
,China,31.8257,117.2264,2/2/20,16630,358,450
,China,31.8257,117.2264,2/3/20,19716,422,595
,China,31.8257,117.2264,2/4/20,23707,488,812
,China,31.8257,117.2264,2/5/20,27440,560,1062
,China,31.8257,117.2264,2/6/20,30587,629,1408
,China,31.8257,117.2264,2/7/20,34110,714,1891
,China,31.8257,117.2264,2/8/20,36814,799,2450
,China,31.8257,117.2264,2/9/20,39829,898,3032
,China,31.8257,117.2264,2/10/20,42354,1004,3686
,China,31.8257,117.2264,2/11/20,44386,1103,4370
,China,31.8257,117.2264,2/12/20,44759,1108,4782
,China,31.8257,117.2264,2/13/20,59895,1359,5853
,China,31.8257,117.2264,2/14/20,66358,1509,7533
,China,31.8257,117.2264,2/15/20,68413,1651,8806
,China,31.8257,117.2264,2/16/20,70513,1754,10210
,China,31.8257,117.2264,2/17/20,72434,1852,11831
,China,31.8257,117.2264,2/18/20,74211,1991,13548
,China,31.8257,117.2264,2/19/20,74619,2101,15237
,China,31.8257,117.2264,2/20/20,75077,2222,17208
,China,31.8257,117.2264,2/21/20,75550,2222,17784
,China,31.8257,117.2264,2/22/20,77001,2426,21666
,China,31.8257,117.2264,2/23/20,77022,2428,22100
,China,31.8257,117.2264,2/24/20,77241,2578,23838
,China,31.8257,117.2264,2/25/20,77754,2648,26426
,China,31.8257,117.2264,2/26/20,78166,2700,28790
,China,31.8257,117.2264,2/27/20,78600,2728,31588
,China,31.8257,117.2264,2/28/20,78928,2772,34940
,China,31.8257,117.2264,2/29/20,79356,2819,37868
,China,31.8257,117.2264,3/1/20,79932,2854,40670
,China,31.8257,117.2264,3/2/20,80136,2896,43353
,China,31.8257,117.2264,3/3/20,80261,2929,45919
,China,31.8257,117.2264,3/4/20,80386,2965,48466
,China,31.8257,117.2264,3/5/20,80537,2997,50749
,China,31.8257,117.2264,3/6/20,80690,3026,52395
,China,31.8257,117.2264,3/7/20,80770,3054,53988
,China,31.8257,117.2264,3/8/20,80823,3082,55834
,China,31.8257,117.2264,3/9/20,80860,3105,57250
,China,31.8257,117.2264,3/10/20,80887,3121,58627
,China,31.8257,117.2264,3/11/20,80921,3143,60088
,China,31.8257,117.2264,3/12/20,80932,3154,61344
,China,31.8257,117.2264,3/13/20,80945,3162,62637
,China,31.8257,117.2264,3/14/20,80977,3175,64100
,China,31.8257,117.2264,3/15/20,81003,3185,65457
,China,31.8257,117.2264,3/16/20,81033,3199,66350
,China,31.8257,117.2264,3/17/20,81058,3212,67238
,China,31.8257,117.2264,3/18/20,81102,3223,68195
,China,31.8257,117.2264,3/19/20,81156,3231,68975
,China,31.8257,117.2264,3/20/20,81250,3235,69706
,China,31.8257,117.2264,3/21/20,81305,3241,70297
,China,31.8257,117.2264,3/22/20,81435,3255,70802
,China,31.8257,117.2264,3/23/20,81498,3255,71254
,China,31.8257,117.2264,3/24/20,81591,3262,71720
,China,31.8257,117.2264,3/25/20,81661,3265,72213
,China,31.8257,117.2264,3/26/20,81782,3271,72621
,China,31.8257,117.2264,3/27/20,81897,3276,73160
,China,31.8257,117.2264,3/28/20,81999,3279,73539
,China,31.8257,117.2264,3/29/20,82122,3284,74021
,China,31.8257,117.2264,3/30/20,82198,3288,74362
,China,31.8257,117.2264,3/31/20,82279,3289,74645
,China,31.8257,117.2264,4/1/20,82361,3295,74844
,China,31.8257,117.2264,4/2/20,82432,3301,75004
,China,31.8257,117.2264,4/3/20,82511,3305,75199
,China,31.8257,117.2264,4/4/20,82543,3309,75385
,China,31.8257,117.2264,4/5/20,82602,3312,75646
,China,31.8257,117.2264,4/6/20,82665,3314,75748
,China,31.8257,117.2264,4/7/20,82718,3314,75846
,China,31.8257,117.2264,4/8/20,82809,3315,76003
,China,31.8257,117.2264,4/9/20,82883,3317,76114
,China,31.8257,117.2264,4/10/20,82941,3318,76226
,China,31.8257,117.2264,4/11/20,83014,3321,76312
,China,31.8257,117.2264,4/12/20,83134,3321,76390
,China,31.8257,117.2264,4/13/20,83213,3323,76473
,China,31.8257,117.2264,4/14/20,83306,3323,76632
,China,31.8257,117.2264,4/15/20,83356,3324,76743
,China,31.8257,117.2264,4/16/20,83403,3324,76832
,China,31.8257,117.2264,4/17/20,83760,4614,75982
,China,31.8257,117.2264,4/18/20,83787,4614,76044
,China,31.8257,117.2264,4/19/20,83805,4614,76120
,China,31.8257,117.2264,4/20/20,83817,4614,76174
,China,31.8257,117.2264,4/21/20,83853,4614,76228
,China,31.8257,117.2264,4/22/20,83868,4614,76290
,China,31.8257,117.2264,4/23/20,83884,4614,76412
,China,31.8257,117.2264,4/24/20,83899,4614,76537
,China,31.8257,117.2264,4/25/20,83909,4614,76603
,China,31.8257,117.2264,4/26/20,83912,4615,76705
,China,31.8257,117.2264,4/27/20,83918,4615,76802
,China,31.8257,117.2264,4/28/20,83940,4615,76850
,China,31.8257,117.2264,4/29/20,83944,4615,76902
,China,31.8257,117.2264,4/30/20,83956,4615,76951
,China,31.8257,117.2264,5/1/20,83959,4615,77001
,China,31.8257,117.2264,5/2/20,83959,4615,77014
,China,31.8257,117.2264,5/3/20,83964,4615,77112
,China,31.8257,117.2264,5/4/20,83966,4615,77218
,China,31.8257,117.2264,5/5/20,83968,4615,77296
,China,31.8257,117.2264,5/6/20,83970,4615,77355
,China,31.8257,117.2264,5/7/20,83975,4615,77403
,China,31.8257,117.2264,5/8/20,83976,4615,77419
,China,31.8257,117.2264,5/9/20,83990,4615,77552
,China,31.8257,117.2264,5/10/20,84010,4615,77592
,China,31.8257,117.2264,5/11/20,84011,4615,77623
,China,31.8257,117.2264,5/12/20,84018,4615,77647
,China,31.8257,117.2264,5/13/20,84024,4615,77671
,China,31.8257,117.2264,5/14/20,84029,4615,77686
,China,31.8257,117.2264,5/15/20,84038,4615,77706
,China,31.8257,117.2264,5/16/20,84044,4616,77718
,China,31.8257,117.2264,5/17/20,84054,4616,77730
,China,31.8257,117.2264,5/18/20,84063,4616,77734
,China,31.8257,117.2264,5/19/20,84063,4616,77734
,China,31.8257,117.2264,5/20/20,84063,4616,77734
,China,31.8257,117.2264,5/21/20,84063,4616,77734
,China,31.8257,117.2264,5/22/20,84081,4616,77756
,China,31.8257,117.2264,5/23/20,84084,4616,77759
,China,31.8257,117.2264,5/24/20,84095,4616,77767
,China,31.8257,117.2264,5/25/20,84102,4616,77776
,China,31.8257,117.2264,5/26/20,84103,4616,77782
,China,31.8257,117.2264,5/27/20,84106,4616,77791
,China,31.8257,117.2264,5/28/20,84106,4616,77795
,China,31.8257,117.2264,5/29/20,84123,4616,77806
,China,31.8257,117.2264,5/30/20,84128,4616,77810
,China,31.8257,117.2264,5/31/20,84146,4616,77813
,China,31.8257,117.2264,6/1/20,84154,4616,77822
,China,31.8257,117.2264,6/2/20,84161,4616,77824
,China,31.8257,117.2264,6/3/20,84160,4616,77828
,China,31.8257,117.2264,6/4/20,84171,4616,77839
,China,31.8257,117.2264,6/5/20,84177,4616,77844
,China,31.8257,117.2264,6/6/20,84186,4616,77848
,China,31.8257,117.2264,6/7/20,84191,4616,77858
,China,31.8257,117.2264,6/8/20,84195,4616,77868
,China,31.8257,117.2264,6/9/20,84198,4616,77875
,China,31.8257,117.2264,6/10/20,84209,4616,77880
,China,31.8257,117.2264,6/11/20,84216,4616,77888
,China,31.8257,117.2264,6/12/20,84228,4616,77896
,China,31.8257,117.2264,6/13/20,84286,4616,77899
,China,31.8257,117.2264,6/14/20,84335,4616,77906
,China,31.8257,117.2264,6/15/20,84378,4616,77913
,China,31.8257,117.2264,6/16/20,84422,4616,77917
,China,31.8257,117.2264,6/17/20,84458,4616,77934
,China,31.8257,117.2264,6/18/20,84494,4616,77939
,China,31.8257,117.2264,6/19/20,84494,4616,77939
,China,31.8257,117.2264,6/20/20,84553,4617,77958
,China,31.8257,117.2264,6/21/20,84572,4617,77959
,China,31.8257,117.2264,6/22/20,84624,4617,77970
,China,31.8257,117.2264,6/23/20,84653,4618,77978
,China,31.8257,117.2264,6/24/20,84673,4618,77985
,China,31.8257,117.2264,6/25/20,84701,4619,77994
,China,31.8257,117.2264,6/26/20,84725,4619,78000
,China,31.8257,117.2264,6/27/20,84743,4619,78006
,China,31.8257,117.2264,6/28/20,84757,4619,78022
,China,31.8257,117.2264,6/29/20,84780,4619,78031
,China,31.8257,117.2264,6/30/20,84785,4619,78044
,China,31.8257,117.2264,7/1/20,84816,4619,78062
,China,31.8257,117.2264,7/2/20,84830,4619,78077
,China,31.8257,117.2264,7/3/20,84838,4619,78090
,China,31.8257,117.2264,7/4/20,84857,4619,78115
,China,31.8257,117.2264,7/5/20,84871,4619,78127
,China,31.8257,117.2264,7/6/20,84889,4619,78134
,China,31.8257,117.2264,7/7/20,84917,4619,78163
,China,31.8257,117.2264,7/8/20,84950,4619,78209
,China,31.8257,117.2264,7/9/20,84992,4619,78209
,China,31.8257,117.2264,7/10/20,84992,4619,78209
,China,31.8257,117.2264,7/11/20,85071,4619,78283
,China,31.8257,117.2264,7/12/20,85117,4619,78314
,China,31.8257,117.2264,7/13/20,85117,4619,78314
,China,31.8257,117.2264,7/14/20,85226,4620,78373
,China,31.8257,117.2264,7/15/20,85246,4622,78411
,China,31.8257,117.2264,7/16/20,85327,4622,78444
,China,31.8257,117.2264,7/17/20,85402,4623,78470
,China,31.8257,117.2264,7/18/20,85418,4624,78497
,China,31.8257,117.2264,7/19/20,85503,4624,78542
,China,31.8257,117.2264,7/20/20,85622,4624,78567
,China,31.8257,117.2264,7/21/20,85708,4626,78608
,China,31.8257,117.2264,7/22/20,85906,4626,78648
,China,31.8257,117.2264,7/23/20,86045,4627,78701
,China,31.8257,117.2264,7/24/20,86202,4628,78745
,China,31.8257,117.2264,7/25/20,86381,4630,78813
,China,31.8257,117.2264,7/26/20,86570,4630,78862
,China,31.8257,117.2264,7/27/20,86783,4634,78869
,China,31.8257,117.2264,7/28/20,86990,4635,78920
,China,31.8257,117.2264,7/29/20,87213,4636,78997
,China,31.8257,117.2264,7/30/20,87489,4637,79083
,China,31.8257,117.2264,7/31/20,87655,4639,79190
,China,31.8257,117.2264,8/1/20,87827,4645,79310
,China,31.8257,117.2264,8/2/20,87985,4647,79421
,China,31.8257,117.2264,8/3/20,88099,4650,79516
,China,31.8257,117.2264,8/4/20,88206,4654,79637
,China,31.8257,117.2264,8/5/20,88328,4655,79820
,China,31.8257,117.2264,8/6/20,88460,4658,79995
,China,31.8257,117.2264,8/7/20,88580,4659,80191
,China,31.8257,117.2264,8/8/20,88672,4659,80372
,China,31.8257,117.2264,8/9/20,88793,4664,80528
,China,31.8257,117.2264,8/10/20,88906,4667,80650
,China,31.8257,117.2264,8/11/20,88958,4671,80843
,China,31.8257,117.2264,8/12/20,89045,4675,81036
,China,31.8257,117.2264,8/13/20,89144,4678,81207
,China,31.8257,117.2264,8/14/20,89214,4679,81359
,China,31.8257,117.2264,8/15/20,89279,4681,81511
,China,31.8257,117.2264,8/16/20,89375,4681,81603
,China,31.8257,117.2264,8/17/20,89441,4681,81686
,China,31.8257,117.2264,8/18/20,89494,4683,81811
,China,31.8257,117.2264,8/19/20,89527,4684,81969
,China,31.8257,117.2264,8/20/20,89567,4687,82066
,China,31.8257,117.2264,8/21/20,89616,4687,82196
,China,31.8257,117.2264,8/22/20,89654,4689,82327
,China,31.8257,117.2264,8/23/20,89695,4689,82391
,China,31.8257,117.2264,8/24/20,89718,4689,82461
,China,31.8257,117.2264,8/25/20,89752,4690,82571
,China,31.8257,117.2264,8/26/20,89784,4691,82654
,China,31.8257,117.2264,8/27/20,89814,4693,82738
,China,31.8257,117.2264,8/28/20,89836,4696,82822
,China,31.8257,117.2264,8/29/20,89863,4699,82887
,China,31.8257,117.2264,8/30/20,89895,4700,82949
,China,31.8257,117.2264,8/31/20,89914,4701,82994
,China,31.8257,117.2264,9/1/20,89933,4702,83052
,China,31.8257,117.2264,9/2/20,89953,4705,83094
,China,31.8257,117.2264,9/3/20,89986,4706,83136
,China,31.8257,117.2264,9/4/20,90008,4706,83174
,China,31.8257,117.2264,9/5/20,90025,4706,83229
,China,31.8257,117.2264,9/6/20,90058,4708,83265
,China,31.8257,117.2264,9/7/20,90078,4710,83291
,China,31.8257,117.2264,9/8/20,90087,4711,83323
,China,31.8257,117.2264,9/9/20,90100,4711,83348
,China,31.8257,117.2264,9/10/20,90127,4711,83396
,China,31.8257,117.2264,9/11/20,90145,4711,83416
,China,31.8257,117.2264,9/12/20,90168,4712,83445
,China,31.8257,117.2264,9/13/20,90197,4712,83476
,China,31.8257,117.2264,9/14/20,90219,4713,83491
,China,31.8257,117.2264,9/15/20,90235,4714,83519
,China,31.8257,117.2264,9/16/20,90253,4714,83545
,China,31.8257,117.2264,9/17/20,90294,4714,83571
,China,31.8257,117.2264,9/18/20,90311,4715,83594
,China,31.8257,117.2264,9/19/20,90334,4715,83616
,China,31.8257,117.2264,9/20/20,90369,4715,83629
,China,31.8257,117.2264,9/21/20,90381,4715,83646
,China,31.8257,117.2264,9/22/20,90399,4715,83664
,China,31.8257,117.2264,9/23/20,90409,4716,83693
