Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Colombia,4.5709,-74.2973,1/22/20,0,0,0
,Colombia,4.5709,-74.2973,1/23/20,0,0,0
,Colombia,4.5709,-74.2973,1/24/20,0,0,0
,Colombia,4.5709,-74.2973,1/25/20,0,0,0
,Colombia,4.5709,-74.2973,1/26/20,0,0,0
,Colombia,4.5709,-74.2973,1/27/20,0,0,0
,Colombia,4.5709,-74.2973,1/28/20,0,0,0
,Colombia,4.5709,-74.2973,1/29/20,0,0,0
,Colombia,4.5709,-74.2973,1/30/20,0,0,0
,Colombia,4.5709,-74.2973,1/31/20,0,0,0
,Colombia,4.5709,-74.2973,2/1/20,0,0,0
,Colombia,4.5709,-74.2973,2/2/20,0,0,0
,Colombia,4.5709,-74.2973,2/3/20,0,0,0
,Colombia,4.5709,-74.2973,2/4/20,0,0,0
,Colombia,4.5709,-74.2973,2/5/20,0,0,0
,Colombia,4.5709,-74.2973,2/6/20,0,0,0
,Colombia,4.5709,-74.2973,2/7/20,0,0,0
,Colombia,4.5709,-74.2973,2/8/20,0,0,0
,Colombia,4.5709,-74.2973,2/9/20,0,0,0
,Colombia,4.5709,-74.2973,2/10/20,0,0,0
,Colombia,4.5709,-74.2973,2/11/20,0,0,0
,Colombia,4.5709,-74.2973,2/12/20,0,0,0
,Colombia,4.5709,-74.2973,2/13/20,0,0,0
,Colombia,4.5709,-74.2973,2/14/20,0,0,0
,Colombia,4.5709,-74.2973,2/15/20,0,0,0
,Colombia,4.5709,-74.2973,2/16/20,0,0,0
,Colombia,4.5709,-74.2973,2/17/20,0,0,0
,Colombia,4.5709,-74.2973,2/18/20,0,0,0
,Colombia,4.5709,-74.2973,2/19/20,0,0,0
,Colombia,4.5709,-74.2973,2/20/20,0,0,0
,Colombia,4.5709,-74.2973,2/21/20,0,0,0
,Colombia,4.5709,-74.2973,2/22/20,0,0,0
,Colombia,4.5709,-74.2973,2/23/20,0,0,0
,Colombia,4.5709,-74.2973,2/24/20,0,0,0
,Colombia,4.5709,-74.2973,2/25/20,0,0,0
,Colombia,4.5709,-74.2973,2/26/20,0,0,0
,Colombia,4.5709,-74.2973,2/27/20,0,0,0
,Colombia,4.5709,-74.2973,2/28/20,0,0,0
,Colombia,4.5709,-74.2973,2/29/20,0,0,0
,Colombia,4.5709,-74.2973,3/1/20,0,0,0
,Colombia,4.5709,-74.2973,3/2/20,0,0,0
,Colombia,4.5709,-74.2973,3/3/20,0,0,0
,Colombia,4.5709,-74.2973,3/4/20,0,0,0
,Colombia,4.5709,-74.2973,3/5/20,0,0,0
,Colombia,4.5709,-74.2973,3/6/20,1,0,0
,Colombia,4.5709,-74.2973,3/7/20,1,0,0
,Colombia,4.5709,-74.2973,3/8/20,1,0,0
,Colombia,4.5709,-74.2973,3/9/20,1,0,0
,Colombia,4.5709,-74.2973,3/10/20,3,0,0
,Colombia,4.5709,-74.2973,3/11/20,9,0,0
,Colombia,4.5709,-74.2973,3/12/20,9,0,0
,Colombia,4.5709,-74.2973,3/13/20,13,0,0
,Colombia,4.5709,-74.2973,3/14/20,22,0,0
,Colombia,4.5709,-74.2973,3/15/20,34,0,0
,Colombia,4.5709,-74.2973,3/16/20,57,0,0
,Colombia,4.5709,-74.2973,3/17/20,75,0,1
,Colombia,4.5709,-74.2973,3/18/20,102,0,1
,Colombia,4.5709,-74.2973,3/19/20,108,0,1
,Colombia,4.5709,-74.2973,3/20/20,158,0,1
,Colombia,4.5709,-74.2973,3/21/20,196,0,1
,Colombia,4.5709,-74.2973,3/22/20,231,2,3
,Colombia,4.5709,-74.2973,3/23/20,277,3,3
,Colombia,4.5709,-74.2973,3/24/20,378,3,6
,Colombia,4.5709,-74.2973,3/25/20,470,4,8
,Colombia,4.5709,-74.2973,3/26/20,491,6,8
,Colombia,4.5709,-74.2973,3/27/20,539,6,10
,Colombia,4.5709,-74.2973,3/28/20,608,6,10
,Colombia,4.5709,-74.2973,3/29/20,702,10,10
,Colombia,4.5709,-74.2973,3/30/20,798,12,15
,Colombia,4.5709,-74.2973,3/31/20,906,16,31
,Colombia,4.5709,-74.2973,4/1/20,1065,17,39
,Colombia,4.5709,-74.2973,4/2/20,1161,19,55
,Colombia,4.5709,-74.2973,4/3/20,1267,25,55
,Colombia,4.5709,-74.2973,4/4/20,1406,32,85
,Colombia,4.5709,-74.2973,4/5/20,1485,35,88
,Colombia,4.5709,-74.2973,4/6/20,1579,46,88
,Colombia,4.5709,-74.2973,4/7/20,1780,50,100
,Colombia,4.5709,-74.2973,4/8/20,2054,54,123
,Colombia,4.5709,-74.2973,4/9/20,2223,69,174
,Colombia,4.5709,-74.2973,4/10/20,2473,80,197
,Colombia,4.5709,-74.2973,4/11/20,2709,100,214
,Colombia,4.5709,-74.2973,4/12/20,2776,109,270
,Colombia,4.5709,-74.2973,4/13/20,2852,112,319
,Colombia,4.5709,-74.2973,4/14/20,2979,127,354
,Colombia,4.5709,-74.2973,4/15/20,3105,131,452
,Colombia,4.5709,-74.2973,4/16/20,3233,144,550
,Colombia,4.5709,-74.2973,4/17/20,3439,153,634
,Colombia,4.5709,-74.2973,4/18/20,3621,166,634
,Colombia,4.5709,-74.2973,4/19/20,3792,179,711
,Colombia,4.5709,-74.2973,4/20/20,3977,189,804
,Colombia,4.5709,-74.2973,4/21/20,4149,196,804
,Colombia,4.5709,-74.2973,4/22/20,4356,206,870
,Colombia,4.5709,-74.2973,4/23/20,4561,215,927
,Colombia,4.5709,-74.2973,4/24/20,4881,225,1003
,Colombia,4.5709,-74.2973,4/25/20,5142,233,1067
,Colombia,4.5709,-74.2973,4/26/20,5379,244,1133
,Colombia,4.5709,-74.2973,4/27/20,5597,253,1210
,Colombia,4.5709,-74.2973,4/28/20,5949,269,1268
,Colombia,4.5709,-74.2973,4/29/20,6207,278,1411
,Colombia,4.5709,-74.2973,4/30/20,6507,293,1439
,Colombia,4.5709,-74.2973,5/1/20,7006,314,1551
,Colombia,4.5709,-74.2973,5/2/20,7285,324,1666
,Colombia,4.5709,-74.2973,5/3/20,7668,340,1722
,Colombia,4.5709,-74.2973,5/4/20,7973,358,1807
,Colombia,4.5709,-74.2973,5/5/20,8613,378,2013
,Colombia,4.5709,-74.2973,5/6/20,8959,397,2148
,Colombia,4.5709,-74.2973,5/7/20,9456,407,2300
,Colombia,4.5709,-74.2973,5/8/20,10051,428,2424
,Colombia,4.5709,-74.2973,5/9/20,10495,445,2569
,Colombia,4.5709,-74.2973,5/10/20,11063,463,2705
,Colombia,4.5709,-74.2973,5/11/20,11613,479,2825
,Colombia,4.5709,-74.2973,5/12/20,12272,493,2971
,Colombia,4.5709,-74.2973,5/13/20,12930,509,3133
,Colombia,4.5709,-74.2973,5/14/20,13610,525,3358
,Colombia,4.5709,-74.2973,5/15/20,14216,546,3460
,Colombia,4.5709,-74.2973,5/16/20,14939,562,3587
,Colombia,4.5709,-74.2973,5/17/20,15574,574,3751
,Colombia,4.5709,-74.2973,5/18/20,16295,592,3903
,Colombia,4.5709,-74.2973,5/19/20,16935,613,4050
,Colombia,4.5709,-74.2973,5/20/20,17687,630,4256
,Colombia,4.5709,-74.2973,5/21/20,18330,652,4431
,Colombia,4.5709,-74.2973,5/22/20,19131,682,4575
,Colombia,4.5709,-74.2973,5/23/20,20177,705,4718
,Colombia,4.5709,-74.2973,5/24/20,21175,727,5016
,Colombia,4.5709,-74.2973,5/25/20,21981,750,5265
,Colombia,4.5709,-74.2973,5/26/20,23003,776,5511
,Colombia,4.5709,-74.2973,5/27/20,24104,803,6111
,Colombia,4.5709,-74.2973,5/28/20,25366,822,6132
,Colombia,4.5709,-74.2973,5/29/20,26688,853,6687
,Colombia,4.5709,-74.2973,5/30/20,28236,890,6935
,Colombia,4.5709,-74.2973,5/31/20,29383,939,7032
,Colombia,4.5709,-74.2973,6/1/20,30493,969,8384
,Colombia,4.5709,-74.2973,6/2/20,31833,1009,9689
,Colombia,4.5709,-74.2973,6/3/20,33354,1045,11171
,Colombia,4.5709,-74.2973,6/4/20,35120,1087,12319
,Colombia,4.5709,-74.2973,6/5/20,36635,1145,13670
,Colombia,4.5709,-74.2973,6/6/20,38027,1205,13670
,Colombia,4.5709,-74.2973,6/7/20,39236,1259,14414
,Colombia,4.5709,-74.2973,6/8/20,40719,1308,16459
,Colombia,4.5709,-74.2973,6/9/20,42078,1372,16459
,Colombia,4.5709,-74.2973,6/10/20,43682,1433,16566
,Colombia,4.5709,-74.2973,6/11/20,45212,1488,17366
,Colombia,4.5709,-74.2973,6/12/20,46858,1545,17823
,Colombia,4.5709,-74.2973,6/13/20,48746,1592,18749
,Colombia,4.5709,-74.2973,6/14/20,50939,1667,19460
,Colombia,4.5709,-74.2973,6/15/20,53063,1726,19985
,Colombia,4.5709,-74.2973,6/16/20,54931,1801,19986
,Colombia,4.5709,-74.2973,6/17/20,57046,1864,20400
,Colombia,4.5709,-74.2973,6/18/20,60217,1950,21361
,Colombia,4.5709,-74.2973,6/19/20,63276,2045,22726
,Colombia,4.5709,-74.2973,6/20/20,65633,2126,24035
,Colombia,4.5709,-74.2973,6/21/20,68652,2237,27412
,Colombia,4.5709,-74.2973,6/22/20,71183,2310,29024
