Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Congo (Brazzaville),-0.228,15.8277,1/22/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/23/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/24/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/25/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/26/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/27/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/28/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/29/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/30/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,1/31/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/1/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/2/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/3/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/4/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/5/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/6/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/7/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/8/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/9/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/10/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/11/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/12/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/13/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/14/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/15/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/16/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/17/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/18/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/19/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/20/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/21/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/22/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/23/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/24/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/25/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/26/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/27/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/28/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,2/29/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/1/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/2/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/3/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/4/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/5/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/6/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/7/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/8/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/9/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/10/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/11/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/12/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/13/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/14/20,0,0,0
,Congo (Brazzaville),-0.228,15.8277,3/15/20,1,0,0
,Congo (Brazzaville),-0.228,15.8277,3/16/20,1,0,0
,Congo (Brazzaville),-0.228,15.8277,3/17/20,1,0,0
,Congo (Brazzaville),-0.228,15.8277,3/18/20,1,0,0
,Congo (Brazzaville),-0.228,15.8277,3/19/20,3,0,0
,Congo (Brazzaville),-0.228,15.8277,3/20/20,3,0,0
,Congo (Brazzaville),-0.228,15.8277,3/21/20,3,0,0
,Congo (Brazzaville),-0.228,15.8277,3/22/20,3,0,0
,Congo (Brazzaville),-0.228,15.8277,3/23/20,4,0,0
,Congo (Brazzaville),-0.228,15.8277,3/24/20,4,0,0
,Congo (Brazzaville),-0.228,15.8277,3/25/20,4,0,0
,Congo (Brazzaville),-0.228,15.8277,3/26/20,4,0,0
,Congo (Brazzaville),-0.228,15.8277,3/27/20,4,0,0
,Congo (Brazzaville),-0.228,15.8277,3/28/20,4,0,0
,Congo (Brazzaville),-0.228,15.8277,3/29/20,19,0,0
,Congo (Brazzaville),-0.228,15.8277,3/30/20,19,0,0
,Congo (Brazzaville),-0.228,15.8277,3/31/20,19,0,0
,Congo (Brazzaville),-0.228,15.8277,4/1/20,19,0,0
,Congo (Brazzaville),-0.228,15.8277,4/2/20,22,2,2
,Congo (Brazzaville),-0.228,15.8277,4/3/20,22,2,2
,Congo (Brazzaville),-0.228,15.8277,4/4/20,22,2,2
,Congo (Brazzaville),-0.228,15.8277,4/5/20,45,5,2
,Congo (Brazzaville),-0.228,15.8277,4/6/20,45,5,2
,Congo (Brazzaville),-0.228,15.8277,4/7/20,45,5,2
,Congo (Brazzaville),-0.228,15.8277,4/8/20,45,5,2
,Congo (Brazzaville),-0.228,15.8277,4/9/20,60,5,5
,Congo (Brazzaville),-0.228,15.8277,4/10/20,60,5,5
,Congo (Brazzaville),-0.228,15.8277,4/11/20,60,5,5
,Congo (Brazzaville),-0.228,15.8277,4/12/20,60,5,5
,Congo (Brazzaville),-0.228,15.8277,4/13/20,60,5,5
,Congo (Brazzaville),-0.228,15.8277,4/14/20,60,5,5
,Congo (Brazzaville),-0.228,15.8277,4/15/20,117,5,11
,Congo (Brazzaville),-0.228,15.8277,4/16/20,117,5,11
,Congo (Brazzaville),-0.228,15.8277,4/17/20,143,6,11
,Congo (Brazzaville),-0.228,15.8277,4/18/20,143,6,11
,Congo (Brazzaville),-0.228,15.8277,4/19/20,143,6,11
,Congo (Brazzaville),-0.228,15.8277,4/20/20,160,6,16
,Congo (Brazzaville),-0.228,15.8277,4/21/20,165,6,16
,Congo (Brazzaville),-0.228,15.8277,4/22/20,186,6,16
,Congo (Brazzaville),-0.228,15.8277,4/23/20,186,6,16
,Congo (Brazzaville),-0.228,15.8277,4/24/20,200,6,19
,Congo (Brazzaville),-0.228,15.8277,4/25/20,200,6,19
,Congo (Brazzaville),-0.228,15.8277,4/26/20,200,6,19
,Congo (Brazzaville),-0.228,15.8277,4/27/20,200,6,19
,Congo (Brazzaville),-0.228,15.8277,4/28/20,207,8,19
,Congo (Brazzaville),-0.228,15.8277,4/29/20,207,8,19
,Congo (Brazzaville),-0.228,15.8277,4/30/20,220,9,19
,Congo (Brazzaville),-0.228,15.8277,5/1/20,229,9,25
,Congo (Brazzaville),-0.228,15.8277,5/2/20,229,9,25
,Congo (Brazzaville),-0.228,15.8277,5/3/20,229,9,25
,Congo (Brazzaville),-0.228,15.8277,5/4/20,236,10,26
,Congo (Brazzaville),-0.228,15.8277,5/5/20,236,10,26
,Congo (Brazzaville),-0.228,15.8277,5/6/20,264,10,30
,Congo (Brazzaville),-0.228,15.8277,5/7/20,264,10,30
,Congo (Brazzaville),-0.228,15.8277,5/8/20,274,10,33
,Congo (Brazzaville),-0.228,15.8277,5/9/20,274,10,33
,Congo (Brazzaville),-0.228,15.8277,5/10/20,274,10,33
,Congo (Brazzaville),-0.228,15.8277,5/11/20,333,11,53
,Congo (Brazzaville),-0.228,15.8277,5/12/20,333,11,53
,Congo (Brazzaville),-0.228,15.8277,5/13/20,333,11,53
,Congo (Brazzaville),-0.228,15.8277,5/14/20,391,15,87
,Congo (Brazzaville),-0.228,15.8277,5/15/20,391,15,87
,Congo (Brazzaville),-0.228,15.8277,5/16/20,391,15,87
,Congo (Brazzaville),-0.228,15.8277,5/17/20,391,15,87
,Congo (Brazzaville),-0.228,15.8277,5/18/20,412,15,110
,Congo (Brazzaville),-0.228,15.8277,5/19/20,420,15,132
