Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/23/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/24/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/25/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/26/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/27/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/28/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/29/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/30/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/31/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/1/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/2/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/3/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/4/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/5/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/6/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/7/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/8/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/9/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/10/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/11/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/12/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/13/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/14/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/15/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/16/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/17/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/18/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/19/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/20/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/21/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/22/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/23/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/24/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/25/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/26/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/27/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/28/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,2/29/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/1/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/2/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/3/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/4/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/5/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/6/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/7/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/8/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/9/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/10/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/11/20,1,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/12/20,1,0,0
,Congo (Kinshasa),-4.0383,21.7587,3/13/20,2,0,0
