Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Costa Rica,9.7489,-83.7534,1/22/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/23/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/24/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/25/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/26/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/27/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/28/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/29/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/30/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/31/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/1/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/2/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/3/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/4/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/5/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/6/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/7/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/8/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/9/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/10/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/11/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/12/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/13/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/14/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/15/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/16/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/17/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/18/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/19/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/20/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/21/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/22/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/23/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/24/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/25/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/26/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/27/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/28/20,0,0,0
,Costa Rica,9.7489,-83.7534,2/29/20,0,0,0
,Costa Rica,9.7489,-83.7534,3/1/20,0,0,0
,Costa Rica,9.7489,-83.7534,3/2/20,0,0,0
,Costa Rica,9.7489,-83.7534,3/3/20,0,0,0
,Costa Rica,9.7489,-83.7534,3/4/20,0,0,0
,Costa Rica,9.7489,-83.7534,3/5/20,0,0,0
,Costa Rica,9.7489,-83.7534,3/6/20,1,0,0
,Costa Rica,9.7489,-83.7534,3/7/20,1,0,0
,Costa Rica,9.7489,-83.7534,3/8/20,5,0,0
,Costa Rica,9.7489,-83.7534,3/9/20,9,0,0
,Costa Rica,9.7489,-83.7534,3/10/20,9,0,0
,Costa Rica,9.7489,-83.7534,3/11/20,13,0,0
,Costa Rica,9.7489,-83.7534,3/12/20,22,0,0
,Costa Rica,9.7489,-83.7534,3/13/20,23,0,0
,Costa Rica,9.7489,-83.7534,3/14/20,26,0,0
,Costa Rica,9.7489,-83.7534,3/15/20,27,0,0
,Costa Rica,9.7489,-83.7534,3/16/20,35,0,0
,Costa Rica,9.7489,-83.7534,3/17/20,41,0,0
,Costa Rica,9.7489,-83.7534,3/18/20,50,0,0
,Costa Rica,9.7489,-83.7534,3/19/20,69,1,0
,Costa Rica,9.7489,-83.7534,3/20/20,89,1,0
,Costa Rica,9.7489,-83.7534,3/21/20,117,2,2
,Costa Rica,9.7489,-83.7534,3/22/20,134,2,2
,Costa Rica,9.7489,-83.7534,3/23/20,158,2,2
,Costa Rica,9.7489,-83.7534,3/24/20,177,2,2
,Costa Rica,9.7489,-83.7534,3/25/20,201,2,2
,Costa Rica,9.7489,-83.7534,3/26/20,231,2,2
,Costa Rica,9.7489,-83.7534,3/27/20,263,2,3
,Costa Rica,9.7489,-83.7534,3/28/20,295,2,3
,Costa Rica,9.7489,-83.7534,3/29/20,314,2,3
,Costa Rica,9.7489,-83.7534,3/30/20,330,2,4
,Costa Rica,9.7489,-83.7534,3/31/20,347,2,4
,Costa Rica,9.7489,-83.7534,4/1/20,375,2,4
,Costa Rica,9.7489,-83.7534,4/2/20,396,2,6
,Costa Rica,9.7489,-83.7534,4/3/20,416,2,11
,Costa Rica,9.7489,-83.7534,4/4/20,435,2,13
,Costa Rica,9.7489,-83.7534,4/5/20,454,2,16
,Costa Rica,9.7489,-83.7534,4/6/20,467,2,18
,Costa Rica,9.7489,-83.7534,4/7/20,483,2,24
,Costa Rica,9.7489,-83.7534,4/8/20,502,3,29
,Costa Rica,9.7489,-83.7534,4/9/20,539,3,30
,Costa Rica,9.7489,-83.7534,4/10/20,558,3,42
,Costa Rica,9.7489,-83.7534,4/11/20,577,3,49
,Costa Rica,9.7489,-83.7534,4/12/20,595,3,56
,Costa Rica,9.7489,-83.7534,4/13/20,612,3,62
,Costa Rica,9.7489,-83.7534,4/14/20,618,3,66
,Costa Rica,9.7489,-83.7534,4/15/20,626,4,67
,Costa Rica,9.7489,-83.7534,4/16/20,642,4,74
,Costa Rica,9.7489,-83.7534,4/17/20,649,4,88
,Costa Rica,9.7489,-83.7534,4/18/20,655,4,97
,Costa Rica,9.7489,-83.7534,4/19/20,660,5,112
,Costa Rica,9.7489,-83.7534,4/20/20,662,6,124
,Costa Rica,9.7489,-83.7534,4/21/20,669,6,150
,Costa Rica,9.7489,-83.7534,4/22/20,681,6,180
,Costa Rica,9.7489,-83.7534,4/23/20,686,6,196
,Costa Rica,9.7489,-83.7534,4/24/20,687,6,216
,Costa Rica,9.7489,-83.7534,4/25/20,693,6,242
,Costa Rica,9.7489,-83.7534,4/26/20,695,6,264
,Costa Rica,9.7489,-83.7534,4/27/20,697,6,287
,Costa Rica,9.7489,-83.7534,4/28/20,705,6,306
,Costa Rica,9.7489,-83.7534,4/29/20,713,6,323
,Costa Rica,9.7489,-83.7534,4/30/20,719,6,338
,Costa Rica,9.7489,-83.7534,5/1/20,725,6,355
,Costa Rica,9.7489,-83.7534,5/2/20,733,6,372
,Costa Rica,9.7489,-83.7534,5/3/20,739,6,386
,Costa Rica,9.7489,-83.7534,5/4/20,742,6,399
,Costa Rica,9.7489,-83.7534,5/5/20,755,6,413
,Costa Rica,9.7489,-83.7534,5/6/20,761,6,428
,Costa Rica,9.7489,-83.7534,5/7/20,765,6,445
,Costa Rica,9.7489,-83.7534,5/8/20,773,6,461
,Costa Rica,9.7489,-83.7534,5/9/20,780,6,480
,Costa Rica,9.7489,-83.7534,5/10/20,792,7,501
,Costa Rica,9.7489,-83.7534,5/11/20,801,7,517
,Costa Rica,9.7489,-83.7534,5/12/20,804,7,520
,Costa Rica,9.7489,-83.7534,5/13/20,815,8,527
,Costa Rica,9.7489,-83.7534,5/14/20,830,8,535
,Costa Rica,9.7489,-83.7534,5/15/20,843,9,542
,Costa Rica,9.7489,-83.7534,5/16/20,853,10,551
,Costa Rica,9.7489,-83.7534,5/17/20,863,10,565
,Costa Rica,9.7489,-83.7534,5/18/20,866,10,575
,Costa Rica,9.7489,-83.7534,5/19/20,882,10,577
,Costa Rica,9.7489,-83.7534,5/20/20,897,10,582
,Costa Rica,9.7489,-83.7534,5/21/20,903,10,592
,Costa Rica,9.7489,-83.7534,5/22/20,911,10,600
,Costa Rica,9.7489,-83.7534,5/23/20,918,10,607
,Costa Rica,9.7489,-83.7534,5/24/20,930,10,620
,Costa Rica,9.7489,-83.7534,5/25/20,951,10,628
,Costa Rica,9.7489,-83.7534,5/26/20,956,10,634
,Costa Rica,9.7489,-83.7534,5/27/20,984,10,639
,Costa Rica,9.7489,-83.7534,5/28/20,1000,10,646
,Costa Rica,9.7489,-83.7534,5/29/20,1022,10,653
,Costa Rica,9.7489,-83.7534,5/30/20,1047,10,658
,Costa Rica,9.7489,-83.7534,5/31/20,1056,10,669
,Costa Rica,9.7489,-83.7534,6/1/20,1084,10,676
,Costa Rica,9.7489,-83.7534,6/2/20,1105,10,682
,Costa Rica,9.7489,-83.7534,6/3/20,1157,10,685
,Costa Rica,9.7489,-83.7534,6/4/20,1194,10,687
,Costa Rica,9.7489,-83.7534,6/5/20,1228,10,695
,Costa Rica,9.7489,-83.7534,6/6/20,1263,10,701
,Costa Rica,9.7489,-83.7534,6/7/20,1318,10,704
,Costa Rica,9.7489,-83.7534,6/8/20,1342,11,712
,Costa Rica,9.7489,-83.7534,6/9/20,1375,11,717
,Costa Rica,9.7489,-83.7534,6/10/20,1461,12,722
,Costa Rica,9.7489,-83.7534,6/11/20,1538,12,722
,Costa Rica,9.7489,-83.7534,6/12/20,1612,12,731
,Costa Rica,9.7489,-83.7534,6/13/20,1662,12,743
,Costa Rica,9.7489,-83.7534,6/14/20,1715,12,752
,Costa Rica,9.7489,-83.7534,6/15/20,1744,12,771
,Costa Rica,9.7489,-83.7534,6/16/20,1796,12,794
,Costa Rica,9.7489,-83.7534,6/17/20,1871,12,899
,Costa Rica,9.7489,-83.7534,6/18/20,1939,12,937
,Costa Rica,9.7489,-83.7534,6/19/20,2058,12,982
,Costa Rica,9.7489,-83.7534,6/20/20,2127,12,1014
,Costa Rica,9.7489,-83.7534,6/21/20,2213,12,1032
,Costa Rica,9.7489,-83.7534,6/22/20,2277,12,1043
,Costa Rica,9.7489,-83.7534,6/23/20,2368,12,1129
,Costa Rica,9.7489,-83.7534,6/24/20,2515,12,1210
,Costa Rica,9.7489,-83.7534,6/25/20,2684,12,1227
,Costa Rica,9.7489,-83.7534,6/26/20,2836,12,1280
