Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,El Salvador,13.7942,-88.8965,1/22/20,0,0,0
,El Salvador,13.7942,-88.8965,1/23/20,0,0,0
,El Salvador,13.7942,-88.8965,1/24/20,0,0,0
,El Salvador,13.7942,-88.8965,1/25/20,0,0,0
,El Salvador,13.7942,-88.8965,1/26/20,0,0,0
,El Salvador,13.7942,-88.8965,1/27/20,0,0,0
,El Salvador,13.7942,-88.8965,1/28/20,0,0,0
,El Salvador,13.7942,-88.8965,1/29/20,0,0,0
,El Salvador,13.7942,-88.8965,1/30/20,0,0,0
,El Salvador,13.7942,-88.8965,1/31/20,0,0,0
,El Salvador,13.7942,-88.8965,2/1/20,0,0,0
,El Salvador,13.7942,-88.8965,2/2/20,0,0,0
,El Salvador,13.7942,-88.8965,2/3/20,0,0,0
,El Salvador,13.7942,-88.8965,2/4/20,0,0,0
,El Salvador,13.7942,-88.8965,2/5/20,0,0,0
,El Salvador,13.7942,-88.8965,2/6/20,0,0,0
,El Salvador,13.7942,-88.8965,2/7/20,0,0,0
,El Salvador,13.7942,-88.8965,2/8/20,0,0,0
,El Salvador,13.7942,-88.8965,2/9/20,0,0,0
,El Salvador,13.7942,-88.8965,2/10/20,0,0,0
,El Salvador,13.7942,-88.8965,2/11/20,0,0,0
,El Salvador,13.7942,-88.8965,2/12/20,0,0,0
,El Salvador,13.7942,-88.8965,2/13/20,0,0,0
,El Salvador,13.7942,-88.8965,2/14/20,0,0,0
,El Salvador,13.7942,-88.8965,2/15/20,0,0,0
,El Salvador,13.7942,-88.8965,2/16/20,0,0,0
,El Salvador,13.7942,-88.8965,2/17/20,0,0,0
,El Salvador,13.7942,-88.8965,2/18/20,0,0,0
,El Salvador,13.7942,-88.8965,2/19/20,0,0,0
,El Salvador,13.7942,-88.8965,2/20/20,0,0,0
,El Salvador,13.7942,-88.8965,2/21/20,0,0,0
,El Salvador,13.7942,-88.8965,2/22/20,0,0,0
,El Salvador,13.7942,-88.8965,2/23/20,0,0,0
,El Salvador,13.7942,-88.8965,2/24/20,0,0,0
,El Salvador,13.7942,-88.8965,2/25/20,0,0,0
,El Salvador,13.7942,-88.8965,2/26/20,0,0,0
,El Salvador,13.7942,-88.8965,2/27/20,0,0,0
,El Salvador,13.7942,-88.8965,2/28/20,0,0,0
,El Salvador,13.7942,-88.8965,2/29/20,0,0,0
,El Salvador,13.7942,-88.8965,3/1/20,0,0,0
,El Salvador,13.7942,-88.8965,3/2/20,0,0,0
,El Salvador,13.7942,-88.8965,3/3/20,0,0,0
,El Salvador,13.7942,-88.8965,3/4/20,0,0,0
,El Salvador,13.7942,-88.8965,3/5/20,0,0,0
,El Salvador,13.7942,-88.8965,3/6/20,0,0,0
,El Salvador,13.7942,-88.8965,3/7/20,0,0,0
,El Salvador,13.7942,-88.8965,3/8/20,0,0,0
,El Salvador,13.7942,-88.8965,3/9/20,0,0,0
,El Salvador,13.7942,-88.8965,3/10/20,0,0,0
,El Salvador,13.7942,-88.8965,3/11/20,0,0,0
,El Salvador,13.7942,-88.8965,3/12/20,0,0,0
,El Salvador,13.7942,-88.8965,3/13/20,0,0,0
,El Salvador,13.7942,-88.8965,3/14/20,0,0,0
,El Salvador,13.7942,-88.8965,3/15/20,0,0,0
,El Salvador,13.7942,-88.8965,3/16/20,0,0,0
,El Salvador,13.7942,-88.8965,3/17/20,0,0,0
,El Salvador,13.7942,-88.8965,3/18/20,0,0,0
,El Salvador,13.7942,-88.8965,3/19/20,1,0,0
,El Salvador,13.7942,-88.8965,3/20/20,1,0,0
,El Salvador,13.7942,-88.8965,3/21/20,3,0,0
,El Salvador,13.7942,-88.8965,3/22/20,3,0,0
,El Salvador,13.7942,-88.8965,3/23/20,3,0,0
,El Salvador,13.7942,-88.8965,3/24/20,5,0,0
,El Salvador,13.7942,-88.8965,3/25/20,9,0,0
,El Salvador,13.7942,-88.8965,3/26/20,13,0,0
,El Salvador,13.7942,-88.8965,3/27/20,13,0,0
,El Salvador,13.7942,-88.8965,3/28/20,19,0,0
,El Salvador,13.7942,-88.8965,3/29/20,24,0,0
,El Salvador,13.7942,-88.8965,3/30/20,30,0,0
,El Salvador,13.7942,-88.8965,3/31/20,32,1,0
,El Salvador,13.7942,-88.8965,4/1/20,32,1,0
,El Salvador,13.7942,-88.8965,4/2/20,41,2,0
,El Salvador,13.7942,-88.8965,4/3/20,46,2,0
,El Salvador,13.7942,-88.8965,4/4/20,56,3,2
,El Salvador,13.7942,-88.8965,4/5/20,62,3,2
,El Salvador,13.7942,-88.8965,4/6/20,69,4,5
,El Salvador,13.7942,-88.8965,4/7/20,78,4,5
,El Salvador,13.7942,-88.8965,4/8/20,93,5,9
,El Salvador,13.7942,-88.8965,4/9/20,103,6,14
,El Salvador,13.7942,-88.8965,4/10/20,117,6,15
,El Salvador,13.7942,-88.8965,4/11/20,118,6,19
,El Salvador,13.7942,-88.8965,4/12/20,125,6,21
,El Salvador,13.7942,-88.8965,4/13/20,137,6,22
,El Salvador,13.7942,-88.8965,4/14/20,149,6,25
,El Salvador,13.7942,-88.8965,4/15/20,159,6,30
,El Salvador,13.7942,-88.8965,4/16/20,164,6,33
,El Salvador,13.7942,-88.8965,4/17/20,177,7,38
,El Salvador,13.7942,-88.8965,4/18/20,190,7,43
,El Salvador,13.7942,-88.8965,4/19/20,201,7,44
,El Salvador,13.7942,-88.8965,4/20/20,218,7,46
,El Salvador,13.7942,-88.8965,4/21/20,225,7,48
,El Salvador,13.7942,-88.8965,4/22/20,237,7,63
,El Salvador,13.7942,-88.8965,4/23/20,250,8,67
,El Salvador,13.7942,-88.8965,4/24/20,274,8,75
,El Salvador,13.7942,-88.8965,4/25/20,274,8,75
,El Salvador,13.7942,-88.8965,4/26/20,298,8,83
,El Salvador,13.7942,-88.8965,4/27/20,323,8,89
,El Salvador,13.7942,-88.8965,4/28/20,345,8,97
,El Salvador,13.7942,-88.8965,4/29/20,377,9,106
,El Salvador,13.7942,-88.8965,4/30/20,395,10,119
,El Salvador,13.7942,-88.8965,5/1/20,424,10,124
,El Salvador,13.7942,-88.8965,5/2/20,446,11,141
,El Salvador,13.7942,-88.8965,5/3/20,490,11,154
