Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Finland,61.92411,25.748151,1/22/20,0,0,0
,Finland,61.92411,25.748151,1/23/20,0,0,0
,Finland,61.92411,25.748151,1/24/20,0,0,0
,Finland,61.92411,25.748151,1/25/20,0,0,0
,Finland,61.92411,25.748151,1/26/20,0,0,0
,Finland,61.92411,25.748151,1/27/20,0,0,0
,Finland,61.92411,25.748151,1/28/20,0,0,0
,Finland,61.92411,25.748151,1/29/20,1,0,0
,Finland,61.92411,25.748151,1/30/20,1,0,0
,Finland,61.92411,25.748151,1/31/20,1,0,0
,Finland,61.92411,25.748151,2/1/20,1,0,0
,Finland,61.92411,25.748151,2/2/20,1,0,0
,Finland,61.92411,25.748151,2/3/20,1,0,0
,Finland,61.92411,25.748151,2/4/20,1,0,0
,Finland,61.92411,25.748151,2/5/20,1,0,0
,Finland,61.92411,25.748151,2/6/20,1,0,0
,Finland,61.92411,25.748151,2/7/20,1,0,0
,Finland,61.92411,25.748151,2/8/20,1,0,0
,Finland,61.92411,25.748151,2/9/20,1,0,0
,Finland,61.92411,25.748151,2/10/20,1,0,0
,Finland,61.92411,25.748151,2/11/20,1,0,0
,Finland,61.92411,25.748151,2/12/20,1,0,1
,Finland,61.92411,25.748151,2/13/20,1,0,1
,Finland,61.92411,25.748151,2/14/20,1,0,1
,Finland,61.92411,25.748151,2/15/20,1,0,1
,Finland,61.92411,25.748151,2/16/20,1,0,1
,Finland,61.92411,25.748151,2/17/20,1,0,1
,Finland,61.92411,25.748151,2/18/20,1,0,1
,Finland,61.92411,25.748151,2/19/20,1,0,1
,Finland,61.92411,25.748151,2/20/20,1,0,1
,Finland,61.92411,25.748151,2/21/20,1,0,1
,Finland,61.92411,25.748151,2/22/20,1,0,1
,Finland,61.92411,25.748151,2/23/20,1,0,1
,Finland,61.92411,25.748151,2/24/20,1,0,1
,Finland,61.92411,25.748151,2/25/20,1,0,1
,Finland,61.92411,25.748151,2/26/20,2,0,1
,Finland,61.92411,25.748151,2/27/20,2,0,1
,Finland,61.92411,25.748151,2/28/20,2,0,1
,Finland,61.92411,25.748151,2/29/20,3,0,1
,Finland,61.92411,25.748151,3/1/20,6,0,1
,Finland,61.92411,25.748151,3/2/20,6,0,1
,Finland,61.92411,25.748151,3/3/20,6,0,1
,Finland,61.92411,25.748151,3/4/20,6,0,1
,Finland,61.92411,25.748151,3/5/20,12,0,1
,Finland,61.92411,25.748151,3/6/20,15,0,1
,Finland,61.92411,25.748151,3/7/20,15,0,1
,Finland,61.92411,25.748151,3/8/20,23,0,1
,Finland,61.92411,25.748151,3/9/20,30,0,1
,Finland,61.92411,25.748151,3/10/20,40,0,1
,Finland,61.92411,25.748151,3/11/20,59,0,1
,Finland,61.92411,25.748151,3/12/20,59,0,1
,Finland,61.92411,25.748151,3/13/20,155,0,1
