Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,France,3.9339,-53.1258,1/22/20,0,0,0
,France,3.9339,-53.1258,1/23/20,0,0,0
,France,3.9339,-53.1258,1/24/20,2,0,0
,France,3.9339,-53.1258,1/25/20,3,0,0
,France,3.9339,-53.1258,1/26/20,3,0,0
,France,3.9339,-53.1258,1/27/20,3,0,0
,France,3.9339,-53.1258,1/28/20,4,0,0
,France,3.9339,-53.1258,1/29/20,5,0,0
,France,3.9339,-53.1258,1/30/20,5,0,0
,France,3.9339,-53.1258,1/31/20,5,0,0
,France,3.9339,-53.1258,2/1/20,6,0,0
,France,3.9339,-53.1258,2/2/20,6,0,0
,France,3.9339,-53.1258,2/3/20,6,0,0
,France,3.9339,-53.1258,2/4/20,6,0,0
,France,3.9339,-53.1258,2/5/20,6,0,0
,France,3.9339,-53.1258,2/6/20,6,0,0
,France,3.9339,-53.1258,2/7/20,6,0,0
,France,3.9339,-53.1258,2/8/20,11,0,0
,France,3.9339,-53.1258,2/9/20,11,0,0
,France,3.9339,-53.1258,2/10/20,11,0,0
,France,3.9339,-53.1258,2/11/20,11,0,0
,France,3.9339,-53.1258,2/12/20,11,0,2
,France,3.9339,-53.1258,2/13/20,11,0,2
,France,3.9339,-53.1258,2/14/20,11,0,2
,France,3.9339,-53.1258,2/15/20,12,1,4
,France,3.9339,-53.1258,2/16/20,12,1,4
,France,3.9339,-53.1258,2/17/20,12,1,4
,France,3.9339,-53.1258,2/18/20,12,1,4
,France,3.9339,-53.1258,2/19/20,12,1,4
,France,3.9339,-53.1258,2/20/20,12,1,4
,France,3.9339,-53.1258,2/21/20,12,1,4
,France,3.9339,-53.1258,2/22/20,12,1,4
,France,3.9339,-53.1258,2/23/20,12,1,4
,France,3.9339,-53.1258,2/24/20,12,1,4
,France,3.9339,-53.1258,2/25/20,14,1,11
,France,3.9339,-53.1258,2/26/20,18,2,11
,France,3.9339,-53.1258,2/27/20,38,2,11
,France,3.9339,-53.1258,2/28/20,57,2,11
,France,3.9339,-53.1258,2/29/20,100,2,12
,France,3.9339,-53.1258,3/1/20,130,2,12
,France,3.9339,-53.1258,3/2/20,191,3,12
,France,3.9339,-53.1258,3/3/20,204,4,12
,France,3.9339,-53.1258,3/4/20,288,4,12
,France,3.9339,-53.1258,3/5/20,380,6,12
,France,3.9339,-53.1258,3/6/20,656,9,12
,France,3.9339,-53.1258,3/7/20,959,11,12
,France,3.9339,-53.1258,3/8/20,1136,19,12
,France,3.9339,-53.1258,3/9/20,1219,19,12
,France,3.9339,-53.1258,3/10/20,1794,33,12
,France,3.9339,-53.1258,3/11/20,2293,48,12
,France,3.9339,-53.1258,3/12/20,2293,48,12
,France,3.9339,-53.1258,3/13/20,3681,79,12
,France,3.9339,-53.1258,3/14/20,4496,91,12
,France,3.9339,-53.1258,3/15/20,4532,91,12
,France,3.9339,-53.1258,3/16/20,6683,149,12
,France,3.9339,-53.1258,3/17/20,7715,149,12
,France,3.9339,-53.1258,3/18/20,9124,149,12
