Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Georgia,42.3154,43.3569,1/22/20,0,0,0
,Georgia,42.3154,43.3569,1/23/20,0,0,0
,Georgia,42.3154,43.3569,1/24/20,0,0,0
,Georgia,42.3154,43.3569,1/25/20,0,0,0
,Georgia,42.3154,43.3569,1/26/20,0,0,0
,Georgia,42.3154,43.3569,1/27/20,0,0,0
,Georgia,42.3154,43.3569,1/28/20,0,0,0
,Georgia,42.3154,43.3569,1/29/20,0,0,0
,Georgia,42.3154,43.3569,1/30/20,0,0,0
,Georgia,42.3154,43.3569,1/31/20,0,0,0
,Georgia,42.3154,43.3569,2/1/20,0,0,0
,Georgia,42.3154,43.3569,2/2/20,0,0,0
,Georgia,42.3154,43.3569,2/3/20,0,0,0
,Georgia,42.3154,43.3569,2/4/20,0,0,0
,Georgia,42.3154,43.3569,2/5/20,0,0,0
,Georgia,42.3154,43.3569,2/6/20,0,0,0
,Georgia,42.3154,43.3569,2/7/20,0,0,0
,Georgia,42.3154,43.3569,2/8/20,0,0,0
,Georgia,42.3154,43.3569,2/9/20,0,0,0
,Georgia,42.3154,43.3569,2/10/20,0,0,0
,Georgia,42.3154,43.3569,2/11/20,0,0,0
,Georgia,42.3154,43.3569,2/12/20,0,0,0
,Georgia,42.3154,43.3569,2/13/20,0,0,0
,Georgia,42.3154,43.3569,2/14/20,0,0,0
,Georgia,42.3154,43.3569,2/15/20,0,0,0
,Georgia,42.3154,43.3569,2/16/20,0,0,0
,Georgia,42.3154,43.3569,2/17/20,0,0,0
,Georgia,42.3154,43.3569,2/18/20,0,0,0
,Georgia,42.3154,43.3569,2/19/20,0,0,0
,Georgia,42.3154,43.3569,2/20/20,0,0,0
,Georgia,42.3154,43.3569,2/21/20,0,0,0
,Georgia,42.3154,43.3569,2/22/20,0,0,0
,Georgia,42.3154,43.3569,2/23/20,0,0,0
,Georgia,42.3154,43.3569,2/24/20,0,0,0
,Georgia,42.3154,43.3569,2/25/20,0,0,0
,Georgia,42.3154,43.3569,2/26/20,1,0,0
,Georgia,42.3154,43.3569,2/27/20,1,0,0
,Georgia,42.3154,43.3569,2/28/20,1,0,0
,Georgia,42.3154,43.3569,2/29/20,1,0,0
,Georgia,42.3154,43.3569,3/1/20,3,0,0
,Georgia,42.3154,43.3569,3/2/20,3,0,0
,Georgia,42.3154,43.3569,3/3/20,3,0,0
,Georgia,42.3154,43.3569,3/4/20,3,0,0
,Georgia,42.3154,43.3569,3/5/20,4,0,0
,Georgia,42.3154,43.3569,3/6/20,4,0,0
,Georgia,42.3154,43.3569,3/7/20,4,0,0
,Georgia,42.3154,43.3569,3/8/20,13,0,0
,Georgia,42.3154,43.3569,3/9/20,15,0,0
,Georgia,42.3154,43.3569,3/10/20,15,0,0
,Georgia,42.3154,43.3569,3/11/20,24,0,0
,Georgia,42.3154,43.3569,3/12/20,24,0,0
,Georgia,42.3154,43.3569,3/13/20,25,0,0
,Georgia,42.3154,43.3569,3/14/20,30,0,0
,Georgia,42.3154,43.3569,3/15/20,33,0,0
,Georgia,42.3154,43.3569,3/16/20,33,0,1
,Georgia,42.3154,43.3569,3/17/20,34,0,1
,Georgia,42.3154,43.3569,3/18/20,38,0,1
