Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Germany,51.165690999999995,10.451526,1/22/20,0,0,0
,Germany,51.165690999999995,10.451526,1/23/20,0,0,0
,Germany,51.165690999999995,10.451526,1/24/20,0,0,0
,Germany,51.165690999999995,10.451526,1/25/20,0,0,0
,Germany,51.165690999999995,10.451526,1/26/20,0,0,0
,Germany,51.165690999999995,10.451526,1/27/20,1,0,0
,Germany,51.165690999999995,10.451526,1/28/20,4,0,0
,Germany,51.165690999999995,10.451526,1/29/20,4,0,0
,Germany,51.165690999999995,10.451526,1/30/20,4,0,0
,Germany,51.165690999999995,10.451526,1/31/20,5,0,0
,Germany,51.165690999999995,10.451526,2/1/20,8,0,0
,Germany,51.165690999999995,10.451526,2/2/20,10,0,0
,Germany,51.165690999999995,10.451526,2/3/20,12,0,0
,Germany,51.165690999999995,10.451526,2/4/20,12,0,0
,Germany,51.165690999999995,10.451526,2/5/20,12,0,0
,Germany,51.165690999999995,10.451526,2/6/20,12,0,0
,Germany,51.165690999999995,10.451526,2/7/20,13,0,0
,Germany,51.165690999999995,10.451526,2/8/20,13,0,0
,Germany,51.165690999999995,10.451526,2/9/20,14,0,0
,Germany,51.165690999999995,10.451526,2/10/20,14,0,0
,Germany,51.165690999999995,10.451526,2/11/20,16,0,0
,Germany,51.165690999999995,10.451526,2/12/20,16,0,0
,Germany,51.165690999999995,10.451526,2/13/20,16,0,1
,Germany,51.165690999999995,10.451526,2/14/20,16,0,1
,Germany,51.165690999999995,10.451526,2/15/20,16,0,1
,Germany,51.165690999999995,10.451526,2/16/20,16,0,1
,Germany,51.165690999999995,10.451526,2/17/20,16,0,1
,Germany,51.165690999999995,10.451526,2/18/20,16,0,12
,Germany,51.165690999999995,10.451526,2/19/20,16,0,12
,Germany,51.165690999999995,10.451526,2/20/20,16,0,12
,Germany,51.165690999999995,10.451526,2/21/20,16,0,14
,Germany,51.165690999999995,10.451526,2/22/20,16,0,14
,Germany,51.165690999999995,10.451526,2/23/20,16,0,14
,Germany,51.165690999999995,10.451526,2/24/20,16,0,14
,Germany,51.165690999999995,10.451526,2/25/20,17,0,14
,Germany,51.165690999999995,10.451526,2/26/20,27,0,15
,Germany,51.165690999999995,10.451526,2/27/20,46,0,16
,Germany,51.165690999999995,10.451526,2/28/20,48,0,16
,Germany,51.165690999999995,10.451526,2/29/20,79,0,16
,Germany,51.165690999999995,10.451526,3/1/20,130,0,16
,Germany,51.165690999999995,10.451526,3/2/20,159,0,16
,Germany,51.165690999999995,10.451526,3/3/20,196,0,16
