Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Ghana,7.9465,-1.0232,1/22/20,0,0,0
,Ghana,7.9465,-1.0232,1/23/20,0,0,0
,Ghana,7.9465,-1.0232,1/24/20,0,0,0
,Ghana,7.9465,-1.0232,1/25/20,0,0,0
,Ghana,7.9465,-1.0232,1/26/20,0,0,0
,Ghana,7.9465,-1.0232,1/27/20,0,0,0
,Ghana,7.9465,-1.0232,1/28/20,0,0,0
,Ghana,7.9465,-1.0232,1/29/20,0,0,0
,Ghana,7.9465,-1.0232,1/30/20,0,0,0
,Ghana,7.9465,-1.0232,1/31/20,0,0,0
,Ghana,7.9465,-1.0232,2/1/20,0,0,0
,Ghana,7.9465,-1.0232,2/2/20,0,0,0
,Ghana,7.9465,-1.0232,2/3/20,0,0,0
,Ghana,7.9465,-1.0232,2/4/20,0,0,0
,Ghana,7.9465,-1.0232,2/5/20,0,0,0
,Ghana,7.9465,-1.0232,2/6/20,0,0,0
,Ghana,7.9465,-1.0232,2/7/20,0,0,0
,Ghana,7.9465,-1.0232,2/8/20,0,0,0
,Ghana,7.9465,-1.0232,2/9/20,0,0,0
,Ghana,7.9465,-1.0232,2/10/20,0,0,0
,Ghana,7.9465,-1.0232,2/11/20,0,0,0
,Ghana,7.9465,-1.0232,2/12/20,0,0,0
,Ghana,7.9465,-1.0232,2/13/20,0,0,0
,Ghana,7.9465,-1.0232,2/14/20,0,0,0
,Ghana,7.9465,-1.0232,2/15/20,0,0,0
,Ghana,7.9465,-1.0232,2/16/20,0,0,0
,Ghana,7.9465,-1.0232,2/17/20,0,0,0
,Ghana,7.9465,-1.0232,2/18/20,0,0,0
,Ghana,7.9465,-1.0232,2/19/20,0,0,0
,Ghana,7.9465,-1.0232,2/20/20,0,0,0
,Ghana,7.9465,-1.0232,2/21/20,0,0,0
,Ghana,7.9465,-1.0232,2/22/20,0,0,0
,Ghana,7.9465,-1.0232,2/23/20,0,0,0
,Ghana,7.9465,-1.0232,2/24/20,0,0,0
,Ghana,7.9465,-1.0232,2/25/20,0,0,0
,Ghana,7.9465,-1.0232,2/26/20,0,0,0
,Ghana,7.9465,-1.0232,2/27/20,0,0,0
,Ghana,7.9465,-1.0232,2/28/20,0,0,0
,Ghana,7.9465,-1.0232,2/29/20,0,0,0
,Ghana,7.9465,-1.0232,3/1/20,0,0,0
,Ghana,7.9465,-1.0232,3/2/20,0,0,0
,Ghana,7.9465,-1.0232,3/3/20,0,0,0
,Ghana,7.9465,-1.0232,3/4/20,0,0,0
,Ghana,7.9465,-1.0232,3/5/20,0,0,0
,Ghana,7.9465,-1.0232,3/6/20,0,0,0
,Ghana,7.9465,-1.0232,3/7/20,0,0,0
,Ghana,7.9465,-1.0232,3/8/20,0,0,0
,Ghana,7.9465,-1.0232,3/9/20,0,0,0
,Ghana,7.9465,-1.0232,3/10/20,0,0,0
,Ghana,7.9465,-1.0232,3/11/20,0,0,0
,Ghana,7.9465,-1.0232,3/12/20,0,0,0
,Ghana,7.9465,-1.0232,3/13/20,0,0,0
,Ghana,7.9465,-1.0232,3/14/20,3,0,0
,Ghana,7.9465,-1.0232,3/15/20,6,0,0
,Ghana,7.9465,-1.0232,3/16/20,6,0,0
,Ghana,7.9465,-1.0232,3/17/20,7,0,0
,Ghana,7.9465,-1.0232,3/18/20,7,0,0
,Ghana,7.9465,-1.0232,3/19/20,11,0,0
,Ghana,7.9465,-1.0232,3/20/20,16,0,0
,Ghana,7.9465,-1.0232,3/21/20,19,1,0
,Ghana,7.9465,-1.0232,3/22/20,23,1,0
,Ghana,7.9465,-1.0232,3/23/20,27,2,0
,Ghana,7.9465,-1.0232,3/24/20,53,2,0
,Ghana,7.9465,-1.0232,3/25/20,93,4,0
,Ghana,7.9465,-1.0232,3/26/20,132,4,1
,Ghana,7.9465,-1.0232,3/27/20,137,4,2
,Ghana,7.9465,-1.0232,3/28/20,141,5,2
,Ghana,7.9465,-1.0232,3/29/20,152,5,2
,Ghana,7.9465,-1.0232,3/30/20,152,5,2
,Ghana,7.9465,-1.0232,3/31/20,161,5,31
,Ghana,7.9465,-1.0232,4/1/20,195,5,31
,Ghana,7.9465,-1.0232,4/2/20,204,5,31
,Ghana,7.9465,-1.0232,4/3/20,205,5,31
,Ghana,7.9465,-1.0232,4/4/20,205,5,31
,Ghana,7.9465,-1.0232,4/5/20,214,5,31
,Ghana,7.9465,-1.0232,4/6/20,214,5,31
,Ghana,7.9465,-1.0232,4/7/20,287,5,31
,Ghana,7.9465,-1.0232,4/8/20,313,6,34
,Ghana,7.9465,-1.0232,4/9/20,378,6,3
,Ghana,7.9465,-1.0232,4/10/20,378,6,4
,Ghana,7.9465,-1.0232,4/11/20,408,8,4
,Ghana,7.9465,-1.0232,4/12/20,566,8,4
,Ghana,7.9465,-1.0232,4/13/20,566,8,4
,Ghana,7.9465,-1.0232,4/14/20,636,8,17
,Ghana,7.9465,-1.0232,4/15/20,636,8,17
,Ghana,7.9465,-1.0232,4/16/20,641,8,83
,Ghana,7.9465,-1.0232,4/17/20,641,8,83
