Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Greece,39.0742,21.8243,1/22/20,0,0,0
,Greece,39.0742,21.8243,1/23/20,0,0,0
,Greece,39.0742,21.8243,1/24/20,0,0,0
,Greece,39.0742,21.8243,1/25/20,0,0,0
,Greece,39.0742,21.8243,1/26/20,0,0,0
,Greece,39.0742,21.8243,1/27/20,0,0,0
,Greece,39.0742,21.8243,1/28/20,0,0,0
,Greece,39.0742,21.8243,1/29/20,0,0,0
,Greece,39.0742,21.8243,1/30/20,0,0,0
,Greece,39.0742,21.8243,1/31/20,0,0,0
,Greece,39.0742,21.8243,2/1/20,0,0,0
,Greece,39.0742,21.8243,2/2/20,0,0,0
,Greece,39.0742,21.8243,2/3/20,0,0,0
,Greece,39.0742,21.8243,2/4/20,0,0,0
,Greece,39.0742,21.8243,2/5/20,0,0,0
,Greece,39.0742,21.8243,2/6/20,0,0,0
,Greece,39.0742,21.8243,2/7/20,0,0,0
,Greece,39.0742,21.8243,2/8/20,0,0,0
,Greece,39.0742,21.8243,2/9/20,0,0,0
,Greece,39.0742,21.8243,2/10/20,0,0,0
,Greece,39.0742,21.8243,2/11/20,0,0,0
,Greece,39.0742,21.8243,2/12/20,0,0,0
,Greece,39.0742,21.8243,2/13/20,0,0,0
,Greece,39.0742,21.8243,2/14/20,0,0,0
,Greece,39.0742,21.8243,2/15/20,0,0,0
,Greece,39.0742,21.8243,2/16/20,0,0,0
,Greece,39.0742,21.8243,2/17/20,0,0,0
,Greece,39.0742,21.8243,2/18/20,0,0,0
,Greece,39.0742,21.8243,2/19/20,0,0,0
,Greece,39.0742,21.8243,2/20/20,0,0,0
,Greece,39.0742,21.8243,2/21/20,0,0,0
,Greece,39.0742,21.8243,2/22/20,0,0,0
,Greece,39.0742,21.8243,2/23/20,0,0,0
,Greece,39.0742,21.8243,2/24/20,0,0,0
,Greece,39.0742,21.8243,2/25/20,0,0,0
,Greece,39.0742,21.8243,2/26/20,1,0,0
,Greece,39.0742,21.8243,2/27/20,3,0,0
,Greece,39.0742,21.8243,2/28/20,4,0,0
,Greece,39.0742,21.8243,2/29/20,4,0,0
,Greece,39.0742,21.8243,3/1/20,7,0,0
,Greece,39.0742,21.8243,3/2/20,7,0,0
,Greece,39.0742,21.8243,3/3/20,7,0,0
,Greece,39.0742,21.8243,3/4/20,9,0,0
,Greece,39.0742,21.8243,3/5/20,31,0,0
,Greece,39.0742,21.8243,3/6/20,45,0,0
,Greece,39.0742,21.8243,3/7/20,46,0,0
,Greece,39.0742,21.8243,3/8/20,73,0,0
,Greece,39.0742,21.8243,3/9/20,73,0,0
,Greece,39.0742,21.8243,3/10/20,89,0,0
,Greece,39.0742,21.8243,3/11/20,99,1,0
,Greece,39.0742,21.8243,3/12/20,99,1,0
,Greece,39.0742,21.8243,3/13/20,190,1,0
,Greece,39.0742,21.8243,3/14/20,228,3,8
,Greece,39.0742,21.8243,3/15/20,331,4,8
,Greece,39.0742,21.8243,3/16/20,331,4,8
,Greece,39.0742,21.8243,3/17/20,387,5,8
,Greece,39.0742,21.8243,3/18/20,418,5,8
,Greece,39.0742,21.8243,3/19/20,418,6,8
,Greece,39.0742,21.8243,3/20/20,495,6,19
,Greece,39.0742,21.8243,3/21/20,530,13,19
,Greece,39.0742,21.8243,3/22/20,624,15,19
,Greece,39.0742,21.8243,3/23/20,695,17,19
,Greece,39.0742,21.8243,3/24/20,743,20,29
,Greece,39.0742,21.8243,3/25/20,821,22,36
,Greece,39.0742,21.8243,3/26/20,892,26,36
,Greece,39.0742,21.8243,3/27/20,966,28,52
,Greece,39.0742,21.8243,3/28/20,1061,32,52
,Greece,39.0742,21.8243,3/29/20,1156,38,52
,Greece,39.0742,21.8243,3/30/20,1212,43,52
,Greece,39.0742,21.8243,3/31/20,1314,49,52
,Greece,39.0742,21.8243,4/1/20,1415,50,52
,Greece,39.0742,21.8243,4/2/20,1544,53,61
,Greece,39.0742,21.8243,4/3/20,1613,63,78
,Greece,39.0742,21.8243,4/4/20,1673,68,78
,Greece,39.0742,21.8243,4/5/20,1735,73,78
,Greece,39.0742,21.8243,4/6/20,1755,79,269
,Greece,39.0742,21.8243,4/7/20,1832,81,269
,Greece,39.0742,21.8243,4/8/20,1884,83,269
,Greece,39.0742,21.8243,4/9/20,1955,87,269
,Greece,39.0742,21.8243,4/10/20,2011,92,269
,Greece,39.0742,21.8243,4/11/20,2081,93,269
,Greece,39.0742,21.8243,4/12/20,2114,98,269
,Greece,39.0742,21.8243,4/13/20,2145,99,269
,Greece,39.0742,21.8243,4/14/20,2170,101,269
,Greece,39.0742,21.8243,4/15/20,2192,102,269
,Greece,39.0742,21.8243,4/16/20,2207,105,269
,Greece,39.0742,21.8243,4/17/20,2224,108,269
,Greece,39.0742,21.8243,4/18/20,2235,110,269
,Greece,39.0742,21.8243,4/19/20,2235,113,269
,Greece,39.0742,21.8243,4/20/20,2245,116,269
,Greece,39.0742,21.8243,4/21/20,2401,121,577
,Greece,39.0742,21.8243,4/22/20,2408,121,577
,Greece,39.0742,21.8243,4/23/20,2463,125,577
,Greece,39.0742,21.8243,4/24/20,2490,130,577
,Greece,39.0742,21.8243,4/25/20,2506,130,577
,Greece,39.0742,21.8243,4/26/20,2517,134,577
,Greece,39.0742,21.8243,4/27/20,2534,136,577
,Greece,39.0742,21.8243,4/28/20,2566,138,577
,Greece,39.0742,21.8243,4/29/20,2576,139,577
,Greece,39.0742,21.8243,4/30/20,2591,140,1374
,Greece,39.0742,21.8243,5/1/20,2612,140,1374
,Greece,39.0742,21.8243,5/2/20,2620,143,1374
,Greece,39.0742,21.8243,5/3/20,2626,144,1374
,Greece,39.0742,21.8243,5/4/20,2632,146,1374
