Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Haiti,18.9712,-72.2852,1/22/20,0,0,0
,Haiti,18.9712,-72.2852,1/23/20,0,0,0
,Haiti,18.9712,-72.2852,1/24/20,0,0,0
,Haiti,18.9712,-72.2852,1/25/20,0,0,0
,Haiti,18.9712,-72.2852,1/26/20,0,0,0
,Haiti,18.9712,-72.2852,1/27/20,0,0,0
,Haiti,18.9712,-72.2852,1/28/20,0,0,0
,Haiti,18.9712,-72.2852,1/29/20,0,0,0
,Haiti,18.9712,-72.2852,1/30/20,0,0,0
,Haiti,18.9712,-72.2852,1/31/20,0,0,0
,Haiti,18.9712,-72.2852,2/1/20,0,0,0
,Haiti,18.9712,-72.2852,2/2/20,0,0,0
,Haiti,18.9712,-72.2852,2/3/20,0,0,0
,Haiti,18.9712,-72.2852,2/4/20,0,0,0
,Haiti,18.9712,-72.2852,2/5/20,0,0,0
,Haiti,18.9712,-72.2852,2/6/20,0,0,0
,Haiti,18.9712,-72.2852,2/7/20,0,0,0
,Haiti,18.9712,-72.2852,2/8/20,0,0,0
,Haiti,18.9712,-72.2852,2/9/20,0,0,0
,Haiti,18.9712,-72.2852,2/10/20,0,0,0
,Haiti,18.9712,-72.2852,2/11/20,0,0,0
,Haiti,18.9712,-72.2852,2/12/20,0,0,0
,Haiti,18.9712,-72.2852,2/13/20,0,0,0
,Haiti,18.9712,-72.2852,2/14/20,0,0,0
,Haiti,18.9712,-72.2852,2/15/20,0,0,0
,Haiti,18.9712,-72.2852,2/16/20,0,0,0
,Haiti,18.9712,-72.2852,2/17/20,0,0,0
,Haiti,18.9712,-72.2852,2/18/20,0,0,0
,Haiti,18.9712,-72.2852,2/19/20,0,0,0
,Haiti,18.9712,-72.2852,2/20/20,0,0,0
,Haiti,18.9712,-72.2852,2/21/20,0,0,0
,Haiti,18.9712,-72.2852,2/22/20,0,0,0
,Haiti,18.9712,-72.2852,2/23/20,0,0,0
,Haiti,18.9712,-72.2852,2/24/20,0,0,0
,Haiti,18.9712,-72.2852,2/25/20,0,0,0
,Haiti,18.9712,-72.2852,2/26/20,0,0,0
,Haiti,18.9712,-72.2852,2/27/20,0,0,0
,Haiti,18.9712,-72.2852,2/28/20,0,0,0
,Haiti,18.9712,-72.2852,2/29/20,0,0,0
,Haiti,18.9712,-72.2852,3/1/20,0,0,0
,Haiti,18.9712,-72.2852,3/2/20,0,0,0
,Haiti,18.9712,-72.2852,3/3/20,0,0,0
,Haiti,18.9712,-72.2852,3/4/20,0,0,0
,Haiti,18.9712,-72.2852,3/5/20,0,0,0
,Haiti,18.9712,-72.2852,3/6/20,0,0,0
,Haiti,18.9712,-72.2852,3/7/20,0,0,0
,Haiti,18.9712,-72.2852,3/8/20,0,0,0
,Haiti,18.9712,-72.2852,3/9/20,0,0,0
,Haiti,18.9712,-72.2852,3/10/20,0,0,0
,Haiti,18.9712,-72.2852,3/11/20,0,0,0
,Haiti,18.9712,-72.2852,3/12/20,0,0,0
,Haiti,18.9712,-72.2852,3/13/20,0,0,0
,Haiti,18.9712,-72.2852,3/14/20,0,0,0
,Haiti,18.9712,-72.2852,3/15/20,0,0,0
,Haiti,18.9712,-72.2852,3/16/20,0,0,0
,Haiti,18.9712,-72.2852,3/17/20,0,0,0
,Haiti,18.9712,-72.2852,3/18/20,0,0,0
,Haiti,18.9712,-72.2852,3/19/20,0,0,0
,Haiti,18.9712,-72.2852,3/20/20,2,0,0
,Haiti,18.9712,-72.2852,3/21/20,2,0,0
,Haiti,18.9712,-72.2852,3/22/20,2,0,0
,Haiti,18.9712,-72.2852,3/23/20,6,0,0
,Haiti,18.9712,-72.2852,3/24/20,7,0,0
,Haiti,18.9712,-72.2852,3/25/20,8,0,0
,Haiti,18.9712,-72.2852,3/26/20,8,0,0
,Haiti,18.9712,-72.2852,3/27/20,8,0,0
,Haiti,18.9712,-72.2852,3/28/20,8,0,0
,Haiti,18.9712,-72.2852,3/29/20,15,0,1
,Haiti,18.9712,-72.2852,3/30/20,15,0,1
,Haiti,18.9712,-72.2852,3/31/20,15,0,1
,Haiti,18.9712,-72.2852,4/1/20,16,0,1
