Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Honduras,15.2,-86.2419,1/22/20,0,0,0
,Honduras,15.2,-86.2419,1/23/20,0,0,0
,Honduras,15.2,-86.2419,1/24/20,0,0,0
,Honduras,15.2,-86.2419,1/25/20,0,0,0
,Honduras,15.2,-86.2419,1/26/20,0,0,0
,Honduras,15.2,-86.2419,1/27/20,0,0,0
,Honduras,15.2,-86.2419,1/28/20,0,0,0
,Honduras,15.2,-86.2419,1/29/20,0,0,0
,Honduras,15.2,-86.2419,1/30/20,0,0,0
,Honduras,15.2,-86.2419,1/31/20,0,0,0
,Honduras,15.2,-86.2419,2/1/20,0,0,0
,Honduras,15.2,-86.2419,2/2/20,0,0,0
,Honduras,15.2,-86.2419,2/3/20,0,0,0
,Honduras,15.2,-86.2419,2/4/20,0,0,0
,Honduras,15.2,-86.2419,2/5/20,0,0,0
,Honduras,15.2,-86.2419,2/6/20,0,0,0
,Honduras,15.2,-86.2419,2/7/20,0,0,0
,Honduras,15.2,-86.2419,2/8/20,0,0,0
,Honduras,15.2,-86.2419,2/9/20,0,0,0
,Honduras,15.2,-86.2419,2/10/20,0,0,0
,Honduras,15.2,-86.2419,2/11/20,0,0,0
,Honduras,15.2,-86.2419,2/12/20,0,0,0
,Honduras,15.2,-86.2419,2/13/20,0,0,0
,Honduras,15.2,-86.2419,2/14/20,0,0,0
,Honduras,15.2,-86.2419,2/15/20,0,0,0
,Honduras,15.2,-86.2419,2/16/20,0,0,0
,Honduras,15.2,-86.2419,2/17/20,0,0,0
,Honduras,15.2,-86.2419,2/18/20,0,0,0
,Honduras,15.2,-86.2419,2/19/20,0,0,0
,Honduras,15.2,-86.2419,2/20/20,0,0,0
,Honduras,15.2,-86.2419,2/21/20,0,0,0
,Honduras,15.2,-86.2419,2/22/20,0,0,0
,Honduras,15.2,-86.2419,2/23/20,0,0,0
,Honduras,15.2,-86.2419,2/24/20,0,0,0
,Honduras,15.2,-86.2419,2/25/20,0,0,0
,Honduras,15.2,-86.2419,2/26/20,0,0,0
,Honduras,15.2,-86.2419,2/27/20,0,0,0
,Honduras,15.2,-86.2419,2/28/20,0,0,0
,Honduras,15.2,-86.2419,2/29/20,0,0,0
,Honduras,15.2,-86.2419,3/1/20,0,0,0
,Honduras,15.2,-86.2419,3/2/20,0,0,0
,Honduras,15.2,-86.2419,3/3/20,0,0,0
,Honduras,15.2,-86.2419,3/4/20,0,0,0
,Honduras,15.2,-86.2419,3/5/20,0,0,0
,Honduras,15.2,-86.2419,3/6/20,0,0,0
,Honduras,15.2,-86.2419,3/7/20,0,0,0
,Honduras,15.2,-86.2419,3/8/20,0,0,0
,Honduras,15.2,-86.2419,3/9/20,0,0,0
,Honduras,15.2,-86.2419,3/10/20,0,0,0
,Honduras,15.2,-86.2419,3/11/20,2,0,0
,Honduras,15.2,-86.2419,3/12/20,2,0,0
,Honduras,15.2,-86.2419,3/13/20,2,0,0
,Honduras,15.2,-86.2419,3/14/20,2,0,0
,Honduras,15.2,-86.2419,3/15/20,3,0,0
,Honduras,15.2,-86.2419,3/16/20,6,0,0
,Honduras,15.2,-86.2419,3/17/20,8,0,0
,Honduras,15.2,-86.2419,3/18/20,9,0,0
,Honduras,15.2,-86.2419,3/19/20,12,0,0
,Honduras,15.2,-86.2419,3/20/20,24,0,0
,Honduras,15.2,-86.2419,3/21/20,24,0,0
,Honduras,15.2,-86.2419,3/22/20,26,0,0
,Honduras,15.2,-86.2419,3/23/20,30,0,0
,Honduras,15.2,-86.2419,3/24/20,30,0,0
,Honduras,15.2,-86.2419,3/25/20,36,0,0
,Honduras,15.2,-86.2419,3/26/20,52,1,0
,Honduras,15.2,-86.2419,3/27/20,68,1,0
,Honduras,15.2,-86.2419,3/28/20,95,1,3
,Honduras,15.2,-86.2419,3/29/20,110,3,3
,Honduras,15.2,-86.2419,3/30/20,139,7,3
,Honduras,15.2,-86.2419,3/31/20,141,7,3
,Honduras,15.2,-86.2419,4/1/20,172,10,3
,Honduras,15.2,-86.2419,4/2/20,219,14,3
,Honduras,15.2,-86.2419,4/3/20,222,15,3
,Honduras,15.2,-86.2419,4/4/20,264,15,3
,Honduras,15.2,-86.2419,4/5/20,268,22,6
,Honduras,15.2,-86.2419,4/6/20,298,22,6
,Honduras,15.2,-86.2419,4/7/20,305,22,6
,Honduras,15.2,-86.2419,4/8/20,312,22,6
,Honduras,15.2,-86.2419,4/9/20,343,23,6
,Honduras,15.2,-86.2419,4/10/20,382,23,7
,Honduras,15.2,-86.2419,4/11/20,392,24,7
,Honduras,15.2,-86.2419,4/12/20,393,25,7
,Honduras,15.2,-86.2419,4/13/20,397,25,7
,Honduras,15.2,-86.2419,4/14/20,407,26,7
,Honduras,15.2,-86.2419,4/15/20,419,31,9
,Honduras,15.2,-86.2419,4/16/20,426,35,9
,Honduras,15.2,-86.2419,4/17/20,442,41,10
,Honduras,15.2,-86.2419,4/18/20,457,46,10
,Honduras,15.2,-86.2419,4/19/20,472,46,15
,Honduras,15.2,-86.2419,4/20/20,477,46,25
,Honduras,15.2,-86.2419,4/21/20,494,46,29
,Honduras,15.2,-86.2419,4/22/20,510,46,30
,Honduras,15.2,-86.2419,4/23/20,519,47,31
,Honduras,15.2,-86.2419,4/24/20,591,55,58
,Honduras,15.2,-86.2419,4/25/20,627,59,65
