Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Hungary,47.1625,19.5033,1/22/20,0,0,0
,Hungary,47.1625,19.5033,1/23/20,0,0,0
,Hungary,47.1625,19.5033,1/24/20,0,0,0
,Hungary,47.1625,19.5033,1/25/20,0,0,0
,Hungary,47.1625,19.5033,1/26/20,0,0,0
,Hungary,47.1625,19.5033,1/27/20,0,0,0
,Hungary,47.1625,19.5033,1/28/20,0,0,0
,Hungary,47.1625,19.5033,1/29/20,0,0,0
,Hungary,47.1625,19.5033,1/30/20,0,0,0
,Hungary,47.1625,19.5033,1/31/20,0,0,0
,Hungary,47.1625,19.5033,2/1/20,0,0,0
,Hungary,47.1625,19.5033,2/2/20,0,0,0
,Hungary,47.1625,19.5033,2/3/20,0,0,0
,Hungary,47.1625,19.5033,2/4/20,0,0,0
,Hungary,47.1625,19.5033,2/5/20,0,0,0
,Hungary,47.1625,19.5033,2/6/20,0,0,0
,Hungary,47.1625,19.5033,2/7/20,0,0,0
,Hungary,47.1625,19.5033,2/8/20,0,0,0
,Hungary,47.1625,19.5033,2/9/20,0,0,0
,Hungary,47.1625,19.5033,2/10/20,0,0,0
,Hungary,47.1625,19.5033,2/11/20,0,0,0
,Hungary,47.1625,19.5033,2/12/20,0,0,0
,Hungary,47.1625,19.5033,2/13/20,0,0,0
,Hungary,47.1625,19.5033,2/14/20,0,0,0
,Hungary,47.1625,19.5033,2/15/20,0,0,0
,Hungary,47.1625,19.5033,2/16/20,0,0,0
,Hungary,47.1625,19.5033,2/17/20,0,0,0
,Hungary,47.1625,19.5033,2/18/20,0,0,0
,Hungary,47.1625,19.5033,2/19/20,0,0,0
,Hungary,47.1625,19.5033,2/20/20,0,0,0
,Hungary,47.1625,19.5033,2/21/20,0,0,0
,Hungary,47.1625,19.5033,2/22/20,0,0,0
,Hungary,47.1625,19.5033,2/23/20,0,0,0
,Hungary,47.1625,19.5033,2/24/20,0,0,0
,Hungary,47.1625,19.5033,2/25/20,0,0,0
,Hungary,47.1625,19.5033,2/26/20,0,0,0
,Hungary,47.1625,19.5033,2/27/20,0,0,0
,Hungary,47.1625,19.5033,2/28/20,0,0,0
,Hungary,47.1625,19.5033,2/29/20,0,0,0
,Hungary,47.1625,19.5033,3/1/20,0,0,0
,Hungary,47.1625,19.5033,3/2/20,0,0,0
,Hungary,47.1625,19.5033,3/3/20,0,0,0
,Hungary,47.1625,19.5033,3/4/20,2,0,0
,Hungary,47.1625,19.5033,3/5/20,2,0,0
,Hungary,47.1625,19.5033,3/6/20,2,0,0
,Hungary,47.1625,19.5033,3/7/20,4,0,0
,Hungary,47.1625,19.5033,3/8/20,7,0,0
,Hungary,47.1625,19.5033,3/9/20,9,0,0
,Hungary,47.1625,19.5033,3/10/20,9,0,0
,Hungary,47.1625,19.5033,3/11/20,13,0,0
,Hungary,47.1625,19.5033,3/12/20,13,0,0
,Hungary,47.1625,19.5033,3/13/20,19,0,0
,Hungary,47.1625,19.5033,3/14/20,30,0,1
,Hungary,47.1625,19.5033,3/15/20,32,1,1
,Hungary,47.1625,19.5033,3/16/20,39,1,1
,Hungary,47.1625,19.5033,3/17/20,50,1,2
