Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Iceland,64.9631,-19.0208,1/22/20,0,0,0
,Iceland,64.9631,-19.0208,1/23/20,0,0,0
,Iceland,64.9631,-19.0208,1/24/20,0,0,0
,Iceland,64.9631,-19.0208,1/25/20,0,0,0
,Iceland,64.9631,-19.0208,1/26/20,0,0,0
,Iceland,64.9631,-19.0208,1/27/20,0,0,0
,Iceland,64.9631,-19.0208,1/28/20,0,0,0
,Iceland,64.9631,-19.0208,1/29/20,0,0,0
,Iceland,64.9631,-19.0208,1/30/20,0,0,0
,Iceland,64.9631,-19.0208,1/31/20,0,0,0
,Iceland,64.9631,-19.0208,2/1/20,0,0,0
,Iceland,64.9631,-19.0208,2/2/20,0,0,0
,Iceland,64.9631,-19.0208,2/3/20,0,0,0
,Iceland,64.9631,-19.0208,2/4/20,0,0,0
,Iceland,64.9631,-19.0208,2/5/20,0,0,0
,Iceland,64.9631,-19.0208,2/6/20,0,0,0
,Iceland,64.9631,-19.0208,2/7/20,0,0,0
,Iceland,64.9631,-19.0208,2/8/20,0,0,0
,Iceland,64.9631,-19.0208,2/9/20,0,0,0
,Iceland,64.9631,-19.0208,2/10/20,0,0,0
,Iceland,64.9631,-19.0208,2/11/20,0,0,0
,Iceland,64.9631,-19.0208,2/12/20,0,0,0
,Iceland,64.9631,-19.0208,2/13/20,0,0,0
,Iceland,64.9631,-19.0208,2/14/20,0,0,0
,Iceland,64.9631,-19.0208,2/15/20,0,0,0
,Iceland,64.9631,-19.0208,2/16/20,0,0,0
,Iceland,64.9631,-19.0208,2/17/20,0,0,0
,Iceland,64.9631,-19.0208,2/18/20,0,0,0
,Iceland,64.9631,-19.0208,2/19/20,0,0,0
,Iceland,64.9631,-19.0208,2/20/20,0,0,0
,Iceland,64.9631,-19.0208,2/21/20,0,0,0
,Iceland,64.9631,-19.0208,2/22/20,0,0,0
,Iceland,64.9631,-19.0208,2/23/20,0,0,0
,Iceland,64.9631,-19.0208,2/24/20,0,0,0
,Iceland,64.9631,-19.0208,2/25/20,0,0,0
,Iceland,64.9631,-19.0208,2/26/20,0,0,0
,Iceland,64.9631,-19.0208,2/27/20,0,0,0
,Iceland,64.9631,-19.0208,2/28/20,1,0,0
,Iceland,64.9631,-19.0208,2/29/20,1,0,0
,Iceland,64.9631,-19.0208,3/1/20,3,0,0
,Iceland,64.9631,-19.0208,3/2/20,6,0,0
,Iceland,64.9631,-19.0208,3/3/20,11,0,0
,Iceland,64.9631,-19.0208,3/4/20,26,0,0
,Iceland,64.9631,-19.0208,3/5/20,34,0,0
,Iceland,64.9631,-19.0208,3/6/20,43,0,0
,Iceland,64.9631,-19.0208,3/7/20,50,0,0
,Iceland,64.9631,-19.0208,3/8/20,50,0,0
,Iceland,64.9631,-19.0208,3/9/20,58,0,0
,Iceland,64.9631,-19.0208,3/10/20,69,0,1
,Iceland,64.9631,-19.0208,3/11/20,85,0,1
,Iceland,64.9631,-19.0208,3/12/20,103,0,1
,Iceland,64.9631,-19.0208,3/13/20,134,0,1
,Iceland,64.9631,-19.0208,3/14/20,156,0,1
,Iceland,64.9631,-19.0208,3/15/20,171,5,8
,Iceland,64.9631,-19.0208,3/16/20,180,0,0
,Iceland,64.9631,-19.0208,3/17/20,220,1,0
,Iceland,64.9631,-19.0208,3/18/20,250,1,5
,Iceland,64.9631,-19.0208,3/19/20,330,1,5
,Iceland,64.9631,-19.0208,3/20/20,409,0,5
,Iceland,64.9631,-19.0208,3/21/20,473,1,22
,Iceland,64.9631,-19.0208,3/22/20,568,1,36
,Iceland,64.9631,-19.0208,3/23/20,588,1,36
,Iceland,64.9631,-19.0208,3/24/20,648,2,51
,Iceland,64.9631,-19.0208,3/25/20,737,2,56
,Iceland,64.9631,-19.0208,3/26/20,802,2,82
,Iceland,64.9631,-19.0208,3/27/20,890,2,97
,Iceland,64.9631,-19.0208,3/28/20,963,2,114
,Iceland,64.9631,-19.0208,3/29/20,1020,2,135
,Iceland,64.9631,-19.0208,3/30/20,1086,2,157
,Iceland,64.9631,-19.0208,3/31/20,1135,2,198
,Iceland,64.9631,-19.0208,4/1/20,1220,2,225
,Iceland,64.9631,-19.0208,4/2/20,1319,4,284
,Iceland,64.9631,-19.0208,4/3/20,1364,4,309
,Iceland,64.9631,-19.0208,4/4/20,1417,4,396
,Iceland,64.9631,-19.0208,4/5/20,1486,4,428
,Iceland,64.9631,-19.0208,4/6/20,1562,6,460
,Iceland,64.9631,-19.0208,4/7/20,1586,6,559
,Iceland,64.9631,-19.0208,4/8/20,1616,6,633
,Iceland,64.9631,-19.0208,4/9/20,1648,6,688
,Iceland,64.9631,-19.0208,4/10/20,1675,7,751
,Iceland,64.9631,-19.0208,4/11/20,1689,8,841
,Iceland,64.9631,-19.0208,4/12/20,1701,8,889
,Iceland,64.9631,-19.0208,4/13/20,1711,8,933
,Iceland,64.9631,-19.0208,4/14/20,1720,8,989
,Iceland,64.9631,-19.0208,4/15/20,1727,8,1077
,Iceland,64.9631,-19.0208,4/16/20,1739,8,1144
,Iceland,64.9631,-19.0208,4/17/20,1754,9,1224
,Iceland,64.9631,-19.0208,4/18/20,1760,9,1291
