Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Indonesia,-0.7893,113.9213,1/22/20,0,0,0
,Indonesia,-0.7893,113.9213,1/23/20,0,0,0
,Indonesia,-0.7893,113.9213,1/24/20,0,0,0
,Indonesia,-0.7893,113.9213,1/25/20,0,0,0
,Indonesia,-0.7893,113.9213,1/26/20,0,0,0
,Indonesia,-0.7893,113.9213,1/27/20,0,0,0
,Indonesia,-0.7893,113.9213,1/28/20,0,0,0
,Indonesia,-0.7893,113.9213,1/29/20,0,0,0
,Indonesia,-0.7893,113.9213,1/30/20,0,0,0
,Indonesia,-0.7893,113.9213,1/31/20,0,0,0
,Indonesia,-0.7893,113.9213,2/1/20,0,0,0
,Indonesia,-0.7893,113.9213,2/2/20,0,0,0
,Indonesia,-0.7893,113.9213,2/3/20,0,0,0
,Indonesia,-0.7893,113.9213,2/4/20,0,0,0
,Indonesia,-0.7893,113.9213,2/5/20,0,0,0
,Indonesia,-0.7893,113.9213,2/6/20,0,0,0
,Indonesia,-0.7893,113.9213,2/7/20,0,0,0
,Indonesia,-0.7893,113.9213,2/8/20,0,0,0
,Indonesia,-0.7893,113.9213,2/9/20,0,0,0
,Indonesia,-0.7893,113.9213,2/10/20,0,0,0
,Indonesia,-0.7893,113.9213,2/11/20,0,0,0
,Indonesia,-0.7893,113.9213,2/12/20,0,0,0
,Indonesia,-0.7893,113.9213,2/13/20,0,0,0
,Indonesia,-0.7893,113.9213,2/14/20,0,0,0
,Indonesia,-0.7893,113.9213,2/15/20,0,0,0
,Indonesia,-0.7893,113.9213,2/16/20,0,0,0
,Indonesia,-0.7893,113.9213,2/17/20,0,0,0
,Indonesia,-0.7893,113.9213,2/18/20,0,0,0
,Indonesia,-0.7893,113.9213,2/19/20,0,0,0
,Indonesia,-0.7893,113.9213,2/20/20,0,0,0
,Indonesia,-0.7893,113.9213,2/21/20,0,0,0
,Indonesia,-0.7893,113.9213,2/22/20,0,0,0
,Indonesia,-0.7893,113.9213,2/23/20,0,0,0
,Indonesia,-0.7893,113.9213,2/24/20,0,0,0
