Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Iraq,33.223191,43.679291,1/22/20,0,0,0
,Iraq,33.223191,43.679291,1/23/20,0,0,0
,Iraq,33.223191,43.679291,1/24/20,0,0,0
,Iraq,33.223191,43.679291,1/25/20,0,0,0
,Iraq,33.223191,43.679291,1/26/20,0,0,0
,Iraq,33.223191,43.679291,1/27/20,0,0,0
,Iraq,33.223191,43.679291,1/28/20,0,0,0
,Iraq,33.223191,43.679291,1/29/20,0,0,0
,Iraq,33.223191,43.679291,1/30/20,0,0,0
,Iraq,33.223191,43.679291,1/31/20,0,0,0
,Iraq,33.223191,43.679291,2/1/20,0,0,0
,Iraq,33.223191,43.679291,2/2/20,0,0,0
,Iraq,33.223191,43.679291,2/3/20,0,0,0
,Iraq,33.223191,43.679291,2/4/20,0,0,0
,Iraq,33.223191,43.679291,2/5/20,0,0,0
,Iraq,33.223191,43.679291,2/6/20,0,0,0
,Iraq,33.223191,43.679291,2/7/20,0,0,0
,Iraq,33.223191,43.679291,2/8/20,0,0,0
,Iraq,33.223191,43.679291,2/9/20,0,0,0
,Iraq,33.223191,43.679291,2/10/20,0,0,0
,Iraq,33.223191,43.679291,2/11/20,0,0,0
,Iraq,33.223191,43.679291,2/12/20,0,0,0
,Iraq,33.223191,43.679291,2/13/20,0,0,0
,Iraq,33.223191,43.679291,2/14/20,0,0,0
,Iraq,33.223191,43.679291,2/15/20,0,0,0
,Iraq,33.223191,43.679291,2/16/20,0,0,0
,Iraq,33.223191,43.679291,2/17/20,0,0,0
,Iraq,33.223191,43.679291,2/18/20,0,0,0
,Iraq,33.223191,43.679291,2/19/20,0,0,0
,Iraq,33.223191,43.679291,2/20/20,0,0,0
,Iraq,33.223191,43.679291,2/21/20,0,0,0
,Iraq,33.223191,43.679291,2/22/20,0,0,0
,Iraq,33.223191,43.679291,2/23/20,0,0,0
,Iraq,33.223191,43.679291,2/24/20,1,0,0
,Iraq,33.223191,43.679291,2/25/20,1,0,0
,Iraq,33.223191,43.679291,2/26/20,5,0,0
,Iraq,33.223191,43.679291,2/27/20,7,0,0
,Iraq,33.223191,43.679291,2/28/20,7,0,0
,Iraq,33.223191,43.679291,2/29/20,13,0,0
,Iraq,33.223191,43.679291,3/1/20,19,0,0
,Iraq,33.223191,43.679291,3/2/20,26,0,0
