Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Italy,41.87194,12.56738,1/22/20,0,0,0
,Italy,41.87194,12.56738,1/23/20,0,0,0
,Italy,41.87194,12.56738,1/24/20,0,0,0
,Italy,41.87194,12.56738,1/25/20,0,0,0
,Italy,41.87194,12.56738,1/26/20,0,0,0
,Italy,41.87194,12.56738,1/27/20,0,0,0
,Italy,41.87194,12.56738,1/28/20,0,0,0
,Italy,41.87194,12.56738,1/29/20,0,0,0
,Italy,41.87194,12.56738,1/30/20,0,0,0
,Italy,41.87194,12.56738,1/31/20,2,0,0
,Italy,41.87194,12.56738,2/1/20,2,0,0
,Italy,41.87194,12.56738,2/2/20,2,0,0
,Italy,41.87194,12.56738,2/3/20,2,0,0
,Italy,41.87194,12.56738,2/4/20,2,0,0
,Italy,41.87194,12.56738,2/5/20,2,0,0
,Italy,41.87194,12.56738,2/6/20,2,0,0
,Italy,41.87194,12.56738,2/7/20,3,0,0
,Italy,41.87194,12.56738,2/8/20,3,0,0
,Italy,41.87194,12.56738,2/9/20,3,0,0
,Italy,41.87194,12.56738,2/10/20,3,0,0
,Italy,41.87194,12.56738,2/11/20,3,0,0
,Italy,41.87194,12.56738,2/12/20,3,0,0
,Italy,41.87194,12.56738,2/13/20,3,0,0
,Italy,41.87194,12.56738,2/14/20,3,0,0
,Italy,41.87194,12.56738,2/15/20,3,0,0
,Italy,41.87194,12.56738,2/16/20,3,0,0
,Italy,41.87194,12.56738,2/17/20,3,0,0
,Italy,41.87194,12.56738,2/18/20,3,0,0
,Italy,41.87194,12.56738,2/19/20,3,0,0
,Italy,41.87194,12.56738,2/20/20,3,0,0
,Italy,41.87194,12.56738,2/21/20,20,1,0
,Italy,41.87194,12.56738,2/22/20,62,2,1
,Italy,41.87194,12.56738,2/23/20,155,3,2
,Italy,41.87194,12.56738,2/24/20,229,7,1
,Italy,41.87194,12.56738,2/25/20,322,10,1
,Italy,41.87194,12.56738,2/26/20,453,12,3
,Italy,41.87194,12.56738,2/27/20,655,17,45
,Italy,41.87194,12.56738,2/28/20,888,21,46
,Italy,41.87194,12.56738,2/29/20,1128,29,46
,Italy,41.87194,12.56738,3/1/20,1694,34,83
,Italy,41.87194,12.56738,3/2/20,2036,52,149
,Italy,41.87194,12.56738,3/3/20,2502,79,160
,Italy,41.87194,12.56738,3/4/20,3089,107,276
,Italy,41.87194,12.56738,3/5/20,3858,148,414
,Italy,41.87194,12.56738,3/6/20,4636,197,523
,Italy,41.87194,12.56738,3/7/20,5883,233,589
,Italy,41.87194,12.56738,3/8/20,7375,366,622
,Italy,41.87194,12.56738,3/9/20,9172,463,724
,Italy,41.87194,12.56738,3/10/20,10149,631,724
,Italy,41.87194,12.56738,3/11/20,12462,827,1045
,Italy,41.87194,12.56738,3/12/20,15113,1016,1045
,Italy,41.87194,12.56738,3/13/20,17660,1266,1439
,Italy,41.87194,12.56738,3/14/20,21157,1441,1966
,Italy,41.87194,12.56738,3/15/20,24747,1809,2335
,Italy,41.87194,12.56738,3/16/20,27980,2158,2749
,Italy,41.87194,12.56738,3/17/20,31506,2503,2941
,Italy,41.87194,12.56738,3/18/20,35713,2978,4025
,Italy,41.87194,12.56738,3/19/20,41035,3405,4440
,Italy,41.87194,12.56738,3/20/20,47021,4032,4440
,Italy,41.87194,12.56738,3/21/20,53578,4825,6072
,Italy,41.87194,12.56738,3/22/20,59138,5476,7024
,Italy,41.87194,12.56738,3/23/20,63927,6077,7024
,Italy,41.87194,12.56738,3/24/20,69176,6820,8326
,Italy,41.87194,12.56738,3/25/20,74386,7503,9362
,Italy,41.87194,12.56738,3/26/20,80589,8215,10361
,Italy,41.87194,12.56738,3/27/20,86498,9134,10950
,Italy,41.87194,12.56738,3/28/20,92472,10023,12384
,Italy,41.87194,12.56738,3/29/20,97689,10779,13030
,Italy,41.87194,12.56738,3/30/20,101739,11591,14620
,Italy,41.87194,12.56738,3/31/20,105792,12428,15729
,Italy,41.87194,12.56738,4/1/20,110574,13155,16847
,Italy,41.87194,12.56738,4/2/20,115242,13915,18278
,Italy,41.87194,12.56738,4/3/20,119827,14681,19758
