Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Japan,36.204824,138.252924,1/22/20,2,0,0
,Japan,36.204824,138.252924,1/23/20,2,0,0
,Japan,36.204824,138.252924,1/24/20,2,0,0
,Japan,36.204824,138.252924,1/25/20,2,0,0
,Japan,36.204824,138.252924,1/26/20,4,0,1
,Japan,36.204824,138.252924,1/27/20,4,0,1
,Japan,36.204824,138.252924,1/28/20,7,0,1
,Japan,36.204824,138.252924,1/29/20,7,0,1
,Japan,36.204824,138.252924,1/30/20,11,0,1
,Japan,36.204824,138.252924,1/31/20,15,0,1
,Japan,36.204824,138.252924,2/1/20,20,0,1
,Japan,36.204824,138.252924,2/2/20,20,0,1
,Japan,36.204824,138.252924,2/3/20,20,0,1
,Japan,36.204824,138.252924,2/4/20,22,0,1
,Japan,36.204824,138.252924,2/5/20,23,0,1
,Japan,36.204824,138.252924,2/6/20,23,0,1
,Japan,36.204824,138.252924,2/7/20,23,0,1
,Japan,36.204824,138.252924,2/8/20,24,0,1
,Japan,36.204824,138.252924,2/9/20,24,0,1
,Japan,36.204824,138.252924,2/10/20,26,0,4
,Japan,36.204824,138.252924,2/11/20,27,0,9
,Japan,36.204824,138.252924,2/12/20,28,0,9
,Japan,36.204824,138.252924,2/13/20,33,1,9
,Japan,36.204824,138.252924,2/14/20,43,1,9
,Japan,36.204824,138.252924,2/15/20,54,1,12
,Japan,36.204824,138.252924,2/16/20,60,1,12
,Japan,36.204824,138.252924,2/17/20,67,1,12
,Japan,36.204824,138.252924,2/18/20,79,2,13
,Japan,36.204824,138.252924,2/19/20,85,2,18
,Japan,36.204824,138.252924,2/20/20,95,2,18
,Japan,36.204824,138.252924,2/21/20,112,2,22
,Japan,36.204824,138.252924,2/22/20,137,2,22
,Japan,36.204824,138.252924,2/23/20,149,2,22
,Japan,36.204824,138.252924,2/24/20,160,2,22
,Japan,36.204824,138.252924,2/25/20,173,3,22
,Japan,36.204824,138.252924,2/26/20,192,3,22
,Japan,36.204824,138.252924,2/27/20,218,4,22
,Japan,36.204824,138.252924,2/28/20,236,5,22
,Japan,36.204824,138.252924,2/29/20,245,6,32
,Japan,36.204824,138.252924,3/1/20,259,6,32
,Japan,36.204824,138.252924,3/2/20,278,6,32
,Japan,36.204824,138.252924,3/3/20,298,6,43
,Japan,36.204824,138.252924,3/4/20,333,7,43
,Japan,36.204824,138.252924,3/5/20,365,7,43
,Japan,36.204824,138.252924,3/6/20,420,7,46
,Japan,36.204824,138.252924,3/7/20,466,7,76
