Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Jordan,31.24,36.51,1/22/20,0,0,0
,Jordan,31.24,36.51,1/23/20,0,0,0
,Jordan,31.24,36.51,1/24/20,0,0,0
,Jordan,31.24,36.51,1/25/20,0,0,0
,Jordan,31.24,36.51,1/26/20,0,0,0
,Jordan,31.24,36.51,1/27/20,0,0,0
,Jordan,31.24,36.51,1/28/20,0,0,0
,Jordan,31.24,36.51,1/29/20,0,0,0
,Jordan,31.24,36.51,1/30/20,0,0,0
,Jordan,31.24,36.51,1/31/20,0,0,0
,Jordan,31.24,36.51,2/1/20,0,0,0
,Jordan,31.24,36.51,2/2/20,0,0,0
,Jordan,31.24,36.51,2/3/20,0,0,0
,Jordan,31.24,36.51,2/4/20,0,0,0
,Jordan,31.24,36.51,2/5/20,0,0,0
,Jordan,31.24,36.51,2/6/20,0,0,0
,Jordan,31.24,36.51,2/7/20,0,0,0
,Jordan,31.24,36.51,2/8/20,0,0,0
,Jordan,31.24,36.51,2/9/20,0,0,0
,Jordan,31.24,36.51,2/10/20,0,0,0
,Jordan,31.24,36.51,2/11/20,0,0,0
,Jordan,31.24,36.51,2/12/20,0,0,0
,Jordan,31.24,36.51,2/13/20,0,0,0
,Jordan,31.24,36.51,2/14/20,0,0,0
,Jordan,31.24,36.51,2/15/20,0,0,0
,Jordan,31.24,36.51,2/16/20,0,0,0
,Jordan,31.24,36.51,2/17/20,0,0,0
,Jordan,31.24,36.51,2/18/20,0,0,0
,Jordan,31.24,36.51,2/19/20,0,0,0
,Jordan,31.24,36.51,2/20/20,0,0,0
,Jordan,31.24,36.51,2/21/20,0,0,0
,Jordan,31.24,36.51,2/22/20,0,0,0
,Jordan,31.24,36.51,2/23/20,0,0,0
,Jordan,31.24,36.51,2/24/20,0,0,0
,Jordan,31.24,36.51,2/25/20,0,0,0
,Jordan,31.24,36.51,2/26/20,0,0,0
,Jordan,31.24,36.51,2/27/20,0,0,0
,Jordan,31.24,36.51,2/28/20,0,0,0
,Jordan,31.24,36.51,2/29/20,0,0,0
,Jordan,31.24,36.51,3/1/20,0,0,0
,Jordan,31.24,36.51,3/2/20,0,0,0
,Jordan,31.24,36.51,3/3/20,1,0,0
,Jordan,31.24,36.51,3/4/20,1,0,0
,Jordan,31.24,36.51,3/5/20,1,0,0
,Jordan,31.24,36.51,3/6/20,1,0,0
,Jordan,31.24,36.51,3/7/20,1,0,0
,Jordan,31.24,36.51,3/8/20,1,0,0
,Jordan,31.24,36.51,3/9/20,1,0,0
,Jordan,31.24,36.51,3/10/20,1,0,0
,Jordan,31.24,36.51,3/11/20,1,0,0
,Jordan,31.24,36.51,3/12/20,1,0,0
,Jordan,31.24,36.51,3/13/20,1,0,1
,Jordan,31.24,36.51,3/14/20,1,0,1
,Jordan,31.24,36.51,3/15/20,8,0,1
,Jordan,31.24,36.51,3/16/20,17,0,1
,Jordan,31.24,36.51,3/17/20,34,0,1
,Jordan,31.24,36.51,3/18/20,52,0,1
,Jordan,31.24,36.51,3/19/20,69,0,1
,Jordan,31.24,36.51,3/20/20,85,0,1
,Jordan,31.24,36.51,3/21/20,85,0,1
,Jordan,31.24,36.51,3/22/20,112,0,1
,Jordan,31.24,36.51,3/23/20,127,0,1
,Jordan,31.24,36.51,3/24/20,154,0,1
,Jordan,31.24,36.51,3/25/20,172,0,1
,Jordan,31.24,36.51,3/26/20,212,0,1
,Jordan,31.24,36.51,3/27/20,235,1,18
,Jordan,31.24,36.51,3/28/20,246,1,18
,Jordan,31.24,36.51,3/29/20,259,3,18
,Jordan,31.24,36.51,3/30/20,268,5,26
,Jordan,31.24,36.51,3/31/20,274,5,30
,Jordan,31.24,36.51,4/1/20,278,5,36
,Jordan,31.24,36.51,4/2/20,299,5,45
,Jordan,31.24,36.51,4/3/20,310,5,58
,Jordan,31.24,36.51,4/4/20,323,5,74
,Jordan,31.24,36.51,4/5/20,345,5,110
,Jordan,31.24,36.51,4/6/20,349,6,126
,Jordan,31.24,36.51,4/7/20,353,6,138
,Jordan,31.24,36.51,4/8/20,358,6,150
,Jordan,31.24,36.51,4/9/20,372,7,161
,Jordan,31.24,36.51,4/10/20,372,7,170
,Jordan,31.24,36.51,4/11/20,381,7,177
,Jordan,31.24,36.51,4/12/20,389,7,201
,Jordan,31.24,36.51,4/13/20,391,7,215
,Jordan,31.24,36.51,4/14/20,397,7,235
,Jordan,31.24,36.51,4/15/20,401,7,250
,Jordan,31.24,36.51,4/16/20,402,7,259
,Jordan,31.24,36.51,4/17/20,407,7,265
,Jordan,31.24,36.51,4/18/20,413,7,269
,Jordan,31.24,36.51,4/19/20,417,7,276
,Jordan,31.24,36.51,4/20/20,425,7,282
,Jordan,31.24,36.51,4/21/20,428,7,297
,Jordan,31.24,36.51,4/22/20,435,7,315
,Jordan,31.24,36.51,4/23/20,437,7,318
,Jordan,31.24,36.51,4/24/20,441,7,326
,Jordan,31.24,36.51,4/25/20,444,7,332
,Jordan,31.24,36.51,4/26/20,447,7,337
,Jordan,31.24,36.51,4/27/20,449,7,342
,Jordan,31.24,36.51,4/28/20,449,8,348
,Jordan,31.24,36.51,4/29/20,451,8,356
,Jordan,31.24,36.51,4/30/20,453,8,362
,Jordan,31.24,36.51,5/1/20,459,8,364
,Jordan,31.24,36.51,5/2/20,460,9,367
,Jordan,31.24,36.51,5/3/20,461,9,367
,Jordan,31.24,36.51,5/4/20,465,9,370
,Jordan,31.24,36.51,5/5/20,471,9,375
,Jordan,31.24,36.51,5/6/20,473,9,377
,Jordan,31.24,36.51,5/7/20,494,9,381
,Jordan,31.24,36.51,5/8/20,508,9,385
,Jordan,31.24,36.51,5/9/20,522,9,387
,Jordan,31.24,36.51,5/10/20,540,9,389
,Jordan,31.24,36.51,5/11/20,562,9,390
,Jordan,31.24,36.51,5/12/20,576,9,390
,Jordan,31.24,36.51,5/13/20,582,9,392
,Jordan,31.24,36.51,5/14/20,586,9,393
,Jordan,31.24,36.51,5/15/20,596,9,401
,Jordan,31.24,36.51,5/16/20,607,9,404
,Jordan,31.24,36.51,5/17/20,613,9,408
,Jordan,31.24,36.51,5/18/20,629,9,413
,Jordan,31.24,36.51,5/19/20,649,9,417
,Jordan,31.24,36.51,5/20/20,672,9,446
,Jordan,31.24,36.51,5/21/20,684,9,457
,Jordan,31.24,36.51,5/22/20,700,9,461
,Jordan,31.24,36.51,5/23/20,704,9,470
,Jordan,31.24,36.51,5/24/20,708,9,471
,Jordan,31.24,36.51,5/25/20,711,9,479
,Jordan,31.24,36.51,5/26/20,718,9,586
,Jordan,31.24,36.51,5/27/20,720,9,586
,Jordan,31.24,36.51,5/28/20,728,9,497
,Jordan,31.24,36.51,5/29/20,730,9,507
,Jordan,31.24,36.51,5/30/20,734,9,507
,Jordan,31.24,36.51,5/31/20,739,9,522
,Jordan,31.24,36.51,6/1/20,746,9,535
,Jordan,31.24,36.51,6/2/20,755,9,549
,Jordan,31.24,36.51,6/3/20,757,9,561
,Jordan,31.24,36.51,6/4/20,765,9,566
,Jordan,31.24,36.51,6/5/20,784,9,571
,Jordan,31.24,36.51,6/6/20,795,9,586
,Jordan,31.24,36.51,6/7/20,808,9,607
,Jordan,31.24,36.51,6/8/20,831,9,627
,Jordan,31.24,36.51,6/9/20,845,9,657
,Jordan,31.24,36.51,6/10/20,863,9,663
,Jordan,31.24,36.51,6/11/20,890,9,670
,Jordan,31.24,36.51,6/12/20,915,9,671
