Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Kazakhstan,48.0196,66.9237,1/22/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/23/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/24/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/25/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/26/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/27/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/28/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/29/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/30/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/31/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/1/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/2/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/3/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/4/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/5/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/6/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/7/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/8/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/9/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/10/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/11/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/12/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/13/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/14/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/15/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/16/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/17/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/18/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/19/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/20/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/21/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/22/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/23/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/24/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/25/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/26/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/27/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/28/20,0,0,0
,Kazakhstan,48.0196,66.9237,2/29/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/1/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/2/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/3/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/4/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/5/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/6/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/7/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/8/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/9/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/10/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/11/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/12/20,0,0,0
,Kazakhstan,48.0196,66.9237,3/13/20,4,0,0
,Kazakhstan,48.0196,66.9237,3/14/20,6,0,0
,Kazakhstan,48.0196,66.9237,3/15/20,9,0,0
,Kazakhstan,48.0196,66.9237,3/16/20,10,0,0
,Kazakhstan,48.0196,66.9237,3/17/20,33,0,0
,Kazakhstan,48.0196,66.9237,3/18/20,35,0,0
,Kazakhstan,48.0196,66.9237,3/19/20,44,0,0
,Kazakhstan,48.0196,66.9237,3/20/20,49,3,0
,Kazakhstan,48.0196,66.9237,3/21/20,53,0,0
,Kazakhstan,48.0196,66.9237,3/22/20,60,0,0
,Kazakhstan,48.0196,66.9237,3/23/20,62,0,0
,Kazakhstan,48.0196,66.9237,3/24/20,72,0,0
,Kazakhstan,48.0196,66.9237,3/25/20,81,0,0
,Kazakhstan,48.0196,66.9237,3/26/20,111,1,2
,Kazakhstan,48.0196,66.9237,3/27/20,150,1,3
,Kazakhstan,48.0196,66.9237,3/28/20,228,1,16
,Kazakhstan,48.0196,66.9237,3/29/20,284,1,20
,Kazakhstan,48.0196,66.9237,3/30/20,302,1,21
,Kazakhstan,48.0196,66.9237,3/31/20,343,2,24
,Kazakhstan,48.0196,66.9237,4/1/20,380,3,26
,Kazakhstan,48.0196,66.9237,4/2/20,435,3,27
,Kazakhstan,48.0196,66.9237,4/3/20,464,6,29
,Kazakhstan,48.0196,66.9237,4/4/20,531,5,36
,Kazakhstan,48.0196,66.9237,4/5/20,584,6,42
,Kazakhstan,48.0196,66.9237,4/6/20,662,6,46
,Kazakhstan,48.0196,66.9237,4/7/20,697,6,51
