Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Lebanon,33.8547,35.8623,1/22/20,0,0,0
,Lebanon,33.8547,35.8623,1/23/20,0,0,0
,Lebanon,33.8547,35.8623,1/24/20,0,0,0
,Lebanon,33.8547,35.8623,1/25/20,0,0,0
,Lebanon,33.8547,35.8623,1/26/20,0,0,0
,Lebanon,33.8547,35.8623,1/27/20,0,0,0
,Lebanon,33.8547,35.8623,1/28/20,0,0,0
,Lebanon,33.8547,35.8623,1/29/20,0,0,0
,Lebanon,33.8547,35.8623,1/30/20,0,0,0
,Lebanon,33.8547,35.8623,1/31/20,0,0,0
,Lebanon,33.8547,35.8623,2/1/20,0,0,0
,Lebanon,33.8547,35.8623,2/2/20,0,0,0
,Lebanon,33.8547,35.8623,2/3/20,0,0,0
,Lebanon,33.8547,35.8623,2/4/20,0,0,0
,Lebanon,33.8547,35.8623,2/5/20,0,0,0
,Lebanon,33.8547,35.8623,2/6/20,0,0,0
,Lebanon,33.8547,35.8623,2/7/20,0,0,0
,Lebanon,33.8547,35.8623,2/8/20,0,0,0
,Lebanon,33.8547,35.8623,2/9/20,0,0,0
,Lebanon,33.8547,35.8623,2/10/20,0,0,0
,Lebanon,33.8547,35.8623,2/11/20,0,0,0
,Lebanon,33.8547,35.8623,2/12/20,0,0,0
,Lebanon,33.8547,35.8623,2/13/20,0,0,0
,Lebanon,33.8547,35.8623,2/14/20,0,0,0
,Lebanon,33.8547,35.8623,2/15/20,0,0,0
,Lebanon,33.8547,35.8623,2/16/20,0,0,0
,Lebanon,33.8547,35.8623,2/17/20,0,0,0
,Lebanon,33.8547,35.8623,2/18/20,0,0,0
,Lebanon,33.8547,35.8623,2/19/20,0,0,0
,Lebanon,33.8547,35.8623,2/20/20,0,0,0
,Lebanon,33.8547,35.8623,2/21/20,1,0,0
,Lebanon,33.8547,35.8623,2/22/20,1,0,0
,Lebanon,33.8547,35.8623,2/23/20,1,0,0
,Lebanon,33.8547,35.8623,2/24/20,1,0,0
,Lebanon,33.8547,35.8623,2/25/20,1,0,0
,Lebanon,33.8547,35.8623,2/26/20,2,0,0
,Lebanon,33.8547,35.8623,2/27/20,2,0,0
,Lebanon,33.8547,35.8623,2/28/20,2,0,0
,Lebanon,33.8547,35.8623,2/29/20,4,0,0
,Lebanon,33.8547,35.8623,3/1/20,10,0,0
,Lebanon,33.8547,35.8623,3/2/20,13,0,0
,Lebanon,33.8547,35.8623,3/3/20,13,0,0
,Lebanon,33.8547,35.8623,3/4/20,13,0,1
,Lebanon,33.8547,35.8623,3/5/20,16,0,1
,Lebanon,33.8547,35.8623,3/6/20,22,0,1
,Lebanon,33.8547,35.8623,3/7/20,22,0,1
,Lebanon,33.8547,35.8623,3/8/20,32,0,1
,Lebanon,33.8547,35.8623,3/9/20,32,0,1
,Lebanon,33.8547,35.8623,3/10/20,41,1,1
,Lebanon,33.8547,35.8623,3/11/20,61,3,1
,Lebanon,33.8547,35.8623,3/12/20,61,3,1
,Lebanon,33.8547,35.8623,3/13/20,77,3,1
,Lebanon,33.8547,35.8623,3/14/20,93,3,1
,Lebanon,33.8547,35.8623,3/15/20,110,3,1
,Lebanon,33.8547,35.8623,3/16/20,110,3,1
,Lebanon,33.8547,35.8623,3/17/20,120,3,3
,Lebanon,33.8547,35.8623,3/18/20,133,3,3
,Lebanon,33.8547,35.8623,3/19/20,157,4,4
,Lebanon,33.8547,35.8623,3/20/20,163,4,4
,Lebanon,33.8547,35.8623,3/21/20,187,4,4
,Lebanon,33.8547,35.8623,3/22/20,248,4,8
,Lebanon,33.8547,35.8623,3/23/20,267,4,8
,Lebanon,33.8547,35.8623,3/24/20,318,4,8
,Lebanon,33.8547,35.8623,3/25/20,333,6,20
,Lebanon,33.8547,35.8623,3/26/20,368,6,23
,Lebanon,33.8547,35.8623,3/27/20,391,8,27
,Lebanon,33.8547,35.8623,3/28/20,412,8,30
,Lebanon,33.8547,35.8623,3/29/20,438,10,30
,Lebanon,33.8547,35.8623,3/30/20,446,11,35
,Lebanon,33.8547,35.8623,3/31/20,470,12,37
,Lebanon,33.8547,35.8623,4/1/20,479,14,43
,Lebanon,33.8547,35.8623,4/2/20,494,16,46
,Lebanon,33.8547,35.8623,4/3/20,508,17,50
,Lebanon,33.8547,35.8623,4/4/20,520,17,54
,Lebanon,33.8547,35.8623,4/5/20,527,18,54
,Lebanon,33.8547,35.8623,4/6/20,541,19,60
,Lebanon,33.8547,35.8623,4/7/20,548,19,62
,Lebanon,33.8547,35.8623,4/8/20,576,19,62
,Lebanon,33.8547,35.8623,4/9/20,582,19,67
,Lebanon,33.8547,35.8623,4/10/20,609,20,76
,Lebanon,33.8547,35.8623,4/11/20,619,20,77
,Lebanon,33.8547,35.8623,4/12/20,630,20,80
,Lebanon,33.8547,35.8623,4/13/20,632,20,80
,Lebanon,33.8547,35.8623,4/14/20,641,21,80
,Lebanon,33.8547,35.8623,4/15/20,658,21,85
,Lebanon,33.8547,35.8623,4/16/20,663,21,86
,Lebanon,33.8547,35.8623,4/17/20,668,21,86
,Lebanon,33.8547,35.8623,4/18/20,672,21,99
,Lebanon,33.8547,35.8623,4/19/20,673,21,102
,Lebanon,33.8547,35.8623,4/20/20,677,21,103
,Lebanon,33.8547,35.8623,4/21/20,677,21,108
,Lebanon,33.8547,35.8623,4/22/20,682,22,113
,Lebanon,33.8547,35.8623,4/23/20,688,22,140
,Lebanon,33.8547,35.8623,4/24/20,696,22,140
,Lebanon,33.8547,35.8623,4/25/20,704,24,143
,Lebanon,33.8547,35.8623,4/26/20,707,24,145
,Lebanon,33.8547,35.8623,4/27/20,710,24,145
,Lebanon,33.8547,35.8623,4/28/20,717,24,145
,Lebanon,33.8547,35.8623,4/29/20,721,24,150
,Lebanon,33.8547,35.8623,4/30/20,725,24,150
,Lebanon,33.8547,35.8623,5/1/20,729,24,192
,Lebanon,33.8547,35.8623,5/2/20,733,25,197
,Lebanon,33.8547,35.8623,5/3/20,737,25,200
,Lebanon,33.8547,35.8623,5/4/20,740,25,200
,Lebanon,33.8547,35.8623,5/5/20,741,25,206
,Lebanon,33.8547,35.8623,5/6/20,750,25,206
,Lebanon,33.8547,35.8623,5/7/20,784,25,220
,Lebanon,33.8547,35.8623,5/8/20,796,26,223
,Lebanon,33.8547,35.8623,5/9/20,809,26,234
,Lebanon,33.8547,35.8623,5/10/20,845,26,234
,Lebanon,33.8547,35.8623,5/11/20,859,26,234
,Lebanon,33.8547,35.8623,5/12/20,870,26,234
,Lebanon,33.8547,35.8623,5/13/20,878,26,236
,Lebanon,33.8547,35.8623,5/14/20,886,26,236
,Lebanon,33.8547,35.8623,5/15/20,891,26,246
,Lebanon,33.8547,35.8623,5/16/20,902,26,247
,Lebanon,33.8547,35.8623,5/17/20,911,26,247
,Lebanon,33.8547,35.8623,5/18/20,931,26,251
,Lebanon,33.8547,35.8623,5/19/20,954,26,251
,Lebanon,33.8547,35.8623,5/20/20,961,26,251
,Lebanon,33.8547,35.8623,5/21/20,1024,26,663
