Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Liberia,6.4280550000000005,-9.429499,1/22/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/23/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/24/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/25/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/26/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/27/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/28/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/29/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/30/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,1/31/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/1/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/2/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/3/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/4/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/5/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/6/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/7/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/8/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/9/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/10/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/11/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/12/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/13/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/14/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/15/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/16/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/17/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/18/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/19/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/20/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/21/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/22/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/23/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/24/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/25/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/26/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/27/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/28/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,2/29/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/1/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/2/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/3/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/4/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/5/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/6/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/7/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/8/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/9/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/10/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/11/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/12/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/13/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/14/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/15/20,0,0,0
,Liberia,6.4280550000000005,-9.429499,3/16/20,1,0,0
,Liberia,6.4280550000000005,-9.429499,3/17/20,1,0,0
,Liberia,6.4280550000000005,-9.429499,3/18/20,2,0,0
,Liberia,6.4280550000000005,-9.429499,3/19/20,2,0,0
,Liberia,6.4280550000000005,-9.429499,3/20/20,2,0,0
,Liberia,6.4280550000000005,-9.429499,3/21/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/22/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/23/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/24/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/25/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/26/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/27/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/28/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/29/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/30/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,3/31/20,3,0,0
,Liberia,6.4280550000000005,-9.429499,4/1/20,6,0,0
,Liberia,6.4280550000000005,-9.429499,4/2/20,6,0,0
,Liberia,6.4280550000000005,-9.429499,4/3/20,7,0,0
,Liberia,6.4280550000000005,-9.429499,4/4/20,10,1,3
,Liberia,6.4280550000000005,-9.429499,4/5/20,13,3,3
,Liberia,6.4280550000000005,-9.429499,4/6/20,14,3,3
,Liberia,6.4280550000000005,-9.429499,4/7/20,14,3,3
,Liberia,6.4280550000000005,-9.429499,4/8/20,31,4,3
,Liberia,6.4280550000000005,-9.429499,4/9/20,31,4,3
,Liberia,6.4280550000000005,-9.429499,4/10/20,37,5,3
,Liberia,6.4280550000000005,-9.429499,4/11/20,48,5,3
,Liberia,6.4280550000000005,-9.429499,4/12/20,50,5,3
,Liberia,6.4280550000000005,-9.429499,4/13/20,59,6,4
,Liberia,6.4280550000000005,-9.429499,4/14/20,59,6,4
,Liberia,6.4280550000000005,-9.429499,4/15/20,59,6,4
,Liberia,6.4280550000000005,-9.429499,4/16/20,59,6,4
,Liberia,6.4280550000000005,-9.429499,4/17/20,76,7,7
,Liberia,6.4280550000000005,-9.429499,4/18/20,76,7,7
,Liberia,6.4280550000000005,-9.429499,4/19/20,91,8,7
,Liberia,6.4280550000000005,-9.429499,4/20/20,99,8,7
,Liberia,6.4280550000000005,-9.429499,4/21/20,101,8,7
,Liberia,6.4280550000000005,-9.429499,4/22/20,101,8,20
,Liberia,6.4280550000000005,-9.429499,4/23/20,101,8,20
,Liberia,6.4280550000000005,-9.429499,4/24/20,117,8,25
,Liberia,6.4280550000000005,-9.429499,4/25/20,120,11,25
,Liberia,6.4280550000000005,-9.429499,4/26/20,124,12,25
,Liberia,6.4280550000000005,-9.429499,4/27/20,124,12,25
,Liberia,6.4280550000000005,-9.429499,4/28/20,141,16,45
,Liberia,6.4280550000000005,-9.429499,4/29/20,141,16,45
,Liberia,6.4280550000000005,-9.429499,4/30/20,141,16,45
,Liberia,6.4280550000000005,-9.429499,5/1/20,152,18,45
,Liberia,6.4280550000000005,-9.429499,5/2/20,154,18,48
,Liberia,6.4280550000000005,-9.429499,5/3/20,158,18,58
,Liberia,6.4280550000000005,-9.429499,5/4/20,166,18,58
,Liberia,6.4280550000000005,-9.429499,5/5/20,170,20,58
,Liberia,6.4280550000000005,-9.429499,5/6/20,178,20,75
,Liberia,6.4280550000000005,-9.429499,5/7/20,189,20,79
,Liberia,6.4280550000000005,-9.429499,5/8/20,199,20,79
,Liberia,6.4280550000000005,-9.429499,5/9/20,199,20,79
,Liberia,6.4280550000000005,-9.429499,5/10/20,199,20,79
,Liberia,6.4280550000000005,-9.429499,5/11/20,211,20,85
,Liberia,6.4280550000000005,-9.429499,5/12/20,211,20,85
,Liberia,6.4280550000000005,-9.429499,5/13/20,213,20,101
,Liberia,6.4280550000000005,-9.429499,5/14/20,215,20,105
,Liberia,6.4280550000000005,-9.429499,5/15/20,219,20,108
,Liberia,6.4280550000000005,-9.429499,5/16/20,223,20,116
