Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Liechtenstein,47.14,9.55,1/22/20,0,0,0
,Liechtenstein,47.14,9.55,1/23/20,0,0,0
,Liechtenstein,47.14,9.55,1/24/20,0,0,0
,Liechtenstein,47.14,9.55,1/25/20,0,0,0
,Liechtenstein,47.14,9.55,1/26/20,0,0,0
,Liechtenstein,47.14,9.55,1/27/20,0,0,0
,Liechtenstein,47.14,9.55,1/28/20,0,0,0
,Liechtenstein,47.14,9.55,1/29/20,0,0,0
,Liechtenstein,47.14,9.55,1/30/20,0,0,0
,Liechtenstein,47.14,9.55,1/31/20,0,0,0
,Liechtenstein,47.14,9.55,2/1/20,0,0,0
,Liechtenstein,47.14,9.55,2/2/20,0,0,0
,Liechtenstein,47.14,9.55,2/3/20,0,0,0
,Liechtenstein,47.14,9.55,2/4/20,0,0,0
,Liechtenstein,47.14,9.55,2/5/20,0,0,0
,Liechtenstein,47.14,9.55,2/6/20,0,0,0
,Liechtenstein,47.14,9.55,2/7/20,0,0,0
,Liechtenstein,47.14,9.55,2/8/20,0,0,0
,Liechtenstein,47.14,9.55,2/9/20,0,0,0
,Liechtenstein,47.14,9.55,2/10/20,0,0,0
,Liechtenstein,47.14,9.55,2/11/20,0,0,0
,Liechtenstein,47.14,9.55,2/12/20,0,0,0
,Liechtenstein,47.14,9.55,2/13/20,0,0,0
,Liechtenstein,47.14,9.55,2/14/20,0,0,0
,Liechtenstein,47.14,9.55,2/15/20,0,0,0
,Liechtenstein,47.14,9.55,2/16/20,0,0,0
,Liechtenstein,47.14,9.55,2/17/20,0,0,0
,Liechtenstein,47.14,9.55,2/18/20,0,0,0
,Liechtenstein,47.14,9.55,2/19/20,0,0,0
,Liechtenstein,47.14,9.55,2/20/20,0,0,0
,Liechtenstein,47.14,9.55,2/21/20,0,0,0
,Liechtenstein,47.14,9.55,2/22/20,0,0,0
,Liechtenstein,47.14,9.55,2/23/20,0,0,0
,Liechtenstein,47.14,9.55,2/24/20,0,0,0
,Liechtenstein,47.14,9.55,2/25/20,0,0,0
,Liechtenstein,47.14,9.55,2/26/20,0,0,0
,Liechtenstein,47.14,9.55,2/27/20,0,0,0
,Liechtenstein,47.14,9.55,2/28/20,0,0,0
,Liechtenstein,47.14,9.55,2/29/20,0,0,0
,Liechtenstein,47.14,9.55,3/1/20,0,0,0
,Liechtenstein,47.14,9.55,3/2/20,0,0,0
,Liechtenstein,47.14,9.55,3/3/20,0,0,0
,Liechtenstein,47.14,9.55,3/4/20,1,0,0
,Liechtenstein,47.14,9.55,3/5/20,1,0,0
,Liechtenstein,47.14,9.55,3/6/20,1,0,0
,Liechtenstein,47.14,9.55,3/7/20,1,0,0
,Liechtenstein,47.14,9.55,3/8/20,1,0,0
,Liechtenstein,47.14,9.55,3/9/20,1,0,0
,Liechtenstein,47.14,9.55,3/10/20,1,0,0
,Liechtenstein,47.14,9.55,3/11/20,1,0,0
,Liechtenstein,47.14,9.55,3/12/20,1,0,1
,Liechtenstein,47.14,9.55,3/13/20,1,0,1
,Liechtenstein,47.14,9.55,3/14/20,4,0,1
,Liechtenstein,47.14,9.55,3/15/20,4,0,1
,Liechtenstein,47.14,9.55,3/16/20,4,0,1
,Liechtenstein,47.14,9.55,3/17/20,7,0,1
,Liechtenstein,47.14,9.55,3/18/20,28,0,1
,Liechtenstein,47.14,9.55,3/19/20,28,0,1
,Liechtenstein,47.14,9.55,3/20/20,28,0,1
,Liechtenstein,47.14,9.55,3/21/20,37,0,4
,Liechtenstein,47.14,9.55,3/22/20,37,0,4
,Liechtenstein,47.14,9.55,3/23/20,51,0,5
,Liechtenstein,47.14,9.55,3/24/20,51,0,7
,Liechtenstein,47.14,9.55,3/25/20,51,0,7
,Liechtenstein,47.14,9.55,3/26/20,56,0,12
,Liechtenstein,47.14,9.55,3/27/20,56,0,19
,Liechtenstein,47.14,9.55,3/28/20,56,0,28
,Liechtenstein,47.14,9.55,3/29/20,56,0,28
,Liechtenstein,47.14,9.55,3/30/20,62,0,37
,Liechtenstein,47.14,9.55,3/31/20,68,0,44
,Liechtenstein,47.14,9.55,4/1/20,68,0,46
,Liechtenstein,47.14,9.55,4/2/20,75,0,50
,Liechtenstein,47.14,9.55,4/3/20,76,0,51
,Liechtenstein,47.14,9.55,4/4/20,77,1,55
,Liechtenstein,47.14,9.55,4/5/20,77,1,56
,Liechtenstein,47.14,9.55,4/6/20,77,1,58
,Liechtenstein,47.14,9.55,4/7/20,78,1,61
,Liechtenstein,47.14,9.55,4/8/20,78,1,61
,Liechtenstein,47.14,9.55,4/9/20,78,1,66
,Liechtenstein,47.14,9.55,4/10/20,79,1,70
,Liechtenstein,47.14,9.55,4/11/20,79,1,72
,Liechtenstein,47.14,9.55,4/12/20,79,1,77
,Liechtenstein,47.14,9.55,4/13/20,79,1,77
,Liechtenstein,47.14,9.55,4/14/20,79,1,77
,Liechtenstein,47.14,9.55,4/15/20,79,1,77
,Liechtenstein,47.14,9.55,4/16/20,79,1,77
,Liechtenstein,47.14,9.55,4/17/20,79,1,77
,Liechtenstein,47.14,9.55,4/18/20,79,1,77
,Liechtenstein,47.14,9.55,4/19/20,81,1,78
,Liechtenstein,47.14,9.55,4/20/20,81,1,78
,Liechtenstein,47.14,9.55,4/21/20,81,1,78
,Liechtenstein,47.14,9.55,4/22/20,81,1,79
,Liechtenstein,47.14,9.55,4/23/20,81,1,79
,Liechtenstein,47.14,9.55,4/24/20,81,1,79
,Liechtenstein,47.14,9.55,4/25/20,81,1,79
,Liechtenstein,47.14,9.55,4/26/20,82,1,79
,Liechtenstein,47.14,9.55,4/27/20,82,1,79
,Liechtenstein,47.14,9.55,4/28/20,82,1,80
,Liechtenstein,47.14,9.55,4/29/20,82,1,80
,Liechtenstein,47.14,9.55,4/30/20,82,1,80
,Liechtenstein,47.14,9.55,5/1/20,82,1,80
,Liechtenstein,47.14,9.55,5/2/20,82,1,80
,Liechtenstein,47.14,9.55,5/3/20,82,1,80
,Liechtenstein,47.14,9.55,5/4/20,82,1,80
,Liechtenstein,47.14,9.55,5/5/20,82,1,80
,Liechtenstein,47.14,9.55,5/6/20,82,1,81
,Liechtenstein,47.14,9.55,5/7/20,82,1,81
,Liechtenstein,47.14,9.55,5/8/20,82,1,81
,Liechtenstein,47.14,9.55,5/9/20,82,1,81
,Liechtenstein,47.14,9.55,5/10/20,82,1,81
,Liechtenstein,47.14,9.55,5/11/20,82,1,81
,Liechtenstein,47.14,9.55,5/12/20,82,1,81
,Liechtenstein,47.14,9.55,5/13/20,82,1,81
,Liechtenstein,47.14,9.55,5/14/20,82,1,81
,Liechtenstein,47.14,9.55,5/15/20,82,1,81
,Liechtenstein,47.14,9.55,5/16/20,82,1,81
,Liechtenstein,47.14,9.55,5/17/20,82,1,81
,Liechtenstein,47.14,9.55,5/18/20,82,1,81
,Liechtenstein,47.14,9.55,5/19/20,82,1,81
,Liechtenstein,47.14,9.55,5/20/20,82,1,81
,Liechtenstein,47.14,9.55,5/21/20,82,1,81
,Liechtenstein,47.14,9.55,5/22/20,82,1,81
,Liechtenstein,47.14,9.55,5/23/20,82,1,81
