Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Maldives,3.2028,73.2207,1/22/20,0,0,0
,Maldives,3.2028,73.2207,1/23/20,0,0,0
,Maldives,3.2028,73.2207,1/24/20,0,0,0
,Maldives,3.2028,73.2207,1/25/20,0,0,0
,Maldives,3.2028,73.2207,1/26/20,0,0,0
,Maldives,3.2028,73.2207,1/27/20,0,0,0
,Maldives,3.2028,73.2207,1/28/20,0,0,0
,Maldives,3.2028,73.2207,1/29/20,0,0,0
,Maldives,3.2028,73.2207,1/30/20,0,0,0
,Maldives,3.2028,73.2207,1/31/20,0,0,0
,Maldives,3.2028,73.2207,2/1/20,0,0,0
,Maldives,3.2028,73.2207,2/2/20,0,0,0
,Maldives,3.2028,73.2207,2/3/20,0,0,0
,Maldives,3.2028,73.2207,2/4/20,0,0,0
,Maldives,3.2028,73.2207,2/5/20,0,0,0
,Maldives,3.2028,73.2207,2/6/20,0,0,0
,Maldives,3.2028,73.2207,2/7/20,0,0,0
,Maldives,3.2028,73.2207,2/8/20,0,0,0
,Maldives,3.2028,73.2207,2/9/20,0,0,0
,Maldives,3.2028,73.2207,2/10/20,0,0,0
,Maldives,3.2028,73.2207,2/11/20,0,0,0
,Maldives,3.2028,73.2207,2/12/20,0,0,0
,Maldives,3.2028,73.2207,2/13/20,0,0,0
,Maldives,3.2028,73.2207,2/14/20,0,0,0
,Maldives,3.2028,73.2207,2/15/20,0,0,0
,Maldives,3.2028,73.2207,2/16/20,0,0,0
,Maldives,3.2028,73.2207,2/17/20,0,0,0
,Maldives,3.2028,73.2207,2/18/20,0,0,0
,Maldives,3.2028,73.2207,2/19/20,0,0,0
,Maldives,3.2028,73.2207,2/20/20,0,0,0
,Maldives,3.2028,73.2207,2/21/20,0,0,0
,Maldives,3.2028,73.2207,2/22/20,0,0,0
,Maldives,3.2028,73.2207,2/23/20,0,0,0
,Maldives,3.2028,73.2207,2/24/20,0,0,0
,Maldives,3.2028,73.2207,2/25/20,0,0,0
,Maldives,3.2028,73.2207,2/26/20,0,0,0
,Maldives,3.2028,73.2207,2/27/20,0,0,0
,Maldives,3.2028,73.2207,2/28/20,0,0,0
,Maldives,3.2028,73.2207,2/29/20,0,0,0
,Maldives,3.2028,73.2207,3/1/20,0,0,0
,Maldives,3.2028,73.2207,3/2/20,0,0,0
,Maldives,3.2028,73.2207,3/3/20,0,0,0
,Maldives,3.2028,73.2207,3/4/20,0,0,0
,Maldives,3.2028,73.2207,3/5/20,0,0,0
,Maldives,3.2028,73.2207,3/6/20,0,0,0
,Maldives,3.2028,73.2207,3/7/20,0,0,0
,Maldives,3.2028,73.2207,3/8/20,4,0,0
,Maldives,3.2028,73.2207,3/9/20,4,0,0
,Maldives,3.2028,73.2207,3/10/20,6,0,0
,Maldives,3.2028,73.2207,3/11/20,8,0,0
,Maldives,3.2028,73.2207,3/12/20,8,0,0
,Maldives,3.2028,73.2207,3/13/20,9,0,0
,Maldives,3.2028,73.2207,3/14/20,10,0,0
,Maldives,3.2028,73.2207,3/15/20,13,0,0
,Maldives,3.2028,73.2207,3/16/20,13,0,0
,Maldives,3.2028,73.2207,3/17/20,13,0,0
,Maldives,3.2028,73.2207,3/18/20,13,0,0
,Maldives,3.2028,73.2207,3/19/20,13,0,0
,Maldives,3.2028,73.2207,3/20/20,13,0,0
,Maldives,3.2028,73.2207,3/21/20,13,0,0
,Maldives,3.2028,73.2207,3/22/20,13,0,0
,Maldives,3.2028,73.2207,3/23/20,13,0,0
,Maldives,3.2028,73.2207,3/24/20,13,0,5
,Maldives,3.2028,73.2207,3/25/20,13,0,8
,Maldives,3.2028,73.2207,3/26/20,13,0,8
,Maldives,3.2028,73.2207,3/27/20,16,0,9
,Maldives,3.2028,73.2207,3/28/20,16,0,9
,Maldives,3.2028,73.2207,3/29/20,17,0,13
,Maldives,3.2028,73.2207,3/30/20,17,0,13
,Maldives,3.2028,73.2207,3/31/20,18,0,13
,Maldives,3.2028,73.2207,4/1/20,19,0,13
,Maldives,3.2028,73.2207,4/2/20,19,0,13
,Maldives,3.2028,73.2207,4/3/20,19,0,13
,Maldives,3.2028,73.2207,4/4/20,19,0,13
,Maldives,3.2028,73.2207,4/5/20,19,0,13
,Maldives,3.2028,73.2207,4/6/20,19,0,13
,Maldives,3.2028,73.2207,4/7/20,19,0,13
,Maldives,3.2028,73.2207,4/8/20,19,0,13
,Maldives,3.2028,73.2207,4/9/20,19,0,13
,Maldives,3.2028,73.2207,4/10/20,19,0,13
,Maldives,3.2028,73.2207,4/11/20,19,0,13
,Maldives,3.2028,73.2207,4/12/20,20,0,14
,Maldives,3.2028,73.2207,4/13/20,20,0,14
,Maldives,3.2028,73.2207,4/14/20,20,0,16
,Maldives,3.2028,73.2207,4/15/20,22,0,16
,Maldives,3.2028,73.2207,4/16/20,25,0,16
,Maldives,3.2028,73.2207,4/17/20,28,0,16
,Maldives,3.2028,73.2207,4/18/20,35,0,16
,Maldives,3.2028,73.2207,4/19/20,52,0,16
,Maldives,3.2028,73.2207,4/20/20,69,0,16
,Maldives,3.2028,73.2207,4/21/20,83,0,16
,Maldives,3.2028,73.2207,4/22/20,86,0,16
,Maldives,3.2028,73.2207,4/23/20,108,0,16
,Maldives,3.2028,73.2207,4/24/20,129,0,16
,Maldives,3.2028,73.2207,4/25/20,177,0,17
,Maldives,3.2028,73.2207,4/26/20,214,0,17
,Maldives,3.2028,73.2207,4/27/20,226,0,17
,Maldives,3.2028,73.2207,4/28/20,250,0,17
,Maldives,3.2028,73.2207,4/29/20,278,1,17
,Maldives,3.2028,73.2207,4/30/20,468,1,17
,Maldives,3.2028,73.2207,5/1/20,491,1,17
,Maldives,3.2028,73.2207,5/2/20,519,1,18
,Maldives,3.2028,73.2207,5/3/20,527,1,18
,Maldives,3.2028,73.2207,5/4/20,541,1,18
,Maldives,3.2028,73.2207,5/5/20,573,2,20
,Maldives,3.2028,73.2207,5/6/20,617,2,20
,Maldives,3.2028,73.2207,5/7/20,648,3,20
,Maldives,3.2028,73.2207,5/8/20,744,3,20
,Maldives,3.2028,73.2207,5/9/20,790,3,29
,Maldives,3.2028,73.2207,5/10/20,835,3,29
,Maldives,3.2028,73.2207,5/11/20,897,3,29
,Maldives,3.2028,73.2207,5/12/20,904,3,29
,Maldives,3.2028,73.2207,5/13/20,955,4,40
,Maldives,3.2028,73.2207,5/14/20,982,4,45
,Maldives,3.2028,73.2207,5/15/20,1031,4,49
,Maldives,3.2028,73.2207,5/16/20,1078,4,58
,Maldives,3.2028,73.2207,5/17/20,1094,4,58
,Maldives,3.2028,73.2207,5/18/20,1106,4,58
,Maldives,3.2028,73.2207,5/19/20,1143,4,91
,Maldives,3.2028,73.2207,5/20/20,1186,4,91
,Maldives,3.2028,73.2207,5/21/20,1216,4,91
,Maldives,3.2028,73.2207,5/22/20,1274,4,109
,Maldives,3.2028,73.2207,5/23/20,1313,4,128
,Maldives,3.2028,73.2207,5/24/20,1371,4,144
,Maldives,3.2028,73.2207,5/25/20,1395,4,155
