Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Moldova,47.4116,28.3699,1/22/20,0,0,0
,Moldova,47.4116,28.3699,1/23/20,0,0,0
,Moldova,47.4116,28.3699,1/24/20,0,0,0
,Moldova,47.4116,28.3699,1/25/20,0,0,0
,Moldova,47.4116,28.3699,1/26/20,0,0,0
,Moldova,47.4116,28.3699,1/27/20,0,0,0
,Moldova,47.4116,28.3699,1/28/20,0,0,0
,Moldova,47.4116,28.3699,1/29/20,0,0,0
,Moldova,47.4116,28.3699,1/30/20,0,0,0
,Moldova,47.4116,28.3699,1/31/20,0,0,0
,Moldova,47.4116,28.3699,2/1/20,0,0,0
,Moldova,47.4116,28.3699,2/2/20,0,0,0
,Moldova,47.4116,28.3699,2/3/20,0,0,0
,Moldova,47.4116,28.3699,2/4/20,0,0,0
,Moldova,47.4116,28.3699,2/5/20,0,0,0
,Moldova,47.4116,28.3699,2/6/20,0,0,0
,Moldova,47.4116,28.3699,2/7/20,0,0,0
,Moldova,47.4116,28.3699,2/8/20,0,0,0
,Moldova,47.4116,28.3699,2/9/20,0,0,0
,Moldova,47.4116,28.3699,2/10/20,0,0,0
,Moldova,47.4116,28.3699,2/11/20,0,0,0
,Moldova,47.4116,28.3699,2/12/20,0,0,0
,Moldova,47.4116,28.3699,2/13/20,0,0,0
,Moldova,47.4116,28.3699,2/14/20,0,0,0
,Moldova,47.4116,28.3699,2/15/20,0,0,0
,Moldova,47.4116,28.3699,2/16/20,0,0,0
,Moldova,47.4116,28.3699,2/17/20,0,0,0
,Moldova,47.4116,28.3699,2/18/20,0,0,0
,Moldova,47.4116,28.3699,2/19/20,0,0,0
,Moldova,47.4116,28.3699,2/20/20,0,0,0
,Moldova,47.4116,28.3699,2/21/20,0,0,0
,Moldova,47.4116,28.3699,2/22/20,0,0,0
,Moldova,47.4116,28.3699,2/23/20,0,0,0
,Moldova,47.4116,28.3699,2/24/20,0,0,0
,Moldova,47.4116,28.3699,2/25/20,0,0,0
,Moldova,47.4116,28.3699,2/26/20,0,0,0
,Moldova,47.4116,28.3699,2/27/20,0,0,0
,Moldova,47.4116,28.3699,2/28/20,0,0,0
,Moldova,47.4116,28.3699,2/29/20,0,0,0
,Moldova,47.4116,28.3699,3/1/20,0,0,0
,Moldova,47.4116,28.3699,3/2/20,0,0,0
,Moldova,47.4116,28.3699,3/3/20,0,0,0
,Moldova,47.4116,28.3699,3/4/20,0,0,0
,Moldova,47.4116,28.3699,3/5/20,0,0,0
,Moldova,47.4116,28.3699,3/6/20,0,0,0
,Moldova,47.4116,28.3699,3/7/20,0,0,0
,Moldova,47.4116,28.3699,3/8/20,1,0,0
,Moldova,47.4116,28.3699,3/9/20,1,0,0
,Moldova,47.4116,28.3699,3/10/20,3,0,0
,Moldova,47.4116,28.3699,3/11/20,3,0,0
,Moldova,47.4116,28.3699,3/12/20,3,0,0
,Moldova,47.4116,28.3699,3/13/20,6,0,0
,Moldova,47.4116,28.3699,3/14/20,12,0,0
,Moldova,47.4116,28.3699,3/15/20,23,0,0
,Moldova,47.4116,28.3699,3/16/20,23,0,0
,Moldova,47.4116,28.3699,3/17/20,30,0,1
,Moldova,47.4116,28.3699,3/18/20,30,1,1
,Moldova,47.4116,28.3699,3/19/20,49,1,1
,Moldova,47.4116,28.3699,3/20/20,66,1,1
,Moldova,47.4116,28.3699,3/21/20,80,1,1
,Moldova,47.4116,28.3699,3/22/20,94,1,1
,Moldova,47.4116,28.3699,3/23/20,109,1,1
,Moldova,47.4116,28.3699,3/24/20,125,1,2
,Moldova,47.4116,28.3699,3/25/20,149,1,2
,Moldova,47.4116,28.3699,3/26/20,177,1,2
,Moldova,47.4116,28.3699,3/27/20,199,2,2
,Moldova,47.4116,28.3699,3/28/20,231,2,2
,Moldova,47.4116,28.3699,3/29/20,263,2,2
,Moldova,47.4116,28.3699,3/30/20,298,2,15
,Moldova,47.4116,28.3699,3/31/20,353,4,18
,Moldova,47.4116,28.3699,4/1/20,423,5,23
,Moldova,47.4116,28.3699,4/2/20,505,6,23
,Moldova,47.4116,28.3699,4/3/20,591,8,26
,Moldova,47.4116,28.3699,4/4/20,752,12,29
,Moldova,47.4116,28.3699,4/5/20,864,15,30
,Moldova,47.4116,28.3699,4/6/20,965,19,37
,Moldova,47.4116,28.3699,4/7/20,1056,22,40
,Moldova,47.4116,28.3699,4/8/20,1174,27,40
,Moldova,47.4116,28.3699,4/9/20,1289,29,50
,Moldova,47.4116,28.3699,4/10/20,1438,29,56
,Moldova,47.4116,28.3699,4/11/20,1560,30,75
,Moldova,47.4116,28.3699,4/12/20,1662,31,94
,Moldova,47.4116,28.3699,4/13/20,1712,35,107
