Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Monaco,43.7333,7.4167,1/22/20,0,0,0
,Monaco,43.7333,7.4167,1/23/20,0,0,0
,Monaco,43.7333,7.4167,1/24/20,0,0,0
,Monaco,43.7333,7.4167,1/25/20,0,0,0
,Monaco,43.7333,7.4167,1/26/20,0,0,0
,Monaco,43.7333,7.4167,1/27/20,0,0,0
,Monaco,43.7333,7.4167,1/28/20,0,0,0
,Monaco,43.7333,7.4167,1/29/20,0,0,0
,Monaco,43.7333,7.4167,1/30/20,0,0,0
,Monaco,43.7333,7.4167,1/31/20,0,0,0
,Monaco,43.7333,7.4167,2/1/20,0,0,0
,Monaco,43.7333,7.4167,2/2/20,0,0,0
,Monaco,43.7333,7.4167,2/3/20,0,0,0
,Monaco,43.7333,7.4167,2/4/20,0,0,0
,Monaco,43.7333,7.4167,2/5/20,0,0,0
,Monaco,43.7333,7.4167,2/6/20,0,0,0
,Monaco,43.7333,7.4167,2/7/20,0,0,0
,Monaco,43.7333,7.4167,2/8/20,0,0,0
,Monaco,43.7333,7.4167,2/9/20,0,0,0
,Monaco,43.7333,7.4167,2/10/20,0,0,0
,Monaco,43.7333,7.4167,2/11/20,0,0,0
,Monaco,43.7333,7.4167,2/12/20,0,0,0
,Monaco,43.7333,7.4167,2/13/20,0,0,0
,Monaco,43.7333,7.4167,2/14/20,0,0,0
,Monaco,43.7333,7.4167,2/15/20,0,0,0
,Monaco,43.7333,7.4167,2/16/20,0,0,0
,Monaco,43.7333,7.4167,2/17/20,0,0,0
,Monaco,43.7333,7.4167,2/18/20,0,0,0
,Monaco,43.7333,7.4167,2/19/20,0,0,0
,Monaco,43.7333,7.4167,2/20/20,0,0,0
,Monaco,43.7333,7.4167,2/21/20,0,0,0
,Monaco,43.7333,7.4167,2/22/20,0,0,0
,Monaco,43.7333,7.4167,2/23/20,0,0,0
,Monaco,43.7333,7.4167,2/24/20,0,0,0
,Monaco,43.7333,7.4167,2/25/20,0,0,0
,Monaco,43.7333,7.4167,2/26/20,0,0,0
,Monaco,43.7333,7.4167,2/27/20,0,0,0
,Monaco,43.7333,7.4167,2/28/20,0,0,0
,Monaco,43.7333,7.4167,2/29/20,1,0,0
,Monaco,43.7333,7.4167,3/1/20,1,0,0
,Monaco,43.7333,7.4167,3/2/20,1,0,0
,Monaco,43.7333,7.4167,3/3/20,1,0,0
,Monaco,43.7333,7.4167,3/4/20,1,0,0
,Monaco,43.7333,7.4167,3/5/20,1,0,0
,Monaco,43.7333,7.4167,3/6/20,1,0,0
,Monaco,43.7333,7.4167,3/7/20,1,0,0
,Monaco,43.7333,7.4167,3/8/20,1,0,0
,Monaco,43.7333,7.4167,3/9/20,1,0,0
,Monaco,43.7333,7.4167,3/10/20,1,0,0
,Monaco,43.7333,7.4167,3/11/20,1,0,0
,Monaco,43.7333,7.4167,3/12/20,2,0,0
,Monaco,43.7333,7.4167,3/13/20,2,0,0
,Monaco,43.7333,7.4167,3/14/20,2,0,0
,Monaco,43.7333,7.4167,3/15/20,2,0,0
,Monaco,43.7333,7.4167,3/16/20,7,0,0
,Monaco,43.7333,7.4167,3/17/20,7,0,0
,Monaco,43.7333,7.4167,3/18/20,7,0,0
,Monaco,43.7333,7.4167,3/19/20,7,0,0
,Monaco,43.7333,7.4167,3/20/20,11,0,0
,Monaco,43.7333,7.4167,3/21/20,11,0,0
,Monaco,43.7333,7.4167,3/22/20,23,0,1
,Monaco,43.7333,7.4167,3/23/20,23,0,1
,Monaco,43.7333,7.4167,3/24/20,23,0,1
,Monaco,43.7333,7.4167,3/25/20,31,0,1
,Monaco,43.7333,7.4167,3/26/20,33,0,1
,Monaco,43.7333,7.4167,3/27/20,42,0,1
,Monaco,43.7333,7.4167,3/28/20,42,0,1
,Monaco,43.7333,7.4167,3/29/20,46,1,1
,Monaco,43.7333,7.4167,3/30/20,49,1,1
,Monaco,43.7333,7.4167,3/31/20,52,1,2
,Monaco,43.7333,7.4167,4/1/20,55,1,2
,Monaco,43.7333,7.4167,4/2/20,60,1,2
,Monaco,43.7333,7.4167,4/3/20,64,1,3
,Monaco,43.7333,7.4167,4/4/20,66,1,3
,Monaco,43.7333,7.4167,4/5/20,73,1,3
,Monaco,43.7333,7.4167,4/6/20,77,1,4
,Monaco,43.7333,7.4167,4/7/20,79,1,4
,Monaco,43.7333,7.4167,4/8/20,81,1,4
,Monaco,43.7333,7.4167,4/9/20,84,1,5
,Monaco,43.7333,7.4167,4/10/20,90,1,5
,Monaco,43.7333,7.4167,4/11/20,92,1,5
,Monaco,43.7333,7.4167,4/12/20,93,1,6
,Monaco,43.7333,7.4167,4/13/20,93,1,6
,Monaco,43.7333,7.4167,4/14/20,93,1,6
,Monaco,43.7333,7.4167,4/15/20,93,3,12
,Monaco,43.7333,7.4167,4/16/20,93,3,12
,Monaco,43.7333,7.4167,4/17/20,94,3,20
,Monaco,43.7333,7.4167,4/18/20,94,3,22
,Monaco,43.7333,7.4167,4/19/20,94,3,22
,Monaco,43.7333,7.4167,4/20/20,94,3,23
,Monaco,43.7333,7.4167,4/21/20,94,3,26
,Monaco,43.7333,7.4167,4/22/20,94,3,26
,Monaco,43.7333,7.4167,4/23/20,94,4,35
,Monaco,43.7333,7.4167,4/24/20,94,4,41
,Monaco,43.7333,7.4167,4/25/20,94,4,42
,Monaco,43.7333,7.4167,4/26/20,94,4,42
,Monaco,43.7333,7.4167,4/27/20,95,4,42
,Monaco,43.7333,7.4167,4/28/20,95,4,50
,Monaco,43.7333,7.4167,4/29/20,95,4,58
,Monaco,43.7333,7.4167,4/30/20,95,4,64
,Monaco,43.7333,7.4167,5/1/20,95,4,73
,Monaco,43.7333,7.4167,5/2/20,95,4,78
,Monaco,43.7333,7.4167,5/3/20,95,4,78
,Monaco,43.7333,7.4167,5/4/20,95,4,78
,Monaco,43.7333,7.4167,5/5/20,95,4,81
,Monaco,43.7333,7.4167,5/6/20,95,4,82
,Monaco,43.7333,7.4167,5/7/20,95,4,82
,Monaco,43.7333,7.4167,5/8/20,95,4,82
,Monaco,43.7333,7.4167,5/9/20,96,4,82
,Monaco,43.7333,7.4167,5/10/20,96,4,82
,Monaco,43.7333,7.4167,5/11/20,96,4,85
,Monaco,43.7333,7.4167,5/12/20,96,4,85
,Monaco,43.7333,7.4167,5/13/20,96,4,87
,Monaco,43.7333,7.4167,5/14/20,96,4,87
,Monaco,43.7333,7.4167,5/15/20,96,4,87
,Monaco,43.7333,7.4167,5/16/20,96,4,87
,Monaco,43.7333,7.4167,5/17/20,96,4,87
,Monaco,43.7333,7.4167,5/18/20,97,4,87
,Monaco,43.7333,7.4167,5/19/20,97,4,87
,Monaco,43.7333,7.4167,5/20/20,97,4,90
,Monaco,43.7333,7.4167,5/21/20,97,4,90
,Monaco,43.7333,7.4167,5/22/20,97,4,90
,Monaco,43.7333,7.4167,5/23/20,98,4,90
,Monaco,43.7333,7.4167,5/24/20,98,4,90
,Monaco,43.7333,7.4167,5/25/20,98,4,90
,Monaco,43.7333,7.4167,5/26/20,98,4,90
,Monaco,43.7333,7.4167,5/27/20,98,4,90
,Monaco,43.7333,7.4167,5/28/20,98,4,90
,Monaco,43.7333,7.4167,5/29/20,98,4,90
,Monaco,43.7333,7.4167,5/30/20,99,4,90
,Monaco,43.7333,7.4167,5/31/20,99,4,90
,Monaco,43.7333,7.4167,6/1/20,99,4,90
,Monaco,43.7333,7.4167,6/2/20,99,4,90
,Monaco,43.7333,7.4167,6/3/20,99,4,90
,Monaco,43.7333,7.4167,6/4/20,99,4,92
,Monaco,43.7333,7.4167,6/5/20,99,4,93
,Monaco,43.7333,7.4167,6/6/20,99,4,93
,Monaco,43.7333,7.4167,6/7/20,99,4,93
,Monaco,43.7333,7.4167,6/8/20,99,4,93
,Monaco,43.7333,7.4167,6/9/20,99,4,93
,Monaco,43.7333,7.4167,6/10/20,99,4,93
,Monaco,43.7333,7.4167,6/11/20,99,4,93
,Monaco,43.7333,7.4167,6/12/20,99,4,93
