Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Morocco,31.7917,-7.0926,1/22/20,0,0,0
,Morocco,31.7917,-7.0926,1/23/20,0,0,0
,Morocco,31.7917,-7.0926,1/24/20,0,0,0
,Morocco,31.7917,-7.0926,1/25/20,0,0,0
,Morocco,31.7917,-7.0926,1/26/20,0,0,0
,Morocco,31.7917,-7.0926,1/27/20,0,0,0
,Morocco,31.7917,-7.0926,1/28/20,0,0,0
,Morocco,31.7917,-7.0926,1/29/20,0,0,0
,Morocco,31.7917,-7.0926,1/30/20,0,0,0
,Morocco,31.7917,-7.0926,1/31/20,0,0,0
,Morocco,31.7917,-7.0926,2/1/20,0,0,0
,Morocco,31.7917,-7.0926,2/2/20,0,0,0
,Morocco,31.7917,-7.0926,2/3/20,0,0,0
,Morocco,31.7917,-7.0926,2/4/20,0,0,0
,Morocco,31.7917,-7.0926,2/5/20,0,0,0
,Morocco,31.7917,-7.0926,2/6/20,0,0,0
,Morocco,31.7917,-7.0926,2/7/20,0,0,0
,Morocco,31.7917,-7.0926,2/8/20,0,0,0
,Morocco,31.7917,-7.0926,2/9/20,0,0,0
,Morocco,31.7917,-7.0926,2/10/20,0,0,0
,Morocco,31.7917,-7.0926,2/11/20,0,0,0
,Morocco,31.7917,-7.0926,2/12/20,0,0,0
,Morocco,31.7917,-7.0926,2/13/20,0,0,0
,Morocco,31.7917,-7.0926,2/14/20,0,0,0
,Morocco,31.7917,-7.0926,2/15/20,0,0,0
,Morocco,31.7917,-7.0926,2/16/20,0,0,0
,Morocco,31.7917,-7.0926,2/17/20,0,0,0
,Morocco,31.7917,-7.0926,2/18/20,0,0,0
,Morocco,31.7917,-7.0926,2/19/20,0,0,0
,Morocco,31.7917,-7.0926,2/20/20,0,0,0
,Morocco,31.7917,-7.0926,2/21/20,0,0,0
,Morocco,31.7917,-7.0926,2/22/20,0,0,0
,Morocco,31.7917,-7.0926,2/23/20,0,0,0
,Morocco,31.7917,-7.0926,2/24/20,0,0,0
,Morocco,31.7917,-7.0926,2/25/20,0,0,0
,Morocco,31.7917,-7.0926,2/26/20,0,0,0
,Morocco,31.7917,-7.0926,2/27/20,0,0,0
,Morocco,31.7917,-7.0926,2/28/20,0,0,0
,Morocco,31.7917,-7.0926,2/29/20,0,0,0
,Morocco,31.7917,-7.0926,3/1/20,0,0,0
,Morocco,31.7917,-7.0926,3/2/20,1,0,0
,Morocco,31.7917,-7.0926,3/3/20,1,0,0
,Morocco,31.7917,-7.0926,3/4/20,1,0,0
,Morocco,31.7917,-7.0926,3/5/20,2,0,0
,Morocco,31.7917,-7.0926,3/6/20,2,0,0
,Morocco,31.7917,-7.0926,3/7/20,2,0,0
,Morocco,31.7917,-7.0926,3/8/20,2,0,0
,Morocco,31.7917,-7.0926,3/9/20,2,0,0
,Morocco,31.7917,-7.0926,3/10/20,3,1,0
,Morocco,31.7917,-7.0926,3/11/20,5,1,0
,Morocco,31.7917,-7.0926,3/12/20,6,1,0
,Morocco,31.7917,-7.0926,3/13/20,7,1,1
,Morocco,31.7917,-7.0926,3/14/20,17,1,1
,Morocco,31.7917,-7.0926,3/15/20,28,1,1
,Morocco,31.7917,-7.0926,3/16/20,29,1,1
,Morocco,31.7917,-7.0926,3/17/20,38,2,1
,Morocco,31.7917,-7.0926,3/18/20,49,2,1
,Morocco,31.7917,-7.0926,3/19/20,63,2,1
,Morocco,31.7917,-7.0926,3/20/20,77,3,1
,Morocco,31.7917,-7.0926,3/21/20,96,3,3
,Morocco,31.7917,-7.0926,3/22/20,115,4,3
,Morocco,31.7917,-7.0926,3/23/20,143,4,3
,Morocco,31.7917,-7.0926,3/24/20,170,5,6
,Morocco,31.7917,-7.0926,3/25/20,225,6,7
,Morocco,31.7917,-7.0926,3/26/20,275,11,8
,Morocco,31.7917,-7.0926,3/27/20,345,23,11
,Morocco,31.7917,-7.0926,3/28/20,402,25,11
,Morocco,31.7917,-7.0926,3/29/20,479,26,13
,Morocco,31.7917,-7.0926,3/30/20,556,33,15
,Morocco,31.7917,-7.0926,3/31/20,617,36,24
,Morocco,31.7917,-7.0926,4/1/20,654,39,29
,Morocco,31.7917,-7.0926,4/2/20,708,44,31
,Morocco,31.7917,-7.0926,4/3/20,791,48,57
,Morocco,31.7917,-7.0926,4/4/20,919,59,66
,Morocco,31.7917,-7.0926,4/5/20,1021,70,76
,Morocco,31.7917,-7.0926,4/6/20,1120,80,81
,Morocco,31.7917,-7.0926,4/7/20,1184,90,93
