Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Namibia,-22.9576,18.4904,1/22/20,0,0,0
,Namibia,-22.9576,18.4904,1/23/20,0,0,0
,Namibia,-22.9576,18.4904,1/24/20,0,0,0
,Namibia,-22.9576,18.4904,1/25/20,0,0,0
,Namibia,-22.9576,18.4904,1/26/20,0,0,0
,Namibia,-22.9576,18.4904,1/27/20,0,0,0
,Namibia,-22.9576,18.4904,1/28/20,0,0,0
,Namibia,-22.9576,18.4904,1/29/20,0,0,0
,Namibia,-22.9576,18.4904,1/30/20,0,0,0
,Namibia,-22.9576,18.4904,1/31/20,0,0,0
,Namibia,-22.9576,18.4904,2/1/20,0,0,0
,Namibia,-22.9576,18.4904,2/2/20,0,0,0
,Namibia,-22.9576,18.4904,2/3/20,0,0,0
,Namibia,-22.9576,18.4904,2/4/20,0,0,0
,Namibia,-22.9576,18.4904,2/5/20,0,0,0
,Namibia,-22.9576,18.4904,2/6/20,0,0,0
,Namibia,-22.9576,18.4904,2/7/20,0,0,0
,Namibia,-22.9576,18.4904,2/8/20,0,0,0
,Namibia,-22.9576,18.4904,2/9/20,0,0,0
,Namibia,-22.9576,18.4904,2/10/20,0,0,0
,Namibia,-22.9576,18.4904,2/11/20,0,0,0
,Namibia,-22.9576,18.4904,2/12/20,0,0,0
,Namibia,-22.9576,18.4904,2/13/20,0,0,0
,Namibia,-22.9576,18.4904,2/14/20,0,0,0
,Namibia,-22.9576,18.4904,2/15/20,0,0,0
,Namibia,-22.9576,18.4904,2/16/20,0,0,0
,Namibia,-22.9576,18.4904,2/17/20,0,0,0
,Namibia,-22.9576,18.4904,2/18/20,0,0,0
,Namibia,-22.9576,18.4904,2/19/20,0,0,0
,Namibia,-22.9576,18.4904,2/20/20,0,0,0
,Namibia,-22.9576,18.4904,2/21/20,0,0,0
,Namibia,-22.9576,18.4904,2/22/20,0,0,0
,Namibia,-22.9576,18.4904,2/23/20,0,0,0
,Namibia,-22.9576,18.4904,2/24/20,0,0,0
,Namibia,-22.9576,18.4904,2/25/20,0,0,0
,Namibia,-22.9576,18.4904,2/26/20,0,0,0
,Namibia,-22.9576,18.4904,2/27/20,0,0,0
,Namibia,-22.9576,18.4904,2/28/20,0,0,0
,Namibia,-22.9576,18.4904,2/29/20,0,0,0
,Namibia,-22.9576,18.4904,3/1/20,0,0,0
,Namibia,-22.9576,18.4904,3/2/20,0,0,0
,Namibia,-22.9576,18.4904,3/3/20,0,0,0
,Namibia,-22.9576,18.4904,3/4/20,0,0,0
,Namibia,-22.9576,18.4904,3/5/20,0,0,0
,Namibia,-22.9576,18.4904,3/6/20,0,0,0
,Namibia,-22.9576,18.4904,3/7/20,0,0,0
,Namibia,-22.9576,18.4904,3/8/20,0,0,0
,Namibia,-22.9576,18.4904,3/9/20,0,0,0
,Namibia,-22.9576,18.4904,3/10/20,0,0,0
,Namibia,-22.9576,18.4904,3/11/20,0,0,0
,Namibia,-22.9576,18.4904,3/12/20,0,0,0
,Namibia,-22.9576,18.4904,3/13/20,0,0,0
,Namibia,-22.9576,18.4904,3/14/20,2,0,0
,Namibia,-22.9576,18.4904,3/15/20,2,0,0
,Namibia,-22.9576,18.4904,3/16/20,2,0,0
,Namibia,-22.9576,18.4904,3/17/20,2,0,0
,Namibia,-22.9576,18.4904,3/18/20,2,0,0
,Namibia,-22.9576,18.4904,3/19/20,3,0,0
,Namibia,-22.9576,18.4904,3/20/20,3,0,0
,Namibia,-22.9576,18.4904,3/21/20,3,0,0
,Namibia,-22.9576,18.4904,3/22/20,3,0,0
,Namibia,-22.9576,18.4904,3/23/20,4,0,0
,Namibia,-22.9576,18.4904,3/24/20,7,0,2
,Namibia,-22.9576,18.4904,3/25/20,7,0,2
,Namibia,-22.9576,18.4904,3/26/20,8,0,2
,Namibia,-22.9576,18.4904,3/27/20,8,0,2
,Namibia,-22.9576,18.4904,3/28/20,8,0,2
,Namibia,-22.9576,18.4904,3/29/20,11,0,2
,Namibia,-22.9576,18.4904,3/30/20,11,0,2
,Namibia,-22.9576,18.4904,3/31/20,11,0,2
,Namibia,-22.9576,18.4904,4/1/20,14,0,2
,Namibia,-22.9576,18.4904,4/2/20,14,0,3
,Namibia,-22.9576,18.4904,4/3/20,14,0,3
,Namibia,-22.9576,18.4904,4/4/20,14,0,3
,Namibia,-22.9576,18.4904,4/5/20,16,0,3
,Namibia,-22.9576,18.4904,4/6/20,16,0,3
,Namibia,-22.9576,18.4904,4/7/20,16,0,3
,Namibia,-22.9576,18.4904,4/8/20,16,0,3
,Namibia,-22.9576,18.4904,4/9/20,16,0,3
,Namibia,-22.9576,18.4904,4/10/20,16,0,3
,Namibia,-22.9576,18.4904,4/11/20,16,0,3
,Namibia,-22.9576,18.4904,4/12/20,16,0,3
,Namibia,-22.9576,18.4904,4/13/20,16,0,3
,Namibia,-22.9576,18.4904,4/14/20,16,0,3
,Namibia,-22.9576,18.4904,4/15/20,16,0,3
,Namibia,-22.9576,18.4904,4/16/20,16,0,4
,Namibia,-22.9576,18.4904,4/17/20,16,0,4
,Namibia,-22.9576,18.4904,4/18/20,16,0,6
,Namibia,-22.9576,18.4904,4/19/20,16,0,6
,Namibia,-22.9576,18.4904,4/20/20,16,0,6
,Namibia,-22.9576,18.4904,4/21/20,16,0,6
,Namibia,-22.9576,18.4904,4/22/20,16,0,6
