Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Netherlands,12.5211,-69.9683,1/22/20,0,0,0
,Netherlands,12.5211,-69.9683,1/23/20,0,0,0
,Netherlands,12.5211,-69.9683,1/24/20,0,0,0
,Netherlands,12.5211,-69.9683,1/25/20,0,0,0
,Netherlands,12.5211,-69.9683,1/26/20,0,0,0
,Netherlands,12.5211,-69.9683,1/27/20,0,0,0
,Netherlands,12.5211,-69.9683,1/28/20,0,0,0
,Netherlands,12.5211,-69.9683,1/29/20,0,0,0
,Netherlands,12.5211,-69.9683,1/30/20,0,0,0
,Netherlands,12.5211,-69.9683,1/31/20,0,0,0
,Netherlands,12.5211,-69.9683,2/1/20,0,0,0
,Netherlands,12.5211,-69.9683,2/2/20,0,0,0
,Netherlands,12.5211,-69.9683,2/3/20,0,0,0
,Netherlands,12.5211,-69.9683,2/4/20,0,0,0
,Netherlands,12.5211,-69.9683,2/5/20,0,0,0
,Netherlands,12.5211,-69.9683,2/6/20,0,0,0
,Netherlands,12.5211,-69.9683,2/7/20,0,0,0
,Netherlands,12.5211,-69.9683,2/8/20,0,0,0
,Netherlands,12.5211,-69.9683,2/9/20,0,0,0
,Netherlands,12.5211,-69.9683,2/10/20,0,0,0
,Netherlands,12.5211,-69.9683,2/11/20,0,0,0
,Netherlands,12.5211,-69.9683,2/12/20,0,0,0
,Netherlands,12.5211,-69.9683,2/13/20,0,0,0
,Netherlands,12.5211,-69.9683,2/14/20,0,0,0
,Netherlands,12.5211,-69.9683,2/15/20,0,0,0
,Netherlands,12.5211,-69.9683,2/16/20,0,0,0
,Netherlands,12.5211,-69.9683,2/17/20,0,0,0
,Netherlands,12.5211,-69.9683,2/18/20,0,0,0
,Netherlands,12.5211,-69.9683,2/19/20,0,0,0
,Netherlands,12.5211,-69.9683,2/20/20,0,0,0
,Netherlands,12.5211,-69.9683,2/21/20,0,0,0
,Netherlands,12.5211,-69.9683,2/22/20,0,0,0
,Netherlands,12.5211,-69.9683,2/23/20,0,0,0
,Netherlands,12.5211,-69.9683,2/24/20,0,0,0
,Netherlands,12.5211,-69.9683,2/25/20,0,0,0
,Netherlands,12.5211,-69.9683,2/26/20,0,0,0
,Netherlands,12.5211,-69.9683,2/27/20,1,0,0
,Netherlands,12.5211,-69.9683,2/28/20,1,0,0
,Netherlands,12.5211,-69.9683,2/29/20,6,0,0
,Netherlands,12.5211,-69.9683,3/1/20,10,0,0
,Netherlands,12.5211,-69.9683,3/2/20,18,0,0
,Netherlands,12.5211,-69.9683,3/3/20,24,0,0
,Netherlands,12.5211,-69.9683,3/4/20,38,0,0
,Netherlands,12.5211,-69.9683,3/5/20,82,0,0
,Netherlands,12.5211,-69.9683,3/6/20,128,1,0
,Netherlands,12.5211,-69.9683,3/7/20,188,1,0
,Netherlands,12.5211,-69.9683,3/8/20,265,3,0
,Netherlands,12.5211,-69.9683,3/9/20,321,3,0
,Netherlands,12.5211,-69.9683,3/10/20,382,4,0
,Netherlands,12.5211,-69.9683,3/11/20,503,5,0
,Netherlands,12.5211,-69.9683,3/12/20,503,5,0
,Netherlands,12.5211,-69.9683,3/13/20,806,10,0
,Netherlands,12.5211,-69.9683,3/14/20,962,12,0
,Netherlands,12.5211,-69.9683,3/15/20,1138,20,0
,Netherlands,12.5211,-69.9683,3/16/20,1416,24,0
,Netherlands,12.5211,-69.9683,3/17/20,1711,43,0
,Netherlands,12.5211,-69.9683,3/18/20,2058,58,0
,Netherlands,12.5211,-69.9683,3/19/20,2467,77,0
,Netherlands,12.5211,-69.9683,3/20/20,3003,107,0
,Netherlands,12.5211,-69.9683,3/21/20,3640,137,0
,Netherlands,12.5211,-69.9683,3/22/20,4217,180,0
,Netherlands,12.5211,-69.9683,3/23/20,4764,214,0
,Netherlands,12.5211,-69.9683,3/24/20,5580,277,1
,Netherlands,12.5211,-69.9683,3/25/20,6438,357,1
,Netherlands,12.5211,-69.9683,3/26/20,7468,435,3
,Netherlands,12.5211,-69.9683,3/27/20,8647,547,3
,Netherlands,12.5211,-69.9683,3/28/20,9819,640,3
,Netherlands,12.5211,-69.9683,3/29/20,10930,772,3
,Netherlands,12.5211,-69.9683,3/30/20,11817,865,3
,Netherlands,12.5211,-69.9683,3/31/20,12667,1040,3
,Netherlands,12.5211,-69.9683,4/1/20,13696,1175,10
,Netherlands,12.5211,-69.9683,4/2/20,14786,1341,10
