Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Nigeria,9.082,8.6753,1/22/20,0,0,0
,Nigeria,9.082,8.6753,1/23/20,0,0,0
,Nigeria,9.082,8.6753,1/24/20,0,0,0
,Nigeria,9.082,8.6753,1/25/20,0,0,0
,Nigeria,9.082,8.6753,1/26/20,0,0,0
,Nigeria,9.082,8.6753,1/27/20,0,0,0
,Nigeria,9.082,8.6753,1/28/20,0,0,0
,Nigeria,9.082,8.6753,1/29/20,0,0,0
,Nigeria,9.082,8.6753,1/30/20,0,0,0
,Nigeria,9.082,8.6753,1/31/20,0,0,0
,Nigeria,9.082,8.6753,2/1/20,0,0,0
,Nigeria,9.082,8.6753,2/2/20,0,0,0
,Nigeria,9.082,8.6753,2/3/20,0,0,0
,Nigeria,9.082,8.6753,2/4/20,0,0,0
,Nigeria,9.082,8.6753,2/5/20,0,0,0
,Nigeria,9.082,8.6753,2/6/20,0,0,0
,Nigeria,9.082,8.6753,2/7/20,0,0,0
,Nigeria,9.082,8.6753,2/8/20,0,0,0
,Nigeria,9.082,8.6753,2/9/20,0,0,0
,Nigeria,9.082,8.6753,2/10/20,0,0,0
,Nigeria,9.082,8.6753,2/11/20,0,0,0
,Nigeria,9.082,8.6753,2/12/20,0,0,0
,Nigeria,9.082,8.6753,2/13/20,0,0,0
,Nigeria,9.082,8.6753,2/14/20,0,0,0
,Nigeria,9.082,8.6753,2/15/20,0,0,0
,Nigeria,9.082,8.6753,2/16/20,0,0,0
,Nigeria,9.082,8.6753,2/17/20,0,0,0
,Nigeria,9.082,8.6753,2/18/20,0,0,0
,Nigeria,9.082,8.6753,2/19/20,0,0,0
,Nigeria,9.082,8.6753,2/20/20,0,0,0
,Nigeria,9.082,8.6753,2/21/20,0,0,0
,Nigeria,9.082,8.6753,2/22/20,0,0,0
,Nigeria,9.082,8.6753,2/23/20,0,0,0
,Nigeria,9.082,8.6753,2/24/20,0,0,0
,Nigeria,9.082,8.6753,2/25/20,0,0,0
,Nigeria,9.082,8.6753,2/26/20,0,0,0
,Nigeria,9.082,8.6753,2/27/20,0,0,0
,Nigeria,9.082,8.6753,2/28/20,1,0,0
,Nigeria,9.082,8.6753,2/29/20,1,0,0
,Nigeria,9.082,8.6753,3/1/20,1,0,0
,Nigeria,9.082,8.6753,3/2/20,1,0,0
,Nigeria,9.082,8.6753,3/3/20,1,0,0
,Nigeria,9.082,8.6753,3/4/20,1,0,0
,Nigeria,9.082,8.6753,3/5/20,1,0,0
,Nigeria,9.082,8.6753,3/6/20,1,0,0
,Nigeria,9.082,8.6753,3/7/20,1,0,0
,Nigeria,9.082,8.6753,3/8/20,1,0,0
,Nigeria,9.082,8.6753,3/9/20,2,0,0
,Nigeria,9.082,8.6753,3/10/20,2,0,0
,Nigeria,9.082,8.6753,3/11/20,2,0,0
,Nigeria,9.082,8.6753,3/12/20,2,0,0
,Nigeria,9.082,8.6753,3/13/20,2,0,0
,Nigeria,9.082,8.6753,3/14/20,2,0,0
,Nigeria,9.082,8.6753,3/15/20,2,0,0
,Nigeria,9.082,8.6753,3/16/20,2,0,0
,Nigeria,9.082,8.6753,3/17/20,3,0,0
,Nigeria,9.082,8.6753,3/18/20,8,0,1
,Nigeria,9.082,8.6753,3/19/20,8,0,1
,Nigeria,9.082,8.6753,3/20/20,12,0,1
,Nigeria,9.082,8.6753,3/21/20,22,0,1
,Nigeria,9.082,8.6753,3/22/20,30,0,2
,Nigeria,9.082,8.6753,3/23/20,40,1,2
,Nigeria,9.082,8.6753,3/24/20,44,1,2
,Nigeria,9.082,8.6753,3/25/20,51,1,2
,Nigeria,9.082,8.6753,3/26/20,65,1,2
,Nigeria,9.082,8.6753,3/27/20,70,1,3
,Nigeria,9.082,8.6753,3/28/20,89,1,3
,Nigeria,9.082,8.6753,3/29/20,111,1,3
,Nigeria,9.082,8.6753,3/30/20,131,2,8
,Nigeria,9.082,8.6753,3/31/20,135,2,8
,Nigeria,9.082,8.6753,4/1/20,174,2,9
,Nigeria,9.082,8.6753,4/2/20,184,2,20
,Nigeria,9.082,8.6753,4/3/20,210,4,25
,Nigeria,9.082,8.6753,4/4/20,214,4,25
,Nigeria,9.082,8.6753,4/5/20,232,5,33
,Nigeria,9.082,8.6753,4/6/20,238,5,35
,Nigeria,9.082,8.6753,4/7/20,254,6,44
,Nigeria,9.082,8.6753,4/8/20,276,6,44
,Nigeria,9.082,8.6753,4/9/20,288,7,51
,Nigeria,9.082,8.6753,4/10/20,305,7,58
,Nigeria,9.082,8.6753,4/11/20,318,10,70
,Nigeria,9.082,8.6753,4/12/20,323,10,85
,Nigeria,9.082,8.6753,4/13/20,343,10,91
,Nigeria,9.082,8.6753,4/14/20,373,11,99
,Nigeria,9.082,8.6753,4/15/20,407,12,128
,Nigeria,9.082,8.6753,4/16/20,442,13,152
,Nigeria,9.082,8.6753,4/17/20,493,17,159
,Nigeria,9.082,8.6753,4/18/20,542,19,166
,Nigeria,9.082,8.6753,4/19/20,627,21,170
,Nigeria,9.082,8.6753,4/20/20,665,22,188
,Nigeria,9.082,8.6753,4/21/20,665,22,188
,Nigeria,9.082,8.6753,4/22/20,873,28,197
,Nigeria,9.082,8.6753,4/23/20,981,31,197
,Nigeria,9.082,8.6753,4/24/20,1095,32,208
,Nigeria,9.082,8.6753,4/25/20,1182,35,222
,Nigeria,9.082,8.6753,4/26/20,1273,40,239
,Nigeria,9.082,8.6753,4/27/20,1337,40,255
,Nigeria,9.082,8.6753,4/28/20,1532,44,255
,Nigeria,9.082,8.6753,4/29/20,1728,51,307
,Nigeria,9.082,8.6753,4/30/20,1932,58,319
,Nigeria,9.082,8.6753,5/1/20,2170,68,351
,Nigeria,9.082,8.6753,5/2/20,2388,85,351
,Nigeria,9.082,8.6753,5/3/20,2558,87,400
,Nigeria,9.082,8.6753,5/4/20,2802,93,417
