Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,North Macedonia,41.6086,21.7453,1/22/20,0,0,0
,North Macedonia,41.6086,21.7453,1/23/20,0,0,0
,North Macedonia,41.6086,21.7453,1/24/20,0,0,0
,North Macedonia,41.6086,21.7453,1/25/20,0,0,0
,North Macedonia,41.6086,21.7453,1/26/20,0,0,0
,North Macedonia,41.6086,21.7453,1/27/20,0,0,0
,North Macedonia,41.6086,21.7453,1/28/20,0,0,0
,North Macedonia,41.6086,21.7453,1/29/20,0,0,0
,North Macedonia,41.6086,21.7453,1/30/20,0,0,0
,North Macedonia,41.6086,21.7453,1/31/20,0,0,0
,North Macedonia,41.6086,21.7453,2/1/20,0,0,0
,North Macedonia,41.6086,21.7453,2/2/20,0,0,0
,North Macedonia,41.6086,21.7453,2/3/20,0,0,0
,North Macedonia,41.6086,21.7453,2/4/20,0,0,0
,North Macedonia,41.6086,21.7453,2/5/20,0,0,0
,North Macedonia,41.6086,21.7453,2/6/20,0,0,0
,North Macedonia,41.6086,21.7453,2/7/20,0,0,0
,North Macedonia,41.6086,21.7453,2/8/20,0,0,0
,North Macedonia,41.6086,21.7453,2/9/20,0,0,0
,North Macedonia,41.6086,21.7453,2/10/20,0,0,0
,North Macedonia,41.6086,21.7453,2/11/20,0,0,0
,North Macedonia,41.6086,21.7453,2/12/20,0,0,0
,North Macedonia,41.6086,21.7453,2/13/20,0,0,0
,North Macedonia,41.6086,21.7453,2/14/20,0,0,0
,North Macedonia,41.6086,21.7453,2/15/20,0,0,0
,North Macedonia,41.6086,21.7453,2/16/20,0,0,0
,North Macedonia,41.6086,21.7453,2/17/20,0,0,0
,North Macedonia,41.6086,21.7453,2/18/20,0,0,0
,North Macedonia,41.6086,21.7453,2/19/20,0,0,0
,North Macedonia,41.6086,21.7453,2/20/20,0,0,0
,North Macedonia,41.6086,21.7453,2/21/20,0,0,0
,North Macedonia,41.6086,21.7453,2/22/20,0,0,0
,North Macedonia,41.6086,21.7453,2/23/20,0,0,0
,North Macedonia,41.6086,21.7453,2/24/20,0,0,0
,North Macedonia,41.6086,21.7453,2/25/20,0,0,0
,North Macedonia,41.6086,21.7453,2/26/20,1,0,0
,North Macedonia,41.6086,21.7453,2/27/20,1,0,0
,North Macedonia,41.6086,21.7453,2/28/20,1,0,0
,North Macedonia,41.6086,21.7453,2/29/20,1,0,0
,North Macedonia,41.6086,21.7453,3/1/20,1,0,0
,North Macedonia,41.6086,21.7453,3/2/20,1,0,0
,North Macedonia,41.6086,21.7453,3/3/20,1,0,0
,North Macedonia,41.6086,21.7453,3/4/20,1,0,0
,North Macedonia,41.6086,21.7453,3/5/20,1,0,0
,North Macedonia,41.6086,21.7453,3/6/20,3,0,0
,North Macedonia,41.6086,21.7453,3/7/20,3,0,0
,North Macedonia,41.6086,21.7453,3/8/20,3,0,0
,North Macedonia,41.6086,21.7453,3/9/20,3,0,0
,North Macedonia,41.6086,21.7453,3/10/20,7,0,0
,North Macedonia,41.6086,21.7453,3/11/20,7,0,0
,North Macedonia,41.6086,21.7453,3/12/20,7,0,0
,North Macedonia,41.6086,21.7453,3/13/20,14,0,1
,North Macedonia,41.6086,21.7453,3/14/20,14,0,1
,North Macedonia,41.6086,21.7453,3/15/20,14,0,1
,North Macedonia,41.6086,21.7453,3/16/20,18,0,1
,North Macedonia,41.6086,21.7453,3/17/20,26,0,1
,North Macedonia,41.6086,21.7453,3/18/20,35,0,1
,North Macedonia,41.6086,21.7453,3/19/20,48,0,1
,North Macedonia,41.6086,21.7453,3/20/20,67,0,1
,North Macedonia,41.6086,21.7453,3/21/20,85,0,1
,North Macedonia,41.6086,21.7453,3/22/20,115,1,1
,North Macedonia,41.6086,21.7453,3/23/20,136,2,1
,North Macedonia,41.6086,21.7453,3/24/20,148,2,1
,North Macedonia,41.6086,21.7453,3/25/20,177,3,1
,North Macedonia,41.6086,21.7453,3/26/20,201,3,3
,North Macedonia,41.6086,21.7453,3/27/20,219,3,3
,North Macedonia,41.6086,21.7453,3/28/20,241,4,3
,North Macedonia,41.6086,21.7453,3/29/20,259,6,3
,North Macedonia,41.6086,21.7453,3/30/20,285,7,12
,North Macedonia,41.6086,21.7453,3/31/20,329,9,12
,North Macedonia,41.6086,21.7453,4/1/20,354,11,17
,North Macedonia,41.6086,21.7453,4/2/20,384,11,17
,North Macedonia,41.6086,21.7453,4/3/20,430,12,20
,North Macedonia,41.6086,21.7453,4/4/20,483,17,20
,North Macedonia,41.6086,21.7453,4/5/20,555,18,23
,North Macedonia,41.6086,21.7453,4/6/20,570,23,30
,North Macedonia,41.6086,21.7453,4/7/20,599,26,30
,North Macedonia,41.6086,21.7453,4/8/20,617,29,35
,North Macedonia,41.6086,21.7453,4/9/20,663,30,37
,North Macedonia,41.6086,21.7453,4/10/20,711,32,41
,North Macedonia,41.6086,21.7453,4/11/20,760,34,41
,North Macedonia,41.6086,21.7453,4/12/20,828,34,41
,North Macedonia,41.6086,21.7453,4/13/20,854,38,44
,North Macedonia,41.6086,21.7453,4/14/20,908,44,86
,North Macedonia,41.6086,21.7453,4/15/20,974,45,98
,North Macedonia,41.6086,21.7453,4/16/20,1081,46,121
,North Macedonia,41.6086,21.7453,4/17/20,1117,49,139
,North Macedonia,41.6086,21.7453,4/18/20,1170,49,164
,North Macedonia,41.6086,21.7453,4/19/20,1207,51,179
,North Macedonia,41.6086,21.7453,4/20/20,1225,54,200
,North Macedonia,41.6086,21.7453,4/21/20,1231,55,224
,North Macedonia,41.6086,21.7453,4/22/20,1259,56,272
,North Macedonia,41.6086,21.7453,4/23/20,1300,56,301
,North Macedonia,41.6086,21.7453,4/24/20,1326,57,337
,North Macedonia,41.6086,21.7453,4/25/20,1367,59,374
,North Macedonia,41.6086,21.7453,4/26/20,1386,61,500
,North Macedonia,41.6086,21.7453,4/27/20,1399,65,553
,North Macedonia,41.6086,21.7453,4/28/20,1421,71,589
,North Macedonia,41.6086,21.7453,4/29/20,1442,73,627
,North Macedonia,41.6086,21.7453,4/30/20,1465,77,738
,North Macedonia,41.6086,21.7453,5/1/20,1494,81,807
,North Macedonia,41.6086,21.7453,5/2/20,1506,82,852
,North Macedonia,41.6086,21.7453,5/3/20,1511,84,945
,North Macedonia,41.6086,21.7453,5/4/20,1518,85,992
,North Macedonia,41.6086,21.7453,5/5/20,1526,86,1013
,North Macedonia,41.6086,21.7453,5/6/20,1539,88,1057
,North Macedonia,41.6086,21.7453,5/7/20,1572,89,1079
,North Macedonia,41.6086,21.7453,5/8/20,1586,90,1099
,North Macedonia,41.6086,21.7453,5/9/20,1622,91,1112
,North Macedonia,41.6086,21.7453,5/10/20,1642,91,1136
,North Macedonia,41.6086,21.7453,5/11/20,1664,91,1200
,North Macedonia,41.6086,21.7453,5/12/20,1674,92,1205
,North Macedonia,41.6086,21.7453,5/13/20,1694,95,1229
,North Macedonia,41.6086,21.7453,5/14/20,1723,95,1235
