Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Norway,60.472,8.4689,1/22/20,0,0,0
,Norway,60.472,8.4689,1/23/20,0,0,0
,Norway,60.472,8.4689,1/24/20,0,0,0
,Norway,60.472,8.4689,1/25/20,0,0,0
,Norway,60.472,8.4689,1/26/20,0,0,0
,Norway,60.472,8.4689,1/27/20,0,0,0
,Norway,60.472,8.4689,1/28/20,0,0,0
,Norway,60.472,8.4689,1/29/20,0,0,0
,Norway,60.472,8.4689,1/30/20,0,0,0
,Norway,60.472,8.4689,1/31/20,0,0,0
,Norway,60.472,8.4689,2/1/20,0,0,0
,Norway,60.472,8.4689,2/2/20,0,0,0
,Norway,60.472,8.4689,2/3/20,0,0,0
,Norway,60.472,8.4689,2/4/20,0,0,0
,Norway,60.472,8.4689,2/5/20,0,0,0
,Norway,60.472,8.4689,2/6/20,0,0,0
,Norway,60.472,8.4689,2/7/20,0,0,0
,Norway,60.472,8.4689,2/8/20,0,0,0
,Norway,60.472,8.4689,2/9/20,0,0,0
,Norway,60.472,8.4689,2/10/20,0,0,0
,Norway,60.472,8.4689,2/11/20,0,0,0
,Norway,60.472,8.4689,2/12/20,0,0,0
,Norway,60.472,8.4689,2/13/20,0,0,0
,Norway,60.472,8.4689,2/14/20,0,0,0
,Norway,60.472,8.4689,2/15/20,0,0,0
,Norway,60.472,8.4689,2/16/20,0,0,0
,Norway,60.472,8.4689,2/17/20,0,0,0
,Norway,60.472,8.4689,2/18/20,0,0,0
,Norway,60.472,8.4689,2/19/20,0,0,0
,Norway,60.472,8.4689,2/20/20,0,0,0
,Norway,60.472,8.4689,2/21/20,0,0,0
,Norway,60.472,8.4689,2/22/20,0,0,0
,Norway,60.472,8.4689,2/23/20,0,0,0
,Norway,60.472,8.4689,2/24/20,0,0,0
,Norway,60.472,8.4689,2/25/20,0,0,0
,Norway,60.472,8.4689,2/26/20,1,0,0
,Norway,60.472,8.4689,2/27/20,1,0,0
,Norway,60.472,8.4689,2/28/20,6,0,0
,Norway,60.472,8.4689,2/29/20,15,0,0
,Norway,60.472,8.4689,3/1/20,19,0,0
,Norway,60.472,8.4689,3/2/20,25,0,0
,Norway,60.472,8.4689,3/3/20,32,0,0
,Norway,60.472,8.4689,3/4/20,56,0,0
,Norway,60.472,8.4689,3/5/20,87,0,0
,Norway,60.472,8.4689,3/6/20,108,0,0
,Norway,60.472,8.4689,3/7/20,147,0,0
,Norway,60.472,8.4689,3/8/20,176,0,0
,Norway,60.472,8.4689,3/9/20,205,0,1
,Norway,60.472,8.4689,3/10/20,400,0,1
,Norway,60.472,8.4689,3/11/20,598,0,1
,Norway,60.472,8.4689,3/12/20,702,0,1
,Norway,60.472,8.4689,3/13/20,996,0,1
,Norway,60.472,8.4689,3/14/20,1090,3,1
,Norway,60.472,8.4689,3/15/20,1221,3,1
,Norway,60.472,8.4689,3/16/20,1333,3,1
,Norway,60.472,8.4689,3/17/20,1463,3,1
,Norway,60.472,8.4689,3/18/20,1550,6,1
,Norway,60.472,8.4689,3/19/20,1746,7,1
,Norway,60.472,8.4689,3/20/20,1914,7,1
,Norway,60.472,8.4689,3/21/20,2118,7,1
,Norway,60.472,8.4689,3/22/20,2385,7,1
,Norway,60.472,8.4689,3/23/20,2621,10,1
,Norway,60.472,8.4689,3/24/20,2863,12,6
,Norway,60.472,8.4689,3/25/20,3084,14,6
,Norway,60.472,8.4689,3/26/20,3369,14,6
,Norway,60.472,8.4689,3/27/20,3755,19,6
,Norway,60.472,8.4689,3/28/20,4015,23,7
,Norway,60.472,8.4689,3/29/20,4284,25,7
,Norway,60.472,8.4689,3/30/20,4445,32,12
,Norway,60.472,8.4689,3/31/20,4641,39,13
,Norway,60.472,8.4689,4/1/20,4863,44,13
,Norway,60.472,8.4689,4/2/20,5147,50,32
,Norway,60.472,8.4689,4/3/20,5370,59,32
,Norway,60.472,8.4689,4/4/20,5550,62,32
,Norway,60.472,8.4689,4/5/20,5687,71,32
,Norway,60.472,8.4689,4/6/20,5865,76,32
,Norway,60.472,8.4689,4/7/20,6086,89,32
,Norway,60.472,8.4689,4/8/20,6086,101,32
,Norway,60.472,8.4689,4/9/20,6211,108,32
,Norway,60.472,8.4689,4/10/20,6314,113,32
,Norway,60.472,8.4689,4/11/20,6409,119,32
,Norway,60.472,8.4689,4/12/20,6525,128,32
,Norway,60.472,8.4689,4/13/20,6603,134,32
,Norway,60.472,8.4689,4/14/20,6623,139,32
,Norway,60.472,8.4689,4/15/20,6740,150,32
,Norway,60.472,8.4689,4/16/20,6896,152,32
,Norway,60.472,8.4689,4/17/20,6937,161,32
,Norway,60.472,8.4689,4/18/20,7036,164,32
,Norway,60.472,8.4689,4/19/20,7078,165,32
,Norway,60.472,8.4689,4/20/20,7156,181,32
,Norway,60.472,8.4689,4/21/20,7191,182,32
,Norway,60.472,8.4689,4/22/20,7338,187,32
