Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Portugal,39.3999,-8.2245,1/22/20,0,0,0
,Portugal,39.3999,-8.2245,1/23/20,0,0,0
,Portugal,39.3999,-8.2245,1/24/20,0,0,0
,Portugal,39.3999,-8.2245,1/25/20,0,0,0
,Portugal,39.3999,-8.2245,1/26/20,0,0,0
,Portugal,39.3999,-8.2245,1/27/20,0,0,0
,Portugal,39.3999,-8.2245,1/28/20,0,0,0
,Portugal,39.3999,-8.2245,1/29/20,0,0,0
,Portugal,39.3999,-8.2245,1/30/20,0,0,0
,Portugal,39.3999,-8.2245,1/31/20,0,0,0
,Portugal,39.3999,-8.2245,2/1/20,0,0,0
,Portugal,39.3999,-8.2245,2/2/20,0,0,0
,Portugal,39.3999,-8.2245,2/3/20,0,0,0
,Portugal,39.3999,-8.2245,2/4/20,0,0,0
,Portugal,39.3999,-8.2245,2/5/20,0,0,0
,Portugal,39.3999,-8.2245,2/6/20,0,0,0
,Portugal,39.3999,-8.2245,2/7/20,0,0,0
,Portugal,39.3999,-8.2245,2/8/20,0,0,0
,Portugal,39.3999,-8.2245,2/9/20,0,0,0
,Portugal,39.3999,-8.2245,2/10/20,0,0,0
,Portugal,39.3999,-8.2245,2/11/20,0,0,0
,Portugal,39.3999,-8.2245,2/12/20,0,0,0
,Portugal,39.3999,-8.2245,2/13/20,0,0,0
,Portugal,39.3999,-8.2245,2/14/20,0,0,0
,Portugal,39.3999,-8.2245,2/15/20,0,0,0
,Portugal,39.3999,-8.2245,2/16/20,0,0,0
,Portugal,39.3999,-8.2245,2/17/20,0,0,0
,Portugal,39.3999,-8.2245,2/18/20,0,0,0
,Portugal,39.3999,-8.2245,2/19/20,0,0,0
,Portugal,39.3999,-8.2245,2/20/20,0,0,0
,Portugal,39.3999,-8.2245,2/21/20,0,0,0
,Portugal,39.3999,-8.2245,2/22/20,0,0,0
,Portugal,39.3999,-8.2245,2/23/20,0,0,0
,Portugal,39.3999,-8.2245,2/24/20,0,0,0
,Portugal,39.3999,-8.2245,2/25/20,0,0,0
,Portugal,39.3999,-8.2245,2/26/20,0,0,0
,Portugal,39.3999,-8.2245,2/27/20,0,0,0
,Portugal,39.3999,-8.2245,2/28/20,0,0,0
,Portugal,39.3999,-8.2245,2/29/20,0,0,0
,Portugal,39.3999,-8.2245,3/1/20,0,0,0
,Portugal,39.3999,-8.2245,3/2/20,2,0,0
,Portugal,39.3999,-8.2245,3/3/20,2,0,0
,Portugal,39.3999,-8.2245,3/4/20,5,0,0
,Portugal,39.3999,-8.2245,3/5/20,8,0,0
,Portugal,39.3999,-8.2245,3/6/20,13,0,0
,Portugal,39.3999,-8.2245,3/7/20,20,0,0
,Portugal,39.3999,-8.2245,3/8/20,30,0,0
,Portugal,39.3999,-8.2245,3/9/20,30,0,0
,Portugal,39.3999,-8.2245,3/10/20,41,0,0
,Portugal,39.3999,-8.2245,3/11/20,59,0,0
,Portugal,39.3999,-8.2245,3/12/20,59,0,0
,Portugal,39.3999,-8.2245,3/13/20,112,0,1
,Portugal,39.3999,-8.2245,3/14/20,169,0,2
,Portugal,39.3999,-8.2245,3/15/20,245,0,2
,Portugal,39.3999,-8.2245,3/16/20,331,0,3
,Portugal,39.3999,-8.2245,3/17/20,448,1,3
,Portugal,39.3999,-8.2245,3/18/20,448,2,3
,Portugal,39.3999,-8.2245,3/19/20,785,3,3
,Portugal,39.3999,-8.2245,3/20/20,1020,6,5
,Portugal,39.3999,-8.2245,3/21/20,1280,12,5
,Portugal,39.3999,-8.2245,3/22/20,1600,14,5
,Portugal,39.3999,-8.2245,3/23/20,2060,23,5
,Portugal,39.3999,-8.2245,3/24/20,2362,33,22
,Portugal,39.3999,-8.2245,3/25/20,2995,43,22
,Portugal,39.3999,-8.2245,3/26/20,3544,60,43
,Portugal,39.3999,-8.2245,3/27/20,4268,76,43
,Portugal,39.3999,-8.2245,3/28/20,5170,100,43
,Portugal,39.3999,-8.2245,3/29/20,5962,119,43
,Portugal,39.3999,-8.2245,3/30/20,6408,140,43
,Portugal,39.3999,-8.2245,3/31/20,7443,160,43
,Portugal,39.3999,-8.2245,4/1/20,8251,187,43
,Portugal,39.3999,-8.2245,4/2/20,9034,209,68
,Portugal,39.3999,-8.2245,4/3/20,9886,246,68
,Portugal,39.3999,-8.2245,4/4/20,10524,266,75
,Portugal,39.3999,-8.2245,4/5/20,11278,295,75
,Portugal,39.3999,-8.2245,4/6/20,11730,311,140
,Portugal,39.3999,-8.2245,4/7/20,12442,345,184
,Portugal,39.3999,-8.2245,4/8/20,13141,380,196
,Portugal,39.3999,-8.2245,4/9/20,13956,409,205
,Portugal,39.3999,-8.2245,4/10/20,15472,435,233
,Portugal,39.3999,-8.2245,4/11/20,15987,470,266
,Portugal,39.3999,-8.2245,4/12/20,16585,504,277
,Portugal,39.3999,-8.2245,4/13/20,16934,535,277
,Portugal,39.3999,-8.2245,4/14/20,17448,567,347
,Portugal,39.3999,-8.2245,4/15/20,18091,599,383
,Portugal,39.3999,-8.2245,4/16/20,18841,629,493
,Portugal,39.3999,-8.2245,4/17/20,19022,657,519
,Portugal,39.3999,-8.2245,4/18/20,19685,687,610
,Portugal,39.3999,-8.2245,4/19/20,20206,714,610
,Portugal,39.3999,-8.2245,4/20/20,20863,735,610
,Portugal,39.3999,-8.2245,4/21/20,21379,762,917
,Portugal,39.3999,-8.2245,4/22/20,21982,785,1143
,Portugal,39.3999,-8.2245,4/23/20,22353,820,1201
,Portugal,39.3999,-8.2245,4/24/20,22797,854,1228
