Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Sao Tome and Principe,0.1864,6.6131,1/22/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/23/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/24/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/25/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/26/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/27/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/28/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/29/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/30/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,1/31/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/1/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/2/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/3/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/4/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/5/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/6/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/7/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/8/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/9/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/10/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/11/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/12/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/13/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/14/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/15/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/16/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/17/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/18/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/19/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/20/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/21/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/22/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/23/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/24/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/25/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/26/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/27/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/28/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,2/29/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/1/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/2/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/3/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/4/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/5/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/6/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/7/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/8/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/9/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/10/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/11/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/12/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/13/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/14/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/15/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/16/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/17/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/18/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/19/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/20/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/21/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/22/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/23/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/24/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/25/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/26/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/27/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/28/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/29/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/30/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,3/31/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,4/1/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,4/2/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,4/3/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,4/4/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,4/5/20,0,0,0
,Sao Tome and Principe,0.1864,6.6131,4/6/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/7/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/8/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/9/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/10/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/11/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/12/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/13/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/14/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/15/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/16/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/17/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/18/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/19/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/20/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/21/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/22/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/23/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/24/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/25/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/26/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/27/20,4,0,0
,Sao Tome and Principe,0.1864,6.6131,4/28/20,8,0,4
,Sao Tome and Principe,0.1864,6.6131,4/29/20,8,0,4
,Sao Tome and Principe,0.1864,6.6131,4/30/20,14,0,4
,Sao Tome and Principe,0.1864,6.6131,5/1/20,16,1,4
,Sao Tome and Principe,0.1864,6.6131,5/2/20,16,1,4
,Sao Tome and Principe,0.1864,6.6131,5/3/20,16,1,4
,Sao Tome and Principe,0.1864,6.6131,5/4/20,23,3,4
,Sao Tome and Principe,0.1864,6.6131,5/5/20,174,3,4
,Sao Tome and Principe,0.1864,6.6131,5/6/20,174,3,4
,Sao Tome and Principe,0.1864,6.6131,5/7/20,187,4,4
,Sao Tome and Principe,0.1864,6.6131,5/8/20,208,5,4
,Sao Tome and Principe,0.1864,6.6131,5/9/20,208,5,4
,Sao Tome and Principe,0.1864,6.6131,5/10/20,208,5,4
,Sao Tome and Principe,0.1864,6.6131,5/11/20,208,5,4
,Sao Tome and Principe,0.1864,6.6131,5/12/20,208,5,4
,Sao Tome and Principe,0.1864,6.6131,5/13/20,220,6,4
,Sao Tome and Principe,0.1864,6.6131,5/14/20,235,7,4
,Sao Tome and Principe,0.1864,6.6131,5/15/20,235,7,4
,Sao Tome and Principe,0.1864,6.6131,5/16/20,235,7,4
,Sao Tome and Principe,0.1864,6.6131,5/17/20,235,7,4
