Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Saudi Arabia,23.885942,45.079162,1/22/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/23/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/24/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/25/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/26/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/27/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/28/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/29/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/30/20,0,0,0
,Saudi Arabia,23.885942,45.079162,1/31/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/1/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/2/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/3/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/4/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/5/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/6/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/7/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/8/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/9/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/10/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/11/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/12/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/13/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/14/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/15/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/16/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/17/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/18/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/19/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/20/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/21/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/22/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/23/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/24/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/25/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/26/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/27/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/28/20,0,0,0
,Saudi Arabia,23.885942,45.079162,2/29/20,0,0,0
,Saudi Arabia,23.885942,45.079162,3/1/20,0,0,0
,Saudi Arabia,23.885942,45.079162,3/2/20,1,0,0
,Saudi Arabia,23.885942,45.079162,3/3/20,1,0,0
,Saudi Arabia,23.885942,45.079162,3/4/20,1,0,0
,Saudi Arabia,23.885942,45.079162,3/5/20,5,0,0
,Saudi Arabia,23.885942,45.079162,3/6/20,5,0,0
,Saudi Arabia,23.885942,45.079162,3/7/20,5,0,0
,Saudi Arabia,23.885942,45.079162,3/8/20,11,0,0
,Saudi Arabia,23.885942,45.079162,3/9/20,15,0,0
,Saudi Arabia,23.885942,45.079162,3/10/20,20,0,1
,Saudi Arabia,23.885942,45.079162,3/11/20,21,0,1
,Saudi Arabia,23.885942,45.079162,3/12/20,45,0,1
,Saudi Arabia,23.885942,45.079162,3/13/20,86,0,1
,Saudi Arabia,23.885942,45.079162,3/14/20,103,0,1
,Saudi Arabia,23.885942,45.079162,3/15/20,103,0,1
,Saudi Arabia,23.885942,45.079162,3/16/20,118,0,2
,Saudi Arabia,23.885942,45.079162,3/17/20,171,0,6
,Saudi Arabia,23.885942,45.079162,3/18/20,171,0,6
,Saudi Arabia,23.885942,45.079162,3/19/20,274,0,6
