Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Serbia,44.0165,21.0059,1/22/20,0,0,0
,Serbia,44.0165,21.0059,1/23/20,0,0,0
,Serbia,44.0165,21.0059,1/24/20,0,0,0
,Serbia,44.0165,21.0059,1/25/20,0,0,0
,Serbia,44.0165,21.0059,1/26/20,0,0,0
,Serbia,44.0165,21.0059,1/27/20,0,0,0
,Serbia,44.0165,21.0059,1/28/20,0,0,0
,Serbia,44.0165,21.0059,1/29/20,0,0,0
,Serbia,44.0165,21.0059,1/30/20,0,0,0
,Serbia,44.0165,21.0059,1/31/20,0,0,0
,Serbia,44.0165,21.0059,2/1/20,0,0,0
,Serbia,44.0165,21.0059,2/2/20,0,0,0
,Serbia,44.0165,21.0059,2/3/20,0,0,0
,Serbia,44.0165,21.0059,2/4/20,0,0,0
,Serbia,44.0165,21.0059,2/5/20,0,0,0
,Serbia,44.0165,21.0059,2/6/20,0,0,0
,Serbia,44.0165,21.0059,2/7/20,0,0,0
,Serbia,44.0165,21.0059,2/8/20,0,0,0
,Serbia,44.0165,21.0059,2/9/20,0,0,0
,Serbia,44.0165,21.0059,2/10/20,0,0,0
,Serbia,44.0165,21.0059,2/11/20,0,0,0
,Serbia,44.0165,21.0059,2/12/20,0,0,0
,Serbia,44.0165,21.0059,2/13/20,0,0,0
,Serbia,44.0165,21.0059,2/14/20,0,0,0
,Serbia,44.0165,21.0059,2/15/20,0,0,0
,Serbia,44.0165,21.0059,2/16/20,0,0,0
,Serbia,44.0165,21.0059,2/17/20,0,0,0
,Serbia,44.0165,21.0059,2/18/20,0,0,0
,Serbia,44.0165,21.0059,2/19/20,0,0,0
,Serbia,44.0165,21.0059,2/20/20,0,0,0
,Serbia,44.0165,21.0059,2/21/20,0,0,0
,Serbia,44.0165,21.0059,2/22/20,0,0,0
,Serbia,44.0165,21.0059,2/23/20,0,0,0
,Serbia,44.0165,21.0059,2/24/20,0,0,0
,Serbia,44.0165,21.0059,2/25/20,0,0,0
,Serbia,44.0165,21.0059,2/26/20,0,0,0
,Serbia,44.0165,21.0059,2/27/20,0,0,0
,Serbia,44.0165,21.0059,2/28/20,0,0,0
,Serbia,44.0165,21.0059,2/29/20,0,0,0
,Serbia,44.0165,21.0059,3/1/20,0,0,0
,Serbia,44.0165,21.0059,3/2/20,0,0,0
,Serbia,44.0165,21.0059,3/3/20,0,0,0
,Serbia,44.0165,21.0059,3/4/20,0,0,0
,Serbia,44.0165,21.0059,3/5/20,0,0,0
,Serbia,44.0165,21.0059,3/6/20,1,0,0
,Serbia,44.0165,21.0059,3/7/20,1,0,0
,Serbia,44.0165,21.0059,3/8/20,1,0,0
,Serbia,44.0165,21.0059,3/9/20,1,0,0
,Serbia,44.0165,21.0059,3/10/20,5,0,0
,Serbia,44.0165,21.0059,3/11/20,12,0,0
,Serbia,44.0165,21.0059,3/12/20,19,0,0
,Serbia,44.0165,21.0059,3/13/20,35,0,0
,Serbia,44.0165,21.0059,3/14/20,46,0,0
,Serbia,44.0165,21.0059,3/15/20,48,0,0
