Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,South Africa,-30.5595,22.9375,1/22/20,0,0,0
,South Africa,-30.5595,22.9375,1/23/20,0,0,0
,South Africa,-30.5595,22.9375,1/24/20,0,0,0
,South Africa,-30.5595,22.9375,1/25/20,0,0,0
,South Africa,-30.5595,22.9375,1/26/20,0,0,0
,South Africa,-30.5595,22.9375,1/27/20,0,0,0
,South Africa,-30.5595,22.9375,1/28/20,0,0,0
,South Africa,-30.5595,22.9375,1/29/20,0,0,0
,South Africa,-30.5595,22.9375,1/30/20,0,0,0
,South Africa,-30.5595,22.9375,1/31/20,0,0,0
,South Africa,-30.5595,22.9375,2/1/20,0,0,0
,South Africa,-30.5595,22.9375,2/2/20,0,0,0
,South Africa,-30.5595,22.9375,2/3/20,0,0,0
,South Africa,-30.5595,22.9375,2/4/20,0,0,0
,South Africa,-30.5595,22.9375,2/5/20,0,0,0
,South Africa,-30.5595,22.9375,2/6/20,0,0,0
,South Africa,-30.5595,22.9375,2/7/20,0,0,0
,South Africa,-30.5595,22.9375,2/8/20,0,0,0
,South Africa,-30.5595,22.9375,2/9/20,0,0,0
,South Africa,-30.5595,22.9375,2/10/20,0,0,0
,South Africa,-30.5595,22.9375,2/11/20,0,0,0
,South Africa,-30.5595,22.9375,2/12/20,0,0,0
,South Africa,-30.5595,22.9375,2/13/20,0,0,0
,South Africa,-30.5595,22.9375,2/14/20,0,0,0
,South Africa,-30.5595,22.9375,2/15/20,0,0,0
,South Africa,-30.5595,22.9375,2/16/20,0,0,0
,South Africa,-30.5595,22.9375,2/17/20,0,0,0
,South Africa,-30.5595,22.9375,2/18/20,0,0,0
,South Africa,-30.5595,22.9375,2/19/20,0,0,0
,South Africa,-30.5595,22.9375,2/20/20,0,0,0
,South Africa,-30.5595,22.9375,2/21/20,0,0,0
,South Africa,-30.5595,22.9375,2/22/20,0,0,0
,South Africa,-30.5595,22.9375,2/23/20,0,0,0
,South Africa,-30.5595,22.9375,2/24/20,0,0,0
,South Africa,-30.5595,22.9375,2/25/20,0,0,0
,South Africa,-30.5595,22.9375,2/26/20,0,0,0
,South Africa,-30.5595,22.9375,2/27/20,0,0,0
,South Africa,-30.5595,22.9375,2/28/20,0,0,0
,South Africa,-30.5595,22.9375,2/29/20,0,0,0
,South Africa,-30.5595,22.9375,3/1/20,0,0,0
,South Africa,-30.5595,22.9375,3/2/20,0,0,0
,South Africa,-30.5595,22.9375,3/3/20,0,0,0
,South Africa,-30.5595,22.9375,3/4/20,0,0,0
,South Africa,-30.5595,22.9375,3/5/20,1,0,0
,South Africa,-30.5595,22.9375,3/6/20,1,0,0
,South Africa,-30.5595,22.9375,3/7/20,1,0,0
,South Africa,-30.5595,22.9375,3/8/20,3,0,0
,South Africa,-30.5595,22.9375,3/9/20,3,0,0
,South Africa,-30.5595,22.9375,3/10/20,7,0,0
,South Africa,-30.5595,22.9375,3/11/20,13,0,0
,South Africa,-30.5595,22.9375,3/12/20,17,0,0
,South Africa,-30.5595,22.9375,3/13/20,24,0,0
,South Africa,-30.5595,22.9375,3/14/20,38,0,0
,South Africa,-30.5595,22.9375,3/15/20,51,0,0
,South Africa,-30.5595,22.9375,3/16/20,62,0,0
,South Africa,-30.5595,22.9375,3/17/20,62,0,0
,South Africa,-30.5595,22.9375,3/18/20,116,0,0
,South Africa,-30.5595,22.9375,3/19/20,150,0,0
,South Africa,-30.5595,22.9375,3/20/20,202,0,0
,South Africa,-30.5595,22.9375,3/21/20,240,0,0
,South Africa,-30.5595,22.9375,3/22/20,274,0,0
,South Africa,-30.5595,22.9375,3/23/20,402,0,0
,South Africa,-30.5595,22.9375,3/24/20,554,0,4
,South Africa,-30.5595,22.9375,3/25/20,709,0,12
,South Africa,-30.5595,22.9375,3/26/20,927,0,12
,South Africa,-30.5595,22.9375,3/27/20,1170,1,31
,South Africa,-30.5595,22.9375,3/28/20,1187,1,31
,South Africa,-30.5595,22.9375,3/29/20,1280,2,31
,South Africa,-30.5595,22.9375,3/30/20,1326,3,31
,South Africa,-30.5595,22.9375,3/31/20,1353,5,31
,South Africa,-30.5595,22.9375,4/1/20,1380,5,50
,South Africa,-30.5595,22.9375,4/2/20,1462,5,50
,South Africa,-30.5595,22.9375,4/3/20,1505,9,95
,South Africa,-30.5595,22.9375,4/4/20,1585,9,95
,South Africa,-30.5595,22.9375,4/5/20,1655,11,95
,South Africa,-30.5595,22.9375,4/6/20,1686,12,95
,South Africa,-30.5595,22.9375,4/7/20,1749,13,95
,South Africa,-30.5595,22.9375,4/8/20,1845,18,95
,South Africa,-30.5595,22.9375,4/9/20,1934,18,95
,South Africa,-30.5595,22.9375,4/10/20,2003,24,410
,South Africa,-30.5595,22.9375,4/11/20,2028,25,410
,South Africa,-30.5595,22.9375,4/12/20,2173,25,410
,South Africa,-30.5595,22.9375,4/13/20,2272,27,410
,South Africa,-30.5595,22.9375,4/14/20,2415,27,410
,South Africa,-30.5595,22.9375,4/15/20,2506,34,410
,South Africa,-30.5595,22.9375,4/16/20,2605,48,903
,South Africa,-30.5595,22.9375,4/17/20,2783,50,903
,South Africa,-30.5595,22.9375,4/18/20,3034,52,903
,South Africa,-30.5595,22.9375,4/19/20,3158,54,903
,South Africa,-30.5595,22.9375,4/20/20,3300,58,1055
