Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Sri Lanka,7.873054,80.77179699999998,1/22/20,0,0,0
,Sri Lanka,7.873054,80.77179699999998,1/23/20,0,0,0
,Sri Lanka,7.873054,80.77179699999998,1/24/20,0,0,0
,Sri Lanka,7.873054,80.77179699999998,1/25/20,0,0,0
,Sri Lanka,7.873054,80.77179699999998,1/26/20,0,0,0
,Sri Lanka,7.873054,80.77179699999998,1/27/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,1/28/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,1/29/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,1/30/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,1/31/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/1/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/2/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/3/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/4/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/5/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/6/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/7/20,1,0,0
,Sri Lanka,7.873054,80.77179699999998,2/8/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/9/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/10/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/11/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/12/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/13/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/14/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/15/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/16/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/17/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/18/20,1,0,1
,Sri Lanka,7.873054,80.77179699999998,2/19/20,1,0,1
