Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Sweden,60.128161,18.643501,1/22/20,0,0,0
,Sweden,60.128161,18.643501,1/23/20,0,0,0
,Sweden,60.128161,18.643501,1/24/20,0,0,0
,Sweden,60.128161,18.643501,1/25/20,0,0,0
,Sweden,60.128161,18.643501,1/26/20,0,0,0
,Sweden,60.128161,18.643501,1/27/20,0,0,0
,Sweden,60.128161,18.643501,1/28/20,0,0,0
,Sweden,60.128161,18.643501,1/29/20,0,0,0
,Sweden,60.128161,18.643501,1/30/20,0,0,0
,Sweden,60.128161,18.643501,1/31/20,0,0,0
,Sweden,60.128161,18.643501,2/1/20,1,0,0
,Sweden,60.128161,18.643501,2/2/20,1,0,0
,Sweden,60.128161,18.643501,2/3/20,1,0,0
,Sweden,60.128161,18.643501,2/4/20,1,0,0
,Sweden,60.128161,18.643501,2/5/20,1,0,0
,Sweden,60.128161,18.643501,2/6/20,1,0,0
,Sweden,60.128161,18.643501,2/7/20,1,0,0
,Sweden,60.128161,18.643501,2/8/20,1,0,0
,Sweden,60.128161,18.643501,2/9/20,1,0,0
,Sweden,60.128161,18.643501,2/10/20,1,0,0
,Sweden,60.128161,18.643501,2/11/20,1,0,0
,Sweden,60.128161,18.643501,2/12/20,1,0,0
,Sweden,60.128161,18.643501,2/13/20,1,0,0
,Sweden,60.128161,18.643501,2/14/20,1,0,0
,Sweden,60.128161,18.643501,2/15/20,1,0,0
,Sweden,60.128161,18.643501,2/16/20,1,0,0
,Sweden,60.128161,18.643501,2/17/20,1,0,0
,Sweden,60.128161,18.643501,2/18/20,1,0,0
,Sweden,60.128161,18.643501,2/19/20,1,0,0
,Sweden,60.128161,18.643501,2/20/20,1,0,0
,Sweden,60.128161,18.643501,2/21/20,1,0,0
,Sweden,60.128161,18.643501,2/22/20,1,0,0
,Sweden,60.128161,18.643501,2/23/20,1,0,0
,Sweden,60.128161,18.643501,2/24/20,1,0,0
,Sweden,60.128161,18.643501,2/25/20,1,0,0
,Sweden,60.128161,18.643501,2/26/20,2,0,0
,Sweden,60.128161,18.643501,2/27/20,3,0,0
,Sweden,60.128161,18.643501,2/28/20,11,0,0
,Sweden,60.128161,18.643501,2/29/20,14,0,0
,Sweden,60.128161,18.643501,3/1/20,14,0,0
,Sweden,60.128161,18.643501,3/2/20,19,0,0
,Sweden,60.128161,18.643501,3/3/20,32,0,0
,Sweden,60.128161,18.643501,3/4/20,62,0,0
,Sweden,60.128161,18.643501,3/5/20,87,0,0
,Sweden,60.128161,18.643501,3/6/20,146,0,0
,Sweden,60.128161,18.643501,3/7/20,179,0,0
,Sweden,60.128161,18.643501,3/8/20,225,0,0
,Sweden,60.128161,18.643501,3/9/20,326,0,0
,Sweden,60.128161,18.643501,3/10/20,424,1,0
,Sweden,60.128161,18.643501,3/11/20,620,1,0
,Sweden,60.128161,18.643501,3/12/20,771,2,0
,Sweden,60.128161,18.643501,3/13/20,923,3,0
,Sweden,60.128161,18.643501,3/14/20,994,5,0
,Sweden,60.128161,18.643501,3/15/20,1063,7,0
,Sweden,60.128161,18.643501,3/16/20,1146,8,0
,Sweden,60.128161,18.643501,3/17/20,1265,14,0
,Sweden,60.128161,18.643501,3/18/20,1410,21,0
,Sweden,60.128161,18.643501,3/19/20,1553,30,0
,Sweden,60.128161,18.643501,3/20/20,1733,38,0
,Sweden,60.128161,18.643501,3/21/20,1868,49,0
,Sweden,60.128161,18.643501,3/22/20,1986,60,0
,Sweden,60.128161,18.643501,3/23/20,2168,81,0
,Sweden,60.128161,18.643501,3/24/20,2398,103,0
,Sweden,60.128161,18.643501,3/25/20,2712,134,0
,Sweden,60.128161,18.643501,3/26/20,2998,166,0
,Sweden,60.128161,18.643501,3/27/20,3363,201,0
,Sweden,60.128161,18.643501,3/28/20,3663,239,0
,Sweden,60.128161,18.643501,3/29/20,3943,284,0
,Sweden,60.128161,18.643501,3/30/20,4359,332,0
,Sweden,60.128161,18.643501,3/31/20,4834,385,0
,Sweden,60.128161,18.643501,4/1/20,5320,455,0
,Sweden,60.128161,18.643501,4/2/20,5874,535,0
,Sweden,60.128161,18.643501,4/3/20,6475,605,0
,Sweden,60.128161,18.643501,4/4/20,6832,690,0
,Sweden,60.128161,18.643501,4/5/20,7172,780,0
,Sweden,60.128161,18.643501,4/6/20,7561,864,0
,Sweden,60.128161,18.643501,4/7/20,8299,979,0
,Sweden,60.128161,18.643501,4/8/20,8954,1065,0
,Sweden,60.128161,18.643501,4/9/20,9599,1155,0
,Sweden,60.128161,18.643501,4/10/20,10053,1258,0
,Sweden,60.128161,18.643501,4/11/20,10448,1355,0
,Sweden,60.128161,18.643501,4/12/20,10912,1440,0
,Sweden,60.128161,18.643501,4/13/20,11349,1531,0
