Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Taiwan*,23.7,121.0,1/22/20,1,0,0
,Taiwan*,23.7,121.0,1/23/20,1,0,0
,Taiwan*,23.7,121.0,1/24/20,3,0,0
,Taiwan*,23.7,121.0,1/25/20,3,0,0
,Taiwan*,23.7,121.0,1/26/20,4,0,0
,Taiwan*,23.7,121.0,1/27/20,5,0,0
,Taiwan*,23.7,121.0,1/28/20,8,0,0
,Taiwan*,23.7,121.0,1/29/20,8,0,0
,Taiwan*,23.7,121.0,1/30/20,9,0,0
,Taiwan*,23.7,121.0,1/31/20,10,0,0
,Taiwan*,23.7,121.0,2/1/20,10,0,0
,Taiwan*,23.7,121.0,2/2/20,10,0,0
,Taiwan*,23.7,121.0,2/3/20,10,0,0
,Taiwan*,23.7,121.0,2/4/20,11,0,0
,Taiwan*,23.7,121.0,2/5/20,11,0,0
,Taiwan*,23.7,121.0,2/6/20,16,0,1
,Taiwan*,23.7,121.0,2/7/20,16,0,1
,Taiwan*,23.7,121.0,2/8/20,17,0,1
,Taiwan*,23.7,121.0,2/9/20,18,0,1
,Taiwan*,23.7,121.0,2/10/20,18,0,1
,Taiwan*,23.7,121.0,2/11/20,18,0,1
,Taiwan*,23.7,121.0,2/12/20,18,0,1
,Taiwan*,23.7,121.0,2/13/20,18,0,1
,Taiwan*,23.7,121.0,2/14/20,18,0,2
,Taiwan*,23.7,121.0,2/15/20,18,0,2
,Taiwan*,23.7,121.0,2/16/20,20,1,2
,Taiwan*,23.7,121.0,2/17/20,22,1,2
,Taiwan*,23.7,121.0,2/18/20,22,1,2
,Taiwan*,23.7,121.0,2/19/20,23,1,2
,Taiwan*,23.7,121.0,2/20/20,24,1,2
,Taiwan*,23.7,121.0,2/21/20,26,1,2
,Taiwan*,23.7,121.0,2/22/20,26,1,2
,Taiwan*,23.7,121.0,2/23/20,28,1,2
,Taiwan*,23.7,121.0,2/24/20,30,1,5
,Taiwan*,23.7,121.0,2/25/20,31,1,5
,Taiwan*,23.7,121.0,2/26/20,32,1,5
,Taiwan*,23.7,121.0,2/27/20,32,1,5
,Taiwan*,23.7,121.0,2/28/20,34,1,6
,Taiwan*,23.7,121.0,2/29/20,39,1,9
,Taiwan*,23.7,121.0,3/1/20,40,1,9
,Taiwan*,23.7,121.0,3/2/20,41,1,12
,Taiwan*,23.7,121.0,3/3/20,42,1,12
,Taiwan*,23.7,121.0,3/4/20,42,1,12
,Taiwan*,23.7,121.0,3/5/20,44,1,12
,Taiwan*,23.7,121.0,3/6/20,45,1,12
,Taiwan*,23.7,121.0,3/7/20,45,1,12
,Taiwan*,23.7,121.0,3/8/20,45,1,13
,Taiwan*,23.7,121.0,3/9/20,45,1,15
,Taiwan*,23.7,121.0,3/10/20,47,1,17
,Taiwan*,23.7,121.0,3/11/20,48,1,17
,Taiwan*,23.7,121.0,3/12/20,49,1,20
,Taiwan*,23.7,121.0,3/13/20,50,1,20
,Taiwan*,23.7,121.0,3/14/20,53,1,20
,Taiwan*,23.7,121.0,3/15/20,59,1,20
,Taiwan*,23.7,121.0,3/16/20,67,1,20
,Taiwan*,23.7,121.0,3/17/20,77,1,22
,Taiwan*,23.7,121.0,3/18/20,100,1,22
,Taiwan*,23.7,121.0,3/19/20,108,1,26
,Taiwan*,23.7,121.0,3/20/20,135,2,26
,Taiwan*,23.7,121.0,3/21/20,153,2,28
,Taiwan*,23.7,121.0,3/22/20,169,2,28
,Taiwan*,23.7,121.0,3/23/20,195,2,28
,Taiwan*,23.7,121.0,3/24/20,215,2,29
,Taiwan*,23.7,121.0,3/25/20,235,2,29
,Taiwan*,23.7,121.0,3/26/20,252,2,29
,Taiwan*,23.7,121.0,3/27/20,267,2,29
,Taiwan*,23.7,121.0,3/28/20,283,2,30
,Taiwan*,23.7,121.0,3/29/20,298,2,30
,Taiwan*,23.7,121.0,3/30/20,306,5,39
,Taiwan*,23.7,121.0,3/31/20,322,5,39
,Taiwan*,23.7,121.0,4/1/20,329,5,39
,Taiwan*,23.7,121.0,4/2/20,339,5,45
,Taiwan*,23.7,121.0,4/3/20,348,5,50
,Taiwan*,23.7,121.0,4/4/20,355,5,50
,Taiwan*,23.7,121.0,4/5/20,363,5,50
,Taiwan*,23.7,121.0,4/6/20,373,5,57
,Taiwan*,23.7,121.0,4/7/20,376,5,57
,Taiwan*,23.7,121.0,4/8/20,379,5,61
,Taiwan*,23.7,121.0,4/9/20,380,5,67
,Taiwan*,23.7,121.0,4/10/20,382,6,91
,Taiwan*,23.7,121.0,4/11/20,385,6,99
,Taiwan*,23.7,121.0,4/12/20,388,6,109
,Taiwan*,23.7,121.0,4/13/20,393,6,109
,Taiwan*,23.7,121.0,4/14/20,393,6,124
