Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Togo,8.6195,0.8248,1/22/20,0,0,0
,Togo,8.6195,0.8248,1/23/20,0,0,0
,Togo,8.6195,0.8248,1/24/20,0,0,0
,Togo,8.6195,0.8248,1/25/20,0,0,0
,Togo,8.6195,0.8248,1/26/20,0,0,0
,Togo,8.6195,0.8248,1/27/20,0,0,0
,Togo,8.6195,0.8248,1/28/20,0,0,0
,Togo,8.6195,0.8248,1/29/20,0,0,0
,Togo,8.6195,0.8248,1/30/20,0,0,0
,Togo,8.6195,0.8248,1/31/20,0,0,0
,Togo,8.6195,0.8248,2/1/20,0,0,0
,Togo,8.6195,0.8248,2/2/20,0,0,0
,Togo,8.6195,0.8248,2/3/20,0,0,0
,Togo,8.6195,0.8248,2/4/20,0,0,0
,Togo,8.6195,0.8248,2/5/20,0,0,0
,Togo,8.6195,0.8248,2/6/20,0,0,0
,Togo,8.6195,0.8248,2/7/20,0,0,0
,Togo,8.6195,0.8248,2/8/20,0,0,0
,Togo,8.6195,0.8248,2/9/20,0,0,0
,Togo,8.6195,0.8248,2/10/20,0,0,0
,Togo,8.6195,0.8248,2/11/20,0,0,0
,Togo,8.6195,0.8248,2/12/20,0,0,0
,Togo,8.6195,0.8248,2/13/20,0,0,0
,Togo,8.6195,0.8248,2/14/20,0,0,0
,Togo,8.6195,0.8248,2/15/20,0,0,0
,Togo,8.6195,0.8248,2/16/20,0,0,0
,Togo,8.6195,0.8248,2/17/20,0,0,0
,Togo,8.6195,0.8248,2/18/20,0,0,0
,Togo,8.6195,0.8248,2/19/20,0,0,0
,Togo,8.6195,0.8248,2/20/20,0,0,0
,Togo,8.6195,0.8248,2/21/20,0,0,0
,Togo,8.6195,0.8248,2/22/20,0,0,0
,Togo,8.6195,0.8248,2/23/20,0,0,0
,Togo,8.6195,0.8248,2/24/20,0,0,0
,Togo,8.6195,0.8248,2/25/20,0,0,0
,Togo,8.6195,0.8248,2/26/20,0,0,0
,Togo,8.6195,0.8248,2/27/20,0,0,0
,Togo,8.6195,0.8248,2/28/20,0,0,0
,Togo,8.6195,0.8248,2/29/20,0,0,0
,Togo,8.6195,0.8248,3/1/20,0,0,0
,Togo,8.6195,0.8248,3/2/20,0,0,0
,Togo,8.6195,0.8248,3/3/20,0,0,0
,Togo,8.6195,0.8248,3/4/20,0,0,0
,Togo,8.6195,0.8248,3/5/20,0,0,0
,Togo,8.6195,0.8248,3/6/20,1,0,0
,Togo,8.6195,0.8248,3/7/20,1,0,0
,Togo,8.6195,0.8248,3/8/20,1,0,0
,Togo,8.6195,0.8248,3/9/20,1,0,0
,Togo,8.6195,0.8248,3/10/20,1,0,0
,Togo,8.6195,0.8248,3/11/20,1,0,0
,Togo,8.6195,0.8248,3/12/20,1,0,0
,Togo,8.6195,0.8248,3/13/20,1,0,0
,Togo,8.6195,0.8248,3/14/20,1,0,0
,Togo,8.6195,0.8248,3/15/20,1,0,0
,Togo,8.6195,0.8248,3/16/20,1,0,0
,Togo,8.6195,0.8248,3/17/20,1,0,0
,Togo,8.6195,0.8248,3/18/20,1,0,0
,Togo,8.6195,0.8248,3/19/20,1,0,0
,Togo,8.6195,0.8248,3/20/20,9,0,1
,Togo,8.6195,0.8248,3/21/20,16,0,1
,Togo,8.6195,0.8248,3/22/20,16,0,1
,Togo,8.6195,0.8248,3/23/20,18,0,1
,Togo,8.6195,0.8248,3/24/20,20,0,1
,Togo,8.6195,0.8248,3/25/20,23,0,1
,Togo,8.6195,0.8248,3/26/20,23,0,1
,Togo,8.6195,0.8248,3/27/20,25,1,1
,Togo,8.6195,0.8248,3/28/20,25,1,1
,Togo,8.6195,0.8248,3/29/20,25,1,1
,Togo,8.6195,0.8248,3/30/20,30,1,1
,Togo,8.6195,0.8248,3/31/20,34,1,10
,Togo,8.6195,0.8248,4/1/20,36,2,10
,Togo,8.6195,0.8248,4/2/20,39,2,17
,Togo,8.6195,0.8248,4/3/20,40,3,17
,Togo,8.6195,0.8248,4/4/20,41,3,17
,Togo,8.6195,0.8248,4/5/20,44,3,20
,Togo,8.6195,0.8248,4/6/20,58,3,23
,Togo,8.6195,0.8248,4/7/20,65,3,23
,Togo,8.6195,0.8248,4/8/20,70,3,23
,Togo,8.6195,0.8248,4/9/20,73,3,24
,Togo,8.6195,0.8248,4/10/20,76,3,25
,Togo,8.6195,0.8248,4/11/20,76,3,25
,Togo,8.6195,0.8248,4/12/20,76,3,29
,Togo,8.6195,0.8248,4/13/20,77,3,29
,Togo,8.6195,0.8248,4/14/20,77,3,32
,Togo,8.6195,0.8248,4/15/20,81,3,35
,Togo,8.6195,0.8248,4/16/20,81,5,45
,Togo,8.6195,0.8248,4/17/20,83,5,48
,Togo,8.6195,0.8248,4/18/20,84,5,49
,Togo,8.6195,0.8248,4/19/20,84,5,52
,Togo,8.6195,0.8248,4/20/20,84,6,53
,Togo,8.6195,0.8248,4/21/20,86,6,56
,Togo,8.6195,0.8248,4/22/20,88,6,56
,Togo,8.6195,0.8248,4/23/20,88,6,59
,Togo,8.6195,0.8248,4/24/20,90,6,59
,Togo,8.6195,0.8248,4/25/20,96,6,62
,Togo,8.6195,0.8248,4/26/20,98,6,62
,Togo,8.6195,0.8248,4/27/20,98,6,62
,Togo,8.6195,0.8248,4/28/20,99,6,63
,Togo,8.6195,0.8248,4/29/20,109,7,64
,Togo,8.6195,0.8248,4/30/20,116,9,65
,Togo,8.6195,0.8248,5/1/20,123,9,66
,Togo,8.6195,0.8248,5/2/20,123,9,66
,Togo,8.6195,0.8248,5/3/20,124,9,67
,Togo,8.6195,0.8248,5/4/20,126,9,74
,Togo,8.6195,0.8248,5/5/20,128,9,74
,Togo,8.6195,0.8248,5/6/20,128,9,77
,Togo,8.6195,0.8248,5/7/20,135,9,85
,Togo,8.6195,0.8248,5/8/20,145,10,85
,Togo,8.6195,0.8248,5/9/20,153,10,87
,Togo,8.6195,0.8248,5/10/20,174,11,89
,Togo,8.6195,0.8248,5/11/20,181,11,89
,Togo,8.6195,0.8248,5/12/20,199,11,92
,Togo,8.6195,0.8248,5/13/20,219,11,96
,Togo,8.6195,0.8248,5/14/20,238,11,96
,Togo,8.6195,0.8248,5/15/20,263,11,96
,Togo,8.6195,0.8248,5/16/20,298,11,99
,Togo,8.6195,0.8248,5/17/20,301,11,104
,Togo,8.6195,0.8248,5/18/20,330,12,106
,Togo,8.6195,0.8248,5/19/20,338,12,107
,Togo,8.6195,0.8248,5/20/20,340,12,110
,Togo,8.6195,0.8248,5/21/20,354,12,118
,Togo,8.6195,0.8248,5/22/20,363,12,121
,Togo,8.6195,0.8248,5/23/20,373,12,133
,Togo,8.6195,0.8248,5/24/20,381,12,141
,Togo,8.6195,0.8248,5/25/20,386,13,161
,Togo,8.6195,0.8248,5/26/20,391,13,177
,Togo,8.6195,0.8248,5/27/20,395,13,183
