Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Trinidad and Tobago,10.6918,-61.2225,1/22/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/23/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/24/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/25/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/26/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/27/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/28/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/29/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/30/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,1/31/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/1/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/2/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/3/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/4/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/5/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/6/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/7/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/8/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/9/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/10/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/11/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/12/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/13/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/14/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/15/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/16/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/17/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/18/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/19/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/20/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/21/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/22/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/23/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/24/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/25/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/26/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/27/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/28/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,2/29/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/1/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/2/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/3/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/4/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/5/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/6/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/7/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/8/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/9/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/10/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/11/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/12/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/13/20,0,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/14/20,2,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/15/20,2,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/16/20,4,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/17/20,5,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/18/20,7,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/19/20,9,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/20/20,9,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/21/20,49,0,1
,Trinidad and Tobago,10.6918,-61.2225,3/22/20,50,0,1
,Trinidad and Tobago,10.6918,-61.2225,3/23/20,51,0,1
,Trinidad and Tobago,10.6918,-61.2225,3/24/20,57,0,0
,Trinidad and Tobago,10.6918,-61.2225,3/25/20,60,1,0
,Trinidad and Tobago,10.6918,-61.2225,3/26/20,65,1,0
,Trinidad and Tobago,10.6918,-61.2225,3/27/20,66,2,1
,Trinidad and Tobago,10.6918,-61.2225,3/28/20,74,3,1
,Trinidad and Tobago,10.6918,-61.2225,3/29/20,78,3,1
,Trinidad and Tobago,10.6918,-61.2225,3/30/20,82,3,1
,Trinidad and Tobago,10.6918,-61.2225,3/31/20,87,3,1
,Trinidad and Tobago,10.6918,-61.2225,4/1/20,90,5,1
,Trinidad and Tobago,10.6918,-61.2225,4/2/20,94,5,1
,Trinidad and Tobago,10.6918,-61.2225,4/3/20,98,6,1
,Trinidad and Tobago,10.6918,-61.2225,4/4/20,103,6,1
,Trinidad and Tobago,10.6918,-61.2225,4/5/20,104,7,1
,Trinidad and Tobago,10.6918,-61.2225,4/6/20,105,8,1
,Trinidad and Tobago,10.6918,-61.2225,4/7/20,107,8,1
,Trinidad and Tobago,10.6918,-61.2225,4/8/20,107,8,1
,Trinidad and Tobago,10.6918,-61.2225,4/9/20,109,8,1
,Trinidad and Tobago,10.6918,-61.2225,4/10/20,109,8,1
,Trinidad and Tobago,10.6918,-61.2225,4/11/20,112,8,12
,Trinidad and Tobago,10.6918,-61.2225,4/12/20,113,8,16
,Trinidad and Tobago,10.6918,-61.2225,4/13/20,113,8,16
,Trinidad and Tobago,10.6918,-61.2225,4/14/20,113,8,17
,Trinidad and Tobago,10.6918,-61.2225,4/15/20,114,8,19
,Trinidad and Tobago,10.6918,-61.2225,4/16/20,114,8,20
,Trinidad and Tobago,10.6918,-61.2225,4/17/20,114,8,20
,Trinidad and Tobago,10.6918,-61.2225,4/18/20,114,8,21
,Trinidad and Tobago,10.6918,-61.2225,4/19/20,114,8,21
,Trinidad and Tobago,10.6918,-61.2225,4/20/20,114,8,22
,Trinidad and Tobago,10.6918,-61.2225,4/21/20,115,8,28
,Trinidad and Tobago,10.6918,-61.2225,4/22/20,115,8,37
,Trinidad and Tobago,10.6918,-61.2225,4/23/20,115,8,48
,Trinidad and Tobago,10.6918,-61.2225,4/24/20,115,8,48
,Trinidad and Tobago,10.6918,-61.2225,4/25/20,115,8,53
,Trinidad and Tobago,10.6918,-61.2225,4/26/20,115,8,54
,Trinidad and Tobago,10.6918,-61.2225,4/27/20,116,8,59
,Trinidad and Tobago,10.6918,-61.2225,4/28/20,116,8,59
,Trinidad and Tobago,10.6918,-61.2225,4/29/20,116,8,71
,Trinidad and Tobago,10.6918,-61.2225,4/30/20,116,8,72
,Trinidad and Tobago,10.6918,-61.2225,5/1/20,116,8,83
,Trinidad and Tobago,10.6918,-61.2225,5/2/20,116,8,88
,Trinidad and Tobago,10.6918,-61.2225,5/3/20,116,8,93
,Trinidad and Tobago,10.6918,-61.2225,5/4/20,116,8,99
,Trinidad and Tobago,10.6918,-61.2225,5/5/20,116,8,103
,Trinidad and Tobago,10.6918,-61.2225,5/6/20,116,8,103
,Trinidad and Tobago,10.6918,-61.2225,5/7/20,116,8,103
,Trinidad and Tobago,10.6918,-61.2225,5/8/20,116,8,103
