Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Tunisia,33.886917,9.537499,1/22/20,0,0,0
,Tunisia,33.886917,9.537499,1/23/20,0,0,0
,Tunisia,33.886917,9.537499,1/24/20,0,0,0
,Tunisia,33.886917,9.537499,1/25/20,0,0,0
,Tunisia,33.886917,9.537499,1/26/20,0,0,0
,Tunisia,33.886917,9.537499,1/27/20,0,0,0
,Tunisia,33.886917,9.537499,1/28/20,0,0,0
,Tunisia,33.886917,9.537499,1/29/20,0,0,0
,Tunisia,33.886917,9.537499,1/30/20,0,0,0
,Tunisia,33.886917,9.537499,1/31/20,0,0,0
,Tunisia,33.886917,9.537499,2/1/20,0,0,0
,Tunisia,33.886917,9.537499,2/2/20,0,0,0
,Tunisia,33.886917,9.537499,2/3/20,0,0,0
,Tunisia,33.886917,9.537499,2/4/20,0,0,0
,Tunisia,33.886917,9.537499,2/5/20,0,0,0
,Tunisia,33.886917,9.537499,2/6/20,0,0,0
,Tunisia,33.886917,9.537499,2/7/20,0,0,0
,Tunisia,33.886917,9.537499,2/8/20,0,0,0
,Tunisia,33.886917,9.537499,2/9/20,0,0,0
,Tunisia,33.886917,9.537499,2/10/20,0,0,0
,Tunisia,33.886917,9.537499,2/11/20,0,0,0
,Tunisia,33.886917,9.537499,2/12/20,0,0,0
,Tunisia,33.886917,9.537499,2/13/20,0,0,0
,Tunisia,33.886917,9.537499,2/14/20,0,0,0
,Tunisia,33.886917,9.537499,2/15/20,0,0,0
,Tunisia,33.886917,9.537499,2/16/20,0,0,0
,Tunisia,33.886917,9.537499,2/17/20,0,0,0
,Tunisia,33.886917,9.537499,2/18/20,0,0,0
,Tunisia,33.886917,9.537499,2/19/20,0,0,0
,Tunisia,33.886917,9.537499,2/20/20,0,0,0
,Tunisia,33.886917,9.537499,2/21/20,0,0,0
,Tunisia,33.886917,9.537499,2/22/20,0,0,0
,Tunisia,33.886917,9.537499,2/23/20,0,0,0
,Tunisia,33.886917,9.537499,2/24/20,0,0,0
,Tunisia,33.886917,9.537499,2/25/20,0,0,0
,Tunisia,33.886917,9.537499,2/26/20,0,0,0
,Tunisia,33.886917,9.537499,2/27/20,0,0,0
,Tunisia,33.886917,9.537499,2/28/20,0,0,0
,Tunisia,33.886917,9.537499,2/29/20,0,0,0
,Tunisia,33.886917,9.537499,3/1/20,0,0,0
,Tunisia,33.886917,9.537499,3/2/20,0,0,0
,Tunisia,33.886917,9.537499,3/3/20,0,0,0
,Tunisia,33.886917,9.537499,3/4/20,1,0,0
,Tunisia,33.886917,9.537499,3/5/20,1,0,0
,Tunisia,33.886917,9.537499,3/6/20,1,0,0
,Tunisia,33.886917,9.537499,3/7/20,1,0,0
,Tunisia,33.886917,9.537499,3/8/20,2,0,0
,Tunisia,33.886917,9.537499,3/9/20,2,0,0
,Tunisia,33.886917,9.537499,3/10/20,5,0,0
,Tunisia,33.886917,9.537499,3/11/20,7,0,0
,Tunisia,33.886917,9.537499,3/12/20,7,0,0
,Tunisia,33.886917,9.537499,3/13/20,16,0,0
,Tunisia,33.886917,9.537499,3/14/20,18,0,0
,Tunisia,33.886917,9.537499,3/15/20,18,0,0
,Tunisia,33.886917,9.537499,3/16/20,20,0,0
,Tunisia,33.886917,9.537499,3/17/20,24,0,0
,Tunisia,33.886917,9.537499,3/18/20,29,0,0
,Tunisia,33.886917,9.537499,3/19/20,39,1,0
,Tunisia,33.886917,9.537499,3/20/20,54,1,0
,Tunisia,33.886917,9.537499,3/21/20,60,1,0
,Tunisia,33.886917,9.537499,3/22/20,75,3,1
,Tunisia,33.886917,9.537499,3/23/20,89,3,1
,Tunisia,33.886917,9.537499,3/24/20,114,4,1
,Tunisia,33.886917,9.537499,3/25/20,173,5,2
,Tunisia,33.886917,9.537499,3/26/20,197,6,2
