Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,US,40.0,-100.0,1/22/20,1,0,0
,US,40.0,-100.0,1/23/20,1,0,0
,US,40.0,-100.0,1/24/20,2,0,0
,US,40.0,-100.0,1/25/20,2,0,0
,US,40.0,-100.0,1/26/20,5,0,0
,US,40.0,-100.0,1/27/20,5,0,0
,US,40.0,-100.0,1/28/20,5,0,0
,US,40.0,-100.0,1/29/20,6,0,0
,US,40.0,-100.0,1/30/20,6,0,0
,US,40.0,-100.0,1/31/20,8,0,0
,US,40.0,-100.0,2/1/20,8,0,0
,US,40.0,-100.0,2/2/20,8,0,0
,US,40.0,-100.0,2/3/20,11,0,0
,US,40.0,-100.0,2/4/20,11,0,0
,US,40.0,-100.0,2/5/20,11,0,0
,US,40.0,-100.0,2/6/20,12,0,0
,US,40.0,-100.0,2/7/20,12,0,0
,US,40.0,-100.0,2/8/20,12,0,0
,US,40.0,-100.0,2/9/20,12,0,3
,US,40.0,-100.0,2/10/20,12,0,3
,US,40.0,-100.0,2/11/20,13,0,3
,US,40.0,-100.0,2/12/20,13,0,3
,US,40.0,-100.0,2/13/20,14,0,3
,US,40.0,-100.0,2/14/20,14,0,3
,US,40.0,-100.0,2/15/20,14,0,3
,US,40.0,-100.0,2/16/20,14,0,3
,US,40.0,-100.0,2/17/20,14,0,3
,US,40.0,-100.0,2/18/20,14,0,3
,US,40.0,-100.0,2/19/20,14,0,3
,US,40.0,-100.0,2/20/20,14,0,3
,US,40.0,-100.0,2/21/20,16,0,5
,US,40.0,-100.0,2/22/20,16,0,5
,US,40.0,-100.0,2/23/20,16,0,5
,US,40.0,-100.0,2/24/20,16,0,5
,US,40.0,-100.0,2/25/20,16,0,6
,US,40.0,-100.0,2/26/20,16,0,6
,US,40.0,-100.0,2/27/20,17,0,6
,US,40.0,-100.0,2/28/20,17,0,7
,US,40.0,-100.0,2/29/20,25,1,7
,US,40.0,-100.0,3/1/20,32,1,7
,US,40.0,-100.0,3/2/20,54,6,7
,US,40.0,-100.0,3/3/20,74,7,7
,US,40.0,-100.0,3/4/20,107,11,7
,US,40.0,-100.0,3/5/20,184,12,7
,US,40.0,-100.0,3/6/20,237,14,7
,US,40.0,-100.0,3/7/20,403,17,7
,US,40.0,-100.0,3/8/20,519,21,7
,US,40.0,-100.0,3/9/20,589,22,7
,US,40.0,-100.0,3/10/20,782,28,8
,US,40.0,-100.0,3/11/20,1145,33,8
,US,40.0,-100.0,3/12/20,1584,43,12
,US,40.0,-100.0,3/13/20,2214,51,12
,US,40.0,-100.0,3/14/20,2971,58,12
,US,40.0,-100.0,3/15/20,3211,70,12
,US,40.0,-100.0,3/16/20,4679,97,17
,US,40.0,-100.0,3/17/20,6513,132,17
,US,40.0,-100.0,3/18/20,9153,191,105
,US,40.0,-100.0,3/19/20,13643,265,121
,US,40.0,-100.0,3/20/20,20007,364,147
,US,40.0,-100.0,3/21/20,25991,463,176
,US,40.0,-100.0,3/22/20,34804,573,178
,US,40.0,-100.0,3/23/20,45973,762,178
,US,40.0,-100.0,3/24/20,56571,1001,348
,US,40.0,-100.0,3/25/20,68583,1325,361
,US,40.0,-100.0,3/26/20,86495,1733,681
,US,40.0,-100.0,3/27/20,105103,2253,869
,US,40.0,-100.0,3/28/20,124701,2886,1072
,US,40.0,-100.0,3/29/20,143672,3472,2665
,US,40.0,-100.0,3/30/20,165615,4164,5644
,US,40.0,-100.0,3/31/20,192048,5249,7024
,US,40.0,-100.0,4/1/20,217730,6421,8474
,US,40.0,-100.0,4/2/20,248186,7924,9001
,US,40.0,-100.0,4/3/20,280173,9316,9707
,US,40.0,-100.0,4/4/20,313154,10839,14652
,US,40.0,-100.0,4/5/20,341245,12429,17448
,US,40.0,-100.0,4/6/20,371481,14199,19581
,US,40.0,-100.0,4/7/20,402917,16770,21763
,US,40.0,-100.0,4/8/20,434886,18916,23559
,US,40.0,-100.0,4/9/20,469478,21144,25410
,US,40.0,-100.0,4/10/20,503006,23362,28790
,US,40.0,-100.0,4/11/20,532447,25481,31270
,US,40.0,-100.0,4/12/20,559318,27294,32988
,US,40.0,-100.0,4/13/20,585240,29240,43482
,US,40.0,-100.0,4/14/20,613887,31695,47763
,US,40.0,-100.0,4/15/20,643833,34304,52096
,US,40.0,-100.0,4/16/20,675261,36480,54703
,US,40.0,-100.0,4/17/20,708179,38573,58545
,US,40.0,-100.0,4/18/20,735960,40533,64840
,US,40.0,-100.0,4/19/20,761620,42464,70337
,US,40.0,-100.0,4/20/20,790121,44650,72329
,US,40.0,-100.0,4/21/20,816100,47198,75204
,US,40.0,-100.0,4/22/20,845361,49632,77366
,US,40.0,-100.0,4/23/20,878645,52101,80203
,US,40.0,-100.0,4/24/20,912247,54255,99079
,US,40.0,-100.0,4/25/20,944231,55953,100372
,US,40.0,-100.0,4/26/20,971149,57282,106988
,US,40.0,-100.0,4/27/20,994204,58748,111424
,US,40.0,-100.0,4/28/20,1018950,60989,115936
,US,40.0,-100.0,4/29/20,1046653,63510,120720
,US,40.0,-100.0,4/30/20,1076323,65832,153947
,US,40.0,-100.0,5/1/20,1110394,67723,164015
,US,40.0,-100.0,5/2/20,1138570,69415,175382
,US,40.0,-100.0,5/3/20,1163016,70535,180152
,US,40.0,-100.0,5/4/20,1186303,71868,187180
,US,40.0,-100.0,5/5/20,1210960,74186,189791
,US,40.0,-100.0,5/6/20,1236037,76550,189910
,US,40.0,-100.0,5/7/20,1263804,78484,195036
,US,40.0,-100.0,5/8/20,1290687,80231,198993
,US,40.0,-100.0,5/9/20,1315641,81719,212534
,US,40.0,-100.0,5/10/20,1334685,82612,216169
,US,40.0,-100.0,5/11/20,1354141,83626,232733
,US,40.0,-100.0,5/12/20,1376823,85253,230287
,US,40.0,-100.0,5/13/20,1397811,87017,243430
,US,40.0,-100.0,5/14/20,1424941,88800,246414
,US,40.0,-100.0,5/15/20,1450023,90481,250747
,US,40.0,-100.0,5/16/20,1474187,91697,268376
