Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Ukraine,48.3794,31.1656,1/22/20,0,0,0
,Ukraine,48.3794,31.1656,1/23/20,0,0,0
,Ukraine,48.3794,31.1656,1/24/20,0,0,0
,Ukraine,48.3794,31.1656,1/25/20,0,0,0
,Ukraine,48.3794,31.1656,1/26/20,0,0,0
,Ukraine,48.3794,31.1656,1/27/20,0,0,0
,Ukraine,48.3794,31.1656,1/28/20,0,0,0
,Ukraine,48.3794,31.1656,1/29/20,0,0,0
,Ukraine,48.3794,31.1656,1/30/20,0,0,0
,Ukraine,48.3794,31.1656,1/31/20,0,0,0
,Ukraine,48.3794,31.1656,2/1/20,0,0,0
,Ukraine,48.3794,31.1656,2/2/20,0,0,0
,Ukraine,48.3794,31.1656,2/3/20,0,0,0
,Ukraine,48.3794,31.1656,2/4/20,0,0,0
,Ukraine,48.3794,31.1656,2/5/20,0,0,0
,Ukraine,48.3794,31.1656,2/6/20,0,0,0
,Ukraine,48.3794,31.1656,2/7/20,0,0,0
,Ukraine,48.3794,31.1656,2/8/20,0,0,0
,Ukraine,48.3794,31.1656,2/9/20,0,0,0
,Ukraine,48.3794,31.1656,2/10/20,0,0,0
,Ukraine,48.3794,31.1656,2/11/20,0,0,0
,Ukraine,48.3794,31.1656,2/12/20,0,0,0
,Ukraine,48.3794,31.1656,2/13/20,0,0,0
,Ukraine,48.3794,31.1656,2/14/20,0,0,0
,Ukraine,48.3794,31.1656,2/15/20,0,0,0
,Ukraine,48.3794,31.1656,2/16/20,0,0,0
,Ukraine,48.3794,31.1656,2/17/20,0,0,0
,Ukraine,48.3794,31.1656,2/18/20,0,0,0
,Ukraine,48.3794,31.1656,2/19/20,0,0,0
,Ukraine,48.3794,31.1656,2/20/20,0,0,0
,Ukraine,48.3794,31.1656,2/21/20,0,0,0
,Ukraine,48.3794,31.1656,2/22/20,0,0,0
,Ukraine,48.3794,31.1656,2/23/20,0,0,0
,Ukraine,48.3794,31.1656,2/24/20,0,0,0
,Ukraine,48.3794,31.1656,2/25/20,0,0,0
,Ukraine,48.3794,31.1656,2/26/20,0,0,0
,Ukraine,48.3794,31.1656,2/27/20,0,0,0
,Ukraine,48.3794,31.1656,2/28/20,0,0,0
,Ukraine,48.3794,31.1656,2/29/20,0,0,0
,Ukraine,48.3794,31.1656,3/1/20,0,0,0
,Ukraine,48.3794,31.1656,3/2/20,0,0,0
,Ukraine,48.3794,31.1656,3/3/20,1,0,0
,Ukraine,48.3794,31.1656,3/4/20,1,0,0
,Ukraine,48.3794,31.1656,3/5/20,1,0,0
,Ukraine,48.3794,31.1656,3/6/20,1,0,0
,Ukraine,48.3794,31.1656,3/7/20,1,0,0
,Ukraine,48.3794,31.1656,3/8/20,1,0,0
,Ukraine,48.3794,31.1656,3/9/20,1,0,0
,Ukraine,48.3794,31.1656,3/10/20,1,0,0
,Ukraine,48.3794,31.1656,3/11/20,1,0,0
,Ukraine,48.3794,31.1656,3/12/20,1,0,0
,Ukraine,48.3794,31.1656,3/13/20,3,1,0
,Ukraine,48.3794,31.1656,3/14/20,3,1,0
,Ukraine,48.3794,31.1656,3/15/20,3,1,0
,Ukraine,48.3794,31.1656,3/16/20,7,1,0
,Ukraine,48.3794,31.1656,3/17/20,14,2,0
,Ukraine,48.3794,31.1656,3/18/20,14,2,0
,Ukraine,48.3794,31.1656,3/19/20,16,2,0
,Ukraine,48.3794,31.1656,3/20/20,29,3,0
,Ukraine,48.3794,31.1656,3/21/20,47,3,1
,Ukraine,48.3794,31.1656,3/22/20,73,3,1
,Ukraine,48.3794,31.1656,3/23/20,73,3,1
,Ukraine,48.3794,31.1656,3/24/20,97,3,1
,Ukraine,48.3794,31.1656,3/25/20,145,5,1
,Ukraine,48.3794,31.1656,3/26/20,196,5,1
,Ukraine,48.3794,31.1656,3/27/20,310,5,5
,Ukraine,48.3794,31.1656,3/28/20,356,9,5
,Ukraine,48.3794,31.1656,3/29/20,475,10,6
,Ukraine,48.3794,31.1656,3/30/20,548,13,8
,Ukraine,48.3794,31.1656,3/31/20,645,17,10
,Ukraine,48.3794,31.1656,4/1/20,794,20,13
,Ukraine,48.3794,31.1656,4/2/20,897,22,19
,Ukraine,48.3794,31.1656,4/3/20,1072,27,22
,Ukraine,48.3794,31.1656,4/4/20,1225,32,25
,Ukraine,48.3794,31.1656,4/5/20,1308,37,28
,Ukraine,48.3794,31.1656,4/6/20,1319,38,28
,Ukraine,48.3794,31.1656,4/7/20,1462,45,28
,Ukraine,48.3794,31.1656,4/8/20,1668,52,35
,Ukraine,48.3794,31.1656,4/9/20,1892,57,45
,Ukraine,48.3794,31.1656,4/10/20,2203,69,61
,Ukraine,48.3794,31.1656,4/11/20,2511,73,79
,Ukraine,48.3794,31.1656,4/12/20,2777,83,89
,Ukraine,48.3794,31.1656,4/13/20,3102,93,97
,Ukraine,48.3794,31.1656,4/14/20,3372,98,119
,Ukraine,48.3794,31.1656,4/15/20,3764,108,143
,Ukraine,48.3794,31.1656,4/16/20,4161,116,186
