Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,United Kingdom,18.2206,-63.0686,1/22/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/23/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/24/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/25/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/26/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/27/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/28/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/29/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/30/20,0,0,0
,United Kingdom,18.2206,-63.0686,1/31/20,2,0,0
,United Kingdom,18.2206,-63.0686,2/1/20,2,0,0
,United Kingdom,18.2206,-63.0686,2/2/20,2,0,0
,United Kingdom,18.2206,-63.0686,2/3/20,8,0,0
,United Kingdom,18.2206,-63.0686,2/4/20,8,0,0
,United Kingdom,18.2206,-63.0686,2/5/20,9,0,0
,United Kingdom,18.2206,-63.0686,2/6/20,9,0,0
,United Kingdom,18.2206,-63.0686,2/7/20,9,0,0
,United Kingdom,18.2206,-63.0686,2/8/20,13,0,0
,United Kingdom,18.2206,-63.0686,2/9/20,14,0,0
,United Kingdom,18.2206,-63.0686,2/10/20,14,0,0
,United Kingdom,18.2206,-63.0686,2/11/20,15,0,0
,United Kingdom,18.2206,-63.0686,2/12/20,16,0,1
,United Kingdom,18.2206,-63.0686,2/13/20,17,0,1
,United Kingdom,18.2206,-63.0686,2/14/20,18,0,1
,United Kingdom,18.2206,-63.0686,2/15/20,18,0,1
,United Kingdom,18.2206,-63.0686,2/16/20,18,0,8
,United Kingdom,18.2206,-63.0686,2/17/20,19,0,8
,United Kingdom,18.2206,-63.0686,2/18/20,19,0,8
,United Kingdom,18.2206,-63.0686,2/19/20,20,0,8
,United Kingdom,18.2206,-63.0686,2/20/20,22,0,8
,United Kingdom,18.2206,-63.0686,2/21/20,23,0,8
,United Kingdom,18.2206,-63.0686,2/22/20,23,0,8
,United Kingdom,18.2206,-63.0686,2/23/20,28,0,8
,United Kingdom,18.2206,-63.0686,2/24/20,30,0,8
,United Kingdom,18.2206,-63.0686,2/25/20,34,0,8
,United Kingdom,18.2206,-63.0686,2/26/20,37,0,8
,United Kingdom,18.2206,-63.0686,2/27/20,44,0,8
,United Kingdom,18.2206,-63.0686,2/28/20,56,0,8
,United Kingdom,18.2206,-63.0686,2/29/20,61,0,8
,United Kingdom,18.2206,-63.0686,3/1/20,94,0,8
,United Kingdom,18.2206,-63.0686,3/2/20,134,0,8
,United Kingdom,18.2206,-63.0686,3/3/20,189,0,8
,United Kingdom,18.2206,-63.0686,3/4/20,246,0,8
,United Kingdom,18.2206,-63.0686,3/5/20,295,0,8
,United Kingdom,18.2206,-63.0686,3/6/20,374,1,8
,United Kingdom,18.2206,-63.0686,3/7/20,429,2,18
,United Kingdom,18.2206,-63.0686,3/8/20,483,2,18
,United Kingdom,18.2206,-63.0686,3/9/20,630,3,18
,United Kingdom,18.2206,-63.0686,3/10/20,889,7,19
,United Kingdom,18.2206,-63.0686,3/11/20,1301,7,19
,United Kingdom,18.2206,-63.0686,3/12/20,1790,9,19
,United Kingdom,18.2206,-63.0686,3/13/20,2270,10,19
,United Kingdom,18.2206,-63.0686,3/14/20,2634,29,19
,United Kingdom,18.2206,-63.0686,3/15/20,3077,43,19
,United Kingdom,18.2206,-63.0686,3/16/20,3692,66,21
,United Kingdom,18.2206,-63.0686,3/17/20,4462,83,53
,United Kingdom,18.2206,-63.0686,3/18/20,5467,117,67
,United Kingdom,18.2206,-63.0686,3/19/20,6533,163,67
,United Kingdom,18.2206,-63.0686,3/20/20,7791,195,67
,United Kingdom,18.2206,-63.0686,3/21/20,9006,253,67
,United Kingdom,18.2206,-63.0686,3/22/20,10395,289,67
,United Kingdom,18.2206,-63.0686,3/23/20,12744,365,67
,United Kingdom,18.2206,-63.0686,3/24/20,15126,513,140
,United Kingdom,18.2206,-63.0686,3/25/20,17843,704,140
